OBJECTID,Type,STYLE,MeterNumber,RatePerHour,MaxTime,MapSymbol,Description,InfrastructureID,LifecycleStatus,Condition,HoursInEffect,Length_m,Width_m,AccessAisle,AccessAisleWidth_m,LoadingSide,DistanceToNearestLetdown_m,CrossSlope_percent,MeetsSDC16,NewSignageInstalled,CurbPainted,Location,CivicAddress,Comments,Owner,OwnerNotes,Custodian,CustodianNotes,geometry,Latitude,Longitude
1241,metered,ELECTRIC VEHICLE,2517.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000512,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36637550222666 48.42590056610452),48.42369312422474,-123.36725541568742
1295,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-311 Centennial Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002213,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36523880035865 48.42928492068114),48.429180555984296,-123.36147632946914
1347,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002224,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33503134187147 48.44686831337391),48.445959014870894,-123.33059818832231
1352,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-282 Johnson Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002215,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36311291185856 48.42718754138419),48.42805396480112,-123.36125797660426
1366,metered,ELECTRIC VEHICLE,4002.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000628,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36965113732748 48.42798782134413),48.42567970748802,-123.37441685491574
1472,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002230,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33485679963307 48.44747080705489),48.45086880618954,-123.33230554187236
1512,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-275 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002218,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36421862669972 48.42352067382447),48.42744057025269,-123.3641076454244
1654,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002229,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33482030106688 48.44747019892521),48.44471700386608,-123.33870741892997
1674,metered,ELECTRIC VEHICLE,2916.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000336,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.365989449514 48.42751623148886),48.42277848376992,-123.37063509801706
1767,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36887795320854 48.426628480316126),48.428955971889984,-123.37279012111372
1771,metered,ELECTRIC VEHICLE,2761.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000595,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36615993680712 48.42662772725535),48.42870779687119,-123.36534099145236
1843,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002228,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33478487955135 48.44747030197307),48.44712721479781,-123.33597864976272
1896,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002226,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33471403182557 48.447469793727436),48.44487229954083,-123.33575630561302
1944,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.3690247088614 48.426456369317435),48.424633066531854,-123.36483290849434
1998,metered,ELECTRIC VEHICLE,9292.0,M-SAT $2.50 SUN Free,$15 Daily Max Rate,ACCESSIBLE,Hourly Rate M-SAT $2.50 SUN Free; Max Time $15 Daily Max Rate,PSP002375,ACT,2.0,M-SAT 8AM-8PM,5.0,3.0,Yes,2.5,Right Side,5.0 to elevator,0.8,No,No,No,View St Parkade - 5th Floor,743 View St,EV charging station,VC,,VC,,POINT (-123.36363854537153 48.425023679468126),48.424498298076976,-123.35924032811826
2042,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002220,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33515891953378 48.44700790589886),48.449683250608786,-123.33774762579637
2082,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002231,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33489329955235 48.447471415169055),48.447463943167975,-123.33456079029052
2201,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002222,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33509406229457 48.44693882708769),48.444169351144936,-123.33773455268688
2213,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002227,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33475053174266 48.447470401886896),48.44736080480668,-123.33445455674565
2330,metered,ELECTRIC VEHICLE,2915.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000337,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36599714521391 48.42748423601881),48.42418309382355,-123.3631048116858
19,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-272 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002216,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.3638054044696 48.42511956618813),48.42653188398888,-123.36495572670253
197,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002223,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33506163541432 48.44690464482426),48.44625328744222,-123.33152609848143
430,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002225,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33499999346992 48.44683484227543),48.44676179147874,-123.33850944546373
529,metered,ELECTRIC VEHICLE,2518.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000511,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36636785301413 48.425932381530174),48.42987623017713,-123.36541696323096
778,metered,ELECTRIC VEHICLE,4001.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000629,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36964991148943 48.42796548598136),48.426808184964955,-123.36891162314467
897,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002221,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33512756626244 48.44697372052767),48.44542603162691,-123.33064507691802
911,metered,ELECTRIC VEHICLE,2760.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR 90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000594,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36616827797128 48.426593037050914),48.42990175431281,-123.3702301388974
964,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-314 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002217,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36383062854003 48.425124276197295),48.425847422788124,-123.36859564936275
1160,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-266 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002219,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36423665391007 48.42352540742386),48.42544737216392,-123.36155301461791
1241,metered,ELECTRIC VEHICLE,2517.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000512,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36637550222666 48.42590056610452),48.425950129869186,-123.36163281114233
1295,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-311 Centennial Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002213,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36523880035865 48.42928492068114),48.42708323300717,-123.36627964251011
1347,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002224,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33503134187147 48.44686831337391),48.45074036979115,-123.33967601102032
1352,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-282 Johnson Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002215,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36311291185856 48.42718754138419),48.42770131412723,-123.36196969960007
1366,metered,ELECTRIC VEHICLE,4002.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000628,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36965113732748 48.42798782134413),48.431436677375316,-123.37055295086155
1472,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002230,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33485679963307 48.44747080705489),48.4483444344903,-123.33519824625482
1512,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-275 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002218,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36421862669972 48.42352067382447),48.424572084022,-123.36862857945835
1654,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002229,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33482030106688 48.44747019892521),48.442494219355844,-123.33737794310501
1674,metered,ELECTRIC VEHICLE,2916.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000336,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.365989449514 48.42751623148886),48.42322998373539,-123.3696325923582
1767,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36887795320854 48.426628480316126),48.431132294728435,-123.37372703010537
1771,metered,ELECTRIC VEHICLE,2761.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000595,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36615993680712 48.42662772725535),48.42202881235353,-123.36698225036382
1843,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002228,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33478487955135 48.44747030197307),48.44967396671109,-123.33080839566608
1896,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002226,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33471403182557 48.447469793727436),48.44870366238966,-123.33248781005173
1944,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.3690247088614 48.426456369317435),48.424324694665074,-123.36748502552543
1998,metered,ELECTRIC VEHICLE,9292.0,M-SAT $2.50 SUN Free,$15 Daily Max Rate,ACCESSIBLE,Hourly Rate M-SAT $2.50 SUN Free; Max Time $15 Daily Max Rate,PSP002375,ACT,2.0,M-SAT 8AM-8PM,5.0,3.0,Yes,2.5,Right Side,5.0 to elevator,0.8,No,No,No,View St Parkade - 5th Floor,743 View St,EV charging station,VC,,VC,,POINT (-123.36363854537153 48.425023679468126),48.427017923748274,-123.36014281097044
2042,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002220,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33515891953378 48.44700790589886),48.45174050027878,-123.33789322282449
2082,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002231,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33489329955235 48.447471415169055),48.45120420699923,-123.3322847863801
2201,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002222,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33509406229457 48.44693882708769),48.45067201749831,-123.33736595662718
2213,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002227,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33475053174266 48.447470401886896),48.44623939465293,-123.33838520701963
2330,metered,ELECTRIC VEHICLE,2915.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000337,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36599714521391 48.42748423601881),48.427369357774204,-123.36655735440561
19,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-272 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002216,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.3638054044696 48.42511956618813),48.42487304549349,-123.36589463047137
197,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002223,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33506163541432 48.44690464482426),48.44245628974127,-123.33402880980475
430,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002225,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33499999346992 48.44683484227543),48.443082154601704,-123.3304846086317
529,metered,ELECTRIC VEHICLE,2518.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000511,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36636785301413 48.425932381530174),48.430085321230294,-123.37026040992869
778,metered,ELECTRIC VEHICLE,4001.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000629,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36964991148943 48.42796548598136),48.42878171323941,-123.37276195137608
897,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002221,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33512756626244 48.44697372052767),48.44510695202285,-123.33028395707835
911,metered,ELECTRIC VEHICLE,2760.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR 90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000594,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36616827797128 48.426593037050914),48.42687729259975,-123.36463303990182
964,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-314 View Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002217,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36383062854003 48.425124276197295),48.42235588217478,-123.3677445557172
1160,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-266 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002219,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36423665391007 48.42352540742386),48.42468726597219,-123.36439496014056
1241,metered,ELECTRIC VEHICLE,2517.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000512,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36637550222666 48.42590056610452),48.430183230671226,-123.36648757234047
1295,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-311 Centennial Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002213,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36523880035865 48.42928492068114),48.429907967184235,-123.36939370963094
1347,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002224,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33503134187147 48.44686831337391),48.44960179735708,-123.3378204611956
1352,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-282 Johnson Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002215,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36311291185856 48.42718754138419),48.431184019772495,-123.35937760611323
1366,metered,ELECTRIC VEHICLE,4002.0,$3.00,40 MIN,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000628,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36965113732748 48.42798782134413),48.42854655019136,-123.37192792607564
1472,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002230,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33485679963307 48.44747080705489),48.442674836442066,-123.33873790691544
1512,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-275 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002218,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36421862669972 48.42352067382447),48.42847304932566,-123.36150574173337
1654,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002229,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33482030106688 48.44747019892521),48.45073252249471,-123.33842175963365
1674,metered,ELECTRIC VEHICLE,2916.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000336,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.365989449514 48.42751623148886),48.4259998142605,-123.36101258374357
1767,non-metered,ELECTRIC VEHICLE,,Regular parking fees apply.,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36887795320854 48.426628480316126),48.428023176638746,-123.36969539044064
1771,metered,ELECTRIC VEHICLE,2761.0,$3.00,90 MIN,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP000595,ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36615993680712 48.42662772725535),48.42826391338212,-123.36355821265221
1843,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002228,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33478487955135 48.44747030197307),48.44694625414512,-123.3389061939786
1896,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),PSP002226,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33471403182557 48.447469793727436),48.45101141472097,-123.33639959086278
1944,non-metered,ELECTRIC VEHICLE,,$1.00,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",PSP002214,ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.3690247088614 48.426456369317435),48.43014796443743,-123.37256655848333
1998,metered,ELECTRIC VEHICLE,9292.0,M-SAT $2.50 SUN Free,$15 Daily Max Rate,ACCESSIBLE,Hourly Rate M-SAT $2.50 SUN Free; Max Time $15 Daily Max Rate,PSP002375,ACT,2.0,M-SAT 8AM-8PM,5.0,3.0,Yes,2.5,Right Side,5.0 to elevator,0.8,No,No,No,View St Parkade - 5th Floor,743 View St,EV charging station,VC,,VC,,POINT (-123.36363854537153 48.425023679468126),48.42308813164327,-123.35979549649183
2042,non-metered,ELECTRIC VEHICLE,,Free,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),PSP002220,ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33515891953378 48.44700790589886),48.444231171725455,-123.33047817690112
