sessionId,kwhTotal,dollars,created,ended,chargeTimeHrs,weekday,platform,distance,userId,stationId,locationId,managerVehicle,facilityType,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,reportedZip,created_year_part,charge_duration_hrs,created_hour,ended_hour
6748253,6.49,1.33,2015-03-17 13:06:58,2015-03-17 18:30:10,5.386666667,Tue,ios,19.1037002,32015313,228137,503205,0,3,0,1,0,0,0,0,0,1,15,5.386666666666667,13,18
7882118,0.0,0.0,2015-03-24 18:10:46,2015-03-24 18:12:05,0.021944444,Tue,ios,,92192265,228137,503205,0,3,0,1,0,0,0,0,0,1,15,0.0219444444444444,18,18
8528273,0.01,0.0,2015-03-25 12:24:27,2015-03-25 12:27:05,0.043888889,Wed,ios,15.329938,49241808,228137,503205,0,3,0,0,1,0,0,0,0,1,15,0.0438888888888888,12,12
6511872,6.83,0.0,2015-04-01 16:51:20,2015-04-01 19:10:06,2.312777778,Wed,ios,14.9564766,92192265,228137,503205,0,3,0,0,1,0,0,0,0,1,15,2.312777777777778,16,19
7452830,6.08,0.0,2015-05-01 10:51:57,2015-05-01 13:01:06,2.1525,Fri,ios,19.3541244,46009656,228137,503205,1,3,0,0,0,0,1,0,0,1,15,2.1525,10,13
1254759,5.68,0.0,2015-05-04 10:28:13,2015-05-04 12:25:08,1.948611111,Mon,ios,19.3541244,46009656,228137,503205,1,3,1,0,0,0,0,0,0,1,15,1.948611111111111,10,12
1076407,7.6,0.0,2015-05-04 18:36:52,2015-05-04 21:15:12,2.638888889,Mon,ios,,58140225,228137,503205,0,3,1,0,0,0,0,0,0,0,15,2.638888888888889,18,21
6124025,5.85,0.0,2015-05-05 10:25:55,2015-05-05 12:53:16,2.455833333,Tue,ios,19.3541244,46009656,228137,503205,1,3,0,1,0,0,0,0,0,1,15,2.4558333333333335,10,12
5949880,7.24,0.0,2015-05-05 15:23:51,2015-05-05 18:24:06,3.004166667,Tue,ios,,58140225,228137,503205,0,3,0,1,0,0,0,0,0,0,15,3.004166666666667,15,18
6916433,6.22,0.0,2015-05-06 10:32:57,2015-05-06 12:45:14,2.204722222,Wed,ios,19.3541244,46009656,228137,503205,1,3,0,0,1,0,0,0,0,1,15,2.2047222222222222,10,12
7525821,5.76,0.0,2015-05-07 10:34:08,2015-05-07 12:51:07,2.283055556,Thu,ios,19.3541244,46009656,228137,503205,1,3,0,0,0,1,0,0,0,1,15,2.2830555555555554,10,12
7212938,5.72,0.0,2015-05-08 10:27:45,2015-05-08 12:35:08,2.123055556,Fri,ios,19.3541244,46009656,228137,503205,1,3,0,0,0,0,1,0,0,1,15,2.1230555555555557,10,12
5809264,7.73,0.0,2015-05-08 17:07:52,2015-05-08 20:25:08,3.287777778,Fri,ios,,58140225,228137,503205,0,3,0,0,0,0,1,0,0,0,15,3.287777777777778,17,20
5759031,0.13,0.0,2015-05-15 15:24:51,2015-05-15 17:58:06,2.554166667,Fri,ios,0.9718696,10909503,228137,503205,1,3,0,0,0,0,1,0,0,1,15,2.5541666666666667,15,17
