sessionId,kwhTotal,dollars,created,ended,startTime,endTime,chargeTimeHrs,weekday,platform,distance,userId,stationId,locationId,managerVehicle,facilityType,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,reportedZip,isOutlier,hour,isWeekend,dayOfWeek,timestamp_missing
6032746,0.88,0.0,,,19,19,0.3475,Wed,android,21.0238262,35897499,920264,461655,0,3,0,0,1,0,0,0,0,0,False,,False,,True
4072758,4.56,0.0,,,19,21,2.161111111,Wed,android,21.0238262,35897499,280221,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
6830717,2.11,0.0,,,14,16,1.487222222,Thu,android,21.0238262,35897499,878706,461655,0,3,0,0,0,1,0,0,0,0,False,,False,,True
6455251,11.48,0.0,,,19,21,1.998333333,Thu,android,21.0238262,35897499,944515,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
5376208,10.52,0.0,,,18,21,3.685555556,Fri,android,21.0238262,35897499,355208,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
2914893,9.61,0.0,,,17,20,3.028055556,Mon,android,21.0238262,35897499,250527,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
5224755,7.24,0.0,,,17,21,3.803333333,Thu,android,21.0238262,35897499,355208,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
8450261,12.96,0.0,,,12,16,3.755833333,Fri,android,21.0238262,35897499,280221,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
9731366,9.17,0.0,,,17,20,3.053888889,Mon,android,21.0238262,35897499,280221,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
9473434,19.01,0.0,,,18,21,3.315555556,Wed,android,21.0238262,35897499,207262,928191,0,3,0,0,1,0,0,0,0,0,False,,False,,True
2817985,0.04,0.0,,,11,11,0.033333333,Thu,android,21.0238262,35897499,280221,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
5820347,9.52,0.0,,,17,19,1.914722222,Thu,android,21.0238262,35897499,738900,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
5338238,6.6,0.0,,,12,13,1.405555556,Fri,android,21.0238262,35897499,738900,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
3192864,4.62,0.0,,,17,18,1.151666667,Mon,android,21.0238262,35897499,280221,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
9813434,3.83,0.0,,,11,11,0.885277778,Thu,android,21.0238262,35897499,405157,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
6362922,1.07,0.0,,,13,14,0.367222222,Thu,android,21.0238262,35897499,594591,461655,0,3,0,0,0,1,0,0,0,0,False,,False,,True
3910417,7.32,0.0,,,17,18,1.527222222,Thu,android,21.0238262,35897499,738900,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
9537925,13.5,0.0,,,12,15,2.549722222,Fri,android,21.0238262,35897499,801274,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
5688787,4.71,0.0,,,16,17,1.074722222,Fri,android,21.0238262,35897499,250527,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
2189714,5.58,0.0,,,14,16,1.247222222,Mon,android,21.0238262,35897499,405157,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
9009117,0.78,0.0,,,16,16,0.241111111,Mon,android,21.0238262,35897499,612116,461655,0,3,1,0,0,0,0,0,0,0,False,,False,,True
6241251,4.1,0.0,,,16,17,1.03,Tue,android,21.0238262,35897499,250527,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
4027242,0.03,0.0,,,17,17,0.021111111,Wed,android,21.0238262,35897499,250527,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
1534730,16.2,0.0,,,17,19,2.934722222,Thu,android,21.0238262,35897499,250527,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
4970729,7.73,0.0,,,17,18,1.651111111,Mon,android,21.0238262,35897499,355208,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
5850084,7.04,0.0,,,12,14,2.568611111,Tue,android,21.0238262,35897499,355208,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
5503753,2.13,0.0,,,17,18,0.828611111,Tue,android,21.0238262,35897499,728918,928191,0,3,0,1,0,0,0,0,0,0,False,,False,,True
8356365,6.51,0.0,,,12,14,2.320833333,Wed,android,21.0238262,35897499,549414,461655,0,3,0,0,1,0,0,0,0,0,False,,False,,True
7116934,6.67,0.5,,,11,15,4.082222222,Thu,android,21.0238262,35897499,405157,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
4303750,5.47,0.0,,,17,18,1.961388889,Thu,android,21.0238262,35897499,280221,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
7027707,7.71,0.0,,,15,19,3.696111111,Wed,android,21.0238262,35897499,250527,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
4268564,7.3,0.0,,,17,21,3.531388889,Mon,android,21.0238262,35897499,944575,928191,0,3,1,0,0,0,0,0,0,0,False,,False,,True
7120657,7.88,0.0,,,16,19,3.363333333,Tue,android,21.0238262,35897499,738900,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
7620374,3.79,0.5,,,11,15,4.147222222,Wed,android,21.0238262,35897499,738900,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
8539198,1.93,0.0,,,16,17,0.998055556,Wed,android,21.0238262,35897499,207262,928191,0,3,0,0,1,0,0,0,0,0,False,,False,,True
9402479,6.11,0.0,,,16,18,2.003888889,Mon,android,21.0238262,35897499,728918,928191,0,3,1,0,0,0,0,0,0,0,False,,False,,True
4904971,5.36,0.0,,,17,20,3.470555556,Tue,android,21.0238262,35897499,355208,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
9371693,11.36,0.0,,,18,20,2.311944444,Thu,android,21.0238262,35897499,405157,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
9600945,5.07,0.0,,,16,19,3.3375,Mon,android,21.0238262,35897499,250527,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
4047449,6.41,0.0,,,14,16,2.395555556,Tue,android,21.0238262,35897499,801274,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
8906717,5.49,0.0,,,17,20,2.971111111,Wed,android,21.0238262,35897499,280221,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
2151745,11.0,0.0,,,17,19,1.894444444,Thu,android,21.0238262,35897499,801274,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
3904382,5.49,0.0,,,15,18,2.801666667,Fri,android,21.0238262,35897499,405157,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
6412124,2.46,0.0,,,17,18,0.8025,Mon,android,21.0238262,35897499,355208,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
9579135,14.18,0.0,,,16,20,3.964444444,Tue,android,21.0238262,35897499,405157,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
3526792,4.35,0.0,,,15,18,3.0975,Wed,android,21.0238262,35897499,500856,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
2103254,4.87,0.0,,,17,18,0.865277778,Thu,android,21.0238262,35897499,801274,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
8767465,20.02,0.0,,,15,19,3.610555556,Fri,android,21.0238262,35897499,944515,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
4927630,8.82,0.0,,,16,20,3.551666667,Mon,android,21.0238262,35897499,280221,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
3661095,12.09,0.0,,,16,20,3.708333333,Wed,android,21.0238262,35897499,944515,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
8681532,11.81,0.0,,,17,19,2.093055556,Thu,android,21.0238262,35897499,280221,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
2847811,13.6,0.0,,,17,20,2.681388889,Fri,android,21.0238262,35897499,944515,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
1779780,16.41,0.0,,,16,20,3.776388889,Tue,android,21.0238262,35897499,250527,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
9038095,11.4,0.5,,,16,21,4.437777778,Wed,android,21.0238262,35897499,250527,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
6839807,14.09,0.0,,,11,15,3.643055556,Thu,android,21.0238262,35897499,280221,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
7513206,4.97,0.0,,,17,18,0.891388889,Thu,android,21.0238262,35897499,425476,928191,0,3,0,0,0,1,0,0,0,0,False,,False,,True
9651531,5.21,0.0,,,12,14,1.646388889,Fri,android,21.0238262,35897499,250527,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
9066880,6.93,0.0,,,16,20,3.39,Mon,android,21.0238262,35897499,280221,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
4023183,9.75,0.0,,,17,20,3.046388889,Tue,android,21.0238262,35897499,738900,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
1667896,8.1,0.0,,,15,17,1.538333333,Wed,android,21.0238262,35897499,738900,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
4907994,14.53,0.0,,,11,15,3.69,Thu,android,21.0238262,35897499,801274,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
8544912,1.66,0.0,,,16,17,0.313611111,Thu,android,21.0238262,35897499,728918,928191,0,3,0,0,0,1,0,0,0,0,False,,False,,True
4339735,6.78,0.0,,,12,15,3.231388889,Fri,android,21.0238262,35897499,738900,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
7670282,1.37,0.0,,,17,19,1.932777778,Fri,android,21.0238262,35897499,728918,928191,0,3,0,0,0,0,1,0,0,0,False,,False,,True
2534249,6.79,0.0,,,17,20,2.981388889,Tue,android,21.0238262,35897499,280221,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
2892603,0.0,0.0,,,16,17,0.208888889,Wed,android,21.0238262,35897499,405157,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
2451809,4.96,0.0,,,17,20,3.185277778,Wed,android,21.0238262,35897499,250527,976902,0,3,0,0,1,0,0,0,0,0,False,,False,,True
1986587,3.87,0.0,,,14,17,2.426111111,Thu,android,21.0238262,35897499,250527,976902,0,3,0,0,0,1,0,0,0,0,False,,False,,True
5345683,6.67,0.0,,,12,16,3.805,Fri,android,21.0238262,35897499,801274,976902,0,3,0,0,0,0,1,0,0,0,False,,False,,True
2211634,6.63,0.0,,,17,20,3.613333333,Mon,android,21.0238262,35897499,944515,976902,0,3,1,0,0,0,0,0,0,0,False,,False,,True
1119614,3.72,0.5,,,11,15,4.049444444,Tue,android,21.0238262,35897499,280221,976902,0,3,0,1,0,0,0,0,0,0,False,,False,,True
