Town,Population
Highett (East) - Cheltenham,25866
Highett (West) - Cheltenham,13098
Hillside,16120
Hoppers Crossing (North),18410
Hoppers Crossing (South),18967
Hughesdale,8088
Hurstbridge,3540
Ivanhoe,13151
Ivanhoe East - Eaglemont,8100
Keilor,8701
Keilor Downs,13068
Keilor East,15497
Kensington,11699
Kew East,6780
Kew (South),12352
Kew (West),13675
Keysborough (North),15095
Keysborough (South),16874
Kilsyth,10676
Kingsbury,12508
Kings Park,13931
Knoxfield - Scoresby,17142
Koo Wee Rup,12009
Kurunjang - Toolern Vale,12069
Lalor (East),10195
Lalor (West),13933
Langwarrin,25747
Laverton,12754
Lilydale - Coldstream,20533
Lynbrook - Lyndhurst,19435
Lysterfield,6614
Malvern East,23738
Malvern - Glen Iris,21680
Manor Lakes - Quandong,12575
Maribyrnong,13818
Meadow Heights,14960
Melbourne Airport,130
Melbourne CBD (East),13697
Melbourne CBD (North),23579
Melbourne CBD (West),21528
Melton,8046
Melton South - Weir Views,21758
Melton West,22691
Mentone,13987
Mernda (North),12038
Mernda (South),13526
Mickleham - Yuroke,35371
Mill Park (North),17706
Mill Park (South),11322
Mitcham,17472
Monbulk - Silvan,5834
Montmorency - Briar Hill,16957
Montrose,6921
Moonee Ponds,17823
Moorabbin Airport,26
Moorabbin - Heatherton,9708
Mooroolbark,24258
Mordialloc - Parkdale,22229
Mornington (East),15111
Mornington (West),10843
Mount Dandenong - Olinda,9609
Mount Eliza,19009
Mount Evelyn,10032
Mount Martha,20166
Mount Waverley (North),17214
Mount Waverley (South),20581
Mulgrave,20981
Murrumbeena,10045
Narre Warren North,8184
Narre Warren (North East),13643
Narre Warren South (East),13030
Narre Warren (South West),15452
Narre Warren South (West),17141
Newport,19943
Niddrie - Essendon West,7925
Noble Park (East),13699
Noble Park North,7651
Noble Park (West),20330
Northcote (East),15920
Northcote (West),10953
North Melbourne,19221
Nunawading,13230
Oakleigh - Huntingdale,25104
Oak Park,8488
Ormond - Glen Huntly,14736
Pakenham (North East),16379
Pakenham (North West),9658
Pakenham (South East),6706
Pakenham (South West),28217
Parkville,8293
Pascoe Vale,18434
Pascoe Vale South,10869
Pearcedale - Tooradin,8253
Plenty - Yarrambat,9609
Point Cook (East),21519
Point Cook (North East),14817
Point Cook (North West),10165
Point Cook (South),20596
Point Nepean,20258
Port Melbourne,16884
Port Melbourne Industrial,2611
Prahran - Windsor,20928
Preston (East),22596
Preston (West),13470
Research - North Warrandyte,7034
Reservoir (North East),15976
Reservoir (North West),9834
Reservoir (South East),13875
Reservoir (South West),15161
Richmond (North),15319
Richmond (South) - Cremorne,19230
Ringwood,19633
Ringwood East,21866
Ringwood North,9803
Rockbank - Mount Cottrell,31389
Rosebud - McCrae,23281
Rowville (Central),15731
Rowville (North),7894
Rowville (South),10594
Roxburgh Park (North),15427
Roxburgh Park (South) - Somerton,9731
Royal Botanic Gardens Victoria,0
Sandringham - Black Rock,18022
Seabrook,4963
