OBJECTID,Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,Area in square kilometres,Uniform Resource Identifier,The base year for projected persons (2022),Projected persons (2023),Projected persons (2024),Projected persons (2025),Projected persons (2026),Projected persons (2027),Projected persons (2028),Projected persons (2029),Projected persons (2030),Projected persons (2031),Projected persons (2032),The base year for annual population change (2022),Annual population change (2023),Annual population change (2024),Annual population change (2025),Annual population change (2026),Annual population change (2027),Annual population change (2028),Annual population change (2029),Annual population change (2030),Annual population change (2031),Annual population change (2032),The base year for population change (2022),Relative population change (2023),Relative population change (2024),Relative population change (2025),Relative population change (2026),Relative population change (2027),Relative population change (2028),Relative population change (2029),Relative population change (2030),Relative population change (2031),Relative population change (2032),The base year for percentage annual population change (2022),Percentage annual population change (2023),Percentage annual population change (2024),Percentage annual population change (2025),Percentage annual population change (2026),Percentage annual population change (2027),Percentage annual population change (2028),Percentage annual population change (2029),Percentage annual population change (2030),Percentage annual population change (2031),Percentage annual population change (2032),The base year for percentage relative population change (2022),Percentage relative population change (2023),Percentage relative population change (2024),Percentage relative population change (2025),Percentage relative population change (2026),Percentage relative population change (2027),Percentage relative population change (2028),Percentage relative population change (2029),Percentage relative population change (2030),Percentage relative population change (2031),Percentage relative population change (2032),globalid,Shape__Area,Shape__Length
2132,510021267,East Pilbara,390578.4788,https://linked.data.gov.au/dataset/asgsed3/SA2/510021267,6211,6296,6362,6437,6510,6583,6659,6735,6815,6894,6977,0,85,66,75,73,73,76,76,80,79,83,0,85,151,226,299,372,448,524,604,683,766,0,1.36854,1.048285,1.178875,1.134069,1.121352,1.154489,1.141313,1.187825,1.159208,1.203945,0,1.36854,2.431171,3.638706,4.81404,5.989374,7.213009,8.436645,9.724682,10.996619,12.332958,18045fca-0317-4838-898f-126bb52db6bd,34.1111599598023,38.9312580535306
2133,510021268,Newman,17.0749,https://linked.data.gov.au/dataset/asgsed3/SA2/510021268,4505,4520,4525,4538,4557,4579,4603,4632,4663,4692,4725,0,15,5,13,19,22,24,29,31,29,33,0,15,20,33,52,74,98,127,158,187,220,0,0.332963,0.110619,0.287293,0.418687,0.482774,0.524132,0.630024,0.669257,0.621917,0.703325,0,0.332963,0.443951,0.732519,1.154273,1.642619,2.175361,2.81909,3.507214,4.150943,4.883463,828bd6c2-dc39-4656-9ab8-4d508245a937,0.00150792644421927,0.227746896027321
2134,510021269,Port Hedland,94.1758,https://linked.data.gov.au/dataset/asgsed3/SA2/510021269,4467,4483,4492,4505,4521,4540,4562,4588,4615,4644,4673,0,16,9,13,16,19,22,26,27,29,29,0,16,25,38,54,73,95,121,148,177,206,0,0.358182,0.200758,0.289403,0.355161,0.420261,0.484581,0.569925,0.588492,0.628386,0.624462,0,0.358182,0.55966,0.850683,1.208865,1.634206,2.126707,2.708753,3.313186,3.962391,4.611596,1feb72ed-de88-4d99-b86f-929593269bcb,0.00814699784768891,0.871122155380106
2135,510021270,South Hedland,22.2565,https://linked.data.gov.au/dataset/asgsed3/SA2/510021270,12136,12210,12268,12341,12427,12518,12617,12719,12827,12937,13049,0,74,58,73,86,91,99,102,108,110,112,0,74,132,205,291,382,481,583,691,801,913,0,0.609756,0.47502,0.595044,0.696864,0.732276,0.790861,0.808433,0.849123,0.857566,0.865734,0,0.609756,1.087673,1.689189,2.397825,3.14766,3.963415,4.803889,5.693804,6.600198,7.523072,60fbbfb5-4614-4ce9-b897-397ff271c105,0.00192605710344651,0.193104570961449
2136,510031271,Ashburton (WA),100827.0317,https://linked.data.gov.au/dataset/asgsed3/SA2/510031271,7834,7846,7851,7866,7889,7911,7939,7969,8002,8038,8078,0,12,5,15,23,22,28,30,33,36,40,0,12,17,32,55,77,105,135,168,204,244,0,0.153178,0.063727,0.191058,0.292398,0.278869,0.353938,0.377881,0.414105,0.449888,0.497636,0,0.153178,0.217003,0.408476,0.702068,0.982895,1.340311,1.723258,2.144498,2.604034,3.114629,538e4343-e44d-4a76-a631-c249114668f2,8.8487594255821,26.3437982838628
2137,510031272,Karratha,134.2041,https://linked.data.gov.au/dataset/asgsed3/SA2/510031272,18239,18295,18317,18368,18433,18501,18580,18667,18764,18862,18962,0,56,22,51,65,68,79,87,97,98,100,0,56,78,129,194,262,341,428,525,623,723,0,0.307034,0.120251,0.27843,0.353876,0.368904,0.427004,0.468245,0.519634,0.522277,0.530166,0,0.307034,0.427655,0.707276,1.063655,1.436482,1.86962,2.34662,2.878447,3.415757,3.964033,114179e2-f1f2-4fb9-92c3-2ad20c09da15,0.011639424554005,0.555342174998611
2138,510031273,Roebourne,15104.8531,https://linked.data.gov.au/dataset/asgsed3/SA2/510031273,5548,5579,5604,5637,5674,5717,5762,5811,5858,5908,5961,0,31,25,33,37,43,45,49,47,50,53,0,31,56,89,126,169,214,263,310,360,413,0,0.55876,0.448109,0.588865,0.656378,0.757843,0.787126,0.850399,0.808811,0.853534,0.897089,0,0.55876,1.009373,1.604182,2.271089,3.046143,3.857246,4.740447,5.587599,6.488825,7.444124,d75a6fdd-7fa4-4415-bfeb-ea6262d78b63,1.31262691375014,21.9642577238733
2139,511011274,Esperance,479.8669,https://linked.data.gov.au/dataset/asgsed3/SA2/511011274,12543,12568,12587,12621,12667,12720,12780,12848,12926,13010,13098,0,25,19,34,46,53,60,68,78,84,88,0,25,44,78,124,177,237,305,383,467,555,0,0.199314,0.151178,0.27012,0.364472,0.41841,0.471698,0.532081,0.607098,0.649853,0.676403,0,0.199314,0.350793,0.621861,0.988599,1.411146,1.8895,2.431635,3.053496,3.723192,4.424779,547de52e-cb35-4c94-b2da-d7317c1bd672,0.0467197325087909,1.32701387835726
2140,511011275,Esperance Surrounds,55180.793,https://linked.data.gov.au/dataset/asgsed3/SA2/511011275,4157,4191,4222,4259,4303,4348,4392,4441,4494,4546,4601,0,34,31,37,44,45,44,49,53,52,55,0,34,65,102,146,191,235,284,337,389,444,0,0.817898,0.73968,0.876362,1.033106,1.045782,1.01196,1.115665,1.193425,1.157098,1.209855,0,0.817898,1.563628,2.453693,3.512148,4.59466,5.653115,6.83185,8.106808,9.35771,10.680779,0631d686-dc3f-4e7d-a5e5-72deb8d40a1e,5.34268025839037,21.2212352459628
2141,511021276,Carnarvon,78.2669,https://linked.data.gov.au/dataset/asgsed3/SA2/511021276,5146,5173,5186,5203,5221,5241,5263,5287,5311,5337,5363,0,27,13,17,18,20,22,24,24,26,26,0,27,40,57,75,95,117,141,165,191,217,0,0.524679,0.251305,0.327806,0.345954,0.383068,0.419767,0.456014,0.453944,0.48955,0.487165,0,0.524679,0.777303,1.107656,1.457443,1.846094,2.273611,2.739992,3.206374,3.711621,4.216867,3ad3eab7-d301-481b-9101-8340ac3a4e4e,0.00699147502496089,0.905427023453905
