OBJECTID,Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,Area in square kilometres,Uniform Resource Identifier,The base year for projected persons (2022),Projected persons (2023),Projected persons (2024),Projected persons (2025),Projected persons (2026),Projected persons (2027),Projected persons (2028),Projected persons (2029),Projected persons (2030),Projected persons (2031),Projected persons (2032),The base year for annual population change (2022),Annual population change (2023),Annual population change (2024),Annual population change (2025),Annual population change (2026),Annual population change (2027),Annual population change (2028),Annual population change (2029),Annual population change (2030),Annual population change (2031),Annual population change (2032),The base year for population change (2022),Relative population change (2023),Relative population change (2024),Relative population change (2025),Relative population change (2026),Relative population change (2027),Relative population change (2028),Relative population change (2029),Relative population change (2030),Relative population change (2031),Relative population change (2032),The base year for percentage annual population change (2022),Percentage annual population change (2023),Percentage annual population change (2024),Percentage annual population change (2025),Percentage annual population change (2026),Percentage annual population change (2027),Percentage annual population change (2028),Percentage annual population change (2029),Percentage annual population change (2030),Percentage annual population change (2031),Percentage annual population change (2032),The base year for percentage relative population change (2022),Percentage relative population change (2023),Percentage relative population change (2024),Percentage relative population change (2025),Percentage relative population change (2026),Percentage relative population change (2027),Percentage relative population change (2028),Percentage relative population change (2029),Percentage relative population change (2030),Percentage relative population change (2031),Percentage relative population change (2032),globalid,Shape__Area,Shape__Length
1,101021007,Braidwood,3418.3525,https://linked.data.gov.au/dataset/asgsed3/SA2/101021007,4366,4443,4518,4589,4654,4716,4780,4844,4909,4974,5037,0,77,75,71,65,62,64,64,65,65,63,0,77,152,223,288,350,414,478,543,608,671,0,1.763628,1.688049,1.571492,1.416431,1.332187,1.357082,1.338912,1.341866,1.324099,1.266586,0,1.763628,3.481448,5.10765,6.596427,8.016491,9.482364,10.948236,12.437013,13.92579,15.368759,11873bd6-71fd-46c4-9f03-8de11524c460,0.339396982400558,3.91369435008934
2,101021008,Karabar,6.9825,https://linked.data.gov.au/dataset/asgsed3/SA2/101021008,8528,8588,8637,8682,8719,8744,8770,8800,8830,8859,8890,0,60,49,45,37,25,26,30,30,29,31,0,60,109,154,191,216,242,272,302,331,362,0,0.703565,0.570564,0.521014,0.426169,0.28673,0.297347,0.342075,0.340909,0.328426,0.349927,0,0.703565,1.278143,1.805816,2.239681,2.532833,2.837711,3.189493,3.541276,3.881332,4.244841,29157901-8b08-41d7-86e5-57afad56af55,0.000692573608375824,0.138641935685031
3,101021009,Queanbeyan,4.762,https://linked.data.gov.au/dataset/asgsed3/SA2/101021009,11390,11630,11853,12086,12328,12571,12822,13073,13325,13584,13843,0,240,223,233,242,243,251,251,252,259,259,0,240,463,696,938,1181,1432,1683,1935,2194,2453,0,2.107112,1.917455,1.965747,2.002317,1.971123,1.996659,1.957573,1.927637,1.943715,1.906655,0,2.107112,4.064969,6.110623,8.235294,10.368745,12.572432,14.776119,16.988586,19.262511,21.536435,4d64396b-9634-4633-bf09-ee5e8e90bbc8,0.000472213498142082,0.107150167045716
4,101021010,Queanbeyan - East,13.0032,https://linked.data.gov.au/dataset/asgsed3/SA2/101021010,5090,5197,5294,5391,5486,5580,5674,5773,5873,5972,6071,0,107,97,97,95,94,94,99,100,99,99,0,107,204,301,396,490,584,683,783,882,981,0,2.102161,1.866461,1.832263,1.762196,1.713452,1.684588,1.744801,1.732202,1.68568,1.657736,0,2.102161,4.007859,5.913556,7.779961,9.626719,11.473477,13.418468,15.383104,17.328094,19.273084,bd7126f6-8af2-438d-b3dc-32cb9a387e1a,0.0012895043005301,0.189549065008771
5,101021012,Queanbeyan West - Jerrabomberra,13.6748,https://linked.data.gov.au/dataset/asgsed3/SA2/101021012,12779,12914,13025,13125,13220,13289,13362,13436,13513,13591,13668,0,135,111,100,95,69,73,74,77,78,77,0,135,246,346,441,510,583,657,734,812,889,0,1.056421,0.859532,0.767754,0.72381,0.521936,0.549327,0.553809,0.573087,0.577222,0.566551,0,1.056421,1.925033,2.707567,3.450974,3.990923,4.562172,5.141247,5.743798,6.354175,6.956726,0603534a-f2b8-45b3-9cd5-71e1b39a7ffa,0.00135637771154506,0.193368205884951
6,101021610,Googong,6.9164,https://linked.data.gov.au/dataset/asgsed3/SA2/101021610,6748,7640,8502,9327,10107,10834,11567,12307,13055,13807,14561,0,892,862,825,780,727,733,740,748,752,754,0,892,1754,2579,3359,4086,4819,5559,6307,7059,7813,0,13.218731,11.282723,9.703599,8.362818,7.193035,6.765737,6.39751,6.077842,5.760245,5.460998,0,13.218731,25.992887,38.218731,49.777712,60.551274,71.413752,82.379964,93.46473,104.608773,115.782454,5e9c7020-4032-455c-8f98-24e45471f128,0.000686484952893807,0.110633602836431
7,101021611,Queanbeyan Surrounds,3047.7057,https://linked.data.gov.au/dataset/asgsed3/SA2/101021611,16864,17167,17460,17752,18049,18332,18617,18905,19197,19492,19788,0,303,293,292,297,283,285,288,292,295,296,0,303,596,888,1185,1468,1753,2041,2333,2628,2924,0,1.796727,1.706763,1.672394,1.673051,1.567954,1.554659,1.546973,1.544565,1.536698,1.518572,0,1.796727,3.534156,5.265655,7.026803,8.704934,10.394924,12.102704,13.834203,15.583491,17.33871,a8c23549-b542-450f-9ee0-6dab1423548a,0.302555689392648,4.39506930327561
8,101031013,Bombala,3990.144,https://linked.data.gov.au/dataset/asgsed3/SA2/101031013,2467,2486,2504,2519,2536,2551,2564,2578,2591,2604,2618,0,19,18,15,17,15,13,14,13,13,14,0,19,37,52,69,84,97,111,124,137,151,0,0.770166,0.724055,0.599042,0.674871,0.591483,0.509604,0.546022,0.504267,0.501737,0.537634,0,0.770166,1.499797,2.107823,2.796919,3.404945,3.931901,4.499392,5.026348,5.553304,6.120794,4634f308-b45d-46a2-82c4-f9e0f47e4ddc,0.403289665011471,4.56417828447938
9,101031014,Cooma,103.6371,https://linked.data.gov.au/dataset/asgsed3/SA2/101031014,6670,6713,6736,6751,6755,6749,6740,6732,6724,6717,6710,0,43,23,15,4,-6,-9,-8,-8,-7,-7,0,43,66,81,85,79,70,62,54,47,40,0,0.644678,0.342619,0.222684,0.05925,-0.088823,-0.133353,-0.118694,-0.118835,-0.104105,-0.104213,0,0.644678,0.989505,1.214393,1.274363,1.184408,1.049475,0.929535,0.809595,0.704648,0.5997,62c4c31e-6e45-4fa7-8e94-4e5699c59609,0.0103915497975322,0.544648729404326
10,101031015,Cooma Surrounds,6251.0158,https://linked.data.gov.au/dataset/asgsed3/SA2/101031015,3505,3530,3553,3577,3600,3620,3640,3662,3686,3710,3733,0,25,23,24,23,20,20,22,24,24,23,0,25,48,72,95,115,135,157,181,205,228,0,0.713267,0.651558,0.675486,0.642997,0.555556,0.552486,0.604396,0.65538,0.651112,0.619946,0,0.713267,1.369472,2.054208,2.710414,3.281027,3.851641,4.479315,5.164051,5.848787,6.504993,4a4264db-2a9e-49c2-91b4-12b1dc6aae82,0.625819941174541,7.16623611491503
11,101031016,Jindabyne - Berridale,3939.7888,https://linked.data.gov.au/dataset/asgsed3/SA2/101031016,8224,8479,8710,8935,9155,9361,9567,9770,9974,10178,10379,0,255,231,225,220,206,206,203,204,204,201,0,255,486,711,931,1137,1343,1546,1750,1954,2155,0,3.100681,2.724378,2.583238,2.462227,2.250137,2.20062,2.121877,2.088025,2.045318,1.974848,0,3.100681,5.909533,8.645428,11.320525,13.825389,16.330253,18.798638,21.279183,23.759728,26.203794,2bf24ea1-e2a8-4fe3-a960-4b7f4ba3e42d,0.396245798835025,4.70611828569955
12,101041017,Batemans Bay,63.7073,https://linked.data.gov.au/dataset/asgsed3/SA2/101041017,8651,8891,9116,9329,9525,9706,9888,10069,10252,10434,10615,0,240,225,213,196,181,182,181,183,182,181,0,240,465,678,874,1055,1237,1418,1601,1783,1964,0,2.774246,2.530649,2.336551,2.100975,1.900262,1.875129,1.830502,1.81746,1.775263,1.734713,0,2.774246,5.375101,7.837244,10.102878,12.195122,14.298925,16.391169,18.506531,20.610334,22.702578,bf4e816b-1ff0-40d3-99c7-64d44e63c2f9,0.00634448406299271,0.72929864575509
13,101041018,Batemans Bay - South,30.5948,https://linked.data.gov.au/dataset/asgsed3/SA2/101041018,8965,9068,9159,9238,9305,9366,9426,9487,9545,9603,9662,0,103,91,79,67,61,60,61,58,58,59,0,103,194,273,340,401,461,522,580,638,697,0,1.148912,1.003529,0.86254,0.725265,0.655562,0.640615,0.647146,0.611363,0.607648,0.614391,0,1.148912,2.163971,3.045176,3.792526,4.47295,5.14222,5.822644,6.469604,7.116564,7.774679,38ae1ff4-6b62-4585-8dd3-e9464d143523,0.00304989896903862,0.56291168213051
14,101041019,Bega - Tathra,183.8984,https://linked.data.gov.au/dataset/asgsed3/SA2/101041019,8870,8940,9007,9071,9135,9195,9256,9321,9384,9446,9508,0,70,67,64,64,60,61,65,63,62,62,0,70,137,201,265,325,386,451,514,576,638,0,0.789177,0.749441,0.710558,0.705545,0.656814,0.663404,0.702247,0.675893,0.660699,0.656362,0,0.789177,1.544532,2.266065,2.987599,3.664036,4.351747,5.084555,5.794814,6.493799,7.192785,7379328a-f3a6-49f2-997b-247a0e610118,0.0185506252478262,0.98668973029322
15,101041020,Bega-Eden Hinterland,4709.8265,https://linked.data.gov.au/dataset/asgsed3/SA2/101041020,9631,9701,9766,9832,9897,9961,10026,10093,10159,10227,10295,0,70,65,66,65,64,65,67,66,68,68,0,70,135,201,266,330,395,462,528,596,664,0,0.72682,0.670034,0.675814,0.661107,0.646661,0.652545,0.668263,0.653919,0.669357,0.664907,0,0.72682,1.401724,2.087011,2.761915,3.426435,4.101339,4.79701,5.482297,6.18835,6.894403,43e7817e-554b-4243-9ab9-5ff50f7d6458,0.476351196663472,7.68360135630277
16,101041021,Broulee - Tomakin,24.2329,https://linked.data.gov.au/dataset/asgsed3/SA2/101041021,3829,3935,4035,4126,4211,4287,4366,4446,4528,4611,4694,0,106,100,91,85,76,79,80,82,83,83,0,106,206,297,382,458,537,617,699,782,865,0,2.768347,2.541296,2.255266,2.060107,1.804797,1.84278,1.832341,1.844354,1.833039,1.800043,0,2.768347,5.379995,7.756594,9.976495,11.961348,14.024549,16.113868,18.255419,20.423087,22.590755,db530486-ee64-4067-9f10-a815b49d83cd,0.00241756378318314,0.404946899686321
17,101041022,Deua - Wadbilliga,2781.9988,https://linked.data.gov.au/dataset/asgsed3/SA2/101041022,41,41,41,41,41,41,41,41,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c23048db-8b66-462c-aa82-4d46e4e2f527,0.278695104220787,6.03813126250252
18,101041023,Eden,94.8138,https://linked.data.gov.au/dataset/asgsed3/SA2/101041023,3416,3423,3426,3428,3426,3423,3419,3414,3407,3400,3392,0,7,3,2,-2,-3,-4,-5,-7,-7,-8,0,7,10,12,10,7,3,-2,-9,-16,-24,0,0.204918,0.087642,0.058377,-0.058343,-0.087566,-0.116857,-0.146242,-0.205038,-0.205459,-0.235294,0,0.204918,0.29274,0.351288,0.29274,0.204918,0.087822,-0.058548,-0.263466,-0.468384,-0.702576,a196ebef-573a-4825-9e4e-82fd7a708978,0.00960207470507157,0.922982335512917
19,101041024,Eurobodalla Hinterland,1460.0118,https://linked.data.gov.au/dataset/asgsed3/SA2/101041024,3565,3624,3680,3731,3782,3828,3874,3921,3967,4012,4059,0,59,56,51,51,46,46,47,46,45,47,0,59,115,166,217,263,309,356,402,447,494,0,1.654979,1.545254,1.38587,1.366926,1.216288,1.201672,1.213216,1.17317,1.134358,1.171486,0,1.654979,3.225806,4.656381,6.086957,7.377279,8.667602,9.985975,11.276297,12.538569,13.856942,aebdfad4-a1da-428a-9132-867a5602f380,0.145529336474283,4.6973343613509
20,101041025,Merimbula - Tura Beach,97.3395,https://linked.data.gov.au/dataset/asgsed3/SA2/101041025,11506,11707,11888,12058,12211,12345,12478,12607,12732,12857,12977,0,201,181,170,153,134,133,129,125,125,120,0,201,382,552,705,839,972,1101,1226,1351,1471,0,1.746915,1.546084,1.430013,1.268867,1.097371,1.077359,1.03382,0.991513,0.981778,0.933344,0,1.746915,3.320007,4.797497,6.127238,7.291848,8.447766,9.568921,10.65531,11.7417,12.784634,86b88aad-f51d-406b-855a-37dec8def718,0.00984114729317298,0.852644586019919
21,101041026,Moruya - Tuross Head,165.4118,https://linked.data.gov.au/dataset/asgsed3/SA2/101041026,8588,8654,8714,8769,8820,8865,8909,8952,8995,9039,9086,0,66,60,55,51,45,44,43,43,44,47,0,66,126,181,232,277,321,364,407,451,498,0,0.768514,0.693321,0.631168,0.581594,0.510204,0.496334,0.482658,0.48034,0.489161,0.519969,0,0.768514,1.467163,2.107592,2.701444,3.225431,3.737774,4.238472,4.739171,5.251514,5.798789,629e6396-7350-41a2-bb32-7be699fa228a,0.0165229132262539,0.868104341034094
22,101041027,Narooma - Bermagui,252.652,https://linked.data.gov.au/dataset/asgsed3/SA2/101041027,9925,10074,10211,10336,10442,10537,10631,10730,10829,10930,11032,0,149,137,125,106,95,94,99,99,101,102,0,149,286,411,517,612,706,805,904,1005,1107,0,1.501259,1.359936,1.22417,1.025542,0.909787,0.892095,0.931239,0.922647,0.932681,0.933211,0,1.501259,2.881612,4.141058,5.209068,6.166247,7.11335,8.110831,9.108312,10.125945,11.153652,947ea7ec-5622-445e-8f5d-072120311431,0.0253532550286764,1.69605739401222
23,101051539,Goulburn,64.7865,https://linked.data.gov.au/dataset/asgsed3/SA2/101051539,24840,25231,25588,25946,26293,26629,26963,27303,27641,27980,28317,0,391,357,358,347,336,334,340,338,339,337,0,391,748,1106,1453,1789,2123,2463,2801,3140,3477,0,1.574074,1.414926,1.399093,1.337393,1.277907,1.254272,1.260987,1.237959,1.226439,1.204432,0,1.574074,3.011272,4.452496,5.849436,7.202093,8.546699,9.915459,11.276167,12.640902,13.997585,7cfe1a45-e61e-47c1-8e38-ca3f5c26e58d,0.00637813382172681,0.441941854665642
24,101051540,Goulburn Surrounds,9035.1222,https://linked.data.gov.au/dataset/asgsed3/SA2/101051540,13946,14174,14388,14595,14792,14976,15164,15350,15538,15726,15916,0,228,214,207,197,184,188,186,188,188,190,0,228,442,649,846,1030,1218,1404,1592,1780,1970,0,1.634877,1.509807,1.438699,1.349777,1.243916,1.255342,1.226589,1.224756,1.209937,1.20819,0,1.634877,3.169368,4.653664,6.066256,7.38563,8.733687,10.067403,11.41546,12.763516,14.125914,c593417b-f566-4269-9093-a1ec96b20544,0.887028054365601,7.97550527973914
25,101061541,Yass,99.7341,https://linked.data.gov.au/dataset/asgsed3/SA2/101061541,6781,6817,6850,6883,6917,6951,6984,7020,7058,7093,7128,0,36,33,33,34,34,33,36,38,35,35,0,36,69,102,136,170,203,239,277,312,347,0,0.530895,0.484084,0.481752,0.493971,0.491543,0.474752,0.515464,0.541311,0.495891,0.493444,0,0.530895,1.017549,1.504203,2.005604,2.507005,2.993659,3.524554,4.084943,4.601091,5.117239,b909769e-91c8-4558-ac12-c09a43252be1,0.00982692075422165,0.554534260115706
26,101061542,Yass Surrounds,5680.5696,https://linked.data.gov.au/dataset/asgsed3/SA2/101061542,12792,12957,13109,13259,13411,13556,13702,13849,13999,14151,14303,0,165,152,150,152,145,146,147,150,152,152,0,165,317,467,619,764,910,1057,1207,1359,1511,0,1.289869,1.173111,1.144252,1.146391,1.081202,1.077014,1.072836,1.083111,1.085792,1.074129,0,1.289869,2.478111,3.650719,4.838962,5.972483,7.113821,8.262977,9.435585,10.623827,11.81207,a5b8d470-4a96-48d0-8e1e-9a48c7d1d3a0,0.560077458707383,5.98283387148431
27,101061543,Young,505.753,https://linked.data.gov.au/dataset/asgsed3/SA2/101061543,10984,11040,11091,11143,11197,11250,11302,11355,11405,11457,11508,0,56,51,52,54,53,52,53,50,52,51,0,56,107,159,213,266,318,371,421,473,524,0,0.509832,0.461957,0.468849,0.484609,0.473341,0.462222,0.468944,0.440335,0.45594,0.445143,0,0.509832,0.974144,1.44756,1.939184,2.421704,2.89512,3.37764,3.832848,4.306264,4.770575,891802ca-925b-4707-b73a-163d8f9a84a7,0.0495382944336598,1.47031225431628
28,101061544,Young Surrounds,5849.8086,https://linked.data.gov.au/dataset/asgsed3/SA2/101061544,7682,7702,7721,7742,7760,7781,7802,7825,7850,7875,7899,0,20,19,21,18,21,21,23,25,25,24,0,20,39,60,78,99,120,143,168,193,217,0,0.260349,0.246689,0.271985,0.232498,0.270619,0.269888,0.294796,0.319489,0.318471,0.304762,0,0.260349,0.50768,0.781047,1.015361,1.288727,1.562093,1.861494,2.18693,2.512367,2.824785,d70b4c27-82fb-45c1-8396-14a9a8f4501d,0.572912006846764,7.89111267934344
29,102011028,Avoca Beach - Copacabana,6.4376,https://linked.data.gov.au/dataset/asgsed3/SA2/102011028,7481,7517,7536,7550,7563,7576,7580,7580,7575,7565,7552,0,36,19,14,13,13,4,0,-5,-10,-13,0,36,55,69,82,95,99,99,94,84,71,0,0.481219,0.25276,0.185775,0.172185,0.171889,0.052798,0,-0.065963,-0.132013,-0.171844,0,0.481219,0.735196,0.922337,1.09611,1.269884,1.323352,1.323352,1.256517,1.122845,0.949071,cf3e174e-775c-429e-a675-afbc50b8c783,0.000624420041731355,0.183310208506552
30,102011029,Box Head - MacMasters Beach,32.0802,https://linked.data.gov.au/dataset/asgsed3/SA2/102011029,11054,11121,11169,11206,11237,11261,11275,11278,11272,11259,11239,0,67,48,37,31,24,14,3,-6,-13,-20,0,67,115,152,183,207,221,224,218,205,185,0,0.606115,0.431616,0.331274,0.276638,0.21358,0.124323,0.026608,-0.053201,-0.11533,-0.177636,0,0.606115,1.040347,1.375068,1.655509,1.872625,1.999276,2.026416,1.972137,1.854532,1.673602,0970c7e0-6f05-4fcb-bba1-0127430d4abd,0.00311299628083361,0.53201796723837
31,102011030,Calga - Kulnura,767.9512,https://linked.data.gov.au/dataset/asgsed3/SA2/102011030,4700,4735,4762,4784,4806,4825,4841,4854,4865,4873,4878,0,35,27,22,22,19,16,13,11,8,5,0,35,62,84,106,125,141,154,165,173,178,0,0.744681,0.570222,0.461991,0.459866,0.395339,0.331606,0.26854,0.226617,0.16444,0.102606,0,0.744681,1.319149,1.787234,2.255319,2.659574,3,3.276596,3.510638,3.680851,3.787234,7bddbc67-89c9-4c33-88df-a947baa4e2de,0.0743776316221556,2.72645341391767
32,102011031,Erina - Green Point,33.7934,https://linked.data.gov.au/dataset/asgsed3/SA2/102011031,14654,14778,14874,14959,15019,15080,15133,15175,15207,15230,15237,0,124,96,85,60,61,53,42,32,23,7,0,124,220,305,365,426,479,521,553,576,583,0,0.846185,0.649614,0.571467,0.401096,0.406152,0.351459,0.277539,0.210873,0.151246,0.045962,0,0.846185,1.501297,2.081343,2.490787,2.907056,3.268732,3.555343,3.773714,3.930667,3.978436,ff4e9c57-efa1-4182-92d8-3a539cc87f43,0.00327606997052499,0.387059849890635
33,102011032,Gosford - Springfield,16.9123,https://linked.data.gov.au/dataset/asgsed3/SA2/102011032,21701,22401,23046,23679,24299,24913,25511,26090,26651,27195,27718,0,700,645,633,620,614,598,579,561,544,523,0,700,1345,1978,2598,3212,3810,4389,4950,5494,6017,0,3.225658,2.879336,2.746681,2.618354,2.526853,2.400353,2.269609,2.150249,2.041199,1.923148,0,3.225658,6.197871,9.114787,11.971799,14.801161,17.556795,20.224874,22.810009,25.316806,27.726833,a259ebca-3a23-4d65-aeb4-d566e915c8bc,0.0016395282641497,0.286978143471681
34,102011033,Kariong,8.3063,https://linked.data.gov.au/dataset/asgsed3/SA2/102011033,6408,6413,6412,6410,6414,6417,6413,6411,6407,6399,6387,0,5,-1,-2,4,3,-4,-2,-4,-8,-12,0,5,4,2,6,9,5,3,-1,-9,-21,0,0.078027,-0.015593,-0.031192,0.062402,0.046773,-0.062334,-0.031187,-0.062393,-0.124863,-0.187529,0,0.078027,0.062422,0.031211,0.093633,0.140449,0.078027,0.046816,-0.015605,-0.140449,-0.327715,656f32a7-cb2d-40d8-889b-6dac812f7bf5,0.000805397771273419,0.15846099734786
35,102011034,Kincumber - Picketts Valley,11.7169,https://linked.data.gov.au/dataset/asgsed3/SA2/102011034,7537,7576,7603,7624,7632,7635,7637,7635,7627,7615,7596,0,39,27,21,8,3,2,-2,-8,-12,-19,0,39,66,87,95,98,100,98,90,78,59,0,0.517447,0.356389,0.276207,0.104932,0.039308,0.026195,-0.026188,-0.104781,-0.157336,-0.249508,0,0.517447,0.87568,1.154305,1.260448,1.300252,1.326788,1.300252,1.194109,1.034895,0.782805,2ec257c2-93d3-434e-b877-cd3db40bfbfb,0.00113648613614714,0.208524799204281
36,102011035,Narara,7.7021,https://linked.data.gov.au/dataset/asgsed3/SA2/102011035,7270,7416,7552,7681,7805,7927,8042,8154,8264,8366,8469,0,146,136,129,124,122,115,112,110,102,103,0,146,282,411,535,657,772,884,994,1096,1199,0,2.008253,1.833873,1.708157,1.614373,1.563101,1.450738,1.392688,1.349031,1.234269,1.231174,0,2.008253,3.878955,5.65337,7.35901,9.037139,10.618982,12.15956,13.672627,15.075653,16.492435,3493fffc-d219-49ab-a6d6-898de2213203,0.00074644934375101,0.153997483993803
37,102011036,Niagara Park - Lisarow,16.7316,https://linked.data.gov.au/dataset/asgsed3/SA2/102011036,8194,8215,8223,8228,8231,8231,8225,8213,8197,8177,8154,0,21,8,5,3,0,-6,-12,-16,-20,-23,0,21,29,34,37,37,31,19,3,-17,-40,0,0.256285,0.097383,0.060805,0.036461,0,-0.072895,-0.145897,-0.194813,-0.243992,-0.281277,0,0.256285,0.353918,0.414938,0.45155,0.45155,0.378326,0.231877,0.036612,-0.207469,-0.488162,61c072fa-1e54-45ab-b9cf-e7f0ee70e3de,0.00162124728603885,0.236881304817329
38,102011037,Point Clare - Koolewong,6.7794,https://linked.data.gov.au/dataset/asgsed3/SA2/102011037,6613,6663,6701,6732,6756,6774,6788,6796,6800,6800,6796,0,50,38,31,24,18,14,8,4,0,-4,0,50,88,119,143,161,175,183,187,187,183,0,0.756086,0.570314,0.462618,0.356506,0.26643,0.206673,0.117855,0.058858,0,-0.058824,0,0.756086,1.330712,1.799486,2.162407,2.434599,2.646303,2.767277,2.827763,2.827763,2.767277,7fa1b877-2939-4001-b648-05598be6a2c6,0.000657422327549284,0.174805055897167
39,102011038,Saratoga - Davistown,4.7683,https://linked.data.gov.au/dataset/asgsed3/SA2/102011038,7207,7254,7290,7319,7343,7363,7377,7386,7389,7389,7381,0,47,36,29,24,20,14,9,3,0,-8,0,47,83,112,136,156,170,179,182,182,174,0,0.652144,0.496278,0.397805,0.327914,0.272368,0.19014,0.122001,0.040617,0,-0.108269,0,0.652144,1.151658,1.554045,1.887054,2.164562,2.358818,2.483696,2.525323,2.525323,2.414319,287eb5fd-68f6-4984-a667-fed9b3dbb862,0.000462547008282854,0.134030064342343
40,102011039,Terrigal - North Avoca,10.4791,https://linked.data.gov.au/dataset/asgsed3/SA2/102011039,14904,15121,15291,15456,15613,15764,15904,16032,16150,16256,16348,0,217,170,165,157,151,140,128,118,106,92,0,217,387,552,709,860,1000,1128,1246,1352,1444,0,1.455985,1.124264,1.079066,1.015787,0.967143,0.888099,0.804829,0.736028,0.656347,0.565945,0,1.455985,2.596618,3.703704,4.757112,5.770263,6.709608,7.568438,8.360172,9.07139,9.688674,70024dd8-637a-4a71-bc09-65c5cfbcf928,0.00101610229103244,0.211941201008874
41,102011040,Umina - Booker Bay - Patonga,25.2285,https://linked.data.gov.au/dataset/asgsed3/SA2/102011040,24846,25091,25285,25446,25573,25679,25765,25836,25887,25919,25931,0,245,194,161,127,106,86,71,51,32,12,0,245,439,600,727,833,919,990,1041,1073,1085,0,0.986074,0.773186,0.636741,0.499096,0.4145,0.334904,0.275568,0.197399,0.123614,0.046298,0,0.986074,1.766884,2.414876,2.926024,3.352652,3.698785,3.984545,4.189809,4.318603,4.3669,a5064173-b177-43b4-8aaf-07fe69d2ba53,0.00244869623429622,0.314786572172327
42,102011041,Wamberal - Forresters Beach,13.7221,https://linked.data.gov.au/dataset/asgsed3/SA2/102011041,10675,10748,10798,10843,10882,10914,10938,10955,10965,10969,10963,0,73,50,45,39,32,24,17,10,4,-6,0,73,123,168,207,239,263,280,290,294,288,0,0.683841,0.465203,0.416744,0.359679,0.294064,0.219901,0.155421,0.091283,0.03648,-0.0547,0,0.683841,1.152225,1.57377,1.93911,2.238876,2.4637,2.622951,2.716628,2.754098,2.697892,8a8c4033-7c50-4673-904f-493498fee9ee,0.00133013981712793,0.271805528568925
43,102011042,Woy Woy - Blackwall,17.3963,https://linked.data.gov.au/dataset/asgsed3/SA2/102011042,14283,14376,14439,14487,14519,14542,14555,14559,14550,14531,14503,0,93,63,48,32,23,13,4,-9,-19,-28,0,93,156,204,236,259,272,276,267,248,220,0,0.651124,0.43823,0.332433,0.220888,0.158413,0.089396,0.027482,-0.061817,-0.130584,-0.192691,0,0.651124,1.092208,1.428271,1.652314,1.813345,1.904362,1.932367,1.869355,1.73633,1.540293,0de63f45-fca4-4a51-86f9-17f17da5e0fb,0.00168770220261649,0.401295683329204
44,102011043,Wyoming,8.381,https://linked.data.gov.au/dataset/asgsed3/SA2/102011043,11344,11373,11382,11385,11373,11362,11340,11316,11284,11244,11194,0,29,9,3,-12,-11,-22,-24,-32,-40,-50,0,29,38,41,29,18,-4,-28,-60,-100,-150,0,0.255642,0.079135,0.026357,-0.105402,-0.09672,-0.193628,-0.21164,-0.282785,-0.354484,-0.444682,0,0.255642,0.334979,0.361425,0.255642,0.158674,-0.035261,-0.246827,-0.528914,-0.881523,-1.322285,68bb49a6-6e42-4276-b331-0ed4b61f0e33,0.000812364815374167,0.142507806094904
45,102021044,Bateau Bay - Killarney Vale,10.8595,https://linked.data.gov.au/dataset/asgsed3/SA2/102021044,22905,23024,23109,23180,23219,23249,23267,23274,23268,23247,23208,0,119,85,71,39,30,18,7,-6,-21,-39,0,119,204,275,314,344,362,369,363,342,303,0,0.519537,0.36918,0.30724,0.168248,0.129205,0.077423,0.030086,-0.02578,-0.090253,-0.167764,0,0.519537,0.890635,1.200611,1.37088,1.501855,1.580441,1.611002,1.584807,1.493124,1.322855,f3b2b39a-af65-450f-8ded-8702ac30eb0c,0.00105220544583062,0.18004372208936
46,102021045,Blue Haven - San Remo,20.9795,https://linked.data.gov.au/dataset/asgsed3/SA2/102021045,11468,11562,11644,11721,11795,11865,11927,11982,12035,12082,12121,0,94,82,77,74,70,62,55,53,47,39,0,94,176,253,327,397,459,514,567,614,653,0,0.819672,0.70922,0.661285,0.631345,0.593472,0.522545,0.461139,0.44233,0.390528,0.322794,0,0.819672,1.534705,2.206139,2.851413,3.461807,4.002442,4.482037,4.944193,5.354029,5.694105,104109ff-6936-405f-9c32-8b5faac42393,0.00202884829286631,0.270567598706536
47,102021046,Budgewoi - Buff Point - Halekulani,9.3297,https://linked.data.gov.au/dataset/asgsed3/SA2/102021046,9877,10034,10179,10323,10454,10584,10704,10820,10928,11032,11128,0,157,145,144,131,130,120,116,108,104,96,0,157,302,446,577,707,827,943,1051,1155,1251,0,1.589551,1.445087,1.414677,1.269011,1.243543,1.133787,1.083707,0.998152,0.951684,0.870196,0,1.589551,3.057609,4.515541,5.841855,7.158044,8.372988,9.547433,10.640883,11.693834,12.665789,f469eb90-4594-4bf7-94aa-cca16429e4b9,0.000902441650396213,0.323350485631624
