"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2016","Audi","","A4 Allroad","2.0 TDI quattro S-Tronic 18 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","Wagon","4","Diesel","138","155","130","5.2","5.8","4.9","","","Euro 6","74","2375","Yes","0","150","1.93","1165"
"2020","Audi","","Q5","40 TDI quattro S-Tronic 18 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","139","160","127","5.3","6.1","4.8","","","Euro 6","73","3150","Yes","0","153","1.95","1187"
"2019","BMW","G11","7 Series","730d","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","139","169","150","5.7","6.5","5.3","","","Euro 5","83","3000","Yes","0","164","1.95","1277"
"2018","Mazda","","6","","2.2","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","139","171","121","5.3","6.6","4.6","","","Euro 5","73","3375","Yes","0","153","1.95","1187"
"2018","Mazda","","6","","2.2","4cyl","Turbo","6","Auto","4","5","Sedan","2","Diesel","139","171","121","5.3","6.6","4.6","","","Euro 5","73","3375","Yes","0","153","1.95","1187"
"2017","Audi","","Q5","2.0 TDI quattro S-Tronic 19 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","140","150","134","5.4","5.7","5.1","","","Euro 6","72","2375","Yes","0","156","1.96","1210"
"2017","Renault","PhII","Kangoo","L2","1.5","4cyl","Turbo","6","Auto","3","2","Van","2","Diesel","140","153","133","5.4","5.9","5.1","","","Euro 6","78","3000","Yes","0","156","1.96","1210"
"2016","Audi","","A4 Allroad","2.0 TDI quattro S-Tronic 19 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","Wagon","4","Diesel","140","157","132","5.3","5.9","5","","","Euro 6","74","2375","Yes","0","153","1.96","1187"
"2015","Ford","MD","Mondeo","Ambiente","2","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","140","158","129","5.3","6","4.9","","","Euro 5","71","2625","Yes","0","153","1.96","1187"
"2015","Ford","MD","Mondeo","Trend","2","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","140","158","129","5.3","6","4.9","","","Euro 5","71","2625","Yes","0","153","1.96","1187"
"2015","Ford","MD","Mondeo","Titanium","2","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","140","158","129","5.3","6","4.9","","","Euro 5","71","2625","Yes","0","153","1.96","1187"
"2021","Audi","","Q5 Sportback","40 TDI quattro S-Tronic 18 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","140","160","127","5.3","6.1","4.8","","","Euro 6","73","3150","Yes","0","153","1.96","1187"
"2022","Land Rover","L560","Range Rover Velar","Velar 204DTY 150kW","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","141","157","132","5.4","6","5","","","Euro 6","77","3000","Yes","0","156","1.97","1210"
"2021","Audi","","Q5 Sportback","40 TDI quattro S-Tronic 19 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","142","160","131","5.4","6.1","5","","","Euro 6","73","3150","Yes","0","156","1.99","1210"
"2021","Audi","","Q5 Sportback","40 TDI quattro S-Tronic 20 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","142","160","131","5.4","6.1","5","","","Euro 6","73","3150","Yes","0","156","1.99","1210"
"2023","Mazda","","CX-90","Diesel","3.3","6cyl","Turbo","8","Auto","4","7","SUV","4","Diesel","143","149","140","5.4","5.7","5.3","","","Euro 5","73","2813","Yes","0","156","2","1210"
