"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2022","Audi","","A1 Sportback","35 TFSI S-tronic 17 Inch Wheel","1.4","4cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 98RON","121","152","102","5.3","6.7","4.5","","","Euro 6","71","3750","Yes","0","129","1.69","1395"
"2022","Audi","","A1 Sportback","35 TFSI S-tronic 18 Inch Wheel","1.4","4cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 98RON","123","155","105","5.4","6.8","4.6","","","Euro 6","71","3750","Yes","0","132","1.72","1421"
"2019","BMW","F40","1 Series","118i","1.5","3cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 98RON","135","160","121","5.9","7","5.3","","","Euro 6","82","3450","No","2025","144","1.89","1553"
"2018","MINI","F56","John Cooper Works","Hardtop","2","4cyl","Turbo","8","Auto","2","4","Hatch","2","Petrol 98RON","137","163","122","6","7.1","5.3","","","Euro 6","90","3750","No","2025","147","1.92","1579"
"2020","MINI","F60","Cooper ","Countryman","1.5","3cyl","Turbo","7","Auto","4","5","Wagon","2","Petrol 98RON","143","172","126","6.3","7.5","5.5","","","Euro 6","79","3375","No","2025","154","2","1658"
"2019","BMW","F40","1 Series","118i","1.5","3cyl","Turbo","6","Manual","4","5","Hatch","2","Petrol 98RON","143","180","121","6.3","7.9","5.3","","","Euro 6","82","3450","No","2025","154","2","1658"
"2021","BMW","G42","2 Series","220i","2","4cyl","Turbo","8","Auto","2","4","Coupe","2","Petrol 98RON","145","172","129","6.3","7.5","5.6","","","Euro 6","86","3750","Yes","0","154","2.03","1658"
"2024","BMW","F70","1 Series","118","1.5","3cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 98RON","145","187","121","6.4","8.2","5.3","","","Euro 6","84","3750","Yes","0","156","2.03","1684"
"2022","BMW","G20","3 Series","320i","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 98RON","147","173","132","6.5","7.6","5.8","","","Euro 6","81","3750","Yes","0","159","2.06","1711"
"2022","BMW","G20","3 Series","320i","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 98RON","147","173","132","6.5","7.6","5.8","","","Euro 6","81","3750","Yes","0","159","2.06","1711"
"2022","BMW","G42","2 Series","230i","2","4cyl","Turbo","8","Auto","2","4","Coupe","2","Petrol 98RON","147","176","130","6.4","7.7","5.7","","","Euro 6","86","3750","Yes","0","156","2.06","1684"
"2019","MINI","F60","Cooper ","Countryman","1.5","3cyl","Turbo","6","Manual","4","5","Wagon","2","Petrol 98RON","147","177","129","6.4","7.8","5.6","","","Euro 6","80","3375","No","2025","156","2.06","1684"
"2019","BMW","G29","Z4","sDrive20i","2","4cyl","Turbo","8","Auto","2","2","Convertible","2","Petrol 98RON","148","177","131","6.5","7.8","5.7","","","Euro 6","89","3375","Yes","0","159","2.07","1711"
"2022","BMW","U11","X1","sDrive18i","1.5","3cyl","Turbo","7","Auto","4","5","Wagon","2","Petrol 98RON","148","181","129","6.5","8","5.7","","","Euro 6","75","3750","Yes","0","159","2.07","1711"
"2021","BMW","G26","4 Series","420i Gran Coupe","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 98RON","149","179","132","6.5","7.9","5.8","","","Euro 6","88","3750","Yes","0","159","2.09","1711"
"2019","BMW","G29","Z4","sDrive30i","2","4cyl","Turbo","8","Auto","2","2","Convertible","2","Petrol 98RON","149","181","131","6.5","7.9","5.7","","","Euro 6","88","3750","Yes","0","159","2.09","1711"
"2022","BMW","G20","3 Series","330i","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 98RON","149","181","131","6.5","8","5.7","","","Euro 6","90","3750","Yes","0","159","2.09","1711"
"2022","BMW","G20","3 Series","330i","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 98RON","149","181","131","6.5","8","5.7","","","Euro 6","90","3750","Yes","0","159","2.09","1711"
"2021","BMW","G26","4 Series","430i Gran Coupe","2","4cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 98RON","151","184","132","6.6","8.1","5.8","","","Euro 6","88","3750","Yes","0","161","2.11","1737"
"2020","MINI","F60","Cooper S","Countryman","2","4cyl","Turbo","7","Auto","4","5","Wagon","2","Petrol 98RON","153","184","135","6.7","8.1","5.9","","","Euro 6","77","3750","No","2025","164","2.14","1763"
"2022","BMW","G21","3 Series","330i touring","2","4cyl","Turbo","8","Auto","4","5","Wagon","2","Petrol 98RON","154","186","136","6.8","8.2","6","","","Euro 6","90","3750","Yes","0","166","2.16","1790"
"2022","BMW","G21","3 Series","330i touring","2","4cyl","Turbo","8","Auto","4","5","Wagon","2","Petrol 98RON","154","186","136","6.8","8.2","6","","","Euro 6","90","3750","Yes","0","166","2.16","1790"
"2023","Cupra","MY23","Leon","VZX 221TSI","2","4cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 98RON","154","194","132","6.8","8.5","5.8","","","Euro 6","91","3750","Yes","0","166","2.16","1790"
"2020","BMW","F40","1 Series","128ti","2","4cyl","Turbo","8","Auto","4","5","Hatch","2","Petrol 98RON","156","193","135","6.8","8.4","5.9","","","Euro 6","80","3750","No","2025","166","2.18","1790"
"2015","Audi","","TTS Coupe","2.0 TFSI S-Tronic","2.0","4cyl","Turbo","6","Auto","2","4","Coupe","4","Petrol 98RON","157","191","137","6.8","5.3","5.9","","","Euro 6","93.00","3750","Yes","0","166","2.2","1790"
"2018","MINI","F56","John Cooper Works","Hardtop","2","4cyl","Turbo","6","Manual","2","4","Hatch","2","Petrol 98RON","157","197","134","6.9","8.6","5.9","","","Euro 6","88","3750","No","2025","169","2.2","1816"
"2015","Audi","","TTS Roadster","2.0 TFSI S-Tronic","2.0","4cyl","Turbo","6","Auto","2","2","Convertible","4","Petrol 98RON","159","193","140","6.9","8.4","6","","","Euro 6","86.00","3800","Yes","0","169","2.23","1816"
"2019","Audi","","TTS Coupe","2.0 TFSI quattro S tronic","2","4cyl","Turbo","6","Auto","2","4","Coupe","4","Petrol 98RON","162","197","142","7","8.5","6.1","","","Euro 6","89","3750","Yes","0","171","2.27","1842"
"2017","MINI","F60","Cooper S","Countryman","2","4cyl","Turbo","6","Manual","4","5","Wagon","2","Petrol 98RON","163","203","139","7.1","8.9","6.1","","","Euro 6","80","3750","No","2025","173","2.28","1869"
"2017","MINI","F54","Clubman","John Cooper Works ALL4","2","4cyl","Turbo","8","Auto","4","5","Hatch","4","Petrol 98RON","164","203","142","7.2","8.9","6.2","","","Euro 6","81","3750","No","2025","176","2.3","1895"
"2022","BMW","U11","X1","xDrive20i","2","4cyl","Turbo","7","Auto","4","5","Wagon","4","Petrol 98RON","164","211","137","7.2","9.3","6","","","Euro 6","77","3750","Yes","0","176","2.3","1895"
"2019","Subaru","","BRZ","BRZ Coupe","2","4cyl","Normal","6","Auto","2","4","Coupe","2","Petrol 98RON","164","223","131","7.1","9.6","5.7","","","Euro 5","79","3750","No","2025","173","2.3","1869"
"2019","Subaru","","BRZ","BRZ-Premium","2","4cyl","Normal","6","Auto","2","4","Coupe","2","Petrol 98RON","164","223","131","7.1","9.6","5.7","","","Euro 5","79","3750","No","2025","173","2.3","1869"
"2016","Toyota","","86","","2","4cyl","Normal","6","Auto","2","4","Coupe","2","Petrol 98RON","164","223","131","7.1","9.6","5.7","","","Euro 5","79","3750","Yes","0","173","2.3","1869"
"2016","Toyota","","86","","2","4cyl","Normal","6","Auto","2","4","Coupe","2","Petrol 98RON","164","223","131","7.1","9.6","5.7","","","Euro 5","79","3750","Yes","0","173","2.3","1869"
"2019","BMW","G29","Z4","sDrive20i","2","4cyl","Turbo","6","Manual","2","2","Convertible","2","Petrol 98RON","165","212","138","7.2","9.3","6","","","Euro 6","90","3375","Yes","0","176","2.31","1895"
"2021","BMW","X3 Series - G01","X3","sDrive20i","2","4cyl","Turbo","8","Auto","4","5","Wagon","2","Petrol 98RON","166","189","153","7.3","8.3","6.7","","","Euro 6","81","3750","Yes","0","178","2.32","1921"
"2015","Audi","","TTS Roadster","2.0 TFSI S-Tronic 20 Inch Wheel","2.0","4cyl","Turbo","6","Auto","2","2","Convertible","4","Petrol 98RON","166","199","147","7.1","8.6","6.3","","","Euro 6","86.00","3800","Yes","0","173","2.32","1869"
"2019","Mercedes-Benz","177","A Class","A35 AMG 4MATIC","2","4cyl","Turbo","7","Auto","4","5","Sedan","4","Petrol 98RON","168","209","143","7.4","9.3","6.3","","","Euro 6","77","3750","Yes","0","181","2.35","1948"
"2018","BMW","F39","X2","M35i","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","168","209","144","7.4","9.2","6.3","","","Euro 6","98","3750","Yes","0","181","2.35","1948"
"2019","BMW","G30","5 Series","540i","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 98RON","168","213","142","7.3","9.3","6.2","","","Euro 6","84","3750","Yes","0","178","2.35","1921"
"2019","BMW","G02","X4","xDrive30i","3","6cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","169","196","154","7.4","8.6","6.7","","","Euro 6","81","3750","Yes","0","181","2.37","1948"
"2019","Mercedes-Benz","118","CLA Class","CLA35 AMG 4MATIC","2","4cyl","Turbo","7","Auto","4","5","Coupe","4","Petrol 98RON","169","210","144","7.5","9.3","6.3","","","Euro 6","77","3750","Yes","0","183","2.37","1974"
"2019","BMW","G29","Z4","M40i","3","6cyl","Turbo","8","Auto","2","2","Convertible","2","Petrol 98RON","169","218","141","7.4","9.5","6.2","","","Euro 6","91","3750","Yes","0","181","2.37","1948"
"2019","BMW","F40","1 Series","M135i xDrive","2","4cyl","Turbo","8","Auto","4","5","Hatch","4","Petrol 98RON","171","213","147","7.5","9.3","6.4","","","Euro 6","88","3750","No","2025","183","2.39","1974"
"2023","Skoda","MY23","Superb","Scout 200TSI 4x4","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 98RON","171","224","141","7.5","9.8","6.2","","","Euro 6","75","3750","No","2025","183","2.39","1974"
"2019","Mercedes-Benz","177","A Class","A35 AMG 4MATIC Hatch","2","4cyl","Turbo","7","Auto","4","5","Hatch","4","Petrol 98RON","172","210","150","7.6","9.3","6.6","","","Euro 6","77","3750","Yes","0","186","2.41","2000"
"2019","BMW","F44","2 Series","M235i xDrive","2","4cyl","Turbo","8","Auto","4","5","Sedan","4","Petrol 98RON","173","212","150","7.6","9.3","6.6","","","Euro 6","88","3750","Yes","0","186","2.42","2000"
"2018","Lotus","Type 111","Elise Sport 220","1111Ab","1.8","4cyl","Supercharged","6","Manual","2","2","Convertible","2","Petrol 98RON","173","228","141","7.6","10","6.2","","","Euro 6","90","3750","Yes","0","186","2.42","2000"
"2020","MINI","F60","John Cooper Works ALL4","Countryman","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Petrol 98RON","174","211","153","7.6","9.2","6.7","","","Euro 6","90","3750","No","2025","186","2.44","2000"
"2021","BMW","X4 Series - G02","X4","xDrive20i","2","4cyl","Turbo","8","Auto","4","5","Sedan","4","Petrol 98RON","175","200","161","7.7","8.8","7","","","Euro 6","81","3750","Yes","0","188","2.45","2027"
"2023","Cupra","MY23","Formentor","VZX 228TSI","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 98RON","175","219","150","7.7","9.6","6.5","","","Euro 6","81","3750","Yes","0","188","2.45","2027"
"2023","Cupra","MY23","Formentor","VZX RE 228TSI","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 98RON","175","219","150","7.7","9.6","6.5","","","Euro 6","81","3750","Yes","0","188","2.45","2027"
"2023","Cupra","MY23","Formentor","VZX ME 228TSI","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 98RON","175","219","150","7.7","9.6","6.5","","","Euro 6","81","3750","Yes","0","188","2.45","2027"
"2025","Skoda","MY25","Superb","2.0 SPORT 195KW","2","4cyl","Turbo","6","Auto","4","5","Sedan","4","Petrol 98RON","175","226","145","7.7","9.9","6.4","","","Euro 6","73","3750","Yes","0","188","2.45","2027"
"2019","BMW","G15","8 Series","840i","3","6cyl","Turbo","8","Auto","2","4","Coupe","2","Petrol 98RON","176","223","149","7.7","9.8","6.5","","","Euro 6","83","3750","Yes","0","188","2.46","2027"
"2023","Volkswagen","MY24","Golf","R 235TSI","2","4cyl","Turbo","7","Auto","4","5","Hatch","4","Petrol 98RON","177","146","230","7.8","10.1","6.4","","","Euro 6","88","3750","Yes","0","191","2.48","2053"
"2023","Cupra","MY23","Ateca","VZx 221kW","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Petrol 98RON","177","225","150","7.8","9.9","6.6","","","Euro 6","84","3750","Yes","0","191","2.48","2053"
"2025","Skoda","MY25","Superb","2.0 SPORT 195KW","2","4cyl","Turbo","6","Auto","4","5","Wagon","4","Petrol 98RON","177","227","148","7.8","10","6.5","","","Euro 6","73","3750","Yes","0","191","2.48","2053"
"2020","BMW","G20","3 Series","340i xDrive","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Petrol 98RON","177","228","147","7.7","10","6.4","","","Euro 6","91","3750","Yes","0","188","2.48","2027"
"2024","BMW","F70","1 Series","M135 xDrive","2","4cyl","Turbo","7","Auto","4","5","Hatch","4","Petrol 98RON","177","230","146","7.8","10.1","6.4","","","Euro 6","75","3750","Yes","0","191","2.48","2053"
"2017","MINI","F54","Clubman","John Cooper Works ALL4","2","4cyl","Turbo","6","Manual","4","5","Hatch","4","Petrol 98RON","178","227","149","7.8","9.9","6.5","","","Euro 6","81","3750","No","2025","191","2.49","2053"
"2020","BMW","G22","4 Series","M440i xDrive","3","6cyl","Turbo","8","Auto","2","4","Coupe","4","Petrol 98RON","178","231","147","7.8","10.1","6.4","","","Euro 6","92","3750","Yes","0","191","2.49","2053"
"2022","BMW","G70","7 Series","740i","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Petrol 98RON","179","223","154","7.9","9.9","6.8","","","Euro 6","77","3750","Yes","0","193","2.51","2079"
"2022","BMW","G15","8 Series","840i Coupe","3","6cyl","Turbo","8","Auto","2","4","Coupe","2","Petrol 98RON","179","230","150","7.8","10.1","6.5","","","Euro 6","83","3750","Yes","0","191","2.51","2053"
