InfrastructureID,RatePerHour,MaxTime,Latitude,Longitude,TAVG,PRCP,TMAX,TMIN,OBJECTID,OBJECTID,Type,STYLE,MeterNumber,MapSymbol,Description,LifecycleStatus,Condition,HoursInEffect,Length_m,Width_m,AccessAisle,AccessAisleWidth_m,LoadingSide,DistanceToNearestLetdown_m,CrossSlope_percent,MeetsSDC16,NewSignageInstalled,CurbPainted,Location,CivicAddress,Comments,Owner,OwnerNotes,Custodian,CustodianNotes,geometry,geometry,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP_ATTRIBUTES,TAVG_ATTRIBUTES,TMAX_ATTRIBUTES,TMIN_ATTRIBUTES,OBJECTID,OBJECTID,Label,Direction,SHAPE_Length,Year,PDF,geometry,geometry
PSP002213,Regular parking fees apply.,,48.425113835878264,-123.36895447268293,21.8,0.0,29.3,16.6,1295,11,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,"Ver Network AAA-311 Centennial Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36523880035865 48.42928492068114),"LINESTRING (-123.34295621681342 48.42283754578113, -123.34292517066558 48.4227686042416)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,11/01/2022,",,a","H,,S",",,a",",,a",1295,11,890(90),both,8.000026644708711,1990,,POINT (-123.36523880035865 48.42928492068114),"LINESTRING (-123.34295621681342 48.42283754578113, -123.34292517066558 48.4227686042416)"
PSP002224,Free,,48.44643611837465,-123.33314822118219,22.9,0.0,30.5,14.8,1347,12,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall Rooftop (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33503134187147 48.44686831337391),"LINESTRING (-123.3394275193718 48.429010612584996, -123.33942245841517 48.42908250530235)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,12/01/2022,",,a","H,,S",",,a",",,a",1347,12,840(91),both,8.000002892313082,1991,,POINT (-123.33503134187147 48.44686831337391),"LINESTRING (-123.3394275193718 48.429010612584996, -123.33942245841517 48.42908250530235)"
PSP002215,Regular parking fees apply.,,48.42346023688162,-123.36337203128816,25.2,0.0,35.2,15.3,1352,13,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,"Ver Network AAA-282 Johnson Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36311291185856 48.42718754138419),"LINESTRING (-123.33419730109173 48.43983501428901, -123.33408916398825 48.43983332294798)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,13/01/2022,",,a","H,,S",",,a",",,a",1352,13,670(91),both,8.00000587596322,1991,,POINT (-123.36311291185856 48.42718754138419),"LINESTRING (-123.33419730109173 48.43983501428901, -123.33408916398825 48.43983332294798)"
PSP000628,$3.00,40 MIN,48.42646089899031,-123.37228185080406,24.8,0.4,33.4,17.6,1366,14,metered,ELECTRIC VEHICLE,4002.0,ELECTRIC VEHICLE,"$3.00/HR 40 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36965113732748 48.42798782134413),"LINESTRING (-123.33879618183207 48.4370632665484, -123.33879477425955 48.43713523204823)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,14/01/2022,",,a","H,,S",",,a",",,a",1366,14,430(91),both,8.00001635393069,1991,,POINT (-123.36965113732748 48.42798782134413),"LINESTRING (-123.33879618183207 48.4370632665484, -123.33879477425955 48.43713523204823)"
PSP002230,Free,,48.44413130212414,-123.33165442456573,19.5,0.2,25.3,17.6,1472,15,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33485679963307 48.44747080705489),"LINESTRING (-123.34003505141048 48.437111744748194, -123.34003364558681 48.4371837102585)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,15/01/2022,",,a","H,,S",",,a",",,a",1472,15,900(91),both,8.000016355793052,1991,,POINT (-123.33485679963307 48.44747080705489),"LINESTRING (-123.34003505141048 48.437111744748194, -123.34003364558681 48.4371837102585)"
PSP002218,$1.00,,48.4279039557365,-123.365672148639,24.2,0.0,31.5,15.7,1512,16,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,"Ver Network AAA-275 Broughton Street Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36421862669972 48.42352067382447),"LINESTRING (-123.33697501899762 48.43904477697206, -123.33697360881257 48.43911674243084)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,16/01/2022,",,a","H,,S",",,a",",,a",1512,16,409(91),both,8.000016355776813,1991,,POINT (-123.36421862669972 48.42352067382447),"LINESTRING (-123.33697501899762 48.43904477697206, -123.33697360881257 48.43911674243084)"
PSP002229,Free,,48.44272524663086,-123.33817696399427,19.0,0.0,25.0,17.2,1654,17,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,Hillside Mall parking lot (approximate location),ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.33482030106688 48.44747019892521),"LINESTRING (-123.34033906831633 48.44378695928078, -123.34024409379869 48.44382141245235)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,17/01/2022,",,a","H,,S",",,a",",,a",1654,17,360(91),both,7.99995619100608,1991,,POINT (-123.33482030106688 48.44747019892521),"LINESTRING (-123.34033906831633 48.44378695928078, -123.34024409379869 48.44382141245235)"
PSP000336,$3.00,90 MIN,48.42565219423894,-123.36142281740503,17.6,0.0,22.8,16.2,1674,18,metered,ELECTRIC VEHICLE,2916.0,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.365989449514 48.42751623148886),"LINESTRING (-123.33690269720748 48.44350827088988, -123.33680966821858 48.44354499884597)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,18/01/2022,",,a","H,,S",",,a",",,a",1674,18,910(91),both,7.999998103956124,1991,,POINT (-123.365989449514 48.42751623148886),"LINESTRING (-123.33690269720748 48.44350827088988, -123.33680966821858 48.44354499884597)"
PSP002214,Regular parking fees apply.,,48.42443428765378,-123.37041500154903,19.4,0.0,27.7,13.7,1767,19,non-metered,ELECTRIC VEHICLE,,ELECTRIC VEHICLE,"Ver Network AAA-332 Bastion Square Parkade. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,,,,,,,,,,,,,,,VC,,VC,,POINT (-123.36887795320854 48.426628480316126),"LINESTRING (-123.3341187937757 48.44220245045392, -123.33401062282523 48.44220213740037)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,19/01/2022,",,a","H,,S",",,a",",,a",1767,19,420(91),both,8.000003635834524,1991,,POINT (-123.36887795320854 48.426628480316126),"LINESTRING (-123.3341187937757 48.44220245045392, -123.33401062282523 48.44220213740037)"
PSP000595,$3.00,90 MIN,48.42491001639733,-123.36310029033095,22.0,0.0,29.8,11.0,1771,20,metered,ELECTRIC VEHICLE,2761.0,ELECTRIC VEHICLE,"$3.00/HR  90 MIN MAX. Regular parking fees apply. To use an electric vehicle charging station, please download the free FLO EV Charging Network app.",ACT,,Pay parking in effect daily from 8AM to 8PM. Free on BC statutory holidays and Boxing Day. Drivers with accessible parking permits can park for up to four hours for free on Sundays at regular metered on-street parking spaces.,,,,,,,,,,,,,,VC,Public Use,VC,Facilities,POINT (-123.36615993680712 48.42662772725535),"LINESTRING (-123.35259020781561 48.441234737005765, -123.35248401379906 48.44124842933848)",ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,20/01/2022,",,a","H,,S",",,a",",,a",1771,20,250(91),both,7.99998614238006,1991,,POINT (-123.36615993680712 48.42662772725535),"LINESTRING (-123.35259020781561 48.441234737005765, -123.35248401379906 48.44124842933848)"
