OBJECTID,Label,Direction,SHAPE_Length,Year,PDF,geometry
33,890(81),both,7.999997341380839,1981,,"LINESTRING (-123.351234099586 48.406686109372714, -123.35121563699617 48.406757023596995)"
34,260(89),both,8.000014203900243,1989,,"LINESTRING (-123.35898090878105 48.44474845675716, -123.35896191234262 48.44467760372574)"
35,5089(96),both,21.10486504423749,1996,,"LINESTRING (-123.38180176544303 48.4215260858378, -123.3816138316413 48.42166892217772)"
36,370(96),both,8.000000000624997,1996,,"LINESTRING (-123.32693835314272 48.42939029113715, -123.3269388161621 48.42946226205933)"
37,700(96),both,7.999991810806398,1996,,"LINESTRING (-123.38497437719145 48.44721091847502, -123.38491649322252 48.44727172067003)"
38,350(96),both,8.000026535096797,1996,,"LINESTRING (-123.38420108735575 48.44501669971209, -123.38415174854032 48.44508074954828)"
39,665(96),both,8.000026535096797,1996,,"LINESTRING (-123.38515573077619 48.445435220185196, -123.38510639276133 48.44549927042388)"
40,1850(92),both,7.999987580760174,1992,,"LINESTRING (-123.33088149541013 48.41004342335181, -123.33081050636879 48.40998914429408)"
41,2450(92),both,8.000027258200776,1992,,"LINESTRING (-123.33171933830134 48.411060875428205, -123.33162914735209 48.411100556521724)"
42,2050(91),both,8.000011965728962,1991,,"LINESTRING (-123.34949374274798 48.4137637987617, -123.34947549568173 48.413834738051634)"
43,1030(91),both,8.000000000624997,1991,,"LINESTRING (-123.32974626213507 48.4282131622061, -123.3296381208893 48.42821347293257)"
44,2610(92),both,7.999996617689508,1992,,"LINESTRING (-123.33766869412524 48.42038012596905, -123.33756985686246 48.42040931016184)"
45,4360(91),both,8.000042202693487,1991,,"LINESTRING (-123.3450856254626 48.42613237885348, -123.34508308197684 48.42620433088591)"
46,1090(91),both,7.999970052064071,1991,,"LINESTRING (-123.33465414715062 48.43897335446737, -123.33465084600503 48.439045292108375)"
47,1190(91),both,8.000016355776813,1991,,"LINESTRING (-123.33921975878751 48.44062847081303, -123.33921835174125 48.44070043627218)"
48,2440(89),both,8.00003954112507,1989,,"LINESTRING (-123.35800139411934 48.439018299756974, -123.35802040463305 48.43908915117135)"
49,1270(92),both,7.999995131204198,1992,,"LINESTRING (-123.35522112665848 48.4377091483791, -123.35511507778378 48.437723306026164)"
50,1130(92),both,7.999999081439659,1992,,"LINESTRING (-123.35559055218941 48.43419685269713, -123.3555814037269 48.43426856617917)"
51,2580(91),both,7.999981409998997,1991,,"LINESTRING (-123.35320423193687 48.437087626854705, -123.35322542882555 48.43715820247405)"
52,2770(91),both,7.9999901758435925,1991,,"LINESTRING (-123.35402773821848 48.43827390909771, -123.3539214011 48.43828707871137)"
53,1070(81),both,7.999972572773634,1981,,"LINESTRING (-123.3510720339492 48.42232776472353, -123.3510521343721 48.42239850677664)"
54,5340(89),both,7.999965225820037,1989,,"LINESTRING (-123.35852163026615 48.41883300474287, -123.35850524430731 48.41890414473185)"
55,2970(92),both,7.9999997216062395,1992,,"LINESTRING (-123.36493348219008 48.412281656167096, -123.36483333293843 48.412254552228916)"
56,3290(92),both,8.000000139880056,1992,,"LINESTRING (-123.36323619165528 48.41159355816799, -123.36314938758376 48.4115506594539)"
57,3100(92),both,8.000023886638745,1992,,"LINESTRING (-123.36181469641467 48.4106584852164, -123.36175160198547 48.410600043096515)"
58,3200(92),both,8.000041337208396,1992,,"LINESTRING (-123.36126677672097 48.41136371907951, -123.36118612058051 48.41141164236421)"
59,2670(92),both,7.999969353765374,1992,,"LINESTRING (-123.3606436900315 48.412336311722946, -123.36061594637803 48.412405872810524)"
60,1560(91),both,14.166618976124791,1991,,"LINESTRING (-123.36996732532292 48.41327160095363, -123.36981545498458 48.413194003509744)"
61,1810(92),one,15.524417108026492,1992,,"LINESTRING (-123.36636088171754 48.41595858476729, -123.36656952365261 48.41594390006208)"
62,3470(81),both,8.000042380795207,1981,,"LINESTRING (-123.36739484421489 48.41747868005273, -123.36728720499018 48.41748545890871)"
63,1130(92),both,8.000030346068284,1992,,"LINESTRING (-123.37120182110166 48.41725051873041, -123.37109418714904 48.41725732992055)"
64,3080(92),both,7.999957332520469,1992,,"LINESTRING (-123.375858818177 48.41649656569628, -123.37577181124358 48.41645384272755)"
65,1940(82),both,8.000010253549558,1982,,"LINESTRING (-123.37731859666042 48.41719160507115, -123.37723093220525 48.41714948003755)"
66,2520(92),both,7.784673317101246,1992,,"LINESTRING (-123.37307256606358 48.4205411721812, -123.37297355381753 48.42051748045911)"
67,1960(87),both,8.000012245214942,1987,,"LINESTRING (-123.37993003032042 48.42078581122538, -123.37986673198742 48.42084416129957)"
68,1880(87),both,8.000012245214942,1987,,"LINESTRING (-123.37914011987006 48.42151452170814, -123.37907681973053 48.42157287134511)"
69,4520(89),both,8.000012245214942,1989,,"LINESTRING (-123.3783507387666 48.42224583481812, -123.37828743681794 48.42230418401811)"
70,1530(92),both,20.25132260577426,1992,,"LINESTRING (-123.39316993090543 48.43813030787632, -123.39313330016823 48.43831085920175)"
71,1260(81),both,7.9999941165626725,1981,,"LINESTRING (-123.37075063141778 48.4409335205003, -123.37064435839459 48.44094693656389)"
72,1250(91),both,8.000002990251833,1991,,"LINESTRING (-123.35962679055005 48.44234382923903, -123.35952071666891 48.442357936128545)"
73,4110(81),both,7.999962265465428,1981,,"LINESTRING (-123.36854077402899 48.43123009187514, -123.36843263917497 48.431231211836916)"
74,2590(85),both,8.00000025820242,1985,,"LINESTRING (-123.35877117233926 48.42227179767392, -123.35866431319191 48.42226079784313)"
75,3222(97),both,8.000011963733119,1997,,"LINESTRING (-123.3489167684974 48.41634207932631, -123.34889851972476 48.41641301849697)"
76,2282(97),both,8.000011965567587,1997,,"LINESTRING (-123.3473502147705 48.419753890490334, -123.34733196262133 48.41982482937848)"
77,1905(97),both,8.000011965728962,1997,,"LINESTRING (-123.34684834685314 48.421591174642266, -123.34683009336113 48.42166211343131)"
78,4809(97),one,23.62151599312698,1997,,"LINESTRING (-123.33818634203705 48.41240013840141, -123.33849838716101 48.41244491528198)"
79,3950(90),one,17.05729182577369,1990,,"LINESTRING (-123.33521136799 48.412726657670326, -123.33542838785736 48.41267493740085)"
80,2456(97),one,27.472768295633255,1997,,"LINESTRING (-123.34098281458054 48.410249328731545, -123.34133704924459 48.4101753820212)"
81,2000(91),one,19.527022557063518,1991,,"LINESTRING (-123.33738628880396 48.41665439794852, -123.33740549723663 48.41682960613032)"
82,1370(93),one,18.07606141734253,1993,,"LINESTRING (-123.32604288554717 48.42007077127983, -123.32627133150669 48.42001312796558)"
83,4297(97),one,12.445000000298023,1997,,"LINESTRING (-123.33039055123798 48.42553458441191, -123.33038982557483 48.42542262460163)"
84,4830(89),one,25.55379999987781,1989,,"LINESTRING (-123.33044501204613 48.427756711487426, -123.33044352165685 48.42752682016536)"
85,10597(97),one,22.55634529641338,1997,,"LINESTRING (-123.32849131667625 48.430514093593644, -123.32872187549631 48.43038129061342)"
86,9822(91),one,29.283405550167448,1991,,"LINESTRING (-123.33537478353107 48.427552660646604, -123.33568162136338 48.427386222568344)"
87,7700(92),one,28.628556288840745,1992,,"LINESTRING (-123.33329245882202 48.426605763482186, -123.33367941982394 48.42660846649284)"
88,8670(91),one,18.44550351250124,1991,,"LINESTRING (-123.33882030568205 48.42594054357616, -123.33903626344582 48.425857607196775)"
89,11240(89),one,24.58098782245969,1989,,"LINESTRING (-123.34453181115003 48.42456123654616, -123.34485315655691 48.424617443388804)"
90,13500(81),one,24.06460455728603,1981,,"LINESTRING (-123.34482376368608 48.42695011409098, -123.34514898065768 48.426954757444356)"
91,7300(89),one,10.628678940672229,1989,,"LINESTRING (-123.34176408525104 48.426808608353, -123.34190710893748 48.42681768293329)"
92,5520(89),one,19.99794621820636,1989,,"LINESTRING (-123.34099784607817 48.427748735135005, -123.34123152813565 48.42765829031191)"
93,6210(91),one,18.063409181356874,1991,,"LINESTRING (-123.33753883558934 48.428972900051356, -123.33775558925876 48.42889807146828)"
94,180(89),one,16.933813127557652,1989,,"LINESTRING (-123.33611184747618 48.43126686456239, -123.33634052140496 48.43127394424103)"
95,8630(89),one,19.67055144734641,1989,,"LINESTRING (-123.32984773413216 48.431424251838074, -123.32988078649362 48.43124865914258)"
96,7830(81),one,15.370310892373858,1981,,"LINESTRING (-123.32944746289186 48.433228632321125, -123.32947799729132 48.433091855313236)"
97,4500(92),one,19.948060437702594,1992,,"LINESTRING (-123.33660719691353 48.43419239760523, -123.33687655796987 48.434201192495415)"
98,8500(81),one,29.152762040351416,1981,,"LINESTRING (-123.33387692769053 48.434936372147114, -123.33387389523402 48.434674108937145)"
99,6240(89),one,28.501105109658806,1989,,"LINESTRING (-123.33379467725462 48.43720717676793, -123.33379868559562 48.436950782358416)"
100,9680(91),one,21.811599999666214,1991,,"LINESTRING (-123.33369853888935 48.43915873888251, -123.33369725371793 48.438962514215056)"
101,482(91),one,27.073499999940395,1991,,"LINESTRING (-123.33062669639551 48.43802056753707, -123.33099273705865 48.43801951531302)"
102,5500(80),one,23.633720898387978,1980,,"LINESTRING (-123.3290577633151 48.434987824360825, -123.32911978304237 48.434779248882975)"
103,1840(92),one,15.922775651906871,1992,,"LINESTRING (-123.3390594788148 48.436297996542855, -123.33927472022872 48.436295479199536)"
104,9870(80),one,29.07010830470408,1980,,"LINESTRING (-123.34200688370173 48.44237708660711, -123.34234423975748 48.44224286500046)"
105,9300(92),one,19.913717184206593,1992,,"LINESTRING (-123.3367585183039 48.44453761989206, -123.33699239710083 48.444448831578626)"
106,9830(91),one,20.49449563670202,1991,,"LINESTRING (-123.33362629156457 48.441373210729445, -123.33363369498143 48.44118889931953)"
107,6300(92),one,25.842699999921024,1992,,"LINESTRING (-123.3349129619727 48.448214674112734, -123.33526243167702 48.44821365657708)"
108,5300(92),one,25.250134899898306,1992,,"LINESTRING (-123.34465121896366 48.44742160291943, -123.34478744476628 48.44721330366796)"
109,8830(92),one,16.210049848910163,1992,,"LINESTRING (-123.3448272114382 48.44840057715821, -123.34504642203333 48.44840054718811)"
110,8050(85),one,34.13803359328659,1985,,"LINESTRING (-123.34815282754278 48.44809254376817, -123.34860593590156 48.44803373846393)"
111,6640(92),one,46.5175672527537,1992,,"LINESTRING (-123.35114775292759 48.447699389252044, -123.35176666622658 48.44762455009748)"
112,7150(93),one,37.338535937583096,1993,,"LINESTRING (-123.34921169245399 48.44437772189105, -123.34913484208853 48.44404572298252)"
113,3750(91),one,17.673308532535774,1991,,"LINESTRING (-123.34812665896091 48.443645203648224, -123.34828602110903 48.44352672144168)"
114,1860(93),one,27.38643546225653,1993,,"LINESTRING (-123.34637271388755 48.44279674337134, -123.34665469260375 48.442956447860745)"
115,10310(89),one,33.68297190858653,1989,,"LINESTRING (-123.345766355413 48.441271476343246, -123.34622178945764 48.44127073323006)"
116,3560(92),one,13.995437767180608,1992,,"LINESTRING (-123.34461239859691 48.44070544756375, -123.34468563507659 48.440589350432305)"
117,8960(89),one,32.754754661953655,1989,,"LINESTRING (-123.35915033350165 48.43854113495985, -123.3590659379098 48.438251859740234)"
118,9970(91),one,18.44354701154963,1991,,"LINESTRING (-123.35676312482389 48.435350009202935, -123.35701213142622 48.43535872020445)"
119,9000(92),one,20.369636217862347,1992,,"LINESTRING (-123.35362226976453 48.43517890671343, -123.35389722121202 48.43518924057079)"
120,6090(92),one,23.13888759334756,1992,,"LINESTRING (-123.345555898466 48.43464564639691, -123.34586797485767 48.43466004614537)"
121,3940(92),one,25.719437026789933,1992,,"LINESTRING (-123.36011560020533 48.43104437656439, -123.36046220712171 48.431062614130425)"
122,14000(90),one,19.394449056686394,1990,,"LINESTRING (-123.34944767449689 48.4271949958225, -123.34970933402211 48.427205819965835)"
123,13950(89),one,18.05268710432459,1989,,"LINESTRING (-123.3512155349825 48.42499232460498, -123.35145729091866 48.42501438101806)"
124,2720(81),one,26.91505007727317,1981,,"LINESTRING (-123.35255502353932 48.421990615000716, -123.35291399398336 48.422029887523856)"
125,9770(90),one,11.178611943812426,1990,,"LINESTRING (-123.35488198019145 48.42106557256163, -123.35490402559556 48.420966081042685)"
126,7732(97),one,26.924009814157102,1997,,"LINESTRING (-123.35681070464956 48.41449538970874, -123.3569199437512 48.4142643432237)"
127,2500(91),one,18.44740378133988,1991,,"LINESTRING (-123.35730027949658 48.416584597924256, -123.35754735234045 48.41660678517932)"
128,1360(92),one,17.684517908117485,1992,,"LINESTRING (-123.36320317350878 48.415233554036604, -123.36324529612561 48.41507694667114)"
129,680(92),one,30.374800000339746,1992,,"LINESTRING (-123.36404927511123 48.412988957858616, -123.36404732440104 48.41271569532571)"
130,2770(91),one,30.436049534685207,1991,,"LINESTRING (-123.35776298569664 48.41097719557657, -123.35780105487781 48.41070455424271)"
131,820(89),one,20.191905096313814,1989,,"LINESTRING (-123.36937531585542 48.40961111648438, -123.3694367827557 48.40943413033843)"
132,2120(89),one,21.769628873473213,1989,,"LINESTRING (-123.36898912157268 48.410385133502345, -123.36905587483643 48.410194392878914)"
133,3270(90),one,24.469676063358484,1990,,"LINESTRING (-123.37617838179824 48.41148175323835, -123.37644859474574 48.411608639623886)"
134,1250(93),one,22.010182539131446,1993,,"LINESTRING (-123.37399692110529 48.41313983411884, -123.37424081690196 48.413253175102554)"
135,2090(93),one,22.51197514012095,1993,,"LINESTRING (-123.37494797563821 48.41461635278135, -123.37513314638865 48.414455659994296)"
136,100(91),one,32.59183333407071,1991,,"LINESTRING (-123.3689480747829 48.41372290581772, -123.3691317452923 48.41345640635463)"
137,100(91),one,29.24508396485341,1991,,"LINESTRING (-123.36860862871312 48.41456577917475, -123.36897525677219 48.414664034987915)"
138,5400(90),one,16.562264538804218,1990,,"LINESTRING (-123.36904708147816 48.41695079750233, -123.36906324005821 48.41680218468033)"
139,5580(83),one,28.00557843025941,1983,,"LINESTRING (-123.36591062510122 48.417929935201734, -123.3659313088757 48.41767836091246)"
140,350(89),one,22.409860590247575,1989,,"LINESTRING (-123.36511658931013 48.4194791228387, -123.36527592352306 48.419307665625176)"
141,4460(90),one,33.04232987642155,1990,,"LINESTRING (-123.36906041992073 48.419231291637516, -123.36903707755283 48.41893443444687)"
142,2740(90),one,19.04510564535101,1990,,"LINESTRING (-123.36205366324627 48.41833733585095, -123.36219782404298 48.418195391616905)"
143,1800(90),one,19.032250854125806,1990,,"LINESTRING (-123.36142796251266 48.42051913882555, -123.36164624309954 48.42060973108819)"
144,6800(90),one,17.624241963040276,1990,,"LINESTRING (-123.36321044597241 48.42166154513833, -123.36319224338794 48.421503453208295)"
145,720(89),one,16.306865877785242,1989,,"LINESTRING (-123.36355830248847 48.42156566443012, -123.36370121345375 48.421677349374576)"
146,6230(90),one,25.958813906913353,1990,,"LINESTRING (-123.36518138089019 48.42012265720847, -123.36551901262877 48.420186155253134)"
147,10760(90),one,32.401394463488785,1990,,"LINESTRING (-123.36737989755203 48.420565313812304, -123.36780179473267 48.42064346317013)"
148,4340(92),one,34.72059072541757,1992,,"LINESTRING (-123.37025072340501 48.418308522329994, -123.3707193024206 48.41829178430248)"
149,3770(90),one,23.147686230486425,1990,,"LINESTRING (-123.3722615061251 48.418770727285654, -123.37237380254086 48.41857635870278)"
150,2100(89),one,17.26357619253282,1989,,"LINESTRING (-123.37532193688413 48.42072218943445, -123.37545844193829 48.4205962305671)"
151,750(93),one,19.399804063105297,1993,,"LINESTRING (-123.37792926518756 48.415018106717845, -123.37813896003004 48.41512286376249)"
152,2330(90),one,18.57354756088928,1990,,"LINESTRING (-123.38536035372356 48.42136801883208, -123.38550599591164 48.42123191881714)"
153,2120(92),one,19.845681856433536,1992,,"LINESTRING (-123.37952864228696 48.42197963006792, -123.37979370160818 48.4220070271938)"
154,1170(92),one,18.045197107296513,1992,,"LINESTRING (-123.37957841060644 48.4212908935247, -123.3797747275083 48.42138722587055)"
155,2720(92),one,19.331391697627303,1992,,"LINESTRING (-123.3770661077582 48.42213752895473, -123.37727807552045 48.422239216685455)"
156,3180(90),one,25.492034910926474,1990,,"LINESTRING (-123.3558261059773 48.40788061658894, -123.35614502420982 48.407967278974034)"
157,7460(85),one,28.436683934771665,1985,,"LINESTRING (-123.37805391702123 48.42896304799512, -123.37836390871252 48.42911433152722)"
158,1010(90),one,14.872678423895024,1990,,"LINESTRING (-123.38613893760692 48.42943352281865, -123.38613508932475 48.42929974643607)"
159,330(90),one,21.348040144464377,1990,,"LINESTRING (-123.38731793606122 48.42944860357052, -123.38731703622871 48.42925654853147)"
160,3600(92),one,25.718375766258998,1992,,"LINESTRING (-123.38390197130599 48.4317624127727, -123.38412202759602 48.431583281692994)"
161,4050(90),one,34.179614319298274,1990,,"LINESTRING (-123.37968977767692 48.43291188592256, -123.37988614863188 48.4331902310337)"
162,6590(90),one,28.365400748850583,1990,,"LINESTRING (-123.38235042406859 48.43516107929754, -123.38254545614357 48.435380800159336)"
163,6960(92),one,31.88584366198423,1992,,"LINESTRING (-123.38637167964379 48.43573207977018, -123.38680266824525 48.435738249290125)"
164,480(93),one,27.967402015936695,1993,,"LINESTRING (-123.38528423246599 48.43481923687618, -123.38566232293067 48.434817014063896)"
165,300(93),one,16.453054347036886,1993,,"LINESTRING (-123.38191937353388 48.44706214620166, -123.38201328586165 48.44692796015945)"
166,3290(91),one,20.388828812530445,1991,,"LINESTRING (-123.38573498175515 48.44846324949082, -123.38590286093824 48.44831774395679)"
167,5480(93),one,25.430612984218833,1993,,"LINESTRING (-123.37598576817342 48.442693895413804, -123.37618431476994 48.442507102380326)"
168,8430(93),one,31.66100162411605,1993,,"LINESTRING (-123.37521627012275 48.44152766957447, -123.37557890096659 48.44167905228412)"
169,5310(93),one,26.13648930849908,1993,,"LINESTRING (-123.37194545679762 48.443448814189594, -123.37223920439124 48.443579551778235)"
170,7920(85),one,16.815547742392887,1985,,"LINESTRING (-123.37434310888017 48.444550055365994, -123.37452254266039 48.44464297500216)"
171,6580(89),one,26.982500204162214,1989,,"LINESTRING (-123.37194025086622 48.44486336785167, -123.37227944727819 48.44477393435208)"
172,21530(90),one,14.463826772166652,1990,,"LINESTRING (-123.36976251291799 48.44385384006725, -123.36983088390976 48.44397575251619)"
173,8580(92),one,35.94385840183611,1992,,"LINESTRING (-123.36924748876704 48.4454331793875, -123.36972647023597 48.445378253579044)"
174,2370(82),one,40.710282022049405,1982,,"LINESTRING (-123.36968640892286 48.448138455870456, -123.3702299501914 48.44808029777967)"
175,17500(89),one,33.17867039509708,1989,,"LINESTRING (-123.36700563450175 48.44699511900522, -123.36716965640612 48.44727294683043)"
176,2360(90),one,39.214221994301255,1990,,"LINESTRING (-123.36428974793635 48.448742857873945, -123.36481445472481 48.448691746487526)"
177,7150(92),one,34.10510993362756,1992,,"LINESTRING (-123.3650477235317 48.44592925938953, -123.36550138717354 48.44587407342253)"
178,7520(82),one,37.16769905936066,1982,,"LINESTRING (-123.36120876103821 48.44721844656096, -123.36129915432439 48.447547370136625)"
179,6890(92),one,36.730564692056575,1992,,"LINESTRING (-123.35726532007426 48.446909413494495, -123.3577541443887 48.44685081302698)"
180,14740(93),one,34.217214385387976,1993,,"LINESTRING (-123.36347468299104 48.44058689237769, -123.36353429925724 48.44089215828108)"
181,9390(93),one,30.983505427577636,1993,,"LINESTRING (-123.36560796355317 48.4386983016168, -123.36600538784113 48.43861017242058)"
182,18910(89),one,19.976202486956012,1989,,"LINESTRING (-123.36580916742933 48.4367568490233, -123.36589904027493 48.436926321384696)"
183,7280(90),one,25.784475755309515,1990,,"LINESTRING (-123.36669116718599 48.43592194362859, -123.36703891715182 48.43593814342962)"
184,6590(93),one,20.963777739626973,1993,,"LINESTRING (-123.36824102069258 48.43601490294113, -123.36852381084702 48.43602753565949)"
185,8420(89),one,20.53881429948984,1989,,"LINESTRING (-123.36710360031242 48.43645979035551, -123.36711075287198 48.43664450484213)"
186,1840(91),one,20.876393118301387,1991,,"LINESTRING (-123.36902429405248 48.43626952801868, -123.36910332686276 48.43644982758743)"
187,1090(91),one,29.80664365367195,1991,,"LINESTRING (-123.37020782110032 48.43688855511387, -123.37059664894142 48.436818097847855)"
188,10570(89),one,27.085262136204733,1989,,"LINESTRING (-123.36366925830085 48.435764395677836, -123.36403511362863 48.43577475447578)"
189,21220(93),one,33.68922638678223,1993,,"LINESTRING (-123.36218107480457 48.4318157434191, -123.36216826353527 48.431512780604464)"
190,12910(81),one,24.073880209493016,1981,,"LINESTRING (-123.36484396052538 48.43243907969981, -123.36483148106355 48.4322226600681)"
191,8070(89),one,19.434178653033943,1989,,"LINESTRING (-123.36750821414074 48.433847801737, -123.3675094516448 48.43367296556733)"
192,10690(84),one,21.017076106058,1984,,"LINESTRING (-123.3636456702829 48.42636462627437, -123.36392626395933 48.426394214100284)"
193,5810(93),one,18.24677474961961,1993,,"LINESTRING (-123.36628877654037 48.42693139661559, -123.36633108135682 48.42676967332737)"
194,11950(84),one,20.15209812240548,1984,,"LINESTRING (-123.35812712010839 48.425742343161794, -123.35839631779919 48.42577005287797)"
195,3860(89),one,19.813006832421966,1989,,"LINESTRING (-123.35686353056649 48.425022664462055, -123.35690816476911 48.42484691087345)"
196,6080(89),one,17.088177505404936,1989,,"LINESTRING (-123.35961803695008 48.42528785756148, -123.35965125654596 48.425135723012225)"
197,19220(90),one,19.439792105278396,1990,,"LINESTRING (-123.3624437912933 48.425583620275724, -123.36248305377441 48.425410694666624)"
198,21570(89),one,16.604682414929506,1989,,"LINESTRING (-123.36529321156112 48.42588193744337, -123.36533191538287 48.42573479222316)"
199,14010(90),one,26.52697003313009,1990,,"LINESTRING (-123.36567808776056 48.42433734946347, -123.36572762371459 48.42410098962113)"
200,2620(92),one,29.621745969867746,1992,,"LINESTRING (-123.3639414842255 48.423798882610875, -123.36433692432179 48.423840636540106)"
201,11140(84),one,30.002530479829883,1984,,"LINESTRING (-123.36286714592168 48.423955075397224, -123.36292188803814 48.42368762987853)"
202,11220(93),one,18.291431942525694,1993,,"LINESTRING (-123.3686895185161 48.42317915345059, -123.36891577276552 48.42324549305098)"
203,3460(90),one,21.816193014665057,1990,,"LINESTRING (-123.36656059225017 48.42251028103263, -123.36682646239294 48.422595163673684)"
204,8370(93),one,28.29742378180198,1993,,"LINESTRING (-123.3660865470208 48.42291937857784, -123.36614064398094 48.42266736169464)"
205,5970(84),one,13.971175405767584,1984,,"LINESTRING (-123.36004124943925 48.42346407333426, -123.36007466740497 48.423340366168276)"
206,3108(97),one,23.871165265352886,1997,,"LINESTRING (-123.32771892117249 48.41612986139901, -123.32772319425389 48.41591512405324)"
207,4900(90),one,24.642094523321624,1990,,"LINESTRING (-123.3663774477865 48.41953280831699, -123.36626660199997 48.41932375569865)"
208,300(96),one,31.825386175346118,1996,,"LINESTRING (-123.38975342457738 48.442428901035, -123.38939611668509 48.4422693410435)"
209,1093(96),one,11.15790000043917,1996,,"LINESTRING (-123.32324651388723 48.42832918807435, -123.32309568479256 48.4283296125547)"
210,240(96),one,8.000000000624997,1996,,"LINESTRING (-123.32404902756451 48.43032224431392, -123.32394088178219 48.430322549696314)"
211,832(96),one,9.756978429326145,1996,,"LINESTRING (-123.36222303700593 48.4197074748747, -123.36232099575943 48.41976623961369)"
212,3900(90),one,19.741910431992455,1990,,"LINESTRING (-123.33532050321548 48.41242748126227, -123.3350664048292 48.412481598030844)"
213,4869(97),one,24.379144881203093,1997,,"LINESTRING (-123.33856047387742 48.41222760250046, -123.33823927371557 48.412178832137215)"
214,4398(97),one,28.236170066827167,1997,,"LINESTRING (-123.34121628780902 48.40994673361496, -123.34085010120381 48.41001810006178)"
215,1670(91),one,20.778625701995814,1991,,"LINESTRING (-123.33786826061556 48.41681716903557, -123.33785552482065 48.41663042723999)"
