OBJECTID,Label,Direction,SHAPE_Length,Year,PDF,geometry
1,450(92),both,8.000000000624997,1992,,"LINESTRING (-123.33190031062234 48.40990115042434, -123.33190078032746 48.40997312155558)"
2,650(92),both,8.000039591893954,1992,,"LINESTRING (-123.33121562693142 48.41416665664162, -123.33121452807553 48.41423862503941)"
3,370(87),both,7.999972420884864,1987,,"LINESTRING (-123.34398075493085 48.41359584867903, -123.34390843866458 48.413542349097874)"
4,450(87),both,7.999988151697059,1987,,"LINESTRING (-123.34505607281409 48.41407090763526, -123.3449765882141 48.41411969317347)"
5,280(87),both,7.999995892227544,1987,,"LINESTRING (-123.34501165382068 48.41496048523874, -123.34493884056779 48.41490728379277)"
6,100(81),both,17.553588570657364,1981,,"LINESTRING (-123.34576637103174 48.41607726248821, -123.34573904028629 48.41623413112976)"
7,200(82),both,7.999991055126868,1982,,"LINESTRING (-123.34053191218102 48.41465500535719, -123.34042380385853 48.41465431312899)"
8,280(82),both,7.999952195345349,1982,,"LINESTRING (-123.34014562521863 48.415360992780215, -123.34014258052416 48.415432935519995)"
9,900(92),both,8.000000000624997,1992,,"LINESTRING (-123.32354389871628 48.42288534859659, -123.32343576870578 48.422885653469656)"
10,900(91),both,8.000000000624997,1991,,"LINESTRING (-123.32914186265025 48.4290824640053, -123.32914232877616 48.42915443491547)"
11,890(90),both,8.000026644708711,1990,,"LINESTRING (-123.34295621681342 48.42283754578113, -123.34292517066558 48.4227686042416)"
12,840(91),both,8.000002892313082,1991,,"LINESTRING (-123.3394275193718 48.429010612584996, -123.33942245841517 48.42908250530235)"
13,670(91),both,8.00000587596322,1991,,"LINESTRING (-123.33419730109173 48.43983501428901, -123.33408916398825 48.43983332294798)"
14,430(91),both,8.00001635393069,1991,,"LINESTRING (-123.33879618183207 48.4370632665484, -123.33879477425955 48.43713523204823)"
15,900(91),both,8.000016355793052,1991,,"LINESTRING (-123.34003505141048 48.437111744748194, -123.34003364558681 48.4371837102585)"
16,409(91),both,8.000016355776813,1991,,"LINESTRING (-123.33697501899762 48.43904477697206, -123.33697360881257 48.43911674243084)"
17,360(91),both,7.99995619100608,1991,,"LINESTRING (-123.34033906831633 48.44378695928078, -123.34024409379869 48.44382141245235)"
18,910(91),both,7.999998103956124,1991,,"LINESTRING (-123.33690269720748 48.44350827088988, -123.33680966821858 48.44354499884597)"
19,420(91),both,8.000003635834524,1991,,"LINESTRING (-123.3341187937757 48.44220245045392, -123.33401062282523 48.44220213740037)"
20,250(91),both,7.99998614238006,1991,,"LINESTRING (-123.35259020781561 48.441234737005765, -123.35248401379906 48.44124842933848)"
21,600(92),both,7.99999845403123,1992,,"LINESTRING (-123.3538295914456 48.43901492475363, -123.3538496579913 48.43908564675542)"
22,633(92),both,7.999950279483977,1992,,"LINESTRING (-123.35647668626197 48.43648831733981, -123.35649683245873 48.436559028769935)"
23,650(92),both,8.000041123787124,1992,,"LINESTRING (-123.35528546925022 48.43652850816118, -123.35530569351555 48.436599210560736)"
24,370(81),both,7.99997890633984,1981,,"LINESTRING (-123.34781584455975 48.432056809039366, -123.34780737794706 48.432128559447136)"
25,480(81),both,7.999983124750615,1981,,"LINESTRING (-123.34699813544651 48.4316838669126, -123.34689099155565 48.43167407604379)"
26,510(81),both,8.000035078349107,1981,,"LINESTRING (-123.34678904849635 48.417116220462376, -123.34668233407696 48.41710465667869)"
27,740(84),both,8.000019373203443,1984,,"LINESTRING (-123.35517350105968 48.416011258894166, -123.35506690937777 48.41599921399284)"
28,840(81),both,7.999970860554829,1981,,"LINESTRING (-123.35286830341725 48.41510068004829, -123.35285026480594 48.4151716426114)"
29,790(89),both,29.044837426029122,1989,,"LINESTRING (-123.38418598273587 48.41659361657502, -123.38396319158194 48.416808750836736)"
30,480(89),both,30.639547536521086,1989,,"LINESTRING (-123.38415456037309 48.418032779870586, -123.38381892587903 48.41787133304858)"
31,620(87),both,8.000037892813095,1987,,"LINESTRING (-123.37771389155293 48.42153532936661, -123.37762761026444 48.42149195050098)"
32,530(81),both,7.999997341217567,1981,,"LINESTRING (-123.35445197845966 48.40859870375325, -123.35443351966883 48.40866961846101)"
