_id,cost,charging_points,pay_at_location,membership_required,access_key_required,is_operational,latitude,longitude,operator,connection_type,current_type,charging_points_flag,power_output
66d7e0a1cdf87e8b5d63d836,Unknown,2,Unknown,Unknown,Unknown,Unknown,-38.0870252,145.279579,Evie Networks,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d837,Unknown,2,Unknown,Unknown,Unknown,Unknown,-28.636313,153.553519,NRMA,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d838,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8188089,144.9426093,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d839,Unknown,2,Unknown,Unknown,Unknown,Unknown,-35.7175328,147.317755,NRMA,CHAdeMO,Unknown,0,
66d7e0a1cdf87e8b5d63d83a,Unknown,2,Unknown,Unknown,Unknown,Unknown,-33.7965055,151.1833566,EVLink,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d83b,Unknown,1,Unknown,Unknown,Unknown,Unknown,-36.0283814,146.8959075,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d83c,Unknown,2,Unknown,Unknown,Unknown,Unknown,-26.4170901,152.9114294,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0,
66d7e0a1cdf87e8b5d63d83d,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8098361,144.9692983,Unknown,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d83e,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8101221,144.970523,Secure Parking,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d83f,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8055148,144.9633222,Arrow on Swanston,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d840,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8022448,144.9669687,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d841,Unknown,2,Unknown,Unknown,Unknown,Unknown,-37.8044709,144.9733535,Melbourne Museum,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d842,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8014314,144.9427005,Jet Charge,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d843,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.812617,144.939222,The District Docklands,Unknown,Unknown,0,
66d7e0a1cdf87e8b5d63d844,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8129804,144.9370084,The District Docklands,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d845,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8100036,144.9509974,Flagstaff City Inn,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d846,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8319526,144.9607646,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d847,Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.8322063,144.9692208,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d848,Unknown,1,Unknown,Unknown,Unknown,Unknown,-38.2998125,145.1705033,Unknown,Unknown,Unknown,1,
66d7e0a1cdf87e8b5d63d849,Unknown,1,Unknown,Unknown,Unknown,Unknown,-30.9786335,150.2519137,NRMA,Unknown,Unknown,1,
