latitude,longitude,charging_points,power_output,operational_score,accessibility_score,station_density,station_density_normalized,operator,connection_type,current_type,charging_capacity,station_score
-37.7189925,144.9614795,1,0.0,0.5,0.5,301.0,1.0,Chargefox,CHAdeMO,Unknown,0.0,0.45
-36.0837898,146.9148011,1,0.0,0.5,0.5,61.0,0.2,NRMA,CHAdeMO,Unknown,0.0,0.29000000000000004
-37.5613256,143.8623024,1,0.0,0.5,0.5,301.0,1.0,Chargefox,CHAdeMO,Unknown,0.0,0.45
-35.7099111,150.1774214,1,0.0,0.5,0.5,54.0,0.17666666666666667,Evie Networks,Unknown,Unknown,0.0,0.2853333333333333
-26.1881513,152.6612476,4,0.0,0.5,0.5,29.0,0.09333333333333334,Tesla Supercharger,Unknown,Unknown,0.0,0.26866666666666666
-32.7742468,151.2946203,1,0.0,0.5,0.5,39.0,0.12666666666666668,NRMA,Unknown,Unknown,0.0,0.2753333333333333
-33.9306373,151.2464722,1,0.0,0.5,0.5,222.0,0.7366666666666667,Unknown,Unknown,Unknown,0.0,0.3973333333333333
-37.8244076,144.9244765,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-32.1997712,152.5199677,1,0.0,0.5,0.5,39.0,0.12666666666666668,Unknown,Unknown,Unknown,0.0,0.2753333333333333
-37.7719979,144.9789845,2,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-34.6396148,143.5644882,1,0.0,0.5,0.5,12.0,0.03666666666666667,NRMA,CHAdeMO,Unknown,0.0,0.25733333333333336
-37.9208333,145.1400183,1,0.0,0.5,0.5,301.0,1.0,Unknown,Type 2 (Socket Only),Unknown,0.0,0.45
-35.2998964,149.190361,1,0.0,0.5,0.5,54.0,0.17666666666666667,Unknown,Type 2 (Socket Only),Unknown,0.0,0.2853333333333333
-35.279627,149.1283604,1,0.0,0.5,0.5,54.0,0.17666666666666667,Evie Networks,CHAdeMO,Unknown,0.0,0.2853333333333333
-35.2801903,149.1354521,4,0.0,0.5,0.5,54.0,0.17666666666666667,Unknown,Type 2 (Socket Only),Unknown,0.0,0.2853333333333333
-35.3224367,149.165535,1,0.0,0.5,0.5,54.0,0.17666666666666667,Chargefox,CHAdeMO,Unknown,0.0,0.2853333333333333
-33.8908025,151.2762714,1,0.0,0.5,0.5,222.0,0.7366666666666667,Unknown,Unknown,Unknown,0.0,0.3973333333333333
-42.6817118,146.7164989,1,0.0,0.5,0.5,21.0,0.06666666666666667,Mt Field Visitor Centre,Type 2 (Socket Only),Unknown,0.0,0.2633333333333333
-43.0312044,147.0474304,1,0.0,0.5,0.5,47.0,0.15333333333333332,Huon Valley Council,Type 2 (Socket Only),Unknown,0.0,0.2806666666666667
-42.8816834,147.3354788,1,0.0,0.5,0.5,47.0,0.15333333333333332,TasPorts,Type 2 (Socket Only),Unknown,0.0,0.2806666666666667
-27.4157668,153.077346,4,0.0,0.5,0.5,103.0,0.34,Evie Networks,Unknown,Unknown,0.0,0.318
-41.0498769,145.90733,1,0.0,0.5,0.5,9.0,0.02666666666666667,Electric Highway Tasmania,"Type 2 (Socket Only), CHAdeMO",Unknown,0.0,0.25533333333333336
-23.3821063,150.5132751,2,0.0,0.5,0.5,8.0,0.023333333333333334,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0.0,0.25466666666666665
-23.3558309,150.5222122,1,0.0,0.5,0.5,8.0,0.023333333333333334,Unknown,Unknown,Unknown,0.0,0.25466666666666665
-33.7693688,150.7352534,1,0.0,0.5,0.5,222.0,0.7366666666666667,Unknown,Unknown,Unknown,0.0,0.3973333333333333
-33.9791934,115.7649217,1,0.0,0.5,0.5,31.0,0.1,Unknown,Unknown,Unknown,0.0,0.27
-33.280911,149.0994869,1,0.0,0.5,0.5,42.0,0.13666666666666666,"Tesla, Inc.",Unknown,Unknown,0.0,0.2773333333333333
-33.3333919,149.0432132,1,0.0,0.5,0.5,42.0,0.13666666666666666,"Tesla, Inc.",Unknown,Unknown,0.0,0.2773333333333333
-37.6784969,145.0730497,1,0.0,0.5,0.5,301.0,1.0,Evie Networks,Unknown,Unknown,0.0,0.45
-29.0572225,152.0189641,1,0.0,0.5,0.5,19.0,0.06,NRMA,Unknown,Unknown,0.0,0.262
-37.7227909,144.5721618,1,0.0,0.5,0.5,301.0,1.0,Evie Networks,CHAdeMO,Unknown,0.0,0.45
-34.524747,138.9586197,2,0.0,0.5,0.5,95.0,0.31333333333333335,NRMA,CHAdeMO,Unknown,0.0,0.31266666666666665
-37.9279602,145.1431387,4,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-35.3549489,145.7250878,1,0.0,0.5,0.5,61.0,0.2,NRMA,CHAdeMO,Unknown,0.0,0.29000000000000004
-28.0293919,153.434591,1,0.0,0.5,0.5,103.0,0.34,Unknown,Unknown,Unknown,0.0,0.318
-41.0035878,147.3947423,1,0.0,0.5,0.5,5.0,0.013333333333333334,Unknown,Unknown,Unknown,0.0,0.25266666666666665
-38.757058,143.6683449,2,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-37.8810561,147.9849476,1,0.0,0.5,0.5,17.0,0.05333333333333334,"Tesla, Inc.",Unknown,Unknown,0.0,0.26066666666666666
-38.4513659,145.2402838,2,0.0,0.5,0.5,301.0,1.0,EVolution,Unknown,Unknown,0.0,0.45
-41.5824743,145.9366036,1,0.0,0.5,0.5,21.0,0.06666666666666667,Tasmanian Parks & Wildlife,Type 2 (Socket Only),Unknown,0.0,0.2633333333333333
-37.8292531,145.056178,1,0.0,0.5,0.5,301.0,1.0,Tesla Supercharger,Unknown,Unknown,0.0,0.45
-24.327605,151.5605055,2,0.0,0.5,0.5,8.0,0.023333333333333334,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0.0,0.25466666666666665
-19.5755234,147.404019,2,0.0,0.5,0.5,6.0,0.016666666666666666,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0.0,0.25333333333333335
-19.2600757,146.8208282,1,0.0,0.5,0.5,8.0,0.023333333333333334,ChargeStar,CHAdeMO,Unknown,0.0,0.25466666666666665
-32.9599116,151.6240709,1,0.0,0.5,0.5,39.0,0.12666666666666668,Chargefox,Unknown,Unknown,0.0,0.2753333333333333
-27.243335,153.0156633,2,0.0,0.5,0.5,103.0,0.34,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0.0,0.318
-27.6379161,153.1355179,2,0.0,0.5,0.5,103.0,0.34,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0.0,0.318
-27.6162053,152.7584677,2,0.0,0.5,0.5,103.0,0.34,Yurika,"Type 2 (Socket Only), CHAdeMO",Unknown,0.0,0.318
-35.7344119,143.9213354,1,0.0,0.5,0.5,61.0,0.2,Charging the Regions,CHAdeMO,Unknown,0.0,0.29000000000000004
-32.9033741,151.6676792,1,0.0,0.5,0.5,39.0,0.12666666666666668,Tesla,Unknown,Unknown,0.0,0.2753333333333333
-38.1805437,146.3477263,1,0.0,0.5,0.5,301.0,1.0,EnergyAustralia,CHAdeMO,Unknown,0.0,0.45
-35.2745267,149.1333578,1,0.0,0.5,0.5,54.0,0.17666666666666667,"Tesla, Inc.",Unknown,Unknown,0.0,0.2853333333333333
-42.1522093,145.3299069,1,0.0,0.5,0.5,21.0,0.06666666666666667,"Tesla, Inc.",Unknown,Unknown,0.0,0.2633333333333333
-36.4459863,148.4516049,1,0.0,0.5,0.5,54.0,0.17666666666666667,"Tesla, Inc.",Unknown,Unknown,0.0,0.2853333333333333
-36.4146819,148.6165569,1,0.0,0.5,0.5,54.0,0.17666666666666667,"Tesla, Inc.",Unknown,Unknown,0.0,0.2853333333333333
-35.3457734,149.0857708,1,0.0,0.5,0.5,54.0,0.17666666666666667,Unknown,Type 1 (J1772),Unknown,0.0,0.2853333333333333
-42.1348216,148.3020342,1,0.0,0.5,0.5,47.0,0.15333333333333332,"Tesla, Inc.",Unknown,Unknown,0.0,0.2806666666666667
-41.4403151,147.1290413,1,0.0,0.5,0.5,47.0,0.15333333333333332,"Tesla, Inc.",Unknown,Unknown,0.0,0.2806666666666667
-30.555484,151.6821565,7,0.0,0.5,0.5,19.0,0.06,Peterson's Armidale,Unknown,Unknown,0.0,0.262
-30.5062581,151.6728399,2,0.0,0.5,0.5,19.0,0.06,"Tesla, Inc.",Type 2 (Socket Only),Unknown,0.0,0.262
-33.1048978,151.6482486,1,0.0,0.5,0.5,39.0,0.12666666666666668,Porsche,Unknown,Unknown,0.0,0.2753333333333333
-38.1293011,144.3453057,2,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-17.3736451,145.3844854,2,0.0,0.5,0.5,6.0,0.016666666666666666,Tropical North Queensland Electric Vehicle Tourist Drive,Unknown,Unknown,0.0,0.25333333333333335
-34.937999,138.6437536,1,0.0,0.5,0.5,95.0,0.31333333333333335,Chargefox,Type 2 (Socket Only),Unknown,0.0,0.31266666666666665
-35.2941487,139.0244883,2,0.0,0.5,0.5,22.0,0.07,"Tesla, Inc.",Type 2 (Socket Only),Unknown,0.0,0.264
-36.7405105,143.9001993,1,0.0,0.5,0.5,61.0,0.2,Charging the Regions,Unknown,Unknown,0.0,0.29000000000000004
-35.1841062,149.1354639,2,0.0,0.5,0.5,42.0,0.13666666666666666,Unknown,Unknown,Unknown,0.0,0.2773333333333333
-37.9365224,145.1907152,22,0.0,0.5,0.5,301.0,1.0,Chargefox,Unknown,Unknown,0.0,0.45
-37.9528827,145.1800698,1,0.0,0.5,0.5,301.0,1.0,Chargefox,Unknown,Unknown,0.0,0.45
-38.3709259,144.8209256,2,0.0,0.5,0.5,301.0,1.0,"Tesla, Inc.",Unknown,Unknown,0.0,0.45
-32.8021172,116.4755665,1,0.0,0.5,0.5,177.0,0.5866666666666667,Unknown,Unknown,Unknown,0.0,0.36733333333333335
-38.172938,146.2590159,1,0.0,0.5,0.5,301.0,1.0,Tesla Supercharger,Unknown,Unknown,0.0,0.45
-36.5049165,148.3045413,1,0.0,0.5,0.5,54.0,0.17666666666666667,"Tesla, Inc.",Unknown,Unknown,0.0,0.2853333333333333
-35.0710089,142.3156162,1,0.0,0.5,0.5,12.0,0.03666666666666667,Charging the Regions,CHAdeMO,Unknown,0.0,0.25733333333333336
-35.3409423,143.5617026,2,0.0,0.5,0.5,32.0,0.10333333333333333,Charging the Regions,CHAdeMO,Unknown,0.0,0.27066666666666667
-36.8951652,149.9120037,1,0.0,0.5,0.5,54.0,0.17666666666666667,"Tesla, Inc.",Unknown,Unknown,0.0,0.2853333333333333
-36.1423702,141.9878017,1,0.0,0.5,0.5,32.0,0.10333333333333333,Linga Network,Unknown,Unknown,0.0,0.27066666666666667
-23.2884084,150.5116862,1,0.0,0.5,0.5,8.0,0.023333333333333334,Unknown,Unknown,Unknown,0.0,0.25466666666666665
-38.2344038,145.05112,1,0.0,0.5,0.5,301.0,1.0,Tesla Supercharger,Unknown,Unknown,0.0,0.45
-37.9271751,145.1435899,4,0.0,0.5,0.5,301.0,1.0,IKEA,Type 2 (Socket Only),Unknown,0.0,0.45
-33.8648195,151.2119085,1,0.0,0.5,0.5,222.0,0.7366666666666667,Bell Resources,Unknown,Unknown,0.0,0.3973333333333333
-26.8857922,152.1029637,1,0.0,0.5,0.5,29.0,0.09333333333333334,"Tesla, Inc.",Unknown,Unknown,0.0,0.26866666666666666
-31.4071902,152.9007826,1,0.0,0.5,0.5,39.0,0.12666666666666668,"Tesla, Inc.",Unknown,Unknown,0.0,0.2753333333333333
-30.9527945,148.3878551,1,0.0,0.5,0.5,5.0,0.013333333333333334,NRMA,Unknown,Unknown,0.0,0.25266666666666665
-30.0207154,148.1177704,1,0.0,0.5,0.5,5.0,0.013333333333333334,NRMA,Unknown,Unknown,0.0,0.25266666666666665
-37.1955356,142.6092866,2,0.0,0.5,0.5,32.0,0.10333333333333333,EVUp,Unknown,Unknown,0.0,0.27066666666666667
-33.9435652,151.2396953,1,0.0,0.5,0.5,222.0,0.7366666666666667,Jolt,Unknown,Unknown,0.0,0.3973333333333333
-33.9080986,151.1716659,4,0.0,0.5,0.5,222.0,0.7366666666666667,Unknown,Unknown,Unknown,0.0,0.3973333333333333
-38.2159676,144.3181255,1,0.0,0.5,0.5,301.0,1.0,Unknown,Unknown,Unknown,0.0,0.45
-33.7054584,150.8754276,1,0.0,0.5,0.5,222.0,0.7366666666666667,Evie Networks,Unknown,Unknown,0.0,0.3973333333333333
-36.7158552,142.1964354,3,0.0,0.5,0.5,32.0,0.10333333333333333,Tesla Supercharger,Unknown,Unknown,0.0,0.27066666666666667
-34.8437992,138.5042702,2,0.0,0.5,0.5,95.0,0.31333333333333335,Unknown,Unknown,Unknown,0.0,0.31266666666666665
-33.9532239,150.8040539,1,0.0,0.5,0.5,222.0,0.7366666666666667,Unknown,Unknown,Unknown,0.0,0.3973333333333333
-34.9255431,138.5944471,2,0.0,0.5,0.5,95.0,0.31333333333333335,chargefox,Type 2 (Socket Only),Unknown,0.0,0.31266666666666665
-33.5998723,137.9317912,1,0.0,0.5,0.5,95.0,0.31333333333333335,Tesla,Unknown,Unknown,0.0,0.31266666666666665
-34.9617279,138.6010902,2,0.0,0.5,0.5,95.0,0.31333333333333335,Unknown,Type 2 (Socket Only),Unknown,0.0,0.31266666666666665
-35.3913107,138.4630733,1,0.0,0.5,0.5,22.0,0.07,"Tesla, Inc.",Unknown,Unknown,0.0,0.264
-33.871695,151.2681007,2,0.0,0.5,0.5,222.0,0.7366666666666667,Jetcharge,Type 2 (Socket Only),Unknown,0.0,0.3973333333333333
-34.7678388,137.5974941,1,0.0,0.5,0.5,95.0,0.31333333333333335,"Tesla, Inc.",Type 2 (Socket Only),Unknown,0.0,0.31266666666666665
-33.8872485,151.099324,1,0.0,0.5,0.5,222.0,0.7366666666666667,Jolt,Unknown,Unknown,0.0,0.3973333333333333
-32.2708341,125.4872676,1,0.0,0.5,0.5,4.0,0.01,Unknown,Unknown,Unknown,0.0,0.252
-31.5575066,143.3857829,1,0.0,0.5,0.5,3.0,0.006666666666666667,NRMA,Unknown,Unknown,0.0,0.25133333333333335
-33.7620853,151.2141725,1,0.0,0.5,0.5,222.0,0.7366666666666667,Jolt,Unknown,Unknown,0.0,0.3973333333333333
-33.7537328,151.2869932,1,0.0,0.5,0.5,222.0,0.7366666666666667,Jolt,CHAdeMO,Unknown,0.0,0.3973333333333333
-33.7698741,150.7291974,2,0.0,0.5,0.5,222.0,0.7366666666666667,Western Sydney University,CHAdeMO,Unknown,0.0,0.3973333333333333
-33.9511802,115.076035,3,0.0,0.5,0.5,31.0,0.1,Tesla Supercharger,Unknown,Unknown,0.0,0.27
-33.7789889,151.283873,1,0.0,0.5,0.5,222.0,0.7366666666666667,Jolt,CHAdeMO,Unknown,0.0,0.3973333333333333
-33.5816984,120.0441758,1,0.0,0.5,0.5,23.0,0.07333333333333333,Unknown,Unknown,Unknown,0.0,0.26466666666666666
-33.9621828,151.063567,1,0.0,0.5,0.5,222.0,0.7366666666666667,Jolt,Unknown,Unknown,0.0,0.3973333333333333
-33.8354773,148.6817349,2,0.0,0.5,0.5,42.0,0.13666666666666666,"Tesla, Inc",Unknown,Unknown,0.0,0.2773333333333333
-33.8695391,151.116168,1,0.0,0.5,0.5,222.0,0.7366666666666667,Jolt,Unknown,Unknown,0.0,0.3973333333333333
-33.8947565,151.1096799,1,0.0,0.5,0.5,222.0,0.7366666666666667,Jolt,Unknown,Unknown,0.0,0.3973333333333333
-33.0792151,115.8968022,2,0.0,0.5,0.5,177.0,0.5866666666666667,Chargefox,"Type 1 (J1772), Type 2 (Socket Only), CHAdeMO",Unknown,0.0,0.36733333333333335
-32.0573845,115.7472283,1,0.0,0.5,0.5,177.0,0.5866666666666667,"Tesla, Inc.",Unknown,Unknown,0.0,0.36733333333333335
-33.9167278,136.5725086,1,0.0,0.5,0.5,2.0,0.0033333333333333335,"Tesla, Inc.",Unknown,Unknown,0.0,0.25066666666666665
-33.873882,151.1019416,1,0.0,0.5,0.5,222.0,0.7366666666666667,Jolt,Unknown,Unknown,0.0,0.3973333333333333
-27.5338615,152.9489592,4,0.0,0.5,0.5,103.0,0.34,Evie Networks,Unknown,Unknown,0.0,0.318
-29.9607798,146.8577827,2,0.0,0.5,0.5,3.0,0.006666666666666667,NRMA,Unknown,Unknown,0.0,0.25133333333333335
-34.4952775,150.7957656,1,0.0,0.5,0.5,222.0,0.7366666666666667,Evie Networks,Unknown,Unknown,0.0,0.3973333333333333
-27.7844523,153.2608045,2,0.0,0.5,0.5,103.0,0.34,ChargePoint,Unknown,Unknown,0.0,0.318
-37.6478848,144.9942276,1,0.0,0.5,0.5,301.0,1.0,Evie Networks,CHAdeMO,Unknown,0.0,0.45
-27.444063,153.0819323,1,0.0,0.5,0.5,103.0,0.34,Unknown,Unknown,Unknown,0.0,0.318
-42.1244723,146.7458333,1,0.0,0.5,0.5,21.0,0.06666666666666667,Chargefox,CHAdeMO,Unknown,0.0,0.2633333333333333
-42.8874253,147.4269258,1,0.0,0.5,0.5,47.0,0.15333333333333332,Chargefox,Unknown,Unknown,0.0,0.2806666666666667
-33.8720579,151.0954277,1,0.0,0.5,0.5,222.0,0.7366666666666667,Jolt,Unknown,Unknown,0.0,0.3973333333333333
