ID,Title,Latitude,Longitude,AccessComments,WheelchairAccess,Connectors,City,Wheelchair_Score,Connector_Score,Proximity_Score,Walkability_Score,PublicTransport_Score,Population_Score,n_Wheelchair_Score,n_Connector_Score,n_Proximity_Score,n_Walkability_Score,n_PublicTransport_Score,n_Population_Score,AIS_Score
190055,Eden Gardens,-33.78064947709375,151.13421887082995,,,1,Macquarie Park,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
272618,ENGIE - DFO Homebush,-33.855576,151.076681,,,1,Homebush,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
190053,Giffnock Avenue,-33.78254134090367,151.1230831406915,,,1,Macquarie Park,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
150032,Macquarie Supercharger,-33.777782,151.12275,"You *must* be Westbound on Talavera Road and take the 2nd parking entrance, halfway between the 2 traffic lights and below the logo tower with the shop signs. It's hidden until you're right on it. Follow the signs and black painted lane to Valet Parking. 150 kW, *not* 120 kW.",,1,,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
272627,Macquarie Centre,-33.777565954445315,151.12056384466786,,,4,North Ryde,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
191394,NRMA Olympic Park,-33.84605079570373,151.06985459321334,,,2,Sydney Olympic Park,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
190417,Richmond Tavistock No. 3 [Jolt],-33.86602668667314,151.06443969723887,,,2,Sydney,0,2,1.0,1.0,0.5,1.0,0.0,0.4,1.0,1.0,0.0,1.0,0.5666666666666667
272637,Allambie Grove Business Park,-33.751303,151.2433284,,,2,Frenchs Forest,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
190041,Macquarie University X6A Banksia Cottage,-33.77520838069468,151.1095032126692,Use Chargefox App or RFID,,1,Macquarie University,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
298207,Opposite Malbara Crescent,-33.741938777072164,151.21364536627425,,,1,Frenchs Forest,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
298208,Blackbutts Road,-33.741938777072164,151.21364536627425,,,1,Frenchs Forest,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
273436,Wiley Park [bp pulse],-33.919392020719556,151.06669418522023,,,2,Wiley Park,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
272617,ENGIE - Roselands Shopping Centre,-33.935,151.069205,,,1,Roselands,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
128195,PCYC Car Park,-33.75028109544636,151.28666346345153,"This is the Northern Beaches Council Car Park, with PCYC above. EO chargers are Level 1 of car park just near entrance, Tesla and old chargepoint charger down on level 2.",,3,Dee Why,1,3,0.5,0.5,0.5,0.5,1.0,0.6000000000000001,0.0,0.0,0.0,0.16666666666666663,0.29444444444444445
192687,Stanley St Peakhurst NSW,-33.961219,151.065897,,,2, Peakhurst ,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
168913,Abbott Road,-33.81195253512282,151.03587917803534,,,1,Rydalmere,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
191160,Bankstown [Evie],-33.93201456375411,151.0301553213108,,,4,Bankstown,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
308738,Tesla Supercharger Bankstown,-33.933123083981414,151.0285550577326,,,1,Bankstown,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
273428,bp pulse Rosehill,-33.818996055217895,151.02170364175703,,,1,Rosehill,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
272633,Belrose Home,-33.703118,151.212917,,,4,Belrose,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
272622,Pennant Hills Toyota,-33.7366211,151.0743388,,,1,Pennant Hills,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
190054,Hillcrest Road,-33.73724500047699,151.07106994908884,,,1,,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
272700,Red Rooster Guildford,-33.85283452159095,150.99575854229482,,,4,Guildford,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
272635,BP Caringbah,-34.03295211277035,151.12520883189632,,,4,Caringbah,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
130686,Tastebuds Tesla Charger,-33.6893362215631,151.224097191251,To the right of the Tastebuds cafe on the side closest to Mona Vale Road.,,1,Sydney,1,1,1.0,1.0,0.5,1.0,1.0,0.2,1.0,1.0,0.0,1.0,0.7000000000000001
278525,Ampol Waitara,-33.71060645301792,151.1025062095589,,,1,Waitara,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
272615,ENGIE - Warriewood Square,-33.695602,151.2962878,,,1,Warriewood,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
157456,"Georges River Council, Carlton Depot",-33.96493620946319,151.0,Check in at front office.,,1,Hurstville,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
191280,Tesla Supercharger South Village,-34.033063649505685,151.07388271966877,,,1,Kirrawee,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
191052,Woolworths Kireawee,-34.03429800987962,151.0734299224497,,,2,Kirrawee,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
210903,Cherrybrook Village - Basement Carpark,-33.721132,151.04396,,,1,CHERRYBROOK,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
210904,Cherrybrook Village,-33.721132,151.04396,,,1,CHERRYBROOK,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
190757,Mona Vale [JOLT],-33.67606087720165,151.30325795651265,"Street parking, one marked parking spot",,2,Mona Vale,1,2,0.5,0.5,0.5,0.5,1.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.26111111111111107
192929,Mona Vale library carpark [JOLT],-33.67610252225354,151.3038961163004,"In off-street carpark, enter from Park St",,2,Mona Vale,1,2,0.5,0.5,0.5,0.5,1.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.26111111111111107
170607,Ampol Woolworths MetroGo Seven Hills,-33.767099,150.954883,"Can be accessed from Foundry Rd through back of Hungry Jack's if coming from West, or perhaps more importantly, if looking to exit onto the M2 or turn at Old Windsor Road to reach the M7.  Try out the air compressor and the squeegee while you charge. They’re immediately next to the charging bays, and the tyre hose reaches both spaces.",,2,Seven Hills,1,2,0.5,0.5,0.5,0.5,1.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.26111111111111107
9892,Round Cnr 494-500 Old Northern Road,-33.693647,151.018619,,,1,Dural,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
273870,bp pulse Seven Hills,-33.76725,150.952041,,,1,Seven Hills,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
265390,HomeCo Castle Hill,-33.72778176586396,150.976245622693,,,4,Castle Hill,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
191161,Evie Cabramatta,-33.89880022738458,150.91994378105392,,,4,Cabramatta,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
272620,Berowra Tennis Centre,-33.621379,151.1494478,,,1,Berowra,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
272624,ENGIE - Greenway Wetherill Park,-33.850403,150.89840155,,,1,Wetherill Park,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
272688,Casula Mall,-33.947906375047246,150.90105410921717,,,4,Casula,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112
295979,Barrenjoey Road,-33.597285174014345,151.31997898476163,,,2,,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444
272521,BP Pulse Eastern Creek,-33.811041669720204,150.85030018744214,Pass by the car bowsers to the left of the store - charger is approximately just across the driveway at the rear corner of the store,,1,Eastern Creek,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
133760,Woolworths Prestons,-33.9521597232138,150.855589807906,,,1,Sydney,0,1,1.0,1.0,0.5,1.0,0.0,0.2,1.0,1.0,0.0,1.0,0.5333333333333333
204317,ECQ XL,-33.78758418286377,150.854268328623,"4x Type 2 AC charge points, BYO cable",,1,Eastern Creek ,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
212646,Eastern Creek Quarter,-33.78477823234724,150.8530576715741,ECQ XL is gated and may be inaccessible at night,,1,Eastern Creek,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
273933,Chargefox,-33.770837178135245,150.84515556849738,,,1,Rooty Hill,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111
267345,Chargefox Teachers Mutual Bank,-33.77239824531827,150.84348282464293,Accessible only during office hours,,1,Rooty Hill,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777
