ID,Title,Latitude,Longitude,AccessComments,WheelchairAccess,Connectors,City,Wheelchair_Score,Connector_Score,Proximity_Score,Walkability_Score,PublicTransport_Score,Population_Score,n_Wheelchair_Score,n_Connector_Score,n_Proximity_Score,n_Walkability_Score,n_PublicTransport_Score,n_Population_Score,AIS_Score,Cluster
272620,Berowra Tennis Centre,-33.621379,151.1494478,,,1,Berowra,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
266501,Campbelltown Supercharger,-34.07151792013103,150.80730085250025,Located in the car park of Campbelltown Catholic Club,,1,Campbelltown,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
299879,Chargefox Charging Station,-34.07085887727317,150.80665583075495,,,2,Campbelltown,0,2,0.5,0.5,1.0,0.5,0.0,0.4,0.0,0.0,1.0,0.16666666666666663,0.26111111111111107,-1
161843,Picton [NRMA],-34.16820562741403,150.61093049806357,,,2,Picton,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
279180,Ampol Foodary Pheasants Nest Southbound,-34.2834466714301,150.63939668827243,,,2,Pheasants Nest ,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
279179,Ampol Foodary Pheasants Nest Northbound,-34.2829974272134,150.63679286992692,,,2,Pheasants Nest,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
266540,Evie Lawson,-33.72070368975226,150.4297109802278,,,4,Lawson,0,4,0.5,0.5,0.5,0.5,0.0,0.8,0.0,0.0,0.0,0.16666666666666663,0.16111111111111112,-1
272708,ENGIE - Lake Haven Centre,-33.24078932377033,151.50325247968817,,,1,Lake Haven,0,1,0.5,0.5,0.5,0.5,0.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.06111111111111111,-1
190407,Scenic World Carpark,-33.728024559118296,150.300728600681,"Tesla 3 phase AC 22kW by the fire stairs near exit. Appear to be set to Legacy and should work with any Type 2 car.  
Wall outlets on corner near fire stairs on most levels of multi storey car park.",,1,Katoomba,1,1,0.5,0.5,0.5,0.5,1.0,0.2,0.0,0.0,0.0,0.16666666666666663,0.22777777777777777,-1
190408,Hydro Majestic Hotel,-33.67697329948779,150.281626751796,,,2,Medlow Bath,0,2,0.5,0.5,0.5,0.5,0.0,0.4,0.0,0.0,0.0,0.16666666666666663,0.09444444444444444,-1
