year,state,charging_level,ICE_segment,EV_emissions_kg,ICE_emissions_kg,CO2_saved_kg,grid_emission_factor,ev_adoption_rate,distance_km
2020,National,Level 1,SUV Medium,19.475,20.25,0.7749999999999986,0.779,0.0078,150
2020,National,Level 1,Pick-up/Chassis 4x4,19.475,33.3,13.824999999999996,0.779,0.0078,150
2020,National,Level 1,SUV Small,19.475,21.6,2.1249999999999964,0.779,0.0078,150
2020,National,Level 1,SUV Large,19.475,28.8,9.325,0.779,0.0078,150
2020,National,Level 1,Small,19.475,20.25,0.7749999999999986,0.779,0.0078,150
2020,National,Level 1,SUV Light,19.475,20.700000000000003,1.2250000000000014,0.779,0.0078,150
2020,National,Level 1,Medium,19.475,11.55,-7.925000000000001,0.779,0.0078,150
2020,National,Level 1,Light,19.475,20.4,0.9250000000000008,0.779,0.0078,150
2020,National,Level 1,Pick-up/Chassis 4x2,19.475,32.25,12.775,0.779,0.0078,150
2020,National,Level 1,SUV Upper Large,19.475,39.75,20.275,0.779,0.0078,150
2020,National,Level 1,Vans/Cab Chassis,19.475,29.85,10.375,0.779,0.0078,150
2020,National,Level 1,People Movers,19.475,27.15,7.674999999999997,0.779,0.0078,150
2020,National,Level 1,Sports,19.475,32.85,13.375,0.779,0.0078,150
2020,National,Level 1,Micro,19.475,17.25,-2.2250000000000014,0.779,0.0078,150
2020,National,Level 1,Large,19.475,23.1,3.625,0.779,0.0078,150
2020,National,Level 1,Upper Large,19.475,23.1,3.625,0.779,0.0078,150
2020,National,Level 2 Fast,SUV Medium,19.475,20.25,0.7749999999999986,0.779,0.0078,150
2020,National,Level 2 Fast,Pick-up/Chassis 4x4,19.475,33.3,13.824999999999996,0.779,0.0078,150
2020,National,Level 2 Fast,SUV Small,19.475,21.6,2.1249999999999964,0.779,0.0078,150
2020,National,Level 2 Fast,SUV Large,19.475,28.8,9.325,0.779,0.0078,150
2020,National,Level 2 Fast,Small,19.475,20.25,0.7749999999999986,0.779,0.0078,150
2020,National,Level 2 Fast,SUV Light,19.475,20.700000000000003,1.2250000000000014,0.779,0.0078,150
2020,National,Level 2 Fast,Medium,19.475,11.55,-7.925000000000001,0.779,0.0078,150
2020,National,Level 2 Fast,Light,19.475,20.4,0.9250000000000008,0.779,0.0078,150
2020,National,Level 2 Fast,Pick-up/Chassis 4x2,19.475,32.25,12.775,0.779,0.0078,150
2020,National,Level 2 Fast,SUV Upper Large,19.475,39.75,20.275,0.779,0.0078,150
2020,National,Level 2 Fast,Vans/Cab Chassis,19.475,29.85,10.375,0.779,0.0078,150
2020,National,Level 2 Fast,People Movers,19.475,27.15,7.674999999999997,0.779,0.0078,150
2020,National,Level 2 Fast,Sports,19.475,32.85,13.375,0.779,0.0078,150
2020,National,Level 2 Fast,Micro,19.475,17.25,-2.2250000000000014,0.779,0.0078,150
2020,National,Level 2 Fast,Large,19.475,23.1,3.625,0.779,0.0078,150
2020,National,Level 2 Fast,Upper Large,19.475,23.1,3.625,0.779,0.0078,150
2020,National,Level 2 Slow,SUV Medium,19.475,20.25,0.7749999999999986,0.779,0.0078,150
2020,National,Level 2 Slow,Pick-up/Chassis 4x4,19.475,33.3,13.824999999999996,0.779,0.0078,150
2020,National,Level 2 Slow,SUV Small,19.475,21.6,2.1249999999999964,0.779,0.0078,150
2020,National,Level 2 Slow,SUV Large,19.475,28.8,9.325,0.779,0.0078,150
2020,National,Level 2 Slow,Small,19.475,20.25,0.7749999999999986,0.779,0.0078,150
2020,National,Level 2 Slow,SUV Light,19.475,20.700000000000003,1.2250000000000014,0.779,0.0078,150
2020,National,Level 2 Slow,Medium,19.475,11.55,-7.925000000000001,0.779,0.0078,150
2020,National,Level 2 Slow,Light,19.475,20.4,0.9250000000000008,0.779,0.0078,150
2020,National,Level 2 Slow,Pick-up/Chassis 4x2,19.475,32.25,12.775,0.779,0.0078,150
2020,National,Level 2 Slow,SUV Upper Large,19.475,39.75,20.275,0.779,0.0078,150
2020,National,Level 2 Slow,Vans/Cab Chassis,19.475,29.85,10.375,0.779,0.0078,150
2020,National,Level 2 Slow,People Movers,19.475,27.15,7.674999999999997,0.779,0.0078,150
2020,National,Level 2 Slow,Sports,19.475,32.85,13.375,0.779,0.0078,150
2020,National,Level 2 Slow,Micro,19.475,17.25,-2.2250000000000014,0.779,0.0078,150
2020,National,Level 2 Slow,Large,19.475,23.1,3.625,0.779,0.0078,150
2020,National,Level 2 Slow,Upper Large,19.475,23.1,3.625,0.779,0.0078,150
2020,National,Level 3,SUV Medium,19.475,20.25,0.7749999999999986,0.779,0.0078,150
2020,National,Level 3,Pick-up/Chassis 4x4,19.475,33.3,13.824999999999996,0.779,0.0078,150
2020,National,Level 3,SUV Small,19.475,21.6,2.1249999999999964,0.779,0.0078,150
2020,National,Level 3,SUV Large,19.475,28.8,9.325,0.779,0.0078,150
2020,National,Level 3,Small,19.475,20.25,0.7749999999999986,0.779,0.0078,150
2020,National,Level 3,SUV Light,19.475,20.700000000000003,1.2250000000000014,0.779,0.0078,150
2020,National,Level 3,Medium,19.475,11.55,-7.925000000000001,0.779,0.0078,150
2020,National,Level 3,Light,19.475,20.4,0.9250000000000008,0.779,0.0078,150
2020,National,Level 3,Pick-up/Chassis 4x2,19.475,32.25,12.775,0.779,0.0078,150
2020,National,Level 3,SUV Upper Large,19.475,39.75,20.275,0.779,0.0078,150
2020,National,Level 3,Vans/Cab Chassis,19.475,29.85,10.375,0.779,0.0078,150
2020,National,Level 3,People Movers,19.475,27.15,7.674999999999997,0.779,0.0078,150
2020,National,Level 3,Sports,19.475,32.85,13.375,0.779,0.0078,150
2020,National,Level 3,Micro,19.475,17.25,-2.2250000000000014,0.779,0.0078,150
2020,National,Level 3,Large,19.475,23.1,3.625,0.779,0.0078,150
2020,National,Level 3,Upper Large,19.475,23.1,3.625,0.779,0.0078,150
2021,National,Level 1,SUV Medium,19.025,20.25,1.2250000000000014,0.761,0.0195,150
2021,National,Level 1,Pick-up/Chassis 4x4,19.025,33.3,14.275,0.761,0.0195,150
2021,National,Level 1,SUV Small,19.025,21.6,2.5749999999999997,0.761,0.0195,150
2021,National,Level 1,SUV Large,19.025,28.8,9.775000000000002,0.761,0.0195,150
2021,National,Level 1,Small,19.025,20.25,1.2250000000000014,0.761,0.0195,150
2021,National,Level 1,SUV Light,19.025,20.700000000000003,1.6750000000000045,0.761,0.0195,150
2021,National,Level 1,Medium,19.025,11.55,-7.474999999999998,0.761,0.0195,150
2021,National,Level 1,Light,19.025,20.4,1.3750000000000036,0.761,0.0195,150
2021,National,Level 1,Pick-up/Chassis 4x2,19.025,32.25,13.225,0.761,0.0195,150
2021,National,Level 1,SUV Upper Large,19.025,39.75,20.725,0.761,0.0195,150
2021,National,Level 1,Vans/Cab Chassis,19.025,29.85,10.825000000000005,0.761,0.0195,150
2021,National,Level 1,People Movers,19.025,27.15,8.125,0.761,0.0195,150
2021,National,Level 1,Sports,19.025,32.85,13.825000000000005,0.761,0.0195,150
2021,National,Level 1,Micro,19.025,17.25,-1.7749999999999986,0.761,0.0195,150
2021,National,Level 1,Large,19.025,23.1,4.075000000000003,0.761,0.0195,150
2021,National,Level 1,Upper Large,19.025,23.1,4.075000000000003,0.761,0.0195,150
2021,National,Level 2 Fast,SUV Medium,19.025,20.25,1.2250000000000014,0.761,0.0195,150
2021,National,Level 2 Fast,Pick-up/Chassis 4x4,19.025,33.3,14.275,0.761,0.0195,150
2021,National,Level 2 Fast,SUV Small,19.025,21.6,2.5749999999999997,0.761,0.0195,150
2021,National,Level 2 Fast,SUV Large,19.025,28.8,9.775000000000002,0.761,0.0195,150
2021,National,Level 2 Fast,Small,19.025,20.25,1.2250000000000014,0.761,0.0195,150
2021,National,Level 2 Fast,SUV Light,19.025,20.700000000000003,1.6750000000000045,0.761,0.0195,150
2021,National,Level 2 Fast,Medium,19.025,11.55,-7.474999999999998,0.761,0.0195,150
2021,National,Level 2 Fast,Light,19.025,20.4,1.3750000000000036,0.761,0.0195,150
2021,National,Level 2 Fast,Pick-up/Chassis 4x2,19.025,32.25,13.225,0.761,0.0195,150
2021,National,Level 2 Fast,SUV Upper Large,19.025,39.75,20.725,0.761,0.0195,150
2021,National,Level 2 Fast,Vans/Cab Chassis,19.025,29.85,10.825000000000005,0.761,0.0195,150
2021,National,Level 2 Fast,People Movers,19.025,27.15,8.125,0.761,0.0195,150
2021,National,Level 2 Fast,Sports,19.025,32.85,13.825000000000005,0.761,0.0195,150
2021,National,Level 2 Fast,Micro,19.025,17.25,-1.7749999999999986,0.761,0.0195,150
2021,National,Level 2 Fast,Large,19.025,23.1,4.075000000000003,0.761,0.0195,150
2021,National,Level 2 Fast,Upper Large,19.025,23.1,4.075000000000003,0.761,0.0195,150
2021,National,Level 2 Slow,SUV Medium,19.025,20.25,1.2250000000000014,0.761,0.0195,150
2021,National,Level 2 Slow,Pick-up/Chassis 4x4,19.025,33.3,14.275,0.761,0.0195,150
2021,National,Level 2 Slow,SUV Small,19.025,21.6,2.5749999999999997,0.761,0.0195,150
2021,National,Level 2 Slow,SUV Large,19.025,28.8,9.775000000000002,0.761,0.0195,150
2021,National,Level 2 Slow,Small,19.025,20.25,1.2250000000000014,0.761,0.0195,150
2021,National,Level 2 Slow,SUV Light,19.025,20.700000000000003,1.6750000000000045,0.761,0.0195,150
2021,National,Level 2 Slow,Medium,19.025,11.55,-7.474999999999998,0.761,0.0195,150
2021,National,Level 2 Slow,Light,19.025,20.4,1.3750000000000036,0.761,0.0195,150
2021,National,Level 2 Slow,Pick-up/Chassis 4x2,19.025,32.25,13.225,0.761,0.0195,150
2021,National,Level 2 Slow,SUV Upper Large,19.025,39.75,20.725,0.761,0.0195,150
2021,National,Level 2 Slow,Vans/Cab Chassis,19.025,29.85,10.825000000000005,0.761,0.0195,150
2021,National,Level 2 Slow,People Movers,19.025,27.15,8.125,0.761,0.0195,150
2021,National,Level 2 Slow,Sports,19.025,32.85,13.825000000000005,0.761,0.0195,150
2021,National,Level 2 Slow,Micro,19.025,17.25,-1.7749999999999986,0.761,0.0195,150
2021,National,Level 2 Slow,Large,19.025,23.1,4.075000000000003,0.761,0.0195,150
2021,National,Level 2 Slow,Upper Large,19.025,23.1,4.075000000000003,0.761,0.0195,150
2021,National,Level 3,SUV Medium,19.025,20.25,1.2250000000000014,0.761,0.0195,150
2021,National,Level 3,Pick-up/Chassis 4x4,19.025,33.3,14.275,0.761,0.0195,150
2021,National,Level 3,SUV Small,19.025,21.6,2.5749999999999997,0.761,0.0195,150
2021,National,Level 3,SUV Large,19.025,28.8,9.775000000000002,0.761,0.0195,150
2021,National,Level 3,Small,19.025,20.25,1.2250000000000014,0.761,0.0195,150
2021,National,Level 3,SUV Light,19.025,20.700000000000003,1.6750000000000045,0.761,0.0195,150
2021,National,Level 3,Medium,19.025,11.55,-7.474999999999998,0.761,0.0195,150
2021,National,Level 3,Light,19.025,20.4,1.3750000000000036,0.761,0.0195,150
2021,National,Level 3,Pick-up/Chassis 4x2,19.025,32.25,13.225,0.761,0.0195,150
2021,National,Level 3,SUV Upper Large,19.025,39.75,20.725,0.761,0.0195,150
2021,National,Level 3,Vans/Cab Chassis,19.025,29.85,10.825000000000005,0.761,0.0195,150
2021,National,Level 3,People Movers,19.025,27.15,8.125,0.761,0.0195,150
2021,National,Level 3,Sports,19.025,32.85,13.825000000000005,0.761,0.0195,150
2021,National,Level 3,Micro,19.025,17.25,-1.7749999999999986,0.761,0.0195,150
2021,National,Level 3,Large,19.025,23.1,4.075000000000003,0.761,0.0195,150
2021,National,Level 3,Upper Large,19.025,23.1,4.075000000000003,0.761,0.0195,150
2022,National,Level 1,SUV Medium,16.975,20.25,3.2749999999999986,0.679,0.0381,150
2022,National,Level 1,Pick-up/Chassis 4x4,16.975,33.3,16.324999999999996,0.679,0.0381,150
2022,National,Level 1,SUV Small,16.975,21.6,4.6249999999999964,0.679,0.0381,150
2022,National,Level 1,SUV Large,16.975,28.8,11.825,0.679,0.0381,150
2022,National,Level 1,Small,16.975,20.25,3.2749999999999986,0.679,0.0381,150
2022,National,Level 1,SUV Light,16.975,20.700000000000003,3.7250000000000014,0.679,0.0381,150
2022,National,Level 1,Medium,16.975,11.55,-5.425000000000001,0.679,0.0381,150
2022,National,Level 1,Light,16.975,20.4,3.4250000000000007,0.679,0.0381,150
2022,National,Level 1,Pick-up/Chassis 4x2,16.975,32.25,15.275,0.679,0.0381,150
2022,National,Level 1,SUV Upper Large,16.975,39.75,22.775,0.679,0.0381,150
2022,National,Level 1,Vans/Cab Chassis,16.975,29.85,12.875,0.679,0.0381,150
2022,National,Level 1,People Movers,16.975,27.15,10.174999999999995,0.679,0.0381,150
2022,National,Level 1,Sports,16.975,32.85,15.875,0.679,0.0381,150
2022,National,Level 1,Micro,16.975,17.25,0.2749999999999986,0.679,0.0381,150
2022,National,Level 1,Large,16.975,23.1,6.125,0.679,0.0381,150
2022,National,Level 1,Upper Large,16.975,23.1,6.125,0.679,0.0381,150
2022,National,Level 2 Fast,SUV Medium,16.975,20.25,3.2749999999999986,0.679,0.0381,150
2022,National,Level 2 Fast,Pick-up/Chassis 4x4,16.975,33.3,16.324999999999996,0.679,0.0381,150
2022,National,Level 2 Fast,SUV Small,16.975,21.6,4.6249999999999964,0.679,0.0381,150
2022,National,Level 2 Fast,SUV Large,16.975,28.8,11.825,0.679,0.0381,150
2022,National,Level 2 Fast,Small,16.975,20.25,3.2749999999999986,0.679,0.0381,150
2022,National,Level 2 Fast,SUV Light,16.975,20.700000000000003,3.7250000000000014,0.679,0.0381,150
2022,National,Level 2 Fast,Medium,16.975,11.55,-5.425000000000001,0.679,0.0381,150
2022,National,Level 2 Fast,Light,16.975,20.4,3.4250000000000007,0.679,0.0381,150
2022,National,Level 2 Fast,Pick-up/Chassis 4x2,16.975,32.25,15.275,0.679,0.0381,150
2022,National,Level 2 Fast,SUV Upper Large,16.975,39.75,22.775,0.679,0.0381,150
2022,National,Level 2 Fast,Vans/Cab Chassis,16.975,29.85,12.875,0.679,0.0381,150
2022,National,Level 2 Fast,People Movers,16.975,27.15,10.174999999999995,0.679,0.0381,150
2022,National,Level 2 Fast,Sports,16.975,32.85,15.875,0.679,0.0381,150
2022,National,Level 2 Fast,Micro,16.975,17.25,0.2749999999999986,0.679,0.0381,150
2022,National,Level 2 Fast,Large,16.975,23.1,6.125,0.679,0.0381,150
2022,National,Level 2 Fast,Upper Large,16.975,23.1,6.125,0.679,0.0381,150
2022,National,Level 2 Slow,SUV Medium,16.975,20.25,3.2749999999999986,0.679,0.0381,150
2022,National,Level 2 Slow,Pick-up/Chassis 4x4,16.975,33.3,16.324999999999996,0.679,0.0381,150
2022,National,Level 2 Slow,SUV Small,16.975,21.6,4.6249999999999964,0.679,0.0381,150
2022,National,Level 2 Slow,SUV Large,16.975,28.8,11.825,0.679,0.0381,150
2022,National,Level 2 Slow,Small,16.975,20.25,3.2749999999999986,0.679,0.0381,150
2022,National,Level 2 Slow,SUV Light,16.975,20.700000000000003,3.7250000000000014,0.679,0.0381,150
2022,National,Level 2 Slow,Medium,16.975,11.55,-5.425000000000001,0.679,0.0381,150
2022,National,Level 2 Slow,Light,16.975,20.4,3.4250000000000007,0.679,0.0381,150
2022,National,Level 2 Slow,Pick-up/Chassis 4x2,16.975,32.25,15.275,0.679,0.0381,150
2022,National,Level 2 Slow,SUV Upper Large,16.975,39.75,22.775,0.679,0.0381,150
2022,National,Level 2 Slow,Vans/Cab Chassis,16.975,29.85,12.875,0.679,0.0381,150
2022,National,Level 2 Slow,People Movers,16.975,27.15,10.174999999999995,0.679,0.0381,150
2022,National,Level 2 Slow,Sports,16.975,32.85,15.875,0.679,0.0381,150
2022,National,Level 2 Slow,Micro,16.975,17.25,0.2749999999999986,0.679,0.0381,150
2022,National,Level 2 Slow,Large,16.975,23.1,6.125,0.679,0.0381,150
2022,National,Level 2 Slow,Upper Large,16.975,23.1,6.125,0.679,0.0381,150
2022,National,Level 3,SUV Medium,16.975,20.25,3.2749999999999986,0.679,0.0381,150
2022,National,Level 3,Pick-up/Chassis 4x4,16.975,33.3,16.324999999999996,0.679,0.0381,150
2022,National,Level 3,SUV Small,16.975,21.6,4.6249999999999964,0.679,0.0381,150
2022,National,Level 3,SUV Large,16.975,28.8,11.825,0.679,0.0381,150
2022,National,Level 3,Small,16.975,20.25,3.2749999999999986,0.679,0.0381,150
2022,National,Level 3,SUV Light,16.975,20.700000000000003,3.7250000000000014,0.679,0.0381,150
2022,National,Level 3,Medium,16.975,11.55,-5.425000000000001,0.679,0.0381,150
2022,National,Level 3,Light,16.975,20.4,3.4250000000000007,0.679,0.0381,150
2022,National,Level 3,Pick-up/Chassis 4x2,16.975,32.25,15.275,0.679,0.0381,150
2022,National,Level 3,SUV Upper Large,16.975,39.75,22.775,0.679,0.0381,150
2022,National,Level 3,Vans/Cab Chassis,16.975,29.85,12.875,0.679,0.0381,150
2022,National,Level 3,People Movers,16.975,27.15,10.174999999999995,0.679,0.0381,150
2022,National,Level 3,Sports,16.975,32.85,15.875,0.679,0.0381,150
2022,National,Level 3,Micro,16.975,17.25,0.2749999999999986,0.679,0.0381,150
2022,National,Level 3,Large,16.975,23.1,6.125,0.679,0.0381,150
2022,National,Level 3,Upper Large,16.975,23.1,6.125,0.679,0.0381,150
2023,National,Level 1,SUV Medium,16.25,20.25,4.0,0.65,0.0845,150
2023,National,Level 1,Pick-up/Chassis 4x4,16.25,33.3,17.049999999999997,0.65,0.0845,150
2023,National,Level 1,SUV Small,16.25,21.6,5.349999999999998,0.65,0.0845,150
2023,National,Level 1,SUV Large,16.25,28.8,12.55,0.65,0.0845,150
2023,National,Level 1,Small,16.25,20.25,4.0,0.65,0.0845,150
2023,National,Level 1,SUV Light,16.25,20.700000000000003,4.450000000000003,0.65,0.0845,150
2023,National,Level 1,Medium,16.25,11.55,-4.699999999999999,0.65,0.0845,150
2023,National,Level 1,Light,16.25,20.4,4.150000000000002,0.65,0.0845,150
2023,National,Level 1,Pick-up/Chassis 4x2,16.25,32.25,16.0,0.65,0.0845,150
2023,National,Level 1,SUV Upper Large,16.25,39.75,23.5,0.65,0.0845,150
2023,National,Level 1,Vans/Cab Chassis,16.25,29.85,13.6,0.65,0.0845,150
2023,National,Level 1,People Movers,16.25,27.15,10.9,0.65,0.0845,150
2023,National,Level 1,Sports,16.25,32.85,16.6,0.65,0.0845,150
2023,National,Level 1,Micro,16.25,17.25,1.0,0.65,0.0845,150
2023,National,Level 1,Large,16.25,23.1,6.850000000000001,0.65,0.0845,150
2023,National,Level 1,Upper Large,16.25,23.1,6.850000000000001,0.65,0.0845,150
2023,National,Level 2 Fast,SUV Medium,16.25,20.25,4.0,0.65,0.0845,150
2023,National,Level 2 Fast,Pick-up/Chassis 4x4,16.25,33.3,17.049999999999997,0.65,0.0845,150
2023,National,Level 2 Fast,SUV Small,16.25,21.6,5.349999999999998,0.65,0.0845,150
2023,National,Level 2 Fast,SUV Large,16.25,28.8,12.55,0.65,0.0845,150
2023,National,Level 2 Fast,Small,16.25,20.25,4.0,0.65,0.0845,150
2023,National,Level 2 Fast,SUV Light,16.25,20.700000000000003,4.450000000000003,0.65,0.0845,150
2023,National,Level 2 Fast,Medium,16.25,11.55,-4.699999999999999,0.65,0.0845,150
2023,National,Level 2 Fast,Light,16.25,20.4,4.150000000000002,0.65,0.0845,150
2023,National,Level 2 Fast,Pick-up/Chassis 4x2,16.25,32.25,16.0,0.65,0.0845,150
2023,National,Level 2 Fast,SUV Upper Large,16.25,39.75,23.5,0.65,0.0845,150
2023,National,Level 2 Fast,Vans/Cab Chassis,16.25,29.85,13.6,0.65,0.0845,150
2023,National,Level 2 Fast,People Movers,16.25,27.15,10.9,0.65,0.0845,150
2023,National,Level 2 Fast,Sports,16.25,32.85,16.6,0.65,0.0845,150
2023,National,Level 2 Fast,Micro,16.25,17.25,1.0,0.65,0.0845,150
2023,National,Level 2 Fast,Large,16.25,23.1,6.850000000000001,0.65,0.0845,150
2023,National,Level 2 Fast,Upper Large,16.25,23.1,6.850000000000001,0.65,0.0845,150
2023,National,Level 2 Slow,SUV Medium,16.25,20.25,4.0,0.65,0.0845,150
2023,National,Level 2 Slow,Pick-up/Chassis 4x4,16.25,33.3,17.049999999999997,0.65,0.0845,150
2023,National,Level 2 Slow,SUV Small,16.25,21.6,5.349999999999998,0.65,0.0845,150
2023,National,Level 2 Slow,SUV Large,16.25,28.8,12.55,0.65,0.0845,150
2023,National,Level 2 Slow,Small,16.25,20.25,4.0,0.65,0.0845,150
2023,National,Level 2 Slow,SUV Light,16.25,20.700000000000003,4.450000000000003,0.65,0.0845,150
2023,National,Level 2 Slow,Medium,16.25,11.55,-4.699999999999999,0.65,0.0845,150
2023,National,Level 2 Slow,Light,16.25,20.4,4.150000000000002,0.65,0.0845,150
2023,National,Level 2 Slow,Pick-up/Chassis 4x2,16.25,32.25,16.0,0.65,0.0845,150
2023,National,Level 2 Slow,SUV Upper Large,16.25,39.75,23.5,0.65,0.0845,150
2023,National,Level 2 Slow,Vans/Cab Chassis,16.25,29.85,13.6,0.65,0.0845,150
2023,National,Level 2 Slow,People Movers,16.25,27.15,10.9,0.65,0.0845,150
2023,National,Level 2 Slow,Sports,16.25,32.85,16.6,0.65,0.0845,150
2023,National,Level 2 Slow,Micro,16.25,17.25,1.0,0.65,0.0845,150
2023,National,Level 2 Slow,Large,16.25,23.1,6.850000000000001,0.65,0.0845,150
2023,National,Level 2 Slow,Upper Large,16.25,23.1,6.850000000000001,0.65,0.0845,150
2023,National,Level 3,SUV Medium,16.25,20.25,4.0,0.65,0.0845,150
2023,National,Level 3,Pick-up/Chassis 4x4,16.25,33.3,17.049999999999997,0.65,0.0845,150
2023,National,Level 3,SUV Small,16.25,21.6,5.349999999999998,0.65,0.0845,150
2023,National,Level 3,SUV Large,16.25,28.8,12.55,0.65,0.0845,150
2023,National,Level 3,Small,16.25,20.25,4.0,0.65,0.0845,150
2023,National,Level 3,SUV Light,16.25,20.700000000000003,4.450000000000003,0.65,0.0845,150
2023,National,Level 3,Medium,16.25,11.55,-4.699999999999999,0.65,0.0845,150
2023,National,Level 3,Light,16.25,20.4,4.150000000000002,0.65,0.0845,150
2023,National,Level 3,Pick-up/Chassis 4x2,16.25,32.25,16.0,0.65,0.0845,150
2023,National,Level 3,SUV Upper Large,16.25,39.75,23.5,0.65,0.0845,150
2023,National,Level 3,Vans/Cab Chassis,16.25,29.85,13.6,0.65,0.0845,150
2023,National,Level 3,People Movers,16.25,27.15,10.9,0.65,0.0845,150
2023,National,Level 3,Sports,16.25,32.85,16.6,0.65,0.0845,150
2023,National,Level 3,Micro,16.25,17.25,1.0,0.65,0.0845,150
2023,National,Level 3,Large,16.25,23.1,6.850000000000001,0.65,0.0845,150
2023,National,Level 3,Upper Large,16.25,23.1,6.850000000000001,0.65,0.0845,150
2024,National,Level 1,SUV Medium,15.75,20.25,4.5,0.63,0.0953,150
2024,National,Level 1,Pick-up/Chassis 4x4,15.75,33.3,17.549999999999997,0.63,0.0953,150
2024,National,Level 1,SUV Small,15.75,21.6,5.849999999999998,0.63,0.0953,150
2024,National,Level 1,SUV Large,15.75,28.8,13.05,0.63,0.0953,150
2024,National,Level 1,Small,15.75,20.25,4.5,0.63,0.0953,150
2024,National,Level 1,SUV Light,15.75,20.700000000000003,4.950000000000003,0.63,0.0953,150
2024,National,Level 1,Medium,15.75,11.55,-4.199999999999999,0.63,0.0953,150
2024,National,Level 1,Light,15.75,20.4,4.650000000000002,0.63,0.0953,150
2024,National,Level 1,Pick-up/Chassis 4x2,15.75,32.25,16.5,0.63,0.0953,150
2024,National,Level 1,SUV Upper Large,15.75,39.75,24.0,0.63,0.0953,150
2024,National,Level 1,Vans/Cab Chassis,15.75,29.85,14.1,0.63,0.0953,150
2024,National,Level 1,People Movers,15.75,27.15,11.4,0.63,0.0953,150
2024,National,Level 1,Sports,15.75,32.85,17.1,0.63,0.0953,150
2024,National,Level 1,Micro,15.75,17.25,1.5,0.63,0.0953,150
2024,National,Level 1,Large,15.75,23.1,7.350000000000001,0.63,0.0953,150
2024,National,Level 1,Upper Large,15.75,23.1,7.350000000000001,0.63,0.0953,150
2024,National,Level 2 Fast,SUV Medium,15.75,20.25,4.5,0.63,0.0953,150
2024,National,Level 2 Fast,Pick-up/Chassis 4x4,15.75,33.3,17.549999999999997,0.63,0.0953,150
2024,National,Level 2 Fast,SUV Small,15.75,21.6,5.849999999999998,0.63,0.0953,150
2024,National,Level 2 Fast,SUV Large,15.75,28.8,13.05,0.63,0.0953,150
2024,National,Level 2 Fast,Small,15.75,20.25,4.5,0.63,0.0953,150
2024,National,Level 2 Fast,SUV Light,15.75,20.700000000000003,4.950000000000003,0.63,0.0953,150
