Timestamp,Station_Name,Longitude,Latitude,Address,Distance_km,ETA_min,Suburb_Location_Lat,Suburb_Location_Lon
2025-04-18T16:17:09.015879,ChargeFox,145.029635,-37.855584,"290 Glenferrie Road, Melbourne, VIC, 3144",1.19,4.58,-37.8563442,145.0193207
2025-04-18T16:17:12.514240,ChargeFox,145.085511,-37.887755,"1341 Princes Highway, Melbourne, VIC, 3145",2.22,5.82,-37.8822799,145.1001365
2025-04-18T16:17:15.011364,ChargeFox,145.24502,-37.871707,"511 Burwood Highway, Melbourne, VIC, 3152",4.08,7,-37.8688729,145.2126338
2025-04-18T16:17:17.734522,ChargeFox,144.599737,-37.715307,"Bridge Rd, Cobblebank, VIC, 3338",0.84,4.08,-37.7125512,144.6040773
2025-04-18T16:17:18.717581,Evie,145.613177,-37.780958,"1-3 Park Road, Yarra Junction, VIC, 3797",0.26,1.52,-37.7821693,145.6150255
2025-04-18T16:17:20.745672,Evie,144.922268,-37.676814,"1177-1183 Pascoe Vale Road, Melbourne, VIC, 3047",5.44,10.47,-37.6641298,144.959583
2025-04-18T16:17:22.711588,ChargeFox,144.930032,-37.83076,"481 Plummer Street, Melbourne, VIC, 3207",1.11,3.73,-37.8333613,144.9219203
2025-04-18T16:17:25.250356,ChargeFox,145.165797,-37.673698,"129-163 Main Hurstbridge Road, Melbourne, VIC, 3089",1.22,2.85,-37.6733272,145.1588075
2025-04-18T16:17:30.846647,ChargeFox,144.662341,-37.901958,"22 Synnot Street, Melbourne, VIC, 3030",6.14,10.45,-37.8800365,144.6170498
2025-04-18T16:17:33.347124,AmpCharge,144.80928,-37.846491,"1 Horsburgh Drive, Melbourne, VIC, 3025",4.17,7.82,-37.8671503,144.8294637
2025-04-18T16:17:35.332806,ChargeFox,145.011346,-37.812423,"620 Victoria Street, Melbourne, VIC, 3121",2.18,5.25,-37.8191777,145.0167539
2025-04-18T16:17:37.335759,Evie,144.782132,-37.696554,"410 Melton Highway, Melbourne, VIC, 3038",4.59,7.28,-37.7062908,144.8039161
2025-04-18T16:17:39.563002,Evie,144.922268,-37.676814,"1177-1183 Pascoe Vale Road, Melbourne, VIC, 3047",1.35,3.7,-37.6804576,144.9123982
2025-04-18T16:17:41.633334,bp pulse,144.993801,-37.647825,"1 Scanlon Drive, Melbourne, VIC, 3076",5.33,8.35,-37.6245646,145.0136597
2025-04-18T16:17:45.353258,Evie,144.922268,-37.676814,"1177-1183 Pascoe Vale Road, Melbourne, VIC, 3047",1.69,4.88,-37.6730847,144.9282577
2025-04-18T16:17:47.659787,bp pulse,144.993801,-37.647825,"1 Scanlon Drive, Melbourne, VIC, 3076",12.32,14.23,-37.603329,144.9253134
2025-04-18T16:17:50.179015,ChargeFox,144.662341,-37.901958,"22 Synnot Street, Melbourne, VIC, 3030",2.26,4.7,-37.907984,144.6416748
2025-04-18T16:17:53.140725,ChargeFox,144.961488,-37.718971,"11 Boundary Road, Melbourne, VIC, 3046",1.35,5.35,-37.7272635,144.9678538
2025-04-18T16:17:55.026724,bp pulse,144.827641,-38.371404,"Point Nepean Road, Rye, VIC, 3941",2.92,6.2,-38.3821684,144.8099264
2025-04-18T16:17:57.267539,Evie,145.256979,-38.051221,"75S Lynbrook Boulevard, Melbourne, VIC, 3975",1.13,2.85,-38.0558639,145.2561128
