_id,cost,charging_points,pay_at_location,membership_required,access_key_required,is_operational,latitude,longitude,operator,connection_type,current_type,charging_points_flag,location.type,location.coordinates[0],location.coordinates[1]
674f98013dc8e5d2ac00892c,Unknown,1,Unknown,Unknown,Unknown,true,-33.1793167,138.0073688,Unknown,Three Phase 5-Pin (AS/NZ 3123),AC (Three-Phase),0,Point,138.0073688,-33.1793167
674f97ff3dc8e5d2ac0085dc,59c-68c/kWh,1,Unknown,Unknown,Unknown,true,-33.14584,136.415203,Chargefox,CCS (Type 2),DC,0,Point,136.415203,-33.14584
674f97ff3dc8e5d2ac008561,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.1410109,148.174695,Tesla Supercharger,Unknown,Unknown,1,Point,148.174695,-33.1410109
674f98013dc8e5d2ac008792,Unknown,1,Unknown,Unknown,Unknown,true,-33.1398318,136.4192314,(Business Owner at Location),Three Phase 5-Pin (AS/NZ 3123),AC (Three-Phase),0,Point,136.4192314,-33.1398318
674f97ff3dc8e5d2ac008356,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.1375197,148.1726877,NRMA,Unknown,Unknown,1,Point,148.1726877,-33.1375197
674f98013dc8e5d2ac008797,FREE,1,false,true,true,true,-33.13740734,148.1726837,NRMA,CCS (Type 2),DC,0,Point,148.1726837,-33.13740734
674f97ff3dc8e5d2ac0085f9,Evening peak 32c/kWh (5pm - 10pm) Standard 25c/kWh (all other times),2,Unknown,Unknown,Unknown,true,-33.13512143,136.4167889,Chargefox,Type 2 (Socket Only),AC (Single-Phase),0,Point,136.4167889,-33.13512143
674f97ff3dc8e5d2ac0083c8,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.1048978,151.6482486,Porsche,Unknown,Unknown,1,Point,151.6482486,-33.1048978
674f98013dc8e5d2ac0087ef,$2 per hour,1,true,false,false,true,-33.10288927,115.6890872,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),AC (Three-Phase),0,Point,115.6890872,-33.10288927
674f98013dc8e5d2ac0088c9,$0.40 / Kwh,1,false,true,true,true,-33.1007242,118.4623424,Chargefox,CCS (Type 2),DC,0,Point,118.4623424,-33.1007242
674f97ff3dc8e5d2ac00864c,Unknown,2,false,true,true,true,-33.0833,151.6333,Evie,CCS (Type 2),DC,0,Point,151.6333,-33.0833
674f97ff3dc8e5d2ac0083fc,$0.45AUD/kWh,2,Unknown,Unknown,Unknown,Unknown,-33.0792151,115.8968022,Chargefox,"Type 1 (J1772), Type 2 (Socket Only), CHAdeMO",Unknown,0,Point,115.8968022,-33.0792151
674f98013dc8e5d2ac0089af,Free,2,false,true,true,true,-33.079053,115.896327,Chargefox,CHAdeMO,DC,0,Point,115.896327,-33.079053
674f97ff3dc8e5d2ac0085db,59c-68c/kWh,1,Unknown,Unknown,Unknown,true,-33.047159,135.461943,Chargefox,CCS (Type 2),DC,0,Point,135.461943,-33.047159
674f98013dc8e5d2ac008778,$25 if not booking a room,1,true,false,false,true,-33.03453566,137.5625293,(Unknown Operator),Type 2 (Socket Only),AC (Three-Phase),0,Point,137.5625293,-33.03453566
674f97ff3dc8e5d2ac0086ee,DC - $0.60 per kWh AC - $0.35 per kWh at all times,4,Unknown,Unknown,Unknown,true,-33.03041339,116.8783121,Chargefox,CCS (Type 2),DC,0,Point,116.8783121,-33.03041339
674f97ff3dc8e5d2ac0086da,Unknown,1,false,true,true,true,-33.03010494,137.5293036,Noodoe EV,CCS (Type 2),DC,0,Point,137.5293036,-33.03010494
674f97ff3dc8e5d2ac0084b9,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.0265422,137.5314002,Chargefox,Unknown,Unknown,1,Point,137.5314002,-33.0265422
