make,model,variant,year,l_per_100km,fetch_source,fetch_query,gvg_search_hint,gvg_search_url,last_generated
Ford,Mach-E,Premium 4P RWD,,,dynamic,Ford Mach-E Premium 4P RWD,"Search GVG for ""Ford Mach-E Premium 4P RWD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Ford+Mach-E+Premium+4P+RWD,2025-08-20T06:03:50Z
Volvo,C40,Recharge,,,dynamic,Volvo C40 Recharge,"Search GVG for ""Volvo C40 Recharge""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Volvo+C40+Recharge,2025-08-20T06:03:50Z
Mercedes-Benz,EQE,350 4MATIC,,,dynamic,Mercedes-Benz EQE 350 4MATIC,"Search GVG for ""Mercedes-Benz EQE 350 4MATIC""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+350+4MATIC,2025-08-20T06:03:50Z
Mercedes-Benz,EQE Class,EQE 350 4MATIC,,,dynamic,Mercedes-Benz EQE Class EQE 350 4MATIC,"Search GVG for ""Mercedes-Benz EQE Class EQE 350 4MATIC""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Mercedes-Benz+EQE+Class+EQE+350+4MATIC,2025-08-20T06:03:50Z
MG,ZS EV,72kWh,,,dynamic,MG ZS EV 72kWh,"Search GVG for ""MG ZS EV 72kWh""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=MG+ZS+EV+72kWh,2025-08-20T06:03:50Z
Ford,Mach-E,Select LFP RWD,,,dynamic,Ford Mach-E Select LFP RWD,"Search GVG for ""Ford Mach-E Select LFP RWD""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Ford+Mach-E+Select+LFP+RWD,2025-08-20T06:03:50Z
BMW,5 Series,i5 M60 xDrive,,,dynamic,BMW 5 Series i5 M60 xDrive,"Search GVG for ""BMW 5 Series i5 M60 xDrive""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=BMW+5+Series+i5+M60+xDrive,2025-08-20T06:03:50Z
Fiat,500e,Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,,,dynamic,Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,"Search GVG for ""Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Fiat+500e+Abarth+500e+113.7+kW+42+kWh+FWD+ELECTRIC,2025-08-20T06:03:50Z
Cupra,Born,"77kWh 4 seat (20 Alloys)""",,,dynamic,"Cupra Born 77kWh 4 seat (20 Alloys)""","Search GVG for ""Cupra Born 77kWh 4 seat (20 Alloys)""""","https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Cupra+Born+77kWh+4+seat+(20+Alloys)""",2025-08-20T06:03:50Z
Volvo,XC40,Recharge,,,dynamic,Volvo XC40 Recharge,"Search GVG for ""Volvo XC40 Recharge""",https://www.greenvehicleguide.gov.au/Vehicle/SearchResults?keywords=Volvo+XC40+Recharge,2025-08-20T06:03:50Z
