SA2_CODE21,SA2_NAME21,SiteScore,Traffic_200m,AmenityScore_300m,dist_to_ch_m,lat,lon
213021344,Newport,0.4121473287758887,509031.0,1.0,668.9805053760196,-37.825829070376734,144.88113022773842
213041353,Bacchus Marsh,0.36421026401226925,138057.0,1.0,13591.046108628354,-37.663497690092186,144.43724827125834
206061516,South Yarra - South,0.3449481587638343,49901.0,58.0,328.8308160860274,-37.84514098478674,144.99413166588286
205011076,Drouin,0.3378013385029923,63463.0,2.0,15020.480709968047,-38.086809876965106,145.77749306911898
206041506,North Melbourne,0.3364580874185936,75647.0,52.0,480.42464183761115,-37.805653972612994,144.9562147158678
206031115,Flemington,0.3165250854147181,360055.0,3.0,1248.1833368514483,-37.7862892227581,144.93770609654504
203021043,Lara,0.3055638658845819,72926.0,1.0,13194.96416755287,-37.996182168830856,144.5051100276242
206041510,West Melbourne - Residential,0.2962460916064606,111327.0,39.0,489.52143685621184,-37.80691309193799,144.9549636752318
206011107,Brunswick West,0.2912070865435099,299549.0,6.0,1589.7568223820692,-37.756491779299104,144.93726314177977
207011150,Glen Iris - East,0.29077230774897994,338763.0,2.0,1048.8047735183331,-37.85190738700318,145.05544637741582
206051128,Albert Park,0.2874062648280814,320317.0,6.0,522.3405244393106,-37.83590986543766,144.97288219553096
206011495,Brunswick - North,0.2791440419258046,45338.0,44.8,713.728772532722,-37.76512836902039,144.96361992879767
212011289,Emerald - Cockatoo,0.27746461632561353,450.0,1.0,14725.646909562585,-37.92690133969478,145.55912158917886
208031190,Mentone,0.2659080916213511,310766.0,2.0,896.8666930537943,-37.982035883629734,145.07271050861823
210051242,Broadmeadows,0.2568431467281206,290184.0,3.0,994.766065134837,-37.68499545875639,144.9170469465456
213031348,Footscray,0.2464670980425794,87093.0,33.0,534.2540132805442,-37.799170768105064,144.89926280693302
214011375,Seaford (Vic.),0.2446737400054156,196895.0,5.0,3679.7666635200676,-38.1094246512008,145.14112713742006
207021156,Bulleen,0.24159064091528162,250387.0,1.0,2403.0955669398804,-37.77828882758981,145.08185780854723
209041224,Wallan,0.23737522881400178,139495.0,1.0,6802.335634946922,-37.47508351964988,144.9732011760325
206051513,St Kilda - Central,0.23051485324684498,259582.0,3.0,873.7541981537191,-37.85696766216697,144.9832214463208
213051468,Werribee - West,0.22488926279133595,10506.0,1.0,11517.241047874466,-37.96195636695879,144.5005333795475
207011522,Kew - West,0.22205145399283743,249057.0,1.0,1421.961501456094,-37.792154148777854,145.03019284948095
206041121,Kensington (Vic.),0.22151162585694825,262754.0,1.0,822.3214630684023,-37.794045665087395,144.93462443132623
213041358,Melton West,0.22129448544640704,39619.0,23.0,3970.0870739144916,-37.68769589807676,144.56161378700276
206071145,Clifton Hill - Alphington,0.21126490364188164,245927.0,2.0,700.9873240759134,-37.793004647463405,144.9894277598395
214021385,Somerville,0.20816126498935245,46550.0,5.0,8010.324991307654,-38.22374081000465,145.17555347407577
213011335,St Albans - South,0.19958407571250547,195011.0,3.0,1924.676539606106,-37.749277836623115,144.83069759925644
202011025,White Hills - Ascot,0.19887241657507587,9345.0,4.0,9347.761429746071,-36.667344948187576,144.3304217726703
206071143,Fitzroy North,0.19695792795940456,93035.0,22.0,731.4087049107111,-37.78717829820653,144.99020624466485
212011546,Beaconsfield - Officer,0.19586152942829804,154306.0,1.0,3982.5381056410847,-38.055450488009285,145.38296485118641
209011199,Heidelberg West,0.19210163426283858,143878.0,13.0,867.1857704489594,-37.749736318341235,145.04066520492188
211051286,Yarra Valley,0.18619050632863438,50215.0,3.0,7250.395695424626,-37.78012633696734,145.53087541547214
210021232,Gisborne,0.18527963060224403,3521.0,1.0,9707.089863580517,-37.51001825933612,144.4811613721487
208031193,Mordialloc - Parkdale,0.18432296074429702,87505.0,22.0,291.6423269237042,-38.00748256217327,145.08798948005682
209011197,Greensborough,0.1838367370299797,76208.0,24.0,178.36292552797514,-37.702179342796484,145.10500444795656
212021293,Berwick - North,0.1824661306571484,16154.0,21.0,3446.837713238145,-38.02921155356117,145.34605754075548
213031347,Braybrook,0.181644091886516,206625.0,1.0,1047.2066278659809,-37.78161637918456,144.8675506488783
211021261,Donvale - Park Orchards,0.17988896492022116,177608.0,2.0,1884.5401632260061,-37.80214732554097,145.17804021735523
206051130,Port Melbourne,0.17747230898717292,47224.0,23.0,1328.2260554001614,-37.84076206796715,144.9408991032157
213011334,St Albans - North,0.17634303530914247,91704.0,14.0,1926.9875356357022,-37.74251066732172,144.79998663472216
210011534,Keilor East,0.17562803938272115,170207.0,1.0,2246.2432740788895,-37.73083506844646,144.86840988767892
211041270,Mitcham (Vic.),0.17457463516829166,147471.0,7.0,1462.8746165358696,-37.817318141042975,145.1937408834815
214011370,Carrum Downs,0.17380397783561036,154754.0,1.0,2793.6801464284335,-38.09186390650931,145.15098008736786
208021176,Carnegie,0.17317903594246103,86776.0,17.0,1126.92001596747,-37.88579210307017,145.05803949515507
213041359,Rockbank - Mount Cottrell,0.17308175973308054,65474.0,1.0,6477.276176647831,-37.73391576571957,144.6717483399452
206061515,South Yarra - North,0.16771441792856148,199216.0,2.0,337.86890812633084,-37.834781229634174,144.9975036974138
207031161,Blackburn,0.16411703602643016,165419.0,1.0,1835.172089953909,-37.803144577744234,145.1598318034753
214011372,Frankston North,0.16202234491530348,172894.0,3.0,853.9930112271466,-38.14475566397479,145.13865462651572
206071139,Abbotsford,0.16124651853218797,86576.0,18.0,223.0047637747824,-37.80837573004739,144.99350973102025
