Charger_Name,Address,Suburb,State,Postal_Code,Power_kW,Usage_Cost,Number_of_Points,Connection_Types,latitude,longitude
RACV Healsville,Healsville - Yarra Glen Road,Healsville,VIC,nan,,,7.0,"25, 33",-37.6635261,145.4817549
Evie Healsville,River Street,Healsville,VIC,nan,,,1.0,"33, 2",-37.6635261,145.4817549
North Bellarine Aquatic Centre,30 Peninsula Drive,Curlewis,Victoria,3222,,,2.0,"33, 2, 33, 2",-37.8148997,145.1062282
Victoria Street,Victoria Street,Macedon,Victoria,3440,,,1.0,"33, 2",-37.7726251,145.1131159
50 Learmonth Street,50 Learmonth Street,Queenscliff,Victoria,3225,,,2.0,"33, 2, 33, 2",-38.3363033,144.7453366
Evie Yarra Juncion,Park Road,Yarra Junction,VIC,nan,,,1.0,"33, 2",-37.7821693,145.6150255
Kilmore Library,12 Sydney Street,Kilmore,Victoria,3764,,,1.0,"33, 2",-37.6750485,144.9242188
Geelong Supercharger,470-510 Princes Highway,Corio,Victoria,3214,250.0,,6.0,33,-37.9623312,145.1346687
Hastings,34 King Street,Hastings,Victoria,3915,,,1.0,"33, 2",-38.3056058,145.1859934
Kingston Village Square,Grubb Rd,Ocean Grove,Victoria,3226,,,3.0,"33, 2, 25",-38.170954,145.0972517
Sorrento ,860 Melbourne Rd,Nan,Victoria,3943,,,2.0,"33, 2, 33, 33",-37.8688729,145.2126338
Rosebud RSL,2 Dunsmuir Drive,Nan,Victoria,3940,,,2.0,"0, 2, 1",-37.8688729,145.2126338
bp pulse Rye,Cnr Weir St & Point Nepean Road,Rye,Victoria,3941,75.0,,2.0,33,-38.3821684,144.8099264
High St Parking,124 High Street,Woodend,Victoria,3442,,,2.0,"33, 2",-37.7934621,144.5595902
Geelong West Veledrome,Weddell Road,Geelong West,VIC,nan,22.0,,2.0,25,-37.8054508,144.879879
Bru4U Geelong ,4/100 Barwon Terrace,Geelong,Victoria,3220,22.0,,1.0,1036,-37.8396934,145.008539
Broadford Library,113 High Street,Broadford,Victoria,3658,,,1.0,"33, 2",-37.6362329,145.0265708
RACV Solar Grovedale,8 Lewalan Street,Grovedale,Victoria,3216,22.0,,1.0,25,-37.8171289,145.0949242
Blue Tongue Industries,8 Lewalan St,Grovedale,Victoria,3216,22.0,,1.0,25,-37.8171289,145.0949242
Evie Barabool Heights Plaza,Province Blvd,Highton,VIC,nan,,,4.0,"33, 2",-37.8163364,145.0687942
Armstrong Creek East Community Hub,46 Central Boulevard,Armstrong Creek,Victoria,3217,,,6.0,"25, 25, 25",-37.6289691,145.8640385
Leisurelink Aquatic & Recreation Centre,240 Pioneer Rd,Waurn Ponds,VIC,3216,,,2.0,"33, 2, 33, 2",,
Armstrong Creek Shopping Centre,540 Torquay Rd,Armstrong Creek,Victoria,3216,7.0,,2.0,25,-37.6289691,145.8640385
Deakin University Waurn Ponds,Carpark 1 Kings Way,Nan,Victoria,3216,,,4.0,"25, 25",-37.8688729,145.2126338
Trentham Visitor Information Centre,Albert Street,Trentham,Vic,nan,,,2.0,"33, 2",-37.7000743,144.8908894
Evie Flinders,33 Cook St,Flinders,VIC,3929,,,1.0,"33, 2",-38.473312,145.0187057
Evie Bannockburn,High Street,Bannockburn,VIC,nan,,,1.0,"33, 2",-37.732231,145.1014989
Evie Cowes,Chapel Street,Cowes,Vic,nan,,,4.0,"33, 2",-37.7092585,144.7872516
Kyneton,1 Hutton Street,Kyneton,Victoria,3444,,,1.0,"33, 2",-37.718862,145.0231115
Evie Meredith,12 Wallace St,Meredith,VIC,3333,,,1.0,"33, 2",-37.7657176,145.1589446
Yea Supercharger,10 High St,Yea,Victoria,3717,135.0,,4.0,33,-37.4927455,145.1572676
Penguin Parade Car Park,995 Ventor Rd,Summerlands,VIC,3922,,,1.0,"33, 2",,
RACV Torquay Resort,1 Great Ocean Road,Jan Juc,Victoria,3223,,,7.0,"33, 2, 33, 2, 33, 2, 33, 2",,
Newling Reserve,Newling Drive,Nan,Victoria,3240,7.0,,1.0,25,-37.8688729,145.2126338
Wine by Sam,69 Anzac Ave,Seymour,Vic,3660,,,1.0,"33, 2",-38.0021533,145.0974829
Daylesford Town Hall,76 Vincent St,Daylesford, VIC,3460,,,1.0,"33, 2",-37.627671,145.0254821
Hepburn Springs Bathhouse,1 Mineral Springs Reserve Road,Hepburn Springs,Victoria,3461,,,2.0,"33, 2",-37.7481414,144.739508
Shell Coles Express Warrenheip,9395 Western Highway,Warrenheip,VIC ,3352,,,2.0,"2, 33",,
Evie Warrigul,Queen Street,Warragul,Victoria,3820,,,1.0,"33, 2",-37.6694522,144.9350241
Evie Alexandra,8 - 10 Webster Street,Alexandra,Victoria,3714,,,1.0,"33, 2",-37.8212422,144.9736634
Dindi Naturals,6572 Maroondah Highway,Yarck,Victoria,3719,7.0,,1.0,25,-37.5772947,144.7161349
Ampol Foodary,Princes Highway,Winchelsea,Victoria,nan,,,1.0,"33, 2",,
RACV Ballarat,Davies Street,Ballarat,Victoria,3350,350.0,,4.0,33,-37.8050281,144.9457629
Heathcote Visitor Centre,126 High Street ,Heathcote,Victoria ,3523,,,1.0,"33, 2",-37.7326399,144.733868
Coles Sebastopol,Midland Highway,Sebastopol,VIC,nan,22.0,,2.0,25,-37.8709314,145.0193037
CTR Korumburra,Commercial Street,Korumburra,Victoria,3950,,,1.0,"33, 2",,
Evie Korumburra,Mine Road,Korumburra,Victoria,3950,,,1.0,"33, 2",,
Midlands Golf Club,330 Heinz Lane,Invermay Park,Victoria,3350,,,6.0,"25, 25, 25",,
Evie Caltex Jones Street,Jones Street,Avenel,Victoria,3664,,,1.0,"33, 2",-37.8958126,144.6304628
Creswick Vicitors Information Centre,41-43 Albert Street,Creswick,VIC,3363,,,1.0,"33, 2",-37.8191777,145.0167539
Gillies Street North,Gillies Street North,Ballarat,City of Ballarat,3355,6.6,,2.0,1,-37.8050281,144.9457629
Ballarat Supercharger,333 Gillies St,Ballarat,,3355,120.0,,6.0,33,-37.8050281,144.9457629
Castlemaine Market Building Car Park,33 Forest St,Castlemaine,Victoria,3450,,,2.0,"2, 33",-37.6303914,145.0273223
Tesla Supercharger Lucas,Lilburne Street,Lucas,Victoria,nan,250.0,,10.0,33,,
High Street,7 High Street,Harcourt,Victoria,3453,,,1.0,"33, 2",-37.8374349,145.1115353
The Cape Display Centre,17 Sunlight Boulevard,Cape Paterson,Victoria,3995,50.0,,2.0,33,,
CTR Leongatha,Pern Lane,Leongatha,Victoria,3953,,,1.0,"2, 33",-38.1199326,145.3182716
Evie Leongatha,McCartin Street,Leongatha,Victoria,3953,,,1.0,"2, 33",-38.1199326,145.3182716
Lorne Visitor Information Centre,15 Mountjoy Parade,Lorne,VIC,3232,7.0,,1.0,1,-37.6734151,145.0272333
Chargefox Moe,Lloyd Street,Moe,Victoria,3825,,,4.0,"2, 33, 33, 33, 2",-37.6132253,145.0980154
CTR Meeniyan,Tompkins Road,Meeniyan,VIC,nan,50.0,,2.0,33,,
Bendigo Supercharger,Condon Street,Bendigo,VIC,3550,120.0,,6.0,33,-37.720574,145.047976
Euroa Supercharger,46 Kirkland Ave,Euroa,,nan,120.0,,6.0,33,-37.7639651,144.8287004
Chargefox - Euroa,Euroa Service Centre,Euroa,Vic,3666,,,4.0,"2, 33, 2, 33, 33, 2, 33, 2",-37.7639651,144.8287004
Bendigo Kangan Institute,62-104 Charleston Road,East Bendigo,Victoria,3550,,,2.0,"33, 25",,
Bendigo Art Gallery,62 View Street,Bendigo,Victoria,3550,,,2.0,"2, 33, 2, 33",-37.720574,145.047976
Colac Supercharger,144-158 Bromfield Street,Colac,Victoria,3250,250.0,,3.0,33,-38.0761008,145.1472438
CTR Maryborough,Station St,Maryborough,VIC,3465,,,2.0,"33, 2",-37.850401,144.5882783
NRMA Marong,32 High Street,Marong,Victoria,3515,,,4.0,"33, 2",-37.793821,144.5506713
CTR Foster,Station Road,Foster,VIC,nan,50.0,,2.0,33,-37.5902461,144.9342136
Tesla Supercharger Traralgon,Grey Street,Traralgon,Vic,nan,250.0,,4.0,33,,
Charging the Regions Traralgon,49 Breed St,Nan,Victoria,3844,,,1.0,"33, 2",-37.8688729,145.2126338
Evie Traralgon,Princes Street,Traralgon,Vic,nan,,,2.0,"33, 2",,
Evie Beaufort,19 Willoby St,Beaufort,Vic,3373,,,4.0,"33, 2, 33",-38.0067519,145.1779706
Newbridge Public Hall,Cnr Burke St & Wimmera Hwy,Newbridge,Victoria,3551,,,1.0,"2, 33",-37.9715559,145.124582
Evie Avoca,High Street,Avoca,VIC,nan,50.0,,2.0,33,-37.6146532,145.0933095
Tatura,104 Hogan St,Tatura,Victoria,3616,,,2.0,"2, 33",-38.1379689,145.1628252
Heyfield Apex Park,Davis St & George Street,Heyfield,Victoria,3858,50.0,,2.0,33,-37.8237397,144.7132186
CTR Mooroopna,"77 Midland Hwy,",Mooroopna,VIC,3629,,,2.0,"2, 33",-37.7852115,144.5605697
Shepparton Observation Tower,"8 Fraser St, ",Shepparton,VIC ,3630,,,2.0,"2, 33",-37.7884948,144.5582739
Evie Camperdown,2 Bath Street,Camperdown,Victoria,3260,,,1.0,"33, 2",-37.764834,144.8219857
Evie Benalla,Denny Street,Benalla,Victoria,3672,,,1.0,"33, 2",-37.8059585,144.9432551
Inglewood Town Hall,Storm Lane,Inglewood,Victoria,3517,,,1.0,"33, 2",-37.7924237,144.5498933
Chargefox Yarram,156 Grant Street,Yarram,Victoria,3971,,,1.0,"33, 2",-38.1353489,145.1666795
Evie Maffra,4 Purdy Ln,Maffra,VIC,3860,,,1.0,"33, 2",-37.6601922,144.9408062
Port of Sale,Canal Road,Sale,VIC,3850,,0.4,2.0,"2, 33",-37.87076,145.65249
Mansi on Raymond,476 Raymond Street,Sale,Victoria,3850,22.0,,1.0,25,-37.87076,145.65249
Queen Street,Queen Street,Nan,Victoria,3377,22.0,,1.0,1036,-37.8688729,145.2126338
CTR Echuca [Evie],438 High Street,Echuca,Victoria,3564,,0.4,1.0,"2, 33, 33, 2",-37.7821653,144.5503709
Elizabeth Park,62 High St,Ararat,Victoria,3397,22.8,0.0,2.0,25,-38.0625563,145.5506248
Evie Ararat,Western Highway,Ararat,Victoria,3377,,,1.0,"33, 2",-38.0625563,145.5506248
NRMA Ararat,Taylor Street,Ararat,Victoria,3377,,,4.0,"33, 2",-38.0625563,145.5506248
Glenrowan South [bp pulse],Hume Freeway,Glenrowan,Victoria,3675,,,2.0,"2, 33",,
Glenrowan North [bp pulse],Hume Freeway,Glenrowan,Victoria,3675,,,4.0,"33, 33, 2",,
CTR Wedderburn CV008,67 High St,Wedderburn,Victoria,3518,,,2.0,"33, 2",-37.7917062,144.5494853
Evie St Arnaud,Golden Street,St Arnaud,Vic,nan,,,2.0,"33, 2",-37.792199,144.5486025
Evie Wangaratta,2 - 6 Docker St,Wangaratta,Victoria,3676,,,1.0,"33, 2",-37.787905,144.5592084
Ovens Supercharger,4994 Great Alpine RD,Ovens,,nan,120.0,,4.0,33,-37.8119107,144.8154073
Evie Stawell,Skene Street,Stawell,Victoria,3380,,,1.0,"33, 2",-38.1087492,145.2895959
Tesla Superchargers Stawell,Church Street,Stawell,Victoria,3380,250.0,,12.0,33,-38.1087492,145.2895959
Feathertop Winery,6619 Great Alpine Road,Porepunkah,Victoria,nan,22.0,,2.0,1036,-37.5979507,145.0753657
Evie - Bright,24 Wills St,Bright,Vic,3741,,,1.0,"33, 2",-37.6245646,145.0136597
Evie Yarrawonga,6 - 12 Hovell Street,Yarrawonga,VIC,3730,,,1.0,"33, 2",-37.9133914,145.1301259
The Sebel Silverwoods Yarrawong,40 Silverwoods Blvd,Yarrawonga,Victoria,3730,,,1.0,"33, 2",-37.9133914,145.1301259
Warnambool Supercharger,21-23 Gateway Road,Warnambool,Victoria,3280,250.0,,3.0,33,,
Warnambool Tourist Information Centre,91 Merri Street,Warnambool,Victoria,2380,,,1.0,"2, 33",,
Callaghan Motors,1165 Raglan Parade,Warnambool,Victoria,3280,22.0,,2.0,25,,
Evie Dunkeld,83 Wills St,Dunkeld,Victoria,3294,,,1.0,"33, 2",-37.766817,144.8245105
Gippsland Solar,35 Payne Street,Bairnsdale,Vic,nan,22.0,,1.0,25,,
Evie Cohuna,King George St,Cohuna,VIC,3568,,,1.0,"33, 2",-37.7062908,144.8039161
Bairnsdale Chargefox,Nicholson Street Carpark,Bairnsdale,Vic,nan,,,1.0,"33, 2",,
Bairnsdale,9 Francis Street,Bairnsdale,Victoria,3875,,,1.0,"33, 2",,
Coles Bairnsdale,35 Nicholson St,Bairnsdale,Victoria,3875,250.0,,3.0,33,,
Bairnsdale Coles,35 Nicholson Street,Bairnsdale,Victoria,3875,250.0,,3.0,33,,
Yackandandah Community Development Company,16 Windham Street,Yackandandah,Vic,3749,,,2.0,"33, 2",,
Omeo - Tongio Road,Tongio Road,Omeo,Vic,3898,,,2.0,"33, 2",-37.8800365,144.6170498
Wycheproof,Fairview Street,Wycheproof,Victoria,3527,,,2.0,"33, 2",-37.5432106,145.0085889
NRMA Wycheproof,361 Broadway,Wycheproof,Victoria,3527,,,4.0,"33, 2",-37.5432106,145.0085889
Chargefox - Barnawartha North,Murray Valley Hwy,Barnawartha North,Vic,3690,,,4.0,"2, 33, 2, 33, 33, 2, 33, 2",,
Evie Kerang,1 -3 Albert St,Kerang,VIC,3579,,,1.0,"33, 2",-37.7200123,145.0271063
Foodworks Baranduda,34 Verbena Street,Baranduda,Victoria,3691,11.0,,4.0,1036,,
Deni RSL,72 End St,Deniliquin,NSW,2710,22.0,,8.0,25,,
Wodonga Supercharger,5-13 Havelock Street,Wodonga,,3690,120.0,,6.0,33,-37.6755673,144.9898056
Evie Hamilton,Scoresby Street,Hamilton,VIC,nan,,,2.0,"33, 2",-37.8758579,145.1284529
Tesla Supercharger Albury,Stanley Street,Albury,New South Wales,2640,250.0,,12.0,33,-37.5442344,145.0076408
