Charger_Name,Address,Suburb,State,Postal_Code,Power_kW,Usage_Cost,Number_of_Points,Connection_Types,latitude,longitude
RMIT - City Campus,17-21 Cardigan Street,Carlton,VIC,3053,,,1.0,"33, 25",-37.8004228,144.9684343
100 St Kilda Rd,100 St Kilda Rd,Southbank,AU-VIC,AU,,,,1,-37.8253618,144.9640203
11 Nicholson Street,11 Nicholson Street,Carlton,AU-VIC,AU,,,,1,-37.8004228,144.9684343
Lorbek Luxury Cars,30 Prohasky Street,Port Melbourne,Victoria,3207,11.0,,8.0,1036,-37.8333613,144.9219203
Tesla Supercharger South Melbourne,Clarendon Street,South Melbourne,VIC,nan,250.0,,6.0,33,-37.83344,144.9570533
Collingwood Library,13 Stanton St,Abbotsford,VIC,3067,,,2.0,"33, 2, 33, 2",-37.8045508,144.9988542
JET Charge Office,350 Bridge Street,Port Melbourne,VIC,3207,,,1.0,"2, 33, 1036",-37.8333613,144.9219203
Evie Richmond Library,Swan Street,Richmond,VIC,nan,50.0,,1.0,33,-37.80745,144.9907213
650 Church Street Building 5,Church Street,Melbourne,Victoria,3121,120.0,,4.0,33,-37.8142454,144.9631732
Woolworths Fishermans Bend,Plumber Street,Fishermans Bend,VIC,nan,50.0,,2.0,33,-37.8245644,144.922933
Middy’s Port Melbourne,2 Thackray Road,Port Melbourne,Victoria,3207,,,1.0,"33, 2",-37.8333613,144.9219203
Ampcharge Barkly Square,Barkly Street,Brunswick,VIC,nan,150.0,,8.0,33,-37.7664715,144.9613103
ENGIE - VIctoria Gardens,620 Victoria St,Richmond,Vic,3121,,,1.0,"2, 33",-37.80745,144.9907213
GET Electric Head Office,327 Plummer Street,Port Melbourne,Victoria,3207,11.0,,6.0,25,-37.8333613,144.9219203
Brunswick EV Hub,15 Edward Street,Brunswick,Victoria,3056,,,4.0,"33, 25",-37.7664715,144.9613103
David Street Car Park,1 David St,Brunswick,Victoria,3056,22.0,,2.0,25,-37.7664715,144.9613103
RMIT Brunswick,25 Dawson St,Brunswick,Victoria,3056,22.0,,1.0,25,-37.7664715,144.9613103
Fleming Park,4 -6 Cross St,Brunswick East,Victoria,3057,,,2.0,"25, 25",-37.7688802,144.9776825
The Parade Ascot Vale Car Park,66-68 The Parade,Ascot Vale,Victoria,3032,,,2.0,"2, 33, 33, 2",-37.7753252,144.921825
Moonee Ponds,Moonee Ponds,Nan,,3039,120.0,,6.0,33,-37.8688729,145.2126338
Moonee Ponds Central,14 - 16 Hall St,Moonee Ponds,Victoria,3039,,,1.0,"1, 25",-37.765935,144.9192614
St Kilda Town Hall,164 Carlisle Street,St Kilda,Vic,3182,,,2.0,"25, 29",-37.8638261,144.981637
Swinburne University - TC Building,Falmouth Street,Hawthorn,Victoria,3122,,,1.0,"33, 2",-37.8244246,145.0317207
City of Stonnington,290 Glenferrie Road,Malvern,VIC,3144,,,1.0,"33, 2",-37.8576088,145.0350666
Malvern Central,122 Wattletree Rd,Armadale,Victoria,3144,,,2.0,"33, 2, 33, 2",-37.8563442,145.0193207
Coburg Civic Centre / Moreland City,90 Bell Street,Coburg,Victoria,3058,,,4.0,"33, 25, 2",-37.7449752,144.9643314
Coburg Town Hall / Moreland City,Bell Street,Melbourne,Victoria,3058,7.0,,2.0,25,-37.8142454,144.9631732
Camberwell Supercharger,793 Burke Road,Camberwell,VIC,3124,120.0,,6.0,33,-37.8384623,145.0740767
Monash Caufield,880 Dandenong Rd,Malvern East,Vic,3145,,,1.0,"33, 2",-37.876835,145.0658739
Bayside Gateway,301-307 Nepean Hwy,Brighton East,Victoria,3186,,,6.0,"2, 33",-37.9171728,145.0163663
Austin Tower Carpark Level B1,145 Studley Road,Heidelberg,Victoria,3084,,,4.0,"25, 25",-37.7524788,145.0701284
Coburg North EV Fast Charge,11 Boundary Road,Coburg North,Victoria,3058,,,1.0,"33, 2",-37.7272635,144.9678538
Oak Park Sports & Aquatic Centre,563 Pascoe Vale Road,Oak Park,Victoria,3064,,,3.0,"25, 1",-37.7180181,144.9215041
Bayside Willansby Ave,47 Willansby Ave,Brighton,VIC,3186,,,2.0,"33, 2, 2, 33",-37.9081962,144.9957991
Woolworths Heidelberg,451 Lower Heidelberg Road,Heidelberg,Victoria,3084,,,16.0,"33, 33, 25, 25, 25, 25, 25, 25",-37.7524788,145.0701284
Tesla Supercharger Brighton East,Hope Street,Brighton East,Victoria,3186,250.0,,3.0,33,-37.9171728,145.0163663
Toyota Altona,Grieve Parade,Altona,VIC,nan,,,3.0,"33, 2",-37.8671503,144.8294637
CB Smith Reserve,99 Jukes Road,Fawkner,Victoria,3060,,,1.0,"33, 2",-37.7146535,144.9605402
Hobsons Bay Civic Centre,115 Civic Parade,Altona,Victoria,3018,,,1.0,"33, 2",-37.8671503,144.8294637
Chargefox Airport West,29-35 Louis St,Airport West,Victoria,3042,,,6.0,"2, 33, 33, 33, 2",-37.7222576,144.8834942
Chadstone Shopping Centre,1341 Dandenong Rd,Nan,Victoria,3148,,,6.0,"25, 25, 25, 25, 25, 25",-37.8688729,145.2126338
ENGIE - Chadstone,1341 Dandenong Rd,Chadstone,Victoria,3148,,,4.0,"33, 2",-37.8822799,145.1001365
ENGIE - Chadstone 2,Dandenong Road,Chadstone,VIC,nan,120.0,,4.0,33,-37.8822799,145.1001365
Tesla Supercharger Campbellfield,Camp Road,Campbellfield,Victoria,3060,250.0,,1.0,33,-37.6641298,144.959583
Ampol Foodary Altona North,1 Horsburgh Drive,Altona North,Victoria,3025,,,4.0,"33, 2",-37.8378229,144.8342853
Bridge Street,Bridge Street,Hampton,Victoria,3191,,,1.0,"33, 2",-37.9381127,145.0014764
Telsa Supercharger Box Hill,Ailsa Street,Box Hill South,Victoria,3128,250.0,,12.0,33,-37.8366236,145.1233644
Evie Glen Gala Village,Fitzgerald Road,Sunshine West,VIC,nan,,,4.0,"33, 2",-37.7983442,144.8110919
Miller Grove,Miller Grove,Nan,Victoria,3149,22.0,,2.0,33,-37.8688729,145.2126338
Keilor Central,80 Taylors Road,Keilor Downs,Victoria,3038,,,2.0,"33, 2, 33, 2",-37.7205762,144.8047614
Tesla Supercharger Oakleigh Repair Centre,Huntingdale Road,Oakleigh South,VIC,nan,250.0,,6.0,33,-37.9248257,145.0921745
Bayside Council,76 Royal Ave,Sandringham,VIC,3191,,,1.0,"33, 33, 33, 2, 25, 25, 25",-37.9502592,145.0043868
Jolt Cheltenham,Bay Road,Cheltenham,VIC,nan,,,1.0,"33, 2",-37.9670081,145.0546951
Uni Hill Town Centre,19 Graduate Drive,Bundoora,Victoria,3082,,,2.0,"33, 2, 33, 2",-37.6982468,145.0596757
Greensborough Plaza,25 Main St,Greensborough,Victoria,3088,,,4.0,"1036, 25",-37.7037383,145.1079105
Watermarc Carpark (LG),Greensborough Walk,Nan,Victoria,3088,11.0,0.0,3.0,25,-37.8688729,145.2126338
Forest Hill Chase Shopping Centre,Pacific Way,Forest Hill,Victoria,3131,22.0,,2.0,25,-37.8362738,145.1690911
Brimbank Shopping Centre,28-72 Neale Road,Deer Park,Victoria,3023,22.0,,1.0,25,-37.7686602,144.7713077
Southland Medical Centre,50 Chesterville rd,Cheltenham,Victoria,3192,,,1.0,,-37.9670081,145.0546951
Research Way - N1 Carpark,Research Way,Nan,Victoria,3800,,,2.0,"1036, 33, 2",-37.8688729,145.2126338
Ampol Derrimut,354a Robinsons Rd,Derrimut,Vic,3026,,,1.0,"33, 2",-37.7987978,144.776051
Jolt Black Rock,Balcolme Road,Black Rock,VIC,nan,,,1.0,"33, 2",-37.9706564,145.0212822
BP Northpoint,1 Scanlon Drive,Epping,Victoria,3076,150.0,,8.0,33,-37.6523847,145.0315487
Eltham Leisure Centre,40 Brougham Street,Eltham,Victoria,3095,,,4.0,"25, 25",-37.713736,145.147673
Engie - The Glen,235 Springvale Rd,Glen Waverley,Vic,3150,,,1.0,"33, 2",-37.8795908,145.1622405
BP pulse Diamond Creek,274 Diamond Creek Road,Diamond Creek,Victoria,3090,,,2.0,"2, 33",-37.6733272,145.1588075
BP Pulse,Ballarat Road,Caroline Springs,VIC,nan,150.0,,8.0,33,-37.7340623,144.7370017
Shell Coles Express Taylors Lakes,410 Melton Highway,Taylor Lakes,Victoria,3038,,,2.0,"33, 2",,
Watergardens Shopping Centre,399 Melton Highway,Sydenham,Victoria,3037,22.0,,3.0,25,-37.6997223,144.7653295
Point Cook Town Centre,Dunnings Road,Point Cook,Victoria,3030,7.0,,1.0,1036,-37.9064862,144.7533059
Red Rooster Vermont,,Ringwood,Victoria,3134,,,4.0,"33, 2, 33, 2",-37.8158726,145.2291113
Greenvale Woolworths,200 James Mirams Drive,Roxburgh Park,Victoria,3064,22.0,,2.0,25,-37.6381563,144.9353302
Ampcharge Sandown,Princes Highway,Sandown,VIC,nan,180.0,,2.0,33,-37.9503548,145.1665966
Bunnings Tarneit,83 Leakes Rd,Tarneit,,3029,22.0,,2.0,25,-37.8321522,144.69462
EastLand Shopping Centre,Maroondah Highway,Melbourne,Victoria,3134,22.0,,4.0,1036,-37.8142454,144.9631732
diamond creek community bank stadium,Main Hurstbridge Road,Diamond Creek,Victoria,3089,22.0,,1.0,25,-37.6733272,145.1588075
Bay Trail,Bay Trail,Moordialloc,Victoria,3195,,,1.0,"33, 2",-38.0102322,145.0929673
Bembit Bagrook Community Centre,61 Polly Parade,Tarneit,Victoria,3029,,,1.0,"33, 2",-37.8321522,144.69462
Scorseby Engie,,Nan,Victoria,3179,,,2.0,"33, 2",-37.8688729,145.2126338
Jolt Bayswster,Station Street,Nan,Victoria,3153,,,1.0,"2, 33",-37.8688729,145.2126338
Stud Park Shopping Centre,cnr Fulham Road & Stud Road,Rowville,Victoria,3178,,,2.0,"33, 2, 33, 2",-37.9239267,145.2447672
Civic Centre,45 Princes Highway,Werribee,Victoria,3030,,,4.0,"33, 33, 2",-37.907984,144.6416748
Ampcharge Werribee,Cherry Street,Werribee,VIC,nan,180.0,,1.0,33,-37.907984,144.6416748
Devon Street Car Park,4 - 16 Devon Street,Croydon,Victoria,3136,,,4.0,"25, 25",-37.7955004,145.2801507
Ampcharge Cheltenham,Cheltenham Road,Keysborough,VIC,nan,180.0,,2.0,33,-38.0053607,145.1674069
Strata Equity – Hunter Werribee,22 Synnot Street,Werribee,Victoria,3030,,,3.0,"25, 25, 25",-37.907984,144.6416748
Club Trillium,11/19 Trillium Boulevard,Mickleham,Victoria,3064,,,1.0,1,-37.5344793,144.9120372
bp pulse Dandenong North,Heatherton Rd & Stud Rd,Dandenong North,Victoria,3802,75.0,,2.0,33,-37.9558319,145.2143234
Heatherton Road,Heatherton Road,Dandenong,Victoria,3175,,,2.0,"33, 2",-37.98749,145.2147923
Ampol Kilsyth,Canterbury & Gatwick Road,Kilsyth South,Victoria,3153,,,1.0,"33, 2",-37.8315054,145.3110008
Evie Chelsea,1 Swansea Rd,Chelsea,Victoria,3196,,,1.0,"33, 2, 33, 2",-38.0497386,145.121407
Evie Chirnside Park,Fletcher Street,Chirnside Park,VIC,nan,,,1.0,"33, 2",-37.9047634,144.6530424
bp pulse Merrifield,470 Donnybrook Road,Mickleham,Victoria,3064,,,4.0,"33, 33",-37.5344793,144.9120372
Marnong Estate,2335 Mickleham Road,Mickleham,Victoria,3064,22.0,,4.0,25,-37.5344793,144.9120372
Lollypop Creek Community Centre,Shipwright Parade,Harpley,VIC,nan,50.0,,2.0,33,-37.9110402,144.6113082
Hungry Jacks,27 Gap Road,Sunbury,Victoria,3429,11.0,,2.0,25,-37.5791363,144.7279832
Cobblebank Village,201 Ferris Road,Nan,Victoria,3338,,,1.0,"2, 33",-37.8688729,145.2126338
Cobblebank Stadium,Cnr Astley Dr and Bridge Rd,Cobblebank,Victoria,3338,,,3.0,"33, 2, 25",-37.7125512,144.6040773
Yarra Valley Nissan,460 - 462 Maroondah Highway,Lilydale,Victoria,3140,11.0,,2.0,25,-37.7571582,145.3458656
McDonald’s Melton South,179-253 Exford Road,Weir Views,Victoria,3338,,,2.0,"33, 2, 33, 2",-37.7323715,144.5708942
Local Village Carrum Downs,1066 Frankston - Dandenong Rd,Carrum Downs,VIC,3201,,,2.0,"33, 2, 33, 2",-38.1003312,145.1788657
CTR Whittlesea,74A Church St,Whittlesea,Vic,3757,,,1.0,"33, 2",-37.5121301,145.1177321
City of Casey,Princes Highway,City Of Casey,Victoria,3805,7.0,,2.0,25,-38.0266156,145.3045626
Lynbrook Village,75S Lynbrook Boulevard,Lynbrook,Victoria,3975,,,2.0,"33, 2, 2, 33",-38.0558639,145.2561128
ENGIE - Bayside Centre,15 Beach Street,Frankston,VIC,3199,50.0,,1.0,33,-38.150925,145.142239
Yarra Ranges Council,45 Bell St,Yarra Glen,Victoria,3775,,,1.0,"33, 2",-37.6573475,145.3743964
Engie Monash University,McMahons Road,Melbourne,Victoria,3199,,,3.0,"2, 33",-37.8142454,144.9631732
Evie Cranbourne Homemaker Centre,South Gippsland Highway,Cranbourne,Victoria,3977,,,1.0,"33, 2",-38.0997308,145.2807256
St Huberts Winery,1/3 St Huberts Road,Coldstream,Victoria,3770,11.0,,6.0,25,-37.7291014,145.378424
BP Pulse Cranbourne,Cranbourne-Frankston Road,Cranbourne West,Victoria,3977,,,1.0,"33, 2",-38.102241,145.2517182
Jolt Berwick Springs Hotel,Clyde Road,Berwick,VIC,nan,,,1.0,"33, 2",-38.0398297,145.3451089
Engie Cranbourne Park,Cranbourne Drive,Nan,Victoria,3977,,,3.0,"2, 33",-37.8688729,145.2126338
Wallan,85 High Street,Wallan,Victoria,3756,,,1.0,"33, 2",-37.5040691,145.1090152
ClydeStone Square,Matterhorn Drive ,Clyde North,VIC,3978,,,1.0,"33, 2",-38.1028681,145.3302814
Evie Mornington,Cromwell Street,Mornington,Victoria,3931,,,2.0,"33, 2, 33",-38.227699,145.0609375
Mornington Super Charger,Mornington-Tyabb Road,Nan,Victoria,3931,250.0,,6.0,33,-37.8688729,145.2126338
