Suburb,Population,suburb_key,Dwellings,Income,Vehicles_per_Dwelling,Station_Count,Public_Chargers,Total_Points,latitude,longitude,Charger_to_Pop_Ratio,Stations_to_Pop_Ratio
Carrum Downs,23342,carrum downs,9010.0,1658.0,1.9,1,1,2.0,-38.1003312,145.1788657,4.284123040013709e-05,4.284123040013709e-05
Carrum - Patterson Lakes,12445,carrum patterson lakes,5462.0,1853.0,1.8,0,0,0.0,,,0.0,0.0
Caulfield (North),24485,caulfield north,10397.0,2184.0,1.6,0,0,0.0,,,0.0,0.0
Caulfield (South),18975,caulfield south,7549.0,2289.0,1.7,0,0,0.0,,,0.0,0.0
Chelsea - Bonbeach,15882,chelsea bonbeach,7280.0,1718.0,1.6,0,0,0.0,,,0.0,0.0
Chelsea Heights,5456,chelsea heights,2112.0,1867.0,1.9,0,0,0.0,,,0.0,0.0
Chirnside Park,12506,chirnside park,4377.0,2084.0,2.1,1,1,1.0,-37.9047634,144.6530424,7.996161842315688e-05,7.996161842315688e-05
Clarinda - Oakleigh South,11752,clarinda oakleigh south,4342.0,1659.0,1.9,0,0,0.0,,,0.0,0.0
Clayton (Central),15034,clayton central,5005.0,1711.0,1.5,0,0,0.0,,,0.0,0.0
Clayton (North) - Notting Hill,14143,clayton north notting hill,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Clayton South,15138,clayton south,5559.0,1630.0,1.6,0,0,0.0,,,0.0,0.0
Clifton Hill - Alphington,11292,clifton hill alphington,4471.0,2529.0,1.4,0,0,0.0,,,0.0,0.0
Clyde North (North),13155,clyde north north,3253.0,2288.0,2.0,0,0,0.0,,,0.0,0.0
Clyde North (South),24609,clyde north south,4529.0,2193.0,2.1,0,0,0.0,,,0.0,0.0
Cobblebank - Strathtulloh,11760,cobblebank strathtulloh,2425.0,2056.0,2.0,0,0,0.0,,,0.0,0.0
Coburg (East),13966,coburg east,5757.0,1944.0,1.4,0,0,0.0,,,0.0,0.0
Coburg North,8935,coburg north,3521.0,1980.0,1.5,1,1,1.0,-37.7272635,144.9678538,0.0001119194180190263,0.0001119194180190263
