Suburb,Population,suburb_key,Dwellings,Income,Vehicles_per_Dwelling,Station_Count,Public_Chargers,Total_Points,latitude,longitude,Charger_to_Pop_Ratio,Stations_to_Pop_Ratio
Point Cook (East),21519,point cook east,6694.0,2381.0,1.9,0,0,0.0,,,0.0,0.0
Point Cook (North East),14817,point cook north east,4960.0,2185.0,1.9,0,0,0.0,,,0.0,0.0
Point Cook (North West),10165,point cook north west,3158.0,2439.0,1.9,0,0,0.0,,,0.0,0.0
Point Cook (South),20596,point cook south,6089.0,2522.0,1.8,0,0,0.0,,,0.0,0.0
Point Nepean,20258,point nepean,20509.0,1430.0,1.9,0,0,0.0,,,0.0,0.0
Port Melbourne,16884,port melbourne,8981.0,2347.0,1.3,4,4,16.0,-37.8333613,144.9219203,0.00023691068467187872,0.00023691068467187872
Port Melbourne Industrial,2611,port melbourne industrial,1089.0,2407.0,1.2,0,0,0.0,,,0.0,0.0
Prahran - Windsor,20928,prahran windsor,12206.0,2098.0,1.1,0,0,0.0,,,0.0,0.0
Preston (East),22596,preston east,9976.0,1787.0,1.4,0,0,0.0,,,0.0,0.0
Preston (West),13470,preston west,5501.0,1970.0,1.5,0,0,0.0,,,0.0,0.0
Research - North Warrandyte,7034,research north warrandyte,2359.0,2831.0,2.6,0,0,0.0,,,0.0,0.0
Reservoir (North East),15976,reservoir north east,6938.0,1544.0,1.5,0,0,0.0,,,0.0,0.0
Reservoir (North West),9834,reservoir north west,3896.0,1442.0,1.8,0,0,0.0,,,0.0,0.0
Reservoir (South East),13875,reservoir south east,6041.0,1401.0,1.4,0,0,0.0,,,0.0,0.0
Reservoir (South West),15161,reservoir south west,6457.0,1743.0,1.5,0,0,0.0,,,0.0,0.0
Richmond (North),15319,richmond north,8221.0,2009.0,1.1,0,0,0.0,,,0.0,0.0
Richmond (South) - Cremorne,19230,richmond south cremorne,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Ringwood,19633,ringwood,27664.0,1888.0,1.7,1,1,4.0,-37.8158726,145.2291113,5.093465084296847e-05,5.093465084296847e-05
Ringwood East,21866,ringwood east,8512.0,1945.0,1.8,0,0,0.0,,,0.0,0.0
Ringwood North,9803,ringwood north,3517.0,2330.0,2.1,0,0,0.0,,,0.0,0.0
Rockbank - Mount Cottrell,31389,rockbank mount cottrell,5104.0,2123.0,2.0,0,0,0.0,,,0.0,0.0
Rosebud - Mccrae,23281,rosebud mccrae,14611.0,1155.0,1.7,0,0,0.0,,,0.0,0.0
Rowville (Central),15731,rowville central,5747.0,2083.0,2.2,0,0,0.0,,,0.0,0.0
Rowville (North),7894,rowville north,2745.0,2285.0,2.2,0,0,0.0,,,0.0,0.0
Rowville (South),10594,rowville south,3623.0,2363.0,2.3,0,0,0.0,,,0.0,0.0
Roxburgh Park (North),15427,roxburgh park north,3921.0,1619.0,2.2,0,0,0.0,,,0.0,0.0
Roxburgh Park (South) - Somerton,9731,roxburgh park south somerton,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Royal Botanic Gardens Victoria,0,royal botanic gardens victoria,6041.0,1934.5,1.8,0,0,0.0,,,0.0,0.0
Sandringham - Black Rock,18022,sandringham black rock,7703.0,2356.0,1.8,0,0,0.0,,,0.0,0.0
Seabrook,4963,seabrook,1806.0,2042.0,2.0,0,0,0.0,,,0.0,0.0
Seaford,18072,seaford,8180.0,1500.0,1.7,0,0,0.0,,,0.0,0.0
Seddon - Kingsville,9782,seddon kingsville,4351.0,2364.0,1.3,0,0,0.0,,,0.0,0.0
Skye - Sandhurst,13607,skye sandhurst,4673.0,2224.0,2.2,0,0,0.0,,,0.0,0.0
Somerville,18972,somerville,7400.0,1781.0,2.2,0,0,0.0,,,0.0,0.0
Southbank (East),19428,southbank east,12383.0,1880.0,0.7,0,0,0.0,,,0.0,0.0
Southbank (West) - South Wharf,7866,southbank west south wharf,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
South Melbourne,12916,south melbourne,7475.0,2103.0,1.1,1,1,6.0,-37.83344,144.9570533,7.74233508826262e-05,7.74233508826262e-05
South Morang (North),13070,south morang north,4056.0,2242.0,2.2,0,0,0.0,,,0.0,0.0
South Morang (South),12889,south morang south,4446.0,1899.0,2.0,0,0,0.0,,,0.0,0.0
South Yarra (North),13633,south yarra north,8446.0,2042.0,0.9,0,0,0.0,,,0.0,0.0
South Yarra (South),10558,south yarra south,6516.0,2001.0,1.0,0,0,0.0,,,0.0,0.0
South Yarra (West),6946,south yarra west,4258.0,2259.0,1.1,0,0,0.0,,,0.0,0.0
Springvale,24111,springvale,8136.0,1401.0,1.7,0,0,0.0,,,0.0,0.0
Springvale South,13139,springvale south,4073.0,1505.0,2.0,0,0,0.0,,,0.0,0.0
St Albans (North),21002,st albans north,8119.0,1183.0,1.6,0,0,0.0,,,0.0,0.0
St Albans (South),17764,st albans south,6333.0,1232.0,1.7,0,0,0.0,,,0.0,0.0
St Kilda (Central),13725,st kilda central,8598.0,1788.0,1.0,0,0,0.0,,,0.0,0.0
St Kilda East,17332,st kilda east,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
St Kilda (West),16059,st kilda west,9555.0,1849.0,1.0,0,0,0.0,,,0.0,0.0
Strathmore,10457,strathmore,3786.0,2440.0,2.0,0,0,0.0,,,0.0,0.0
Sunbury,14810,sunbury,26751.0,1812.0,2.0,1,1,2.0,-37.5791363,144.7279832,6.75219446320054e-05,6.75219446320054e-05
Sunbury (South),16819,sunbury south,6041.0,1934.5,1.8,0,0,0.0,,,0.0,0.0
Sunbury (West),11404,sunbury west,4296.0,1987.0,2.2,0,0,0.0,,,0.0,0.0
Sunshine,10104,sunshine,177206.0,1574.0,2.0,0,0,0.0,,,0.0,0.0
Sunshine North,12503,sunshine north,4390.0,1399.0,1.8,0,0,0.0,,,0.0,0.0
Sunshine West,18790,sunshine west,7046.0,1416.0,1.8,1,1,4.0,-37.7983442,144.8110919,5.321979776476849e-05,5.321979776476849e-05
Surrey Hills (East) - Mont Albert,10765,surrey hills east mont albert,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Surrey Hills (West) - Canterbury,16231,surrey hills west canterbury,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Sydenham,11972,sydenham,26554.0,2107.0,2.2,1,1,3.0,-37.6997223,144.7653295,8.35282325425994e-05,8.35282325425994e-05
Tarneit (Central),29462,tarneit central,8349.0,2164.0,2.0,0,0,0.0,,,0.0,0.0
Tarneit (North),13485,tarneit north,2215.0,2198.0,1.9,0,0,0.0,,,0.0,0.0
Tarneit (South),11708,tarneit south,3503.0,1885.0,1.9,0,0,0.0,,,0.0,0.0
Tarneit (West) - Mount Cottrell,17173,tarneit west mount cottrell,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Taylors Hill,19856,taylors hill,16160.0,1867.0,1.3,0,0,0.0,,,0.0,0.0
Taylors Lakes,16999,taylors lakes,5915.0,2167.0,2.4,0,0,0.0,,,0.0,0.0
Templestowe,17467,templestowe,6310.0,2163.0,2.1,0,0,0.0,,,0.0,0.0
Templestowe Lower,14612,templestowe lower,5504.0,1919.0,1.9,0,0,0.0,,,0.0,0.0
The Basin,4345,the basin,1629.0,2049.0,2.2,0,0,0.0,,,0.0,0.0
Thomastown,20538,thomastown,30354.0,1516.0,1.8,0,0,0.0,,,0.0,0.0
Thornbury,19982,thornbury,9055.0,1978.0,1.4,0,0,0.0,,,0.0,0.0
Toorak,13504,toorak,7257.0,2538.0,1.7,0,0,0.0,,,0.0,0.0
Truganina (North),14287,truganina north,2646.0,2307.0,1.9,0,0,0.0,,,0.0,0.0
Truganina (South East),10689,truganina south east,3045.0,2337.0,1.9,0,0,0.0,,,0.0,0.0
Truganina (South West),20356,truganina south west,5666.0,1947.0,1.9,0,0,0.0,,,0.0,0.0
Tullamarine,6710,tullamarine,68264.0,1658.0,2.0,0,0,0.0,,,0.0,0.0
Upwey - Tecoma,9862,upwey tecoma,3776.0,2148.0,2.1,0,0,0.0,,,0.0,0.0
Vermont,11353,vermont,4086.0,2042.0,1.9,0,0,0.0,,,0.0,0.0
Vermont South,12275,vermont south,4443.0,1944.0,2.0,0,0,0.0,,,0.0,0.0
Viewbank - Yallambie,19009,viewbank yallambie,7337.0,2025.0,1.8,0,0,0.0,,,0.0,0.0
Wallan,28415,wallan,5217.0,1917.0,2.2,1,1,1.0,-37.5040691,145.1090152,3.5192679922576104e-05,3.5192679922576104e-05
Wandin - Seville,7999,wandin seville,2876.0,2066.0,2.7,0,0,0.0,,,0.0,0.0
Wantirna,14631,wantirna,5320.0,1883.0,2.0,0,0,0.0,,,0.0,0.0
Wantirna South,18388,wantirna south,6927.0,1821.0,1.9,0,0,0.0,,,0.0,0.0
Warrandyte - Wonga Park,10238,warrandyte wonga park,6041.0,1934.5,1.8,0,0,0.0,,,0.0,0.0
Watsonia,9518,watsonia,3818.0,1961.0,1.8,0,0,0.0,,,0.0,0.0
Wattle Glen - Diamond Creek,14803,wattle glen diamond creek,5012.0,2496.0,2.4,0,0,0.0,,,0.0,0.0
Werribee (East),19124,werribee east,7727.0,1374.0,1.7,0,0,0.0,,,0.0,0.0
Werribee (South),17937,werribee south,6876.0,1802.0,1.8,0,0,0.0,,,0.0,0.0
Werribee (West),30552,werribee west,8439.0,1995.0,1.9,0,0,0.0,,,0.0,0.0
West Footscray - Tottenham,12953,west footscray tottenham,5372.0,1988.0,1.4,0,0,0.0,,,0.0,0.0
West Melbourne (Industrial),0,west melbourne industrial,6041.0,1934.5,1.8,0,0,0.0,,,0.0,0.0
West Melbourne (Residential),9301,west melbourne residential,4782.0,1784.0,0.8,0,0,0.0,,,0.0,0.0
Wheelers Hill,21285,wheelers hill,7945.0,1818.0,2.0,0,0,0.0,,,0.0,0.0
Whittlesea,15811,whittlesea,82933.0,1768.0,1.9,1,1,1.0,-37.5121301,145.1177321,6.324710644488014e-05,6.324710644488014e-05
Williamstown,16920,williamstown,32366.0,2315.0,1.6,0,0,0.0,,,0.0,0.0
Wollert,33578,wollert,7989.0,1979.0,1.9,0,0,0.0,,,0.0,0.0
Wyndham Vale (North),13138,wyndham vale north,3225.0,1862.0,1.7,0,0,0.0,,,0.0,0.0
Wyndham Vale (South),14163,wyndham vale south,4699.0,1766.0,1.9,0,0,0.0,,,0.0,0.0
Yarra Valley,17059,yarra valley,148.0,900.0,1.9,0,0,0.0,,,0.0,0.0
Yarraville,16243,yarraville,6768.0,2483.0,1.5,0,0,0.0,,,0.0,0.0
