Name,Status,Latitude,Longitude,Address,PowerKW,ConnectionType
Ampcharge Cheltenham,Operational,-37.99571529046778,145.182222569087,Cheltenham Road,180.0,CCS (Type 2)
Strata Equity – Hunter Werribee,Operational,-37.901930594530896,144.6625784145474,22 Synnot Street,22.0,Type 2 (Socket Only)
Club Trillium,Temporarily Unavailable,-37.56509713731276,144.89381606273855,11/19 Trillium Boulevard,,Type 1 (J1772)
bp pulse Dandenong North,Operational,-37.970797096657705,145.22316104545723,Heatherton Rd & Stud Rd,75.0,CCS (Type 2)
Heatherton Road,Operational,-37.97128123711468,145.2236965774951,Heatherton Road,350.0,CCS (Type 2)
Ampol Kilsyth,Operational,-37.82365941817221,145.2959481777906,Canterbury & Gatwick Road,150.0,CCS (Type 2)
Evie Chelsea,Operational,-38.054822504708284,145.11600913546908,1 Swansea Rd,50.0,CCS (Type 2)
Evie Chirnside Park,Operational,-37.761143550893365,145.3120760296531,Fletcher Street,50.0,CCS (Type 2)
bp pulse Merrifield,Operational,-37.53426998045639,144.89828573356567,470 Donnybrook Road,75.0,CCS (Type 2)
Marnong Estate,Operational,-37.53036061112412,144.88047325188313,2335 Mickleham Road,22.0,Type 2 (Socket Only)
Lollypop Creek Community Centre,Operational,-37.909988077571576,144.61367550280465,Shipwright Parade,50.0,CCS (Type 2)
Hungry Jacks,Operational,-37.58083462151804,144.72450043278604,27 Gap Road,11.0,Type 2 (Socket Only)
Cobblebank Village,Operational,-37.7144019574638,144.60143699904745,201 Ferris Road,22.0,CHAdeMO
Cobblebank Stadium,Operational,-37.71519007650546,144.5996762637954,Cnr Astley Dr and Bridge Rd,25.0,CCS (Type 2)
Yarra Valley Nissan,Operational,-37.754997221186045,145.3637260206866,460 - 462 Maroondah Highway,11.0,Type 2 (Socket Only)
McDonald’s Melton South,Operational,-37.7224393461178,144.57233401223442,179-253 Exford Road,50.0,CCS (Type 2)
Local Village Carrum Downs,Operational,-38.088427053571266,145.1825268436774,1066 Frankston - Dandenong Rd,50.0,CCS (Type 2)
CTR Whittlesea,Operational,-37.51050054135484,145.11840794982265,74A Church St,50.0,CCS (Type 2)
City of Casey,Unknown,-38.016591,145.292402,Princes Highway,7.0,Type 2 (Socket Only)
Lynbrook Village,Operational,-38.051153,145.256504,75S Lynbrook Boulevard,50.0,CCS (Type 2)
ENGIE - Bayside Centre,Operational,-38.13983274747568,145.12422212753893,15 Beach Street,50.0,CCS (Type 2)
Yarra Ranges Council,Operational,-37.656879,145.374241,45 Bell St,50.0,CCS (Type 2)
Engie Monash University,Operational,-38.15200425352916,145.13493764315962,McMahons Road,120.0,CHAdeMO
Evie Cranbourne Homemaker Centre,Operational,-38.08489638497555,145.27849713747787,South Gippsland Highway,50.0,CCS (Type 2)
St Huberts Winery,Operational,-37.69718697137555,145.40782508992731,1/3 St Huberts Road,11.0,Type 2 (Socket Only)
BP Pulse Cranbourne,Operational,-38.110286646748186,145.2640707648552,Cranbourne-Frankston Road,75.0,CCS (Type 2)
Jolt Berwick Springs Hotel,Operational,-38.05976565896848,145.33777518791914,Clyde Road,50.0,CCS (Type 2)
Engie Cranbourne Park,Operational,-38.10907515763703,145.28176239248455,Cranbourne Drive,120.0,CHAdeMO
Wallan,Operational,-37.413967109460415,144.9791065326649,85 High Street,50.0,CCS (Type 2)
ClydeStone Square,Operational,-38.09340993256419,145.34171416795755,Matterhorn Drive ,50.0,CCS (Type 2)
Evie Mornington,Operational,-38.22449869065465,145.03964281641652,Cromwell Street,50.0,CCS (Type 2)
Mornington Super Charger,Operational,-38.23466432711377,145.05094693515247,Mornington-Tyabb Road,250.0,CCS (Type 2)
