CP ID,total_sessions,total_uptime_hours,error_sessions,uptime_percent,avg_rating
50245,1161,590.5333333333333,289,5.228495833523937,1.0
50275,405,11294.516666666666,13,100.0,4.5
50276,597,-1078.8166666666666,26,-9.55168510973614,1.0
50277,350,-5165.25,20,-45.73236865676707,1.0
50278,392,2687.2833333333333,22,23.79281391707776,1.0
50279,351,-1101.0666666666668,52,-9.74868335814872,1.0
50280,297,7348.416666666667,54,65.061807278163,3.0
50281,239,4038.6833333333334,30,35.75791202515675,2.0
50282,844,-1729461.9166666667,142,-15312.403068745749,1.0
50283,242,2614.9,17,23.15194246175504,1.0
50284,223,6610.766666666666,25,58.53076197741972,3.0
50285,369,-898.1333333333328,82,-7.951941281241187,1.0
50286,2255,5355.333333333334,466,47.41533871155768,2.0
50297,1339,1525.2333333333333,229,13.504193037624452,1.0
50575,1420,1789.8333333333333,307,15.84692276930841,1.0
50745,2862,-2591.116666666666,497,-22.941368304088556,1.0
50811,285,-1123.6499999999996,14,-9.948632891181706,1.0
50813,512,4076.8333333333335,31,36.095686549963034,2.0
50838,1379,4251.083333333334,215,37.63847058528402,2.0
50839,1492,3660.7999999999997,219,32.41218821522538,2.0
50993,1547,3301.7166666666667,210,29.232916857885314,1.0
50994,1559,1177.5333333333333,239,10.425708050071494,1.0
50995,967,128.61666666666693,156,1.1387531707864165,1.0
51249,1537,-1770.5333333333333,453,-15.67604338978649,1.0
51250,2139,-2447.2,499,-21.667151169225182,1.0
51261,97,260.1666666666671,29,2.3034776462324675,1.0
51318,183,472.65,6,4.184774027514827,1.0
51319,282,722.05,20,6.3929251805079454,1.0
51320,249,2105.616666666667,19,18.64282225445681,1.0
51321,119,363.9166666666667,9,3.222064984336057,1.0
51492,360,355.9166666666667,47,3.151234153446141,1.0
51493,402,1738.0833333333335,183,15.388735831989269,1.0
51516,2998,3741.4166666666665,605,33.1259564006723,2.0
51517,518,3324.0666666666666,73,29.430800491684018,1.0
51519,2635,3480.4,552,30.81495297865779,2.0
