Charger ID,Charger Name,Address,Suburb,State,Postal Code,Power (kW),Usage Cost,Number of Points,Connection Types,latitude,longitude,Normalized Name,reliability_score
MEL037,Toyota Altona,Grieve Parade,altona,VIC,,"75, 75",,3,"33, 2",-37.8671503,144.8294637,toyota altona,68.57142857
MEL038,CB Smith Reserve,99 Jukes Road,fawkner,Victoria,3060,"25, 25",Free,1,"33, 2",-37.7146535,144.9605402,cb smith reserve,62.85714286
MEL039,Hobsons Bay Civic Centre,115 Civic Parade,altona,Victoria,3018,"50, 50",Free,1,"33, 2",-37.8671503,144.8294637,hobsons bay civic centre,65.71428571
MEL040,Chargefox Airport West,29-35 Louis St,airport west,Victoria,3042,"50, 350, 50, 50, 50","$0.65 per kwH, discount for RACV members",6,"2, 33, 33, 33, 2",-37.7222576,144.8834942,chargefox airport west,65.71428571
MEL041,Chadstone Shopping Centre,1341 Dandenong Rd,,Victoria,3148,"7, 7, 7, 7, 7, 7",Free,6,"25, 25, 25, 25, 25, 25",-37.8688729,145.2126338,chadstone shopping centre,60.8
MEL042,ENGIE - Chadstone,1341 Dandenong Rd,chadstone,Victoria,3148,"100, 100",$0.45 per kWh,4,"33, 2",-37.8822799,145.1001365,engie - chadstone,71.42857143
MEL043,ENGIE - Chadstone 2,Dandenong Road,chadstone,VIC,,120,,4,33,-37.8822799,145.1001365,engie - chadstone 2,73.71428571
MEL044,Tesla Supercharger Campbellfield,Camp Road,campbellfield,Victoria,3060,250,69c / KwH,1,33,-37.6641298,144.959583,tesla supercharger campbellfield,88.57142857
MEL045,Ampol Foodary Altona North,1 Horsburgh Drive,altona north,Victoria,3025,"180, 100",$0.60/kWh for pay-as-you-go charging.,4,"33, 2",-37.8378229,144.8342853,ampol foodary altona north,80.57142857
MEL046,Bridge Street,Bridge Street,hampton,Victoria,3191,"180, 100",$0.60/kWh for pay-as-you-go charging.,1,"33, 2",-37.9381127,145.0014764,bridge street,80.57142857
MEL047,Telsa Supercharger Box Hill,Ailsa Street,box hill south,Victoria,3128,250,,12,33,-37.8366236,145.1233644,telsa supercharger box hill,88.57142857
MEL048,Evie Glen Gala Village,Fitzgerald Road,sunshine west,VIC,,"75, 50",,4,"33, 2",-37.7983442,144.8110919,evie glen gala village,68.57142857
MEL049,Miller Grove,Miller Grove,,Victoria,3149,22,free,2,33,-37.8688729,145.2126338,miller grove,62.51428571
MEL050,Keilor Central,80 Taylors Road,keilor downs,Victoria,3038,"50, 50, 50, 50",$0.50 per kWh,2,"33, 2, 33, 2",-37.7205762,144.8047614,keilor central,65.71428571
MEL051,Tesla Supercharger Oakleigh Repair Centre,Huntingdale Road,oakleigh south,VIC,,250,Supercharger rates,6,33,-37.9248257,145.0921745,tesla supercharger oakleigh repair centre,88.57142857
