EVSE ID,total_sessions,total_uptime_hours,error_sessions,uptime_percent,avg_rating
3792.0,4369,10884.250833333334,159,33.738515567596004,2.0
4318.0,3643,8898.3875,154,27.582824926803795,1.0
6123.0,3623,10146.903333333334,136,31.452918654366897,2.0
6626.0,3941,11304.371944444445,157,35.04078826091623,2.0
6859.0,6040,13898.154444444444,235,43.0808796365399,2.0
6860.0,1250,2954.9375,49,9.159583546136565,1.0
6907.0,4087,10392.036666666667,127,32.2127720342132,2.0
27293.0,863,2693.7083333333335,32,8.349837019595492,1.0
27313.0,4201,10685.385555555556,285,33.122081843961844,2.0
29153.0,5129,12200.8075,327,37.81951923740506,2.0
29453.0,608,1982.6683333333333,30,6.145786922209355,1.0
29543.0,786,2353.555277777778,37,7.2954457403096376,1.0
29573.0,4202,10036.785,285,31.111578753225842,2.0
43583.0,4134,11283.006388888889,161,34.97456026417493,2.0
104339.0,7571,17596.102222222224,320,54.54361332204276,3.0
104427.0,11074,29610.289444444443,241,91.78465534099269,4.5
106099.0,9349,25103.29472222222,197,77.81407400037516,4.0
107367.0,8677,22584.199166666665,189,70.0054938859692,4.0
107427.0,7695,17852.18527777778,327,55.337408162749554,3.0
109701.0,9665,21648.148333333334,553,67.10396523727617,3.0
109783.0,8350,23237.628333333334,187,72.03096449019205,4.0
109785.0,13826,32260.609722222223,470,100.0,4.5
109973.0,4381,9543.1525,140,29.581438733398603,1.0
174559.0,8317,18220.112222222222,315,56.47789170479186,3.0
174575.0,6930,15981.657222222222,259,49.539228674941945,2.0
189855.0,5857,13804.971111111112,133,42.79203409352109,2.0
191779.0,3598,8712.979444444445,74,27.008105300758288,1.0
191815.0,5332,11899.781111111111,135,36.886411055381046,2.0
312051.0,4476,8089.339722222222,330,25.074974688559603,1.0
318651.0,4556,8974.672777777778,299,27.819290630442467,1.0
320381.0,2217,5939.689444444444,43,18.411584578182914,1.0
320531.0,2226,5511.921944444444,45,17.085609949422754,1.0
337571.0,3428,6152.053055555555,210,19.069859833795416,1.0
344261.0,2455,5934.392777777778,141,18.39516620694854,1.0
777561.0,2060,4028.5769444444445,171,12.487603238538364,1.0
1849001.0,1038,1986.7497222222223,79,6.158438229559191,1.0
2884001.0,445,1201.756388888889,15,3.7251508859768316,1.0
5358941.0,29,64.93722222222222,2,0.2012895068672283,1.0
5526171.0,2,15.686388888888889,0,0.048623969056863676,1.0
5526181.0,3,6.189444444444444,0,0.019185763994351727,1.0
5526191.0,8,20.284444444444443,1,0.06287681670961047,1.0
5526211.0,1,0.4855555555555556,0,0.0015051034674682174,1.0
5526221.0,4,13.459444444444443,0,0.04172098593404176,1.0
5526231.0,1,2.973888888888889,0,0.009218328216656026,1.0
5526261.0,2,3.060833333333333,0,0.009487834729995587,1.0
5526271.0,1,1.2180555555555557,0,0.0037756743162746763,1.0
5526281.0,1,1.8252777777777778,0,0.005657914693783557,1.0
5526291.0,7,21.144444444444446,0,0.06554260637510338,1.0
5526771.0,1,0.8072222222222223,0,0.0025021914625072313,1.0
5526801.0,4,6.923055555555556,0,0.021459779015852623,1.0
5535441.0,4,9.146944444444445,0,0.028353290663764838,1.0
