SA2_CODE21,SA2_NAME21,SiteScore,Traffic_200m,AmenityScore_300m,dist_to_ch_m,lat,lon
206041509,Southbank - East,0.41084492053379545,627346.0,7.0,203.4470346348344,-37.82781825773945,144.9634498102537
206041504,Melbourne CBD - North,0.40114228964754794,182494.0,169.0,359.5667778668233,-37.8103444581676,144.96517348902543
213021344,Newport,0.3330039001819588,509031.0,1.0,668.9805053760196,-37.825829070376734,144.88113022773842
206071517,Richmond (South) - Cremorne,0.32294007373056133,489670.0,1.0,812.3307424835612,-37.83018691865,145.0124469213634
205031093,Wonthaggi - Inverloch,0.3077642134635507,12243.0,1.0,19429.62433374606,-38.36487792073008,145.56314027394706
213041353,Bacchus Marsh,0.2973590444504704,138057.0,1.0,13591.046108628354,-37.663497690092186,144.43724827125834
205011076,Drouin,0.2738016670874184,63463.0,2.0,15020.480709968047,-38.086809876965106,145.77749306911898
206041505,Melbourne CBD - West,0.26273719283486524,289408.0,47.0,173.51943070996907,-37.81531681031285,144.95641027420095
203021043,Lara,0.24993593912932066,72926.0,1.0,13194.96416755287,-37.996182168830856,144.5051100276242
212051326,Oakleigh - Huntingdale,0.23073018594388214,347090.0,3.0,480.73426160941045,-37.91141519391258,145.10174350741843
206041117,Carlton,0.2261375665545591,318884.0,15.0,46.688867804224216,-37.80615506763404,144.96346696880047
208041195,Malvern East,0.2188966903542769,335584.0,1.0,402.8374674877873,-37.88146592020767,145.0859141610115
209041224,Wallan,0.19340015493093124,139495.0,1.0,6802.335634946922,-37.47508351964988,144.9732011760325
208031188,Highett (East) - Cheltenham,0.1872371552654396,245633.0,14.0,643.5534603322889,-37.964408890257,145.05732429050744
213051468,Werribee - West,0.1844335112594482,10506.0,1.0,11517.241047874466,-37.96195636695879,144.5005333795475
206041506,North Melbourne,0.17567458746345682,254221.0,1.0,945.0714202987751,-37.79362919661175,144.93840200552646
207021157,Doncaster,0.16069086797662613,204486.0,2.0,1908.983203276461,-37.788218612908786,145.10497080191877
212011546,Beaconsfield - Officer,0.15923318341163958,154306.0,1.0,3982.5381056410847,-38.055450488009285,145.38296485118641
207031163,Box Hill,0.15841582972059504,125494.0,46.0,257.38780007015197,-37.81935358265531,145.12357552414662
209021428,Preston - East,0.15269623981529817,100342.0,52.0,272.35417932942335,-37.73887635490706,145.00240323652324
206061136,Prahran - Windsor,0.15119950301331925,217953.0,3.0,633.8216905192577,-37.8543561274152,144.9839975577747
213031347,Braybrook,0.14706812657042082,206625.0,1.0,1047.2066278659809,-37.78161637918456,144.8675506488783
213031348,Footscray,0.14678832464099573,216027.0,1.0,643.1160336318824,-37.79994905719622,144.8876853424264
213041359,Rockbank - Mount Cottrell,0.14143637049324864,65474.0,1.0,6477.276176647831,-37.73391576571957,144.6717483399452
214011370,Carrum Downs,0.14115202043403688,154754.0,1.0,2793.6801464284335,-38.09186390650931,145.15098008736786
212041563,Dandenong - North,0.13877695949530122,141700.0,27.0,370.69463634907027,-37.98943748732485,145.21631389409558
211031266,Ringwood,0.1371480040679857,189874.0,1.0,1092.711739377979,-37.81728550185423,145.21758300160835
207031161,Blackburn,0.13310863665228412,165419.0,1.0,1835.172089953909,-37.803144577744234,145.1598318034753
213041358,Melton West,0.12297579671983906,39619.0,23.0,3970.0870739144916,-37.68769589807676,144.56161378700276
210051246,Greenvale - Bulla,0.1229148087019771,22059.0,1.0,7060.605905440838,-37.63489143180309,144.8018320988593
202011022,Kangaroo Flat - Golden Square,0.11305932165189263,19167.0,1.0,6541.345162186598,-36.831719135471985,144.24005850139076
214011371,Frankston,0.11226365545427837,124602.0,20.0,111.53194716631307,-38.14460359317042,145.1218506633128
214021379,Hastings - Somers,0.11149410470846748,6753.0,1.0,6949.651133796418,-38.3695085116103,145.20897727634528
208021177,Caulfield - North,0.11026727463578091,152074.0,6.0,364.95765627472497,-37.8761102133172,145.03959499903482
210051445,Mickleham - Yuroke,0.110191365921358,58803.0,3.0,4512.74427662669,-37.52456435243915,144.94787009552903
210051443,Craigieburn - South,0.10538555463734298,93548.0,1.0,2991.047301693427,-37.60109947030465,144.94282261908913
205011079,Warragul,0.09936255792446064,2446.0,1.0,6341.141530234306,-38.24626641412215,145.91283757354455
208021176,Carnegie,0.09896086489876624,86776.0,17.0,1126.92001596747,-37.88579210307017,145.05803949515507
212021293,Berwick - North,0.09667846356382903,16154.0,21.0,3446.837713238145,-38.02921155356117,145.34605754075548
208031193,Mordialloc - Parkdale,0.0948532859615929,87505.0,22.0,291.6423269237042,-38.00748256217327,145.08798948005682
209031209,Eltham,0.09425342008857425,117354.0,3.0,1077.3378395227703,-37.73206741282977,145.1377262882347
212041317,Springvale,0.09220910445014383,51971.0,22.0,1579.2420083370685,-37.94814119705197,145.15107348362613
212031300,Cranbourne,0.09120780969143427,102814.0,12.0,506.0798560147859,-38.11342934770847,145.2834732101886
209011197,Greensborough,0.08927241532195551,76208.0,24.0,178.36292552797514,-37.702179342796484,145.10500444795656
214011374,Langwarrin,0.08432566049136493,24380.0,1.0,4467.2918723792745,-38.137848955129336,145.2181246424261
206021112,Thornbury,0.082075980722463,96488.0,2.0,1253.5398285881656,-37.758396596104724,144.9935939733464
209041437,Wollert,0.0815100248046978,13261.0,1.0,4741.48991213487,-37.60499081498934,144.99678265914628
212011552,Pakenham - South West,0.08144313653065774,46253.0,1.0,3382.747863419319,-38.09121648143078,145.47111045245282
207011148,Balwyn North,0.08092839428991859,44294.0,10.0,2458.838583231673,-37.792953376027796,145.07011488785318
