Unnamed: 0,SA2_CODE21,SA2_NAME21,Population density 2024(persons/km2),Total Population,IRSAD Score,ChargerCount,AmenitiesCount,Average Annual Daily Traffic Volume,Cluster,Cluster_Label,area_m2,geometry,Traffic_200m,AmenityScore_300m,dist_to_ch_m,Traffic_200m_n,AmenityScore_300m_n,dist_to_ch_m_n,SiteScore,rank_in_sa2,lat,lon
139,206041509,Southbank - East,24164.2,19331.36,1104.055357,0.0,1,15999.5,0,"High Demand, Low Supply",385823.5226762851,POINT (144.96330371521384 -37.82664552707671),571200.0,13.0,2464.0767105714185,0.9056029425753876,0.5454545454545455,0.16266556406354032,0.5746772098855808,1.0,-37.82664552707671,144.96330371521384
133,206041503,Melbourne CBD - East,17078.6,13662.88,1078.587909,0.0,1,9023.5,0,"High Demand, Low Supply",48394.0760863831,POINT (144.96709825321722 -37.808323581427466),304180.0,20.0,3434.38637481264,0.4822589339505977,0.8636363636363638,0.3780697226700183,0.5654153994721537,1.0,-37.808323581427466,144.96709825321722
152,206061515,South Yarra - North,11656.1,13987.32,1142.23039,0.0,1,9870.4,0,"High Demand, Low Supply",20719.9158906167,POINT (145.0057414944443 -37.832331973640116),275247.0,5.0,6235.9337659193025,0.43638741795351493,0.18181818181818182,0.9999999999999998,0.5291004217268604,1.0,-37.832331973640116,145.0057414944443
134,206041504,Melbourne CBD - North,41985.4,25191.24,1051.410079,0.0,1,10038.357142857143,0,"High Demand, Low Supply",24908.69208103286,POINT (144.96539858750774 -37.80812552479861),220611.0,18.0,3326.8592113112663,0.34976535497986494,0.7727272727272728,0.35419920067592164,0.4779840840129043,1.0,-37.80812552479861,144.96539858750774
125,206041117,Carlton,13170.9,23707.62,1050.166907,0.0,1,7584.380952380952,0,"High Demand, Low Supply",105501.36720602133,POINT (144.96346254691662 -37.806156613870684),318884.0,13.0,3235.8376389873147,0.5055712337888829,0.5454545454545455,0.3339928418978591,0.4660627097212746,1.0,-37.806156613870684,144.96346254691662
135,206041505,Melbourne CBD - West,21418.8,21418.8,1072.553205,0.0,1,10934.4375,0,"High Demand, Low Supply",54403.267781166745,POINT (144.95388169025705 -37.81295269002191),201747.0,23.0,2203.3144251321846,0.3198576275485937,1.0,0.10477756937344862,0.45937632183147203,1.0,-37.81295269002191,144.95388169025705
140,206041510,West Melbourne - Residential,11278.0,9022.4,1099.228945,0.0,1,13048.842105263158,0,"High Demand, Low Supply",160137.45140861138,POINT (144.95258376465432 -37.811639750062184),151413.0,21.0,2223.9661552422695,0.2400561245521134,0.9090909090909092,0.10936215583287506,0.4015583692979806,1.0,-37.811639750062184,144.95258376465432
