name,address,latitude,longitude,score,geometry
ChargeFox,"24 Commercial Street, Korumburra, VIC, 3950",-38.432732,145.825496,1.1006388664,POINT (145.825496 -38.432732)
Evie,"7 Mine Road, Korumburra, VIC, 3950",-38.43427,145.825302,1.0998901129,POINT (145.825302 -38.43427)
ChargeFox,"1504-1510 Bass Highway, Grantville, VIC, 3984",-38.406967,145.530116,1.0786032677,POINT (145.530116 -38.406967)
Tesla,"18 Turner Street, Leongatha, VIC, 3953",-38.472058,145.947646,1.0744016171,POINT (145.947646 -38.472058)
ChargeFox,"9 Smith Street, Leongatha, VIC, 3953",-38.475985,145.944446,1.0732005835,POINT (145.944446 -38.475985)
Evie,"68 McCartin Street, Leongatha, VIC, 3953",-38.477919,145.943644,1.0725322962,POINT (145.943644 -38.477919)
EVUp,"20 Eliston Avenue, Melbourne, VIC, 3978",-38.122134,145.331586,1.0685424805,POINT (145.331586 -38.122134)
EVUp,"Vestfold Dr, Melbourne, VIC, 3978",-38.120953,145.329552,1.0679047108,POINT (145.329552 -38.120953)
ChargeFox,"79 Ridgway, Mirboo North, VIC, 3871",-38.40013,146.157939,1.0628429651,POINT (146.157939 -38.40013)
Exploren,"Woolepe Way, Melbourne, VIC, 3977",-38.123392,145.310239,1.0622528791,POINT (145.310239 -38.123392)
Exploren,"7W New Holland Drive, Melbourne, VIC, 3977",-38.111749,145.294748,1.0577924252,POINT (145.294748 -38.111749)
ChargeFox,"2 Hummingbird Drive, Melbourne, VIC, 3977",-38.14967,145.290902,1.0569207668,POINT (145.290902 -38.14967)
ChargeFox,"125 High Street, Melbourne, VIC, 3977",-38.107852,145.281708,1.0543146133,POINT (145.281708 -38.107852)
EVUp,"1063 South Gippsland Highway, Melbourne, VIC, 3977",-38.087022,145.279595,1.053170681,POINT (145.279595 -38.087022)
bp pulse,"1025 Cranbourne Frankston Road, Melbourne, VIC, 3977",-38.110217,145.264097,1.0500547886,POINT (145.264097 -38.110217)
ChargeFox,"4S Flicka Boulevard, Melbourne, VIC, 3977",-38.106745,145.250452,1.0468733311,POINT (145.250452 -38.106745)
Evie,"75S Lynbrook Boulevard, Melbourne, VIC, 3975",-38.051221,145.256979,1.0462813377,POINT (145.256979 -38.051221)
ChargeFox,"1 Hanily St, Meeniyan, VIC, 3956",-38.577364,146.012774,1.0374580622,POINT (146.012774 -38.577364)
Tesla,"388-404 Frankston Dandenong Road, Melbourne, VIC, 3175",-38.041089,145.209526,1.0367065668,POINT (145.209526 -38.041089)
Tesla,"23-55 McCrae Street, Melbourne, VIC, 3175",-37.98614,145.217809,1.0350718498,POINT (145.217809 -37.98614)
ChargeFox,"3529 Bass Highway, Kilcunda, VIC, 3995",-38.549208,145.476176,1.0343345404,POINT (145.476176 -38.549208)
Evie,"1095 Frankston Dandenong Road, Melbourne, VIC, 3201",-38.088428,145.182558,1.0337843895,POINT (145.182558 -38.088428)
ChargeFox,"1 Bent Street, Wonthaggi, VIC, 3995",-38.603698,145.593659,1.0324933529,POINT (145.593659 -38.603698)
ChargeFox,"1-3 Gladstone Rd, Melbourne, VIC, 3175",-37.975244,145.20423,1.0323861837,POINT (145.20423 -37.975244)
ChargeFox,"1 Monash Way, Morwell, VIC, 3840",-38.239839,146.421116,1.0321245193,POINT (146.421116 -38.239839)
AmpCharge,"154-156 Princes Highway, Melbourne, VIC, 3175",-37.974697,145.203595,1.0322641134,POINT (145.203595 -37.974697)
Tesla,"2 Cuttriss Street, Inverloch, VIC, 3996",-38.63379,145.742652,1.0316672325,POINT (145.742652 -38.63379)
AmpCharge,"330 Cranbourne Road, Melbourne, VIC, 3199",-38.151583,145.165833,1.0316569805,POINT (145.165833 -38.151583)
