name,address,latitude,longitude,score
ChargeHub,"65 Eleanor Drive, Lucas, VIC, 3350",-37.544906,143.776381,1.213516593
Tesla,"6 Coltman Plaza, Lucas, VIC, 3350",-37.542959,143.784769,1.212915659
Exploren,"Gillies St, Ballarat, VIC, 3355",-37.539811,143.822108,1.2082179785
Tesla,"333 Gillies Street North, Ballarat, VIC, 3355",-37.534594,143.822667,1.2080379725
ChargeFox,"Gillies St N, Ballarat, VIC, 3355",-37.535163,143.823717,1.2078744173
ChargeFox,"330 Heinz Lane, Ballarat, VIC, 3350",-37.527901,143.857797,1.2006021738
Tesla,"814 Lydiard Street North, Ballarat, VIC, 3350",-37.562762,143.857347,1.2002699375
ChargeFox,"22 Grant Street, Ballarat, VIC, 3350",-37.56709,143.857413,1.1999028921
ChargeFox,"61 Curtis Street, Ballarat, VIC, 3350",-37.561314,143.862292,1.199172616
ChargeFox,"Mazumdar Dr, Ballarat, VIC, 3350",-37.627852,143.891149,1.1799362898
Evie,"9395 Western Highway, Warrenheip, VIC, 3352",-37.564495,143.934589,1.1767866611
ChargeFox,"1500 Midland Highway, Creswick, VIC, 3363",-37.443855,143.890554,1.1767495871
EVUp,"410 Warrenheip Street, Ballarat, VIC, 3357",-37.649185,143.884224,1.1754277945
ChargeFox,"41-43 Albert Street, Creswick, VIC, 3363",-37.422472,143.894559,1.1687277555
EVUp,"1A Cameron Street, Clunes, VIC, 3370",-37.293051,143.786075,1.1249446869
Evie,"19 Willoby Street, Beaufort, VIC, 3373",-37.428843,143.38296,1.0939763784
Tesla,"23A King Street, Daylesford, VIC, 3460",-37.351031,144.141166,1.0707720518
Tesla,"4 King Street, Daylesford, VIC, 3460",-37.349104,144.141044,1.0704020262
ChargeFox,"76 Vincent Street, Daylesford, VIC, 3460",-37.342971,144.142172,1.0688172579
ChargeFox,"Mineral Springs Reserve Rd, Hepburn Springs, VIC, 3461",-37.309072,144.140369,1.061999917
Tesla,"606 Daylesford Trentham Road, Musk, VIC, 3461",-37.374526,144.198017,1.0600562096
Evie,"12 Wallace Street, Meredith, VIC, 3333",-37.844323,144.076807,1.0581064224
Exploren,"75 Fraser Street, Amphitheatre, VIC, 3468",-37.18275,143.399691,1.0418438911
ChargeFox,"66 High Street, Trentham, VIC, 3458",-37.388595,144.325415,1.035349369
Evie,"Station St, Maryborough, VIC, 3465",-37.050907,143.741487,1.03350389
Evie,"101 High Street, Avoca, VIC, 3467",-37.089935,143.474508,1.031473875
Exploren,"55 Lyons St, Newstead, VIC, 3462",-37.105018,144.065869,1.0310955048
Evie,"33 Forest Street, Castlemaine, VIC, 3450",-37.066718,144.217782,1.0250109434
Exploren,"98 Forest Street, Castlemaine, VIC, 3450",-37.067624,144.222189,1.0249972343
Evie,"29 High Street, Bannockburn, VIC, 3331",-38.047336,144.170667,1.0249823332
Tesla,"33 Campbell Street, Castlemaine, VIC, 3450",-37.06209,144.219713,1.0249673128
Evie,"7-15 Baynton Street, Kyneton, VIC, 3444",-37.249025,144.452158,1.0247609615
Tesla,"72 Piper Street, Kyneton, VIC, 3444",-37.244045,144.44885,1.0247608423
Evie,"1 Hutton Street, Kyneton, VIC, 3444",-37.247052,144.452539,1.0247498751
Tesla,"1 Bolton Reserve Lane, Kyneton, VIC, 3444",-37.249261,144.454986,1.024743557
ChargeFox,"7-25 Caroline Chisholm Drive, Kyneton, VIC, 3444",-37.254761,144.47032,1.0246660709
Evie,"124 High Street, Woodend, VIC, 3442",-37.356126,144.528313,1.0246170759
Exploren,"426 Black Forest Drive, Macedon, VIC, 3440",-37.424244,144.554476,1.0245785713
EVUp,"Degraves Road, Crowlands, VIC, 3377",-37.124021,143.120564,1.0245666504
Evie,"30 Smith Street, Macedon, VIC, 3440",-37.423816,144.562305,1.0245217085
Saascharge,"40 Robertson Street, Gisborne, VIC, 3437",-37.482784,144.585489,1.0244275331
EVERTY,"Prince St, Gisborne, VIC, 3437",-37.487131,144.587844,1.0244139433
Evie,"201 Exford Road, Weir Views, VIC, 3338",-37.722813,144.572248,1.0243228674
Evie,"7 High Street, Harcourt, VIC, 3453",-36.998673,144.26091,1.0243166685
ChargeFox,"Bridge Road, Cobblebank, VIC, 3338",-37.715307,144.599737,1.0241514444
Tesla,"Queen St, Ararat, VIC, 3377",-37.283396,142.933892,1.0241514444
Evie,"15 Collings St, Ararat, VIC, 3377",-37.281976,142.929683,1.0241191387
EVUp,"Cnr High St, Ararat, VIC, 3377",-37.282308,142.928119,1.0241100788
NRMA,"Taylor St, Ararat, VIC, 3377",-37.285132,142.926456,1.0241084099
Tesla,"6 Acacia Avenue, Ararat, VIC, 3377",-37.276701,142.9252,1.0240725279
Delta Electronics,"20 Willis Street, Winchelsea, VIC, 3241",-38.239645,143.992976,1.0239056349
Tesla,"470-510 Princes Highway, Geelong, VIC, 3214",-38.065192,144.382451,1.0238958597
ChargeFox,"1B Willis Street, Winchelsea, VIC, 3241",-38.240421,143.991117,1.0239025354
AmpCharge,"2931 Princes Highway, Winchelsea, VIC, 3241",-38.245721,143.983611,1.023871541
Tesla,"29 Princes Highway, Geelong, VIC, 3214",-38.096811,144.355746,1.023816824
EVUp,"2110 Glenelg Highway, Lake Bolac, VIC, 3351",-37.711748,142.840916,1.0237675905
ChargeFox,"Weddell Rd, Geelong, VIC, 3215",-38.129341,144.345324,1.023647666
Evie,"36-46 Province Boulevard, Geelong, VIC, 3216",-38.160661,144.305912,1.0235956907
AmpCharge,"71 Perceval Place, Melbourne, VIC, 3024",-37.89597,144.59922,1.0235857964
Evie,"95-103 Pakington Street, Geelong, VIC, 3218",-38.136841,144.348358,1.0235849619
Exploren,"1 Tierra Blvd, Melbourne, VIC, 3029",-37.849871,144.636904,1.0235270262
ChargeFox,"17 Brougham Street, Geelong, VIC, 3220",-38.144026,144.357984,1.0234973431
ChargeFox,"21 Cortland Street, Melbourne, VIC, 3024",-37.876373,144.627052,1.0234935284
ChargeFox,"10 Western Foreshore Road, Geelong, VIC, 3220",-38.143228,144.361128,1.023489356
Tesla,"Myers St & Gheringhap St, Geelong, VIC, 3220",-38.151326,144.35656,1.0234550238
ChargeFox,"106-112 Evans Street, Sunbury, VIC, 3429",-37.581337,144.726621,1.023462534
ChargeFox,"6 Congo Drive, Melbourne, VIC, 3029",-37.853375,144.64729,1.0234516859
Tesla,"6 Bellerine Street, Geelong, VIC, 3220",-38.147286,144.366238,1.0234414339
Evie,"98-122 O'Shanassy Street, Sunbury, VIC, 3429",-37.581831,144.729187,1.0234452486
ChargeFox,"2 Bradfield St, Melbourne, VIC, 3030",-37.911206,144.615243,1.0234309435
ChargeFox,"160 Clara Avenue, Melbourne, VIC, 3029",-37.765344,144.69096,1.0234333277
EVUp,"99 Barrabool Road, Geelong, VIC, 3216",-38.167049,144.339013,1.0234216452
Tesla,"99 Barrabool Road, Geelong, VIC, 3216",-38.16679,144.341445,1.0234136581
ChargeFox,"1 Kings Way, Geelong, VIC, 3216",-38.19669,144.299274,1.0233712196
ChargeFox,"61 Polly Parade, Melbourne, VIC, 3029",-37.825378,144.683081,1.0233211517
Evie,"179-193 Colac Road, Geelong, VIC, 3216",-38.200663,144.312777,1.0232942104
AmpCharge,"173-199 Pioneer Road, Geelong, VIC, 3216",-38.199149,144.316878,1.0232894421
