name,address,latitude,longitude,score
ChargeFox,"240 Pioneer Road, Geelong, VIC, 3216",-38.197658,144.320229,1.0232871771
Tesla,"46-48 Murray Street, Colac, VIC, 3250",-38.338077,143.597737,1.0232179165
EVUp,"300 Heaths Road, Melbourne, VIC, 3029",-37.876496,144.676114,1.0232001543
ChargeFox,"1-15 Banchory Avenue, Melbourne, VIC, 3037",-37.691938,144.749907,1.0232006311
Tesla,"4285 Cape Otway Road, Birregurra, VIC, 3242",-38.347241,143.806876,1.0232061148
ChargeFox,"22 Synnot Street, Melbourne, VIC, 3030",-37.901958,144.662341,1.0231912136
AmpCharge,"45 Cherry Street, Melbourne, VIC, 3030",-37.899707,144.664971,1.0231840611
Tesla,"Derrimut Rd & Heaths Rd, Melbourne, VIC, 3029",-37.875247,144.679639,1.023183465
Tesla,"71 Bellarine Highway, Geelong, VIC, 3219",-38.170584,144.392387,1.0231831074
NRMA,"87 Bromfield Street, Colac, VIC, 3250",-38.340632,143.58866,1.0231881142
Tesla,"158 Bromfield Street, Colac, VIC, 3250",-38.341332,143.593052,1.0231869221
Evie,"9-29 Bromfield Street, Colac, VIC, 3250",-38.340697,143.585454,1.0231841803
Evie,"38 Burke Street, Newbridge, VIC, 3551",-36.740509,143.900115,1.0231790543
ChargeFox,"45 Princes Highway, Melbourne, VIC, 3030",-37.897095,144.670608,1.023160696
ChargeFox,"51 Melbourne Lancefield Road, Romsey, VIC, 3434",-37.353829,144.742925,1.0231803656
AmpCharge,"575 Melton Highway, Melbourne, VIC, 3037",-37.694021,144.755443,1.0231621265
ChargeFox,"40 South Rd, Cocoroc, VIC, 3030",-37.95365,144.636585,1.0231370926
Evie,"140 Main Street, Romsey, VIC, 3434",-37.345729,144.743909,1.0231585503
bp pulse,"34 Windsor Gardens, Melbourne, VIC, 3023",-37.7555,144.741119,1.0231394768
Exploren,"1145 Western Hwy, Melbourne, VIC, 3023",-37.757631,144.741023,1.0231355429
ChargeFox,"4 Everton Road, Melbourne, VIC, 3029",-37.819138,144.721469,1.0231046677
ChargeFox,"73 Alcock Road, Melbourne, VIC, 3029",-37.828939,144.720734,1.0230815411
ChargeFox,"110-120 Unity Dr, Mount Duneed, VIC, 3217",-38.224496,144.32692,1.0230808258
Tesla,"814 Lydiard Street North, Ballarat, VIC, 3350",-37.562762,143.857347,1.2138115168
ChargeFox,"22 Grant Street, Ballarat, VIC, 3350",-37.56709,143.857413,1.2136656046
Exploren,"Gillies St, Ballarat, VIC, 3355",-37.539811,143.822108,1.2136485577
ChargeFox,"61 Curtis Street, Ballarat, VIC, 3350",-37.561314,143.862292,1.2135733366
ChargeFox,"Gillies St N, Ballarat, VIC, 3355",-37.535163,143.823717,1.2133754492
Tesla,"333 Gillies Street North, Ballarat, VIC, 3355",-37.534594,143.822667,1.213296771
ChargeFox,"330 Heinz Lane, Ballarat, VIC, 3350",-37.527901,143.857797,1.2123788595
Tesla,"6 Coltman Plaza, Lucas, VIC, 3350",-37.542959,143.784769,1.2109165192
ChargeHub,"65 Eleanor Drive, Lucas, VIC, 3350",-37.544906,143.776381,1.2099127769
Evie,"9395 Western Highway, Warrenheip, VIC, 3352",-37.564495,143.934589,1.2032365799
ChargeFox,"Mazumdar Dr, Ballarat, VIC, 3350",-37.627852,143.891149,1.2016223669
EVUp,"410 Warrenheip Street, Ballarat, VIC, 3357",-37.649185,143.884224,1.1962815523
ChargeFox,"1500 Midland Highway, Creswick, VIC, 3363",-37.443855,143.890554,1.1889619827
ChargeFox,"41-43 Albert Street, Creswick, VIC, 3363",-37.422472,143.894559,1.180069685
EVUp,"1A Cameron Street, Clunes, VIC, 3370",-37.293051,143.786075,1.1167135239
Tesla,"23A King Street, Daylesford, VIC, 3460",-37.351031,144.141166,1.0915621519
Tesla,"4 King Street, Daylesford, VIC, 3460",-37.349104,144.141044,1.0910106897
ChargeFox,"76 Vincent Street, Daylesford, VIC, 3460",-37.342971,144.142172,1.0888288021
Tesla,"606 Daylesford Trentham Road, Musk, VIC, 3461",-37.374526,144.198017,1.0813879967
Evie,"12 Wallace Street, Meredith, VIC, 3333",-37.844323,144.076807,1.0787031651
ChargeFox,"Mineral Springs Reserve Rd, Hepburn Springs, VIC, 3461",-37.309072,144.140369,1.0788754225
Evie,"19 Willoby Street, Beaufort, VIC, 3373",-37.428843,143.38296,1.0642358065
ChargeFox,"66 High Street, Trentham, VIC, 3458",-37.388595,144.325415,1.0505552292
Exploren,"55 Lyons St, Newstead, VIC, 3462",-37.105018,144.065869,1.0344065428
Exploren,"75 Fraser Street, Amphitheatre, VIC, 3468",-37.18275,143.399691,1.0301086903
Evie,"Station St, Maryborough, VIC, 3465",-37.050907,143.741487,1.0298517942
Evie,"101 High Street, Avoca, VIC, 3467",-37.089935,143.474508,1.0255509615
Evie,"29 High Street, Bannockburn, VIC, 3331",-38.047336,144.170667,1.025447011
Evie,"33 Forest Street, Castlemaine, VIC, 3450",-37.066718,144.217782,1.0252790451
Exploren,"98 Forest Street, Castlemaine, VIC, 3450",-37.067624,144.222189,1.0252685547
Evie,"7-15 Baynton Street, Kyneton, VIC, 3444",-37.249025,144.452158,1.0252656937
Tesla,"72 Piper Street, Kyneton, VIC, 3444",-37.244045,144.44885,1.0252611637
Evie,"1 Hutton Street, Kyneton, VIC, 3444",-37.247052,144.452539,1.0252529383
Tesla,"1 Bolton Reserve Lane, Kyneton, VIC, 3444",-37.249261,144.454986,1.0252484083
Tesla,"33 Campbell Street, Castlemaine, VIC, 3450",-37.06209,144.219713,1.0252329111
Evie,"124 High Street, Woodend, VIC, 3442",-37.356126,144.528313,1.0251967907
Exploren,"426 Black Forest Drive, Macedon, VIC, 3440",-37.424244,144.554476,1.0251920223
ChargeFox,"7-25 Caroline Chisholm Drive, Kyneton, VIC, 3444",-37.254761,144.47032,1.0251759291
Evie,"30 Smith Street, Macedon, VIC, 3440",-37.423816,144.562305,1.0251327753
Saascharge,"40 Robertson Street, Gisborne, VIC, 3437",-37.482784,144.585489,1.0250573158
EVERTY,"Prince St, Gisborne, VIC, 3437",-37.487131,144.587844,1.0250445604
Evie,"201 Exford Road, Weir Views, VIC, 3338",-37.722813,144.572248,1.024977684
ChargeFox,"Bridge Road, Cobblebank, VIC, 3338",-37.715307,144.599737,1.0247980356
Evie,"7 High Street, Harcourt, VIC, 3453",-36.998673,144.26091,1.0245605707
Tesla,"470-510 Princes Highway, Geelong, VIC, 3214",-38.065192,144.382451,1.0244050026
Tesla,"29 Princes Highway, Geelong, VIC, 3214",-38.096811,144.355746,1.024302125
AmpCharge,"71 Perceval Place, Melbourne, VIC, 3024",-37.89597,144.59922,1.0241761208
Delta Electronics,"20 Willis Street, Winchelsea, VIC, 3241",-38.239645,143.992976,1.0241658688
ChargeFox,"1B Willis Street, Winchelsea, VIC, 3241",-38.240421,143.991117,1.024161458
Exploren,"1 Tierra Blvd, Melbourne, VIC, 3029",-37.849871,144.636904,1.0241262913
AmpCharge,"2931 Princes Highway, Winchelsea, VIC, 3241",-38.245721,143.983611,1.0241240263
ChargeFox,"Weddell Rd, Geelong, VIC, 3215",-38.129341,144.345324,1.0241109133
ChargeFox,"21 Cortland Street, Melbourne, VIC, 3024",-37.876373,144.627052,1.0240856409
ChargeFox,"106-112 Evans Street, Sunbury, VIC, 3429",-37.581337,144.726621,1.0240653753
ChargeFox,"6 Congo Drive, Melbourne, VIC, 3029",-37.853375,144.64729,1.0240470171
Evie,"95-103 Pakington Street, Geelong, VIC, 3218",-38.136841,144.348358,1.0240442753
Evie,"98-122 O'Shanassy Street, Sunbury, VIC, 3429",-37.581831,144.729187,1.0240471363
ChargeFox,"160 Clara Avenue, Melbourne, VIC, 3029",-37.765344,144.69096,1.0240402222
Evie,"36-46 Province Boulevard, Geelong, VIC, 3216",-38.160661,144.305912,1.0240315199
ChargeFox,"2 Bradfield St, Melbourne, VIC, 3030",-37.911206,144.615243,1.0240116119
EVUp,"Degraves Road, Crowlands, VIC, 3377",-37.124021,143.120564,1.0239995718
ChargeFox,"17 Brougham Street, Geelong, VIC, 3220",-38.144026,144.357984,1.0239540339
ChargeFox,"10 Western Foreshore Road, Geelong, VIC, 3220",-38.143228,144.361128,1.0239471197
ChargeFox,"61 Polly Parade, Melbourne, VIC, 3029",-37.825378,144.683081,1.0239156485
Tesla,"Myers St & Gheringhap St, Geelong, VIC, 3220",-38.151326,144.35656,1.0239073038
Tesla,"6 Bellerine Street, Geelong, VIC, 3220",-38.147286,144.366238,1.0238977671
EVUp,"99 Barrabool Road, Geelong, VIC, 3216",-38.167049,144.339013,1.023861289
Tesla,"99 Barrabool Road, Geelong, VIC, 3216",-38.16679,144.341445,1.0238540173
ChargeFox,"1-15 Banchory Avenue, Melbourne, VIC, 3037",-37.691938,144.749907,1.0237973928
EVUp,"300 Heaths Road, Melbourne, VIC, 3029",-37.876496,144.676114,1.0237805843
ChargeFox,"1 Kings Way, Geelong, VIC, 3216",-38.19669,144.299274,1.0237845182
ChargeFox,"22 Synnot Street, Melbourne, VIC, 3030",-37.901958,144.662341,1.023765564
Tesla,"Derrimut Rd & Heaths Rd, Melbourne, VIC, 3029",-37.875247,144.679639,1.0237634182
AmpCharge,"45 Cherry Street, Melbourne, VIC, 3030",-37.899707,144.664971,1.023758769
AmpCharge,"575 Melton Highway, Melbourne, VIC, 3037",-37.694021,144.755443,1.0237568617
ChargeFox,"45 Princes Highway, Melbourne, VIC, 3030",-37.897095,144.670608,1.0237349272
bp pulse,"34 Windsor Gardens, Melbourne, VIC, 3023",-37.7555,144.741119,1.0237319469
Exploren,"1145 Western Hwy, Melbourne, VIC, 3023",-37.757631,144.741023,1.0237276554
Evie,"179-193 Colac Road, Geelong, VIC, 3216",-38.200663,144.312777,1.0237088203
AmpCharge,"173-199 Pioneer Road, Geelong, VIC, 3216",-38.199149,144.316878,1.0237058401
ChargeFox,"240 Pioneer Road, Geelong, VIC, 3216",-38.197658,144.320229,1.0237051249
ChargeFox,"40 South Rd, Cocoroc, VIC, 3030",-37.95365,144.636585,1.0236957073
ChargeFox,"51 Melbourne Lancefield Road, Romsey, VIC, 3434",-37.353829,144.742925,1.0237132311
ChargeFox,"4 Everton Road, Melbourne, VIC, 3029",-37.819138,144.721469,1.0236898661
Evie,"140 Main Street, Romsey, VIC, 3434",-37.345729,144.743909,1.0236877203
ChargeFox,"73 Alcock Road, Melbourne, VIC, 3029",-37.828939,144.720734,1.0236644745
ChargeFox,"117 Alcock Road, Melbourne, VIC, 3029",-37.828926,144.724294,1.0236420631
Tesla,"71 Bellarine Highway, Geelong, VIC, 3219",-38.170584,144.392387,1.0236304998
Tesla,"399 Melton Highway, Melbourne, VIC, 3038",-37.699167,144.776103,1.0236109495
JOLT,"431 Kings Road, Melbourne, VIC, 3038",-37.699351,144.780302,1.0235828161
Evie,"410 Melton Highway, Melbourne, VIC, 3038",-37.696554,144.782132,1.0235751867
Evie,"4 The Crescent, Lancefield, VIC, 3435",-37.277541,144.735012,1.0235569477
AmpCharge,"354A Robinsons Road, Melbourne, VIC, 3026",-37.805132,144.752026,1.0235359669
Tesla,"Queen St, Ararat, VIC, 3377",-37.283396,142.933892,1.0235471725
EVUp,"28-72 Neale Road, Melbourne, VIC, 3023",-37.751271,144.774194,1.0235255957
Evie,"15 Collings St, Ararat, VIC, 3377",-37.281976,142.929683,1.0235165358
EVUp,"Cnr High St, Ararat, VIC, 3377",-37.282308,142.928119,1.0235078335
NRMA,"Taylor St, Ararat, VIC, 3377",-37.285132,142.926456,1.0235056877
ChargeFox,"110-120 Unity Dr, Mount Duneed, VIC, 3217",-38.224496,144.32692,1.0234857798
ChargePoint,"101 Unity Drive, Mount Duneed, VIC, 3217",-38.225341,144.328361,1.0234748125
EVUp,"410 Warrenheip Street, Ballarat, VIC, 3357",-37.649185,143.884224,1.2143324614
ChargeFox,"Mazumdar Dr, Ballarat, VIC, 3350",-37.627852,143.891149,1.2137916088
ChargeFox,"22 Grant Street, Ballarat, VIC, 3350",-37.56709,143.857413,1.2029918432
Tesla,"814 Lydiard Street North, Ballarat, VIC, 3350",-37.562762,143.857347,1.201777935
ChargeFox,"61 Curtis Street, Ballarat, VIC, 3350",-37.561314,143.862292,1.2015892267
Evie,"9395 Western Highway, Warrenheip, VIC, 3352",-37.564495,143.934589,1.1996825933
Exploren,"Gillies St, Ballarat, VIC, 3355",-37.539811,143.822108,1.191368103
ChargeFox,"330 Heinz Lane, Ballarat, VIC, 3350",-37.527901,143.857797,1.1900491714
ChargeFox,"Gillies St N, Ballarat, VIC, 3355",-37.535163,143.823717,1.1899186373
Tesla,"333 Gillies Street North, Ballarat, VIC, 3355",-37.534594,143.822667,1.1895879507
Tesla,"6 Coltman Plaza, Lucas, VIC, 3350",-37.542959,143.784769,1.1864691973
ChargeHub,"65 Eleanor Drive, Lucas, VIC, 3350",-37.544906,143.776381,1.1853933334
ChargeFox,"1500 Midland Highway, Creswick, VIC, 3363",-37.443855,143.890554,1.1514211893
ChargeFox,"41-43 Albert Street, Creswick, VIC, 3363",-37.422472,143.894559,1.1401380301
Evie,"12 Wallace Street, Meredith, VIC, 3333",-37.844323,144.076807,1.1232881546
Tesla,"23A King Street, Daylesford, VIC, 3460",-37.351031,144.141166,1.0733655691
EVUp,"1A Cameron Street, Clunes, VIC, 3370",-37.293051,143.786075,1.0731207132
Tesla,"4 King Street, Daylesford, VIC, 3460",-37.349104,144.141044,1.0727449656
ChargeFox,"76 Vincent Street, Daylesford, VIC, 3460",-37.342971,144.142172,1.0705136061
Tesla,"606 Daylesford Trentham Road, Musk, VIC, 3461",-37.374526,144.198017,1.0692920685
ChargeFox,"Mineral Springs Reserve Rd, Hepburn Springs, VIC, 3461",-37.309072,144.140369,1.0601459742
ChargeFox,"66 High Street, Trentham, VIC, 3458",-37.388595,144.325415,1.0468336344
Evie,"19 Willoby Street, Beaufort, VIC, 3373",-37.428843,143.38296,1.0430098772
Evie,"29 High Street, Bannockburn, VIC, 3331",-38.047336,144.170667,1.0392535925
Evie,"201 Exford Road, Weir Views, VIC, 3338",-37.722813,144.572248,1.0254946947
Exploren,"55 Lyons St, Newstead, VIC, 3462",-37.105018,144.065869,1.0254430771
ChargeFox,"Bridge Road, Cobblebank, VIC, 3338",-37.715307,144.599737,1.0252927542
Exploren,"426 Black Forest Drive, Macedon, VIC, 3440",-37.424244,144.554476,1.0252623558
Tesla,"470-510 Princes Highway, Geelong, VIC, 3214",-38.065192,144.382451,1.0252411366
Saascharge,"40 Robertson Street, Gisborne, VIC, 3437",-37.482784,144.585489,1.0252244473
EVERTY,"Prince St, Gisborne, VIC, 3437",-37.487131,144.587844,1.025218606
Evie,"30 Smith Street, Macedon, VIC, 3440",-37.423816,144.562305,1.0252052546
Tesla,"29 Princes Highway, Geelong, VIC, 3214",-38.096811,144.355746,1.0251476765
Evie,"124 High Street, Woodend, VIC, 3442",-37.356126,144.528313,1.0251553059
Exploren,"75 Fraser Street, Amphitheatre, VIC, 3468",-37.18275,143.399691,1.0250577927
Evie,"7-15 Baynton Street, Kyneton, VIC, 3444",-37.249025,144.452158,1.0250350237
Delta Electronics,"20 Willis Street, Winchelsea, VIC, 3241",-38.239645,143.992976,1.0250169039
Tesla,"72 Piper Street, Kyneton, VIC, 3444",-37.244045,144.44885,1.0250222683
ChargeFox,"1B Willis Street, Winchelsea, VIC, 3241",-38.240421,143.991117,1.0250116587
Evie,"1 Hutton Street, Kyneton, VIC, 3444",-37.247052,144.452539,1.0250203609
Tesla,"1 Bolton Reserve Lane, Kyneton, VIC, 3444",-37.249261,144.454986,1.0250203609
Evie,"Station St, Maryborough, VIC, 3465",-37.050907,143.741487,1.0250098705
AmpCharge,"2931 Princes Highway, Winchelsea, VIC, 3241",-38.245721,143.983611,1.0249695778
ChargeFox,"Weddell Rd, Geelong, VIC, 3215",-38.129341,144.345324,1.0249528885
ChargeFox,"7-25 Caroline Chisholm Drive, Kyneton, VIC, 3444",-37.254761,144.47032,1.0249662399
Evie,"95-103 Pakington Street, Geelong, VIC, 3218",-38.136841,144.348358,1.024882555
Evie,"36-46 Province Boulevard, Geelong, VIC, 3216",-38.160661,144.305912,1.02488029
AmpCharge,"71 Perceval Place, Melbourne, VIC, 3024",-37.89597,144.59922,1.0248287916
ChargeFox,"17 Brougham Street, Geelong, VIC, 3220",-38.144026,144.357984,1.0247855186
ChargeFox,"10 Western Foreshore Road, Geelong, VIC, 3220",-38.143228,144.361128,1.0247774124
Tesla,"Myers St & Gheringhap St, Geelong, VIC, 3220",-38.151326,144.35656,1.0247372389
Exploren,"1 Tierra Blvd, Melbourne, VIC, 3029",-37.849871,144.636904,1.02472651
Tesla,"6 Bellerine Street, Geelong, VIC, 3220",-38.147286,144.366238,1.0247243643
ChargeFox,"21 Cortland Street, Melbourne, VIC, 3024",-37.876373,144.627052,1.0247092247
EVUp,"99 Barrabool Road, Geelong, VIC, 3216",-38.167049,144.339013,1.0246937275
Evie,"33 Forest Street, Castlemaine, VIC, 3450",-37.066718,144.217782,1.0247015953
Tesla,"99 Barrabool Road, Geelong, VIC, 3216",-38.16679,144.341445,1.0246853828
Exploren,"98 Forest Street, Castlemaine, VIC, 3450",-37.067624,144.222189,1.0246955156
ChargeFox,"2 Bradfield St, Melbourne, VIC, 3030",-37.911206,144.615243,1.0246623755
Tesla,"33 Campbell Street, Castlemaine, VIC, 3450",-37.06209,144.219713,1.0246566534
Evie,"101 High Street, Avoca, VIC, 3467",-37.089935,143.474508,1.0246578455
ChargeFox,"6 Congo Drive, Melbourne, VIC, 3029",-37.853375,144.64729,1.0246436596
ChargeFox,"1 Kings Way, Geelong, VIC, 3216",-38.19669,144.299274,1.0246208906
ChargeFox,"160 Clara Avenue, Melbourne, VIC, 3029",-37.765344,144.69096,1.024543643
Evie,"179-193 Colac Road, Geelong, VIC, 3216",-38.200663,144.312777,1.0245383978
AmpCharge,"173-199 Pioneer Road, Geelong, VIC, 3216",-38.199149,144.316878,1.0245345831
ChargeFox,"240 Pioneer Road, Geelong, VIC, 3216",-38.197658,144.320229,1.0245332718
ChargeFox,"61 Polly Parade, Melbourne, VIC, 3029",-37.825378,144.683081,1.0244723558
Tesla,"71 Bellarine Highway, Geelong, VIC, 3219",-38.170584,144.392387,1.0244376659
ChargeFox,"22 Synnot Street, Melbourne, VIC, 3030",-37.901958,144.662341,1.0243829489
EVUp,"300 Heaths Road, Melbourne, VIC, 3029",-37.876496,144.676114,1.0243753195
AmpCharge,"45 Cherry Street, Melbourne, VIC, 3030",-37.899707,144.664971,1.0243732929
Tesla,"Derrimut Rd & Heaths Rd, Melbourne, VIC, 3029",-37.875247,144.679639,1.0243554115
ChargeFox,"40 South Rd, Cocoroc, VIC, 3030",-37.95365,144.636585,1.0243524313
ChargeFox,"106-112 Evans Street, Sunbury, VIC, 3429",-37.581337,144.726621,1.0243635178
ChargeFox,"45 Princes Highway, Melbourne, VIC, 3030",-37.897095,144.670608,1.0243448019
Evie,"98-122 O'Shanassy Street, Sunbury, VIC, 3429",-37.581831,144.729187,1.0243455172
ChargeFox,"110-120 Unity Dr, Mount Duneed, VIC, 3217",-38.224496,144.32692,1.0243003368
ChargePoint,"101 Unity Drive, Mount Duneed, VIC, 3217",-38.225341,144.328361,1.0242882967
ChargeFox,"4 Everton Road, Melbourne, VIC, 3029",-37.819138,144.721469,1.0242220163
ChargeFox,"73 Alcock Road, Melbourne, VIC, 3029",-37.828939,144.720734,1.0242041349
ChargeFox,"1-15 Banchory Avenue, Melbourne, VIC, 3037",-37.691938,144.749907,1.0242085457
bp pulse,"34 Windsor Gardens, Melbourne, VIC, 3023",-37.7555,144.741119,1.0242044926
Exploren,"1145 Western Hwy, Melbourne, VIC, 3023",-37.757631,144.741023,1.0242021084
Tesla,"675 Anglesea Road, Freshwater Creek, VIC, 3217",-38.259647,144.276227,1.0242000818
ChargeFox,"117 Alcock Road, Melbourne, VIC, 3029",-37.828926,144.724294,1.0241799355
AmpCharge,"575 Melton Highway, Melbourne, VIC, 3037",-37.694021,144.755443,1.0241681337
EVUp,"Blackgate Road, Freshwater Creek, VIC, 3217",-38.276781,144.253739,1.0241322517
Tesla,"1280 Blackgate Road, Freshwater Creek, VIC, 3217",-38.277701,144.252901,1.0241272449
ChargeFox,"46-70 Central Boulevard, Geelong, VIC, 3217",-38.231641,144.369055,1.024086833
Tesla,"4285 Cape Otway Road, Birregurra, VIC, 3242",-38.347241,143.806876,1.0240666866
