"ModelReleaseYear","Make","ModelReleaseVersion","Model","Variant","EngineDisplacement","EngineConfiguration","EngineInduction","FwdGearsNo","TransmissionTypeDescription","SideDoorNo","SeatingCapacity","BodyStyle","DrivingWheelsNo","FuelType","CO2EmissionsCombined","CO2EmissionsUrban","CO2EmissionsExtraUrban","FuelConsumptionCombined","FuelConsumptionUrban","FuelConsumptionExtraUrban","EnergyConsumptionWhkm","ElectricRangeKm","AirPollutionStandard","StationaryNoiseData","TestSpeed","IsCurrentModel","ModelEndYear","FuelLifeCycleCO2","AnnualTailpipeCO2","AnnualFuelCost"
"2023","Cupra","MY23","Leon","VZE 180PHEV","1.4","4cyl","Turbo","6","Auto","4","5","Hatch","2","Petrol 95RON","40","","","1.8","","","113","67","Euro 6","75","3750","Yes","0","136","0.56","928"
"2019","Land Rover","L551 23MY","LZ","P300e AWD Auto Electric Hybrid","1.5","3cyl","Turbo","9","Auto","4","5","Wagon","4","Petrol 95RON","48","","176","2.1","","7.7","186","66","Euro 6","68","3750","No","2025","202","0.67","1310"
"2019","Land Rover","L551 24MY","LZ","P300e AWD Auto Electric Hybrid","1.5","3cyl","Turbo","9","Auto","4","5","Wagon","4","Petrol 95RON","49","","177","2.1","","7.8","169","66","Euro 6","68","3750","No","2025","188","0.69","1239"
"2022","Audi","","A3 Sportback","35 TFSI S-tronic 16 Inch Wheel","1.5","4cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 95RON","109","134","93","4.8","5.9","4.1","","","Euro 6","73","3750","Yes","0","117","1.53","1210"
"2022","Audi","","A3 Sedan","35 TFSI S-tronic 17 Inch Wheel","1.5","4cyl","Turbo","7","Auto","4","5","Sedan","2","Petrol 95RON","109","135","93","4.8","5.9","4.1","","","Euro 6","73","3750","Yes","0","117","1.53","1210"
"2014","MINI","F56","Cooper","Hardtop","1.5","3cyl","Turbo","6","Manual","2","4","Hatch","2","Petrol 95RON","110","137","94","4.7","5.9","4","","","Euro 6","83.00","3300","No","2025","115","1.54","1184"
"2016","Audi","","A3 Sportback","1.0 TFSI S-Tronic 16 Inch Wheel","1","4cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 95RON","111","132","98","4.8","5.7","4.3","","","Euro 6","71","3750","Yes","0","117","1.55","1210"
"2022","Audi","","A3 Sportback","35 TFSI S-tronic 17 Inch Wheel","1.5","4cyl","Turbo","7","Auto","4","5","Hatch","2","Petrol 95RON","111","136","95","4.8","5.9","4.2","","","Euro 6","73","3750","Yes","0","117","1.55","1210"
"2016","Fiat","Series 4","500","1.2 8V Dualogic","1.2","4cyl","Normal","5","Auto","2","4","Sedan","2","Petrol 95RON","111","138","95","4.8","6","4.1","","","Euro 6","86","4125","Yes","0","117","1.55","1210"
"2016","Fiat","Series 4","500C","1.2 8V Dualogic","1.2","4cyl","Normal","5","Auto","2","4","Convertible","2","Petrol 95RON","111","138","95","4.8","6","4.1","","","Euro 6","86","4125","Yes","0","117","1.55","1210"
