Reporting entity,Facility name,Type,State,Electricity production (GJ),Electricity production (MWh),"Total scope 1 emissions (t CO2-e)","Total scope 2 emissions (t CO2-e)","Total emissions (t CO2-e)","Emission intensity (t CO2-e/MWh)",Grid connected,Grid,Primary fuel,Important notes
SQUADRON WIND ENERGY ASSETS PTY LTD,Crudine Ridge Wind Farm,F,NSW,"1,134,236","315,065",84,408,492,0.00,On,NEM,Wind,-
SQUADRON WIND ENERGY ASSETS PTY LTD,Murra Warra 1 Wind Farm,F,VIC,"1,755,072","487,520",154,638,792,0.00,On,NEM,Wind,-
SQUADRON WIND ENERGY ASSETS PTY LTD,Sapphire Wind Farm,F,NSW,"2,562,656","711,849",174,"2,010","2,184",0.00,On,NEM,Wind,-
SQUADRON WIND ENERGY ASSETS PTY LTD,Corporate Total,C,-,"8,441,415","2,344,837","13,744","5,526","19,270",-,-,-,-,-
SRV AGWF PTY LTD,Albany Windfarm,F,WA,"304,492","84,581",22,30,52,0.00,On,SWIS,Wind,-
SRV AGWF PTY LTD,Corporate Total,C,-,"304,492","84,581",22,30,52,-,-,-,-,-
THE TRUSTEE FOR GRSF TRUST,Greenough River Solar Farm,F,WA,"313,600","87,111",7,159,166,0.00,On,SWIS,Solar,-
THE TRUSTEE FOR GRSF TRUST,Corporate Total,C,-,"313,600","87,111",7,159,166,-,-,-,-,-
STANWELL CORPORATION LIMITED,Stanwell Power Station,F,QLD,"28,988,685","8,052,413","6,975,068","7,136","6,982,204",0.87,On,NEM,Black Coal,-
STANWELL CORPORATION LIMITED,Tarong Power Stations,F,QLD,"45,212,084","12,558,912","10,890,624","45,397","10,936,021",0.87,On,NEM,Black Coal,-
STANWELL CORPORATION LIMITED,Corporate Total,C,-,"74,200,769","20,611,325","17,865,692","52,533","17,918,225",-,-,-,-,-
STOCKYARD HILL WIND FARM (HOLDING) PTY LTD,Stockyard Wind Farm,F,VIC,"5,658,781","1,571,883",105,"3,940","4,045",0.00,On,NEM,Wind,-
STOCKYARD HILL WIND FARM (HOLDING) PTY LTD,Corporate Total,C,-,"5,658,781","1,571,883",105,"3,940","4,045",-,-,-,-,-
STONE HOLDCO PTY LTD,Bomen Solar Farm Pty Ltd,F,NSW,"629,536","174,871",18,570,588,0.00,On,NEM,Solar,-
STONE HOLDCO PTY LTD,Corporate Total,C,-,"629,536","174,871",18,570,588,-,-,-,-,-
SUN AUSTRALIA HOLDINGS PTY LTD,Merredin Solar Farm,F,WA,"882,797","245,221",34,419,453,0.00,On,SWIS,Solar,-
SUN AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"882,797","245,221",34,419,453,-,-,-,-,-
SUNRAYSIA SOLAR FARM HOLDINGS PTY LTD,Sunraysia Solar Farm,F,NSW,"1,541,563","428,212",58,"3,374","3,432",0.00,On,NEM,Solar,-
SUNRAYSIA SOLAR FARM HOLDINGS PTY LTD,Corporate Total,C,-,"1,541,563","428,212",58,"3,374","3,432",-,-,-,-,-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,Dry Creek Power Station,F,SA,"51,140","14,206","12,596",214,"12,810",0.89,On,NEM,Gas,-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,Mintaro Power Station,F,SA,"328,936","91,371","90,907",37,"90,944",0.99,On,NEM,Gas,-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,Port Lincoln Power Station,F,SA,"1,510",420,545,147,692,1.30,On,NEM,Diesel,-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,Snuggery Power Station,F,SA,"7,690","2,136","2,237",245,"2,482",1.05,On,NEM,Diesel,-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,Corporate Total,C,-,"389,276","108,132","106,285",643,"106,928",-,-,-,-,-
TASMANIAN IRRIGATION PTY LTD,Midlands Power Station,F,TAS,"122,411","34,003",0,0,0,0.00,On,NEM,Hydro,-
TASMANIAN IRRIGATION PTY LTD,Corporate Total,C,-,"122,411","34,003",0,0,0,-,-,-,-,-
THE TRUSTEE FOR GUNNEDAH ASSET TRUST,Gunnedah Solar Farm,F,NSW,"864,551","240,153",0,0,0,0.00,On,NEM,Solar,-
THE TRUSTEE FOR GUNNEDAH ASSET TRUST,Corporate Total,C,-,"864,551","240,153",0,0,0,-,-,-,-,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Echuca Solar Project Pty Ltd,F,VIC,"28,145","7,818",5,2,7,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Girgarre Project 2 Pty Ltd,F,VIC,"29,300","8,139",5,11,16,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Girgarre Project Pty Ltd,F,VIC,"27,735","7,704",5,19,24,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Greentech 2 Pty Ltd,F,VIC,"29,892","8,303",5,17,22,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Greentech 3 Pty Ltd,F,VIC,"28,519","7,922",5,1,6,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Greentech 5 Pty Ltd,F,VIC,"26,482","7,356",5,13,18,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Greentech 6 Pty Ltd,F,VIC,"29,072","8,076",5,12,17,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Katamatite Project Pty Ltd,F,VIC,"27,935","7,760",5,1,6,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Numurkah Project No. 2 Pty Ltd,F,VIC,"28,952","8,042",5,1,6,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Numurkah Project Pty Ltd,F,VIC,"28,283","7,856",5,4,9,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Stanhope Solar Project No. 2 Pty Ltd,F,VIC,"28,907","8,029",5,11,16,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Stanhope Solar Project No. 3 Pty Ltd,F,VIC,"28,247","7,846",5,11,16,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Stanhope Solar Project No. 4 Pty Ltd,F,VIC,"28,068","7,797",5,1,6,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Stanhope Solar Project No. 5 Pty Ltd,F,VIC,"27,143","7,540",5,18,23,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Stanhope Solar Project Pty Ltd,F,VIC,"28,307","7,863",5,12,17,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Wunghnu Project Pty Ltd,F,VIC,"28,691","7,970",5,9,14,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SP PROJECT 1 ACQUISITION TRUST,Corporate Total,C,-,"453,678","126,022",80,143,223,-,-,-,-,-
THE TRUSTEE FOR SUNTOP ASSET TRUST,Suntop Solar Farm,F,NSW,"985,900","273,861",0,0,0,0.00,On,NEM,Solar,-
THE TRUSTEE FOR SUNTOP ASSET TRUST,Corporate Total,C,-,"985,900","273,861",0,0,0,-,-,-,-,-
TINSEL BIDCO PTY LTD,Snowtown South Wind Farm Pty Ltd,F,SA,"1,429,987","397,219",32,68,100,0.00,On,NEM,Wind,-
TINSEL BIDCO PTY LTD,Snowtown Wind Farm Stage 2 Pty Ltd,F,SA,"1,468,865","408,018",36,101,137,0.00,On,NEM,Wind,-
TINSEL BIDCO PTY LTD,Corporate Total,C,-,"2,898,852","805,236",68,169,237,-,-,-,-,-
TOTALENERGIES RENEWABLES AUSTRALIA PTY LTD,Kiamal Solar Farm,F,VIC,"1,435,129","398,647",119,"5,333","5,452",0.00,On,NEM,Solar,-
TOTALENERGIES RENEWABLES AUSTRALIA PTY LTD,Corporate Total,C,-,"1,435,129","398,647",119,"5,333","5,452",-,-,-,-,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,F,WA,"970,431","269,564","149,332",0,"149,332",0.55,On,SWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,F,WA,"1,001,442","278,179","153,359",0,"153,359",0.55,On,SWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,F,WA,"888,427","246,786","132,927",0,"132,927",0.54,Off,Off-grid,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,F,WA,"1,038,516","288,476","160,073",0,"160,073",0.55,Off,Off-grid,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,South Hedland Power Station,F,WA,"2,426,601","674,056","306,419",0,"306,419",0.45,On,NWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Corporate Total,C,-,"6,325,417","1,757,060","902,110",0,"902,110",-,-,-,-,-
VENA ENERGY SERVICES (AUSTRALIA) PTY LTD,Tailem Bend 2 Hybrid Renewable Power Station,F,SA,"310,198","86,166",117,365,482,0.00,On,NEM,Solar,-
VENA ENERGY SERVICES (AUSTRALIA) PTY LTD,Tailem Bend Solar farm,F,SA,"584,016","162,227",73,388,461,0.00,On,NEM,Solar,-
VENA ENERGY SERVICES (AUSTRALIA) PTY LTD,Wandoan Solar Farm 1,F,QLD,"875,469","243,186",143,"1,427","1,570",0.00,On,NEM,Solar,-
VENA ENERGY SERVICES (AUSTRALIA) PTY LTD,Corporate Total,C,-,"1,769,683","491,578",333,"2,180","2,513",-,-,-,-,-
W.H. HECK & SONS PROPRIETARY LIMITED,Rocky Point Sugar Mill Cogeneration,F,QLD,"174,027","48,341","1,681",0,"1,681",0.03,On,NEM,Bagasse,-
W.H. HECK & SONS PROPRIETARY LIMITED,Corporate Total,C,-,"174,027","48,341","1,681",0,"1,681",-,-,-,-,-
WATER CORPORATION,Cocos Keeling Islands - Home Island Generation,F,WA,"9,470","2,631","1,841",0,"1,841",0.70,Off,Off-grid,Diesel,-
WATER CORPORATION,Cocos Keeling Islands - West Island Generation,F,WA,"10,357","2,877","2,209",0,"2,209",0.77,Off,Off-grid,Diesel,-
WATER CORPORATION,Corporate Total,C,-,"19,827","5,508","4,050",0,"4,050",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Weipa Solar Power Station,F,QLD,"33,273","9,243",0,18,18,0.00,Off,Off-grid,Solar,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"33,273","9,243",0,18,18,-,-,-,-,-
WEST WYALONG HOLDCO 2 PTY LTD,West Wyalong SF,F,NSW,"682,499","189,583",9,561,570,0.00,On,NEM,Solar,-
WEST WYALONG HOLDCO 2 PTY LTD,Corporate Total,C,-,"682,499","189,583",9,561,570,-,-,-,-,-
WHITE ROCK SOLAR FARM (HOLDING) PTY LTD,White Rock Solar Farm Pty Ltd,F,NSW,"134,652","37,403",0,46,46,0.00,On,NEM,Solar,-
WHITE ROCK SOLAR FARM (HOLDING) PTY LTD,Corporate Total,C,-,"134,652","37,403",0,46,46,-,-,-,-,-
WILD CATTLE HILL PTY LTD,Wild Cattle Hill Wind Farm,F,TAS,"1,643,242","456,456",99,138,237,0.00,On,NEM,Wind,-
WILD CATTLE HILL PTY LTD,Corporate Total,C,-,"1,643,242","456,456",99,138,237,-,-,-,-,-
ARET PLATFORM PTY LIMITED,Willogoleche Wind Farm,F,SA,"1,090,576","302,938",70,137,207,0.00,On,NEM,Wind,-
ARET PLATFORM PTY LIMITED,Corporate Total,C,-,"1,090,576","302,938",70,137,207,-,-,-,-,-
WINTON HOLDINGS CO PTY. LTD,Winton Solar Farm,F,VIC,"532,678","147,966",33,0,33,0.00,On,NEM,Solar,-
WINTON HOLDINGS CO PTY. LTD,Corporate Total,C,-,"532,678","147,966",33,0,33,-,-,-,-,-
WIRTGEN ENERGY GLENROWAN PTY. LTD,Glenrowan West Solar Farm,F,VIC,"766,484","212,912",60,543,603,0.00,On,NEM,Solar,-
WIRTGEN ENERGY GLENROWAN PTY. LTD,Corporate Total,C,-,"766,484","212,912",60,543,603,-,-,-,-,-
WOOLOOGA HOLDCO 2 PTY LTD,Woolooga SF,F,QLD,"1,185,741","329,373",59,"3,658","3,717",0.00,On,NEM,Solar,-
WOOLOOGA HOLDCO 2 PTY LTD,Corporate Total,C,-,"1,185,741","329,373",59,"3,658","3,717",-,-,-,-,-
YATPOOL SOLAR FARM HOLDCO PTY LTD,YATPOOL SOLAR FARM,F,VIC,"461,024","128,062",0,361,361,0.00,On,NEM,Solar,-
YATPOOL SOLAR FARM HOLDCO PTY LTD,Corporate Total,C,-,"461,024","128,062",0,361,361,-,-,-,-,-
