Reporting entity,Facility name,Type,State,Electricity production (GJ),Electricity production (MWh),"Total scope 1 emissions (t CO2-e)","Total scope 2 emissions (t CO2-e)","Total emissions (t CO2-e)","Emission intensity (t CO2-e/MWh)",Grid connected,Grid,Primary fuel,Important notes
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,"386,683","107,412",83,283,366,0.00,On,NEM,Solar,-
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,"161,114","44,754",0,48,48,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,"155,941","43,317",0,197,197,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Coopers Gap Wind Farm,F,QLD,"4,628,812","1,285,781",152,"1,045","1,197",0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,"181,919","50,533",0,39,39,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,"991,662","275,462",0,120,120,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,"823,286","228,691",0,28,28,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,0,0,0,8,8,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,"739,126","205,313",56,168,224,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,"634,702","176,306",96,133,229,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,"1,234,242","342,845",163,259,422,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,"353,783","98,273",42,139,181,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Kwinana Swift Power Station,F,WA,"400,412","111,225","64,886",72,"64,958",0.58,On,SWIS,Gas,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,"56,482,712","15,689,642","18,531,075","192,632","18,723,707",1.18,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,"2,356,504","654,584","4,369","2,771","7,140",0.01,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,"294,998","81,944",0,"1,291","1,291",0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,"820,440","227,900",156,580,736,0.00,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,"446,157","123,933",73,438,511,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,"27,991","7,775",0,0,0,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,"9,557","2,655",0,173,173,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Silverton Wind Farm,F,NSW,"2,151,516","597,643",80,472,552,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,"124,067","34,463","26,395","1,244","27,639",0.77,On,NEM,Gas,-
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,"2,254,290","626,192","370,328","5,859","376,187",0.59,On,NEM,Gas,-
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,"816,386","226,774",61,97,158,0.00,On,NEM,Wind,-
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,"624,142","173,373",0,427,427,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,"162,386","45,107",0,12,12,0.00,On,NEM,Hydro,-
AGL ENERGY LIMITED,Corporate Total,C,-,"134,540,171","37,372,269","32,840,738","244,967","33,085,705",-,-,-,-,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,"5,470,233","1,519,509","1,191,948",229,"1,192,177",0.78,On,SWIS,Gas,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,-,"5,470,233","1,519,509","1,191,948",229,"1,192,177",-,-,-,-,-
PIONEER SAIL HOLDINGS PTY LIMITED,Bairnsdale Power Station,F,VIC,"226,096","62,804","33,601",529,"34,130",0.54,On,NEM,Gas,-
PIONEER SAIL HOLDINGS PTY LIMITED,Braemar Power Station,F,QLD,"1,059,603","294,334","171,732","1,803","173,535",0.58,On,NEM,Coal Seam Methane,-
PIONEER SAIL HOLDINGS PTY LIMITED,Loy Yang B Power Station,F,VIC,"30,517,219","8,477,005","9,642,473","1,482","9,643,955",1.14,On,NEM,Brown Coal,-
PIONEER SAIL HOLDINGS PTY LIMITED,Wagerup Power Station,F,WA,"2,924,375","812,326","483,711","2,495","486,206",0.60,On,SWIS,Gas,-
PIONEER SAIL HOLDINGS PTY LIMITED,Yandin Wind Farm,F,WA,"3,002,694","834,082",153,463,616,0.00,On,SWIS,Wind,-
PIONEER SAIL HOLDINGS PTY LIMITED,Corporate Total,C,-,"37,729,987","10,480,552","10,331,670","6,772","10,338,442",-,-,-,-,-
AMP AUSTRALIA HOLDINGS PTY LTD,Hillston Sun Farm,F,NSW,"694,749","192,986",75,902,977,0.00,On,NEM,Solar,-
AMP AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"694,749","192,986",75,902,977,-,-,-,-,-
AMP ENERGY AUSTRALIA 1-1 PTY LTD,Molong Solar Farm,F,NSW,"115,069","31,963",37,458,495,0.00,On,NEM,Solar,-
AMP ENERGY AUSTRALIA 1-1 PTY LTD,Corporate Total,C,-,"115,069","31,963",37,458,495,-,-,-,-,-
APA INFRASTRUCTURE LIMITED,Badgingarra Solar Farm,F,WA,"146,651","40,736",2,42,44,0.00,On,SWIS,Solar,-
APA INFRASTRUCTURE LIMITED,Badgingarra Wind Farm,F,WA,"1,761,022","489,173",25,239,264,0.00,On,SWIS,Wind,-
APA INFRASTRUCTURE LIMITED,Darling Downs Solar Farm,F,QLD,"757,573","210,437",12,608,620,0.00,On,NEM,Solar,-
APA INFRASTRUCTURE LIMITED,Diamantina Power Station,F,QLD,"5,425,334","1,507,037","644,543",149,"644,692",0.43,On,Mt Isa,Gas,-
APA INFRASTRUCTURE LIMITED,Dugald River Solar Farm,F,QLD,"510,571","141,825",0,0,0,0.00,On,Mt Isa,Solar,-
APA INFRASTRUCTURE LIMITED,Emu Downs Solar Farm,F,WA,"170,586","47,385",6,52,58,0.00,On,SWIS,Solar,-
APA INFRASTRUCTURE LIMITED,Emu Downs Wind Farm,F,WA,"898,729","249,647",47,214,261,0.00,On,SWIS,Wind,-
APA INFRASTRUCTURE LIMITED,Newman Power Station,F,WA,"3,098,532","860,703","376,230",0,"376,230",0.44,Off,Off-grid,Gas,-
APA INFRASTRUCTURE LIMITED,Port Hedland Power Station,F,WA,"1,618,605","449,612","340,466",0,"340,466",0.76,On,NWIS,Gas,-
APA INFRASTRUCTURE LIMITED,Corporate Total,C,-,"14,387,603","3,996,556","1,361,331","1,304","1,362,635",-,-,-,-,-
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,"1,296,561","360,156","209,697","4,459","214,156",0.58,On,NEM,Coal Seam Methane,-
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,-,"1,296,561","360,156","209,697","4,459","214,156",-,-,-,-,-
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,"273,101","75,862","53,106",170,"53,276",0.70,On,NWIS,Gas,-
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,"1,354,334","376,204","156,932","2,527","159,459",0.42,On,NEM,Gas,-
ATCO AUSTRALIA PTY LTD,Corporate Total,C,-,"1,627,435","452,065","210,038","2,697","212,735",-,-,-,-,-
ATMOS QUEENSLAND SOLAR PTY LTD,Childers Solar Farm,F,QLD,"350,087","97,246",14,262,276,0.00,On,NEM,Solar,-
ATMOS QUEENSLAND SOLAR PTY LTD,Susan River Solar Farm,F,QLD,"481,257","133,683",20,341,361,0.00,On,NEM,Solar,-
ATMOS QUEENSLAND SOLAR PTY LTD,The Daydream Solar Farm Trust,F,QLD,"1,194,582","331,828",184,414,598,0.00,On,NEM,Solar,-
ATMOS QUEENSLAND SOLAR PTY LTD,The Hayman Solar Farm Trust,F,QLD,"349,170","96,991",19,149,168,0.00,On,NEM,Solar,-
ATMOS QUEENSLAND SOLAR PTY LTD,Corporate Total,C,-,"2,375,096","659,749",237,"1,166","1,403",-,-,-,-,-
ATMOS TOPCO PTY LTD,KARADOC SOLAR FARM,F,VIC,"460,016","127,782",67,299,366,0.00,On,NEM,Solar,-
ATMOS TOPCO PTY LTD,Kiata Wind Farm,F,VIC,"363,781","101,050",21,393,414,0.00,On,NEM,Wind,-
ATMOS TOPCO PTY LTD,Nevertire Solar Farm,F,NSW,"878,709","244,086",15,550,565,0.00,On,NEM,Solar,-
ATMOS TOPCO PTY LTD,Corporate Total,C,-,"1,702,506","472,918",103,"1,242","1,345",-,-,-,-,-
AWF AUS HOLD OP CO PTY LTD,Facility,F,VIC,"1,688,147","468,930",101,787,888,0.00,On,NEM,Wind,-
AWF AUS HOLD OP CO PTY LTD,Corporate Total,C,-,"1,688,147","468,930",101,787,888,-,-,-,-,-
BALD HILLS WF HOLDINGS PTY LTD,Bald Hills Wind Farm Pty Ltd,F,VIC,"1,154,820","320,783",40,619,659,0.00,On,NEM,Wind,-
BALD HILLS WF HOLDINGS PTY LTD,Corporate Total,C,-,"1,154,820","320,783",40,619,659,-,-,-,-,-
BANPU AUSTRALIA CO. PTY LTD,Beryl Solar Farm,F,NSW,"694,181","192,828",52,563,615,0.00,On,NEM,Solar,-
BANPU AUSTRALIA CO. PTY LTD,Manildra Solar Farm,F,NSW,"171,166","47,546",21,148,169,0.00,On,NEM,Solar,-
BANPU AUSTRALIA CO. PTY LTD,Corporate Total,C,-,"865,347","240,374",73,711,784,-,-,-,-,-
BEI WWF PTY LTD,Warradarge Wind Farm,F,WA,"2,267,764","629,934",178,522,700,0.00,On,SWIS,Wind,-
BEI WWF PTY LTD,Corporate Total,C,-,"2,267,764","629,934",178,522,700,-,-,-,-,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Gullen Solar Pty Ltd,F,NSW,"71,346","19,818",3,34,37,0.00,On,NEM,Solar,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,New Gullen Range Wind Farm Pty Ltd,F,NSW,"1,443,378","400,938",56,421,477,0.00,On,NEM,Wind,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Newtricity Developments Biala Pty Ltd,F,NSW,"1,170,551","325,153",24,"1,232","1,256",0.00,On,NEM,Wind,-
BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Corporate Total,C,-,"2,685,275","745,910",83,"1,687","1,770",-,-,-,-,-
BHP GROUP LIMITED,Yarnima Power Station,F,WA,"2,900,898","805,805","347,643",0,"347,643",0.43,Off,Off-grid,Gas,-
BHP GROUP LIMITED,Corporate Total,C,-,"2,900,898","805,805","347,643",0,"347,643",-,-,-,-,-
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,"5,463,442","1,517,623","1,352,311",900,"1,353,211",0.89,On,SWIS,Black Coal,-
BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,-,"5,463,442","1,517,623","1,352,311",900,"1,353,211",-,-,-,-,-
BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,F,WA,"4,933,350","1,370,375","1,238,252","1,835","1,240,087",0.90,On,SWIS,Black Coal,-
BLUEWATERS POWER 2 PTY LTD,Corporate Total,C,-,"4,933,350","1,370,375","1,238,252","1,835","1,240,087",-,-,-,-,-
C S ENERGY LIMITED,Callide B Power Station,F,QLD,"15,384,428","4,273,452","4,004,358","23,803","4,028,161",0.94,On,NEM,Black Coal,-
C S ENERGY LIMITED,Callide C Power Station,F,QLD,"2,817,641","782,678","675,798","12,240","688,038",0.86,On,NEM,Black Coal,"Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times. C S ENERGY LIMITED and GENUITY PTY LTD, have each included the same data for the Callide C Power Station in their NGER reports."
C S ENERGY LIMITED,Chinchilla BESS,F,QLD,0,0,0,0,0,0.00,On,NEM,Battery,-
C S ENERGY LIMITED,Kogan Creek Power Station,F,QLD,"19,721,081","5,478,078","4,520,575","1,897","4,522,472",0.83,On,NEM,Black Coal,-
C S ENERGY LIMITED,Corporate Total,C,-,"37,923,150","10,534,208","9,200,731","37,940","9,238,671",-,-,-,-,-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,Canunda Wind Farm,F,SA,"350,736","97,427",17,95,112,0.00,On,NEM,Wind,-
INTERNATIONAL POWER (AUSTRALIA) HOLDINGS PTY LIMITED,Corporate Total,C,-,"350,736","97,427",17,95,112,-,-,-,-,-
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,"555,953","154,431","4,722","1,676","6,398",0.03,On,NEM,Wood,-
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,"523,700","145,472","3,943","1,607","5,550",0.03,On,NEM,Wood,-
CAPE BYRON MANAGEMENT PTY LTD,Corporate Total,C,-,"1,079,653","299,904","8,665","3,283","11,948",-,-,-,-,-
CBWF HOLDINGS PTY LIMITED,Facility,F,VIC,"265,764","73,823",27,83,110,0.00,On,NEM,Wind,-
CBWF HOLDINGS PTY LIMITED,Corporate Total,C,-,"265,764","73,823",27,83,110,-,-,-,-,-
CECEP WIND POWER AUSTRALIA HOLDING PTY LTD,White Rock Wind Farm Pty Ltd,F,NSW,"1,559,750","433,264",58,398,456,0.00,On,NEM,Wind,-
CECEP WIND POWER AUSTRALIA HOLDING PTY LTD,Corporate Total,C,-,"1,559,750","433,264",58,398,456,-,-,-,-,-
CHERRY TREE HOLD CO PTY LTD,Cherry Tree Wind Farm Pty Ltd,F,VIC,"634,818","176,338",20,451,471,0.00,On,NEM,Wind,-
CHERRY TREE HOLD CO PTY LTD,Corporate Total,C,-,"634,818","176,338",20,451,471,-,-,-,-,-
HOCHTIEF AUSTRALIA HOLDINGS LIMITED,Glenrowan Solar Farm Pty Ltd,F,VIC,"311,418","86,505",5,838,843,0.00,On,NEM,Solar,-
HOCHTIEF AUSTRALIA HOLDINGS LIMITED,Corporate Total,C,-,"311,418","86,505",5,838,843,-,-,-,-,-
CLARE SOLAR FARM HOLDINGS PTY LTD,Clare Solar Farm,F,QLD,"546,410","151,781",65,706,771,0.00,On,NEM,Solar,-
CLARE SOLAR FARM HOLDINGS PTY LTD,Corporate Total,C,-,"546,410","151,781",65,706,771,-,-,-,-,-
CLEANCO QUEENSLAND LIMITED,Barron Gorge Power Station,F,QLD,"337,936","93,871",239,614,853,0.00,On,NEM,Hydro,-
CLEANCO QUEENSLAND LIMITED,Kareeya Power Station,F,QLD,"2,114,115","587,254",101,"1,402","1,503",0.00,On,NEM,Hydro,-
CLEANCO QUEENSLAND LIMITED,Swanbank E Power Station,F,QLD,"2,338,074","649,465","253,770","4,340","258,110",0.39,On,NEM,Gas,-
CLEANCO QUEENSLAND LIMITED,Wivenhoe Power Station,F,QLD,"2,275,772","632,159",16,"684,673","684,689",0.00,On,NEM,Hydro,-
CLEANCO QUEENSLAND LIMITED,Corporate Total,C,-,"7,065,897","1,962,749","254,126","691,029","945,155",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Cullerin Range Wind Farm,F,NSW,"314,065","87,240",14,82,96,0.00,On,NEM,Wind,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"314,065","87,240",14,82,96,-,-,-,-,-
CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,WA,"2,306,166","640,602",164,821,985,0.00,On,SWIS,Wind,-
CWF HOLDINGS PTY LTD,Corporate Total,C,-,"2,306,166","640,602",164,821,985,-,-,-,-,-
DIF INFRA 4 HOLDINGS AUSTRALIA PTY LTD,Royalla Solar Farm,F,ACT,"122,875","34,132",0,148,148,0.00,On,NEM,Solar,-
DIF INFRA 4 HOLDINGS AUSTRALIA PTY LTD,Corporate Total,C,-,"122,875","34,132",0,148,148,-,-,-,-,-
DUNDONNELL WIND FARM PTY LTD,Dundonnell Wind Farm,F,VIC,"3,167,240","879,789",222,"2,334","2,556",0.00,On,NEM,Wind,-
DUNDONNELL WIND FARM PTY LTD,Corporate Total,C,-,"3,167,240","879,789",222,"2,334","2,556",-,-,-,-,-
EDIFY GROUP HOLDINGS PTY LTD,Darlington Point Solar Farm Pty Ltd,F,NSW,"2,113,561","587,100",151,0,151,0.00,On,NEM,Solar,-
EDIFY GROUP HOLDINGS PTY LTD,Gannawarra Solar Farm Pty Ltd,F,VIC,"381,873","106,076",25,0,25,0.00,On,NEM,Solar,-
EDIFY GROUP HOLDINGS PTY LTD,GESS ProjectCo Pty Ltd,F,VIC,0,0,15,"2,264","2,279",0.00,On,NEM,Battery,-
EDIFY GROUP HOLDINGS PTY LTD,Hamilton Solar Farm Pty Ltd,F,NT,"419,599","116,555",31,0,31,0.00,On,NEM,Solar,-
EDIFY GROUP HOLDINGS PTY LTD,The DPESS Trust,F,NSW,0,0,2,"1,302","1,304",0.00,On,NEM,Battery,-
EDIFY GROUP HOLDINGS PTY LTD,The RESS 1 Trust,F,NSW,0,0,7,"3,725","3,732",0.00,On,NEM,Battery,-
EDIFY GROUP HOLDINGS PTY LTD,The RESS 2 Trust,F,NSW,0,0,7,"3,647","3,654",0.00,On,NEM,Battery,-
EDIFY GROUP HOLDINGS PTY LTD,Corporate Total,C,-,"2,915,033","809,731",238,"10,938","11,176",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Glennies Creek WCMG Power Station,F,NSW,"146,936","40,816","21,468",7,"21,475",0.53,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Oaky Creek II WCMG Power Station,F,QLD,"337,799","93,833","53,297",11,"53,308",0.57,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Oaky Creek WCMG Power Station,F,QLD,"389,743","108,262","56,189",38,"56,227",0.52,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"874,478","242,911","130,954",56,"131,010",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tahmoor WCMG Power Station,F,NSW,"129,308","35,919","20,435",14,"20,449",0.57,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"129,308","35,919","20,435",14,"20,449",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Appin CSM Power Station,F,NSW,"821,931","228,314","146,960",8,"146,968",0.64,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tower CSM Power Station,F,NSW,"496,382","137,884","91,695",49,"91,744",0.67,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"1,318,313","366,198","238,655",57,"238,712",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,German Creek CMM Power Station,F,QLD,"517,091","143,637","80,445",27,"80,472",0.56,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"517,091","143,637","80,445",27,"80,472",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Jabiru Power Station,F,NT,"50,029","13,897","4,960",0,"4,960",0.36,Off,Off-grid,Diesel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"50,029","13,897","4,960",0,"4,960",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Eastern Creek LFG Power Station,F,NSW,"14,065","3,907",288,15,303,0.07,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grange Avenue LFG Power Station,F,NSW,"2,809",780,75,17,92,0.10,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Jack's Gully LFG Power Station,F,NSW,"21,949","6,097",483,8,491,0.08,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 1 LFG Power Station,F,NSW,"77,450","21,514","1,673",3,"1,676",0.08,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 2 LFG Power Station,F,NSW,"424,631","117,953","9,589",4,"9,593",0.08,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"540,904","150,251","12,108",47,"12,155",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Browns Plains LFG Power Station,F,QLD,"54,803","15,223","1,161",1,"1,162",0.08,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"54,803","15,223","1,161",1,"1,162",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wingfield 1 LFG Power Station,F,SA,"14,533","4,037",785,3,788,0.19,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wingfield 2 LFG Power Station,F,SA,"57,621","16,006","1,222",1,"1,223",0.08,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"72,154","20,043","2,007",4,"2,011",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Berwick LFG Power Station,F,VIC,0,0,0,0,0,0.00,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Broadmeadows LFG Power Station,F,VIC,769,214,19,4,23,0.09,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Brooklyn LFG Power Station,F,VIC,"17,023","4,729",363,5,368,0.08,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Clayton LFG Power Station,F,VIC,"192,288","53,413","3,519",3,"3,522",0.07,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corio LFG Power Station,F,VIC,0,0,0,0,0,0.00,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Springvale LFG Power Station,F,VIC,0,0,0,4,4,0.00,On,NEM,Landfill Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"210,080","58,355","3,901",16,"3,917",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,McArthur River Power Station,F,NT,"1,054,485","292,912","153,074",0,"153,074",0.52,Off,Off-grid,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Pine Creek A Power Station,F,NT,"776,327","215,646","100,836",0,"100,836",0.47,On,DKIS,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"1,830,812","508,559","253,910",0,"253,910",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Broome LNG Power Station,F,WA,"513,632","142,676","80,902",20,"80,922",0.57,Off,Off-grid,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Derby LNG Power Station,F,WA,"124,235","34,510","21,034",0,"21,034",0.61,Off,Off-grid,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Fitzroy Crossing LNG Power Station,F,WA,"53,843","14,956","9,331",0,"9,331",0.62,Off,Off-grid,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Halls Creek LNG Power Station,F,WA,"41,342","11,484","7,543",0,"7,543",0.66,Off,Off-grid,Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Looma NGD power Station,F,WA,"10,320","2,867","2,123",0,"2,123",0.74,Off,Off-grid,Diesel,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"743,372","206,492","120,933",20,"120,953",-,-,-,-,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grosvenor 1 WCMG Power Station,F,QLD,"468,577","130,160","72,247",16,"72,263",0.56,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grosvenor 2 WCMG Power Station,F,QLD,"317,860","88,294","50,317",7,"50,324",0.57,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Moranbah North CMM Power Station,F,QLD,"1,509,962","419,434","242,988",6,"242,994",0.58,On,NEM,Waste Coal Mine Gas,-
CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,"2,296,399","637,889","365,552",29,"365,581",-,-,-,-,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Alkimos Beach Community Battery,F,WA,0,0,1,17,18,0.00,On,SWIS,Battery,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Bremer Bay Wind Diesel Power Station,F,WA,"6,383","1,773",33,0,33,0.02,On,SWIS,Wind,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Cockburn Power Station,F,WA,"2,906,318","807,311","307,892",0,"307,892",0.38,On,SWIS,Gas,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Collie Power Station,F,WA,"3,481,165","966,990","920,053","2,651","922,704",0.95,On,SWIS,Black Coal,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Coral Bay Wind Diesel Power Station,F,WA,"11,571","3,214","1,264",0,"1,264",0.39,Off,Off-grid,Diesel,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Hopetoun Wind Diesel Power Station,F,WA,"19,460","5,405","2,434",0,"2,434",0.45,Off,Off-grid,Diesel,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalbarri Wind Farm,F,WA,"7,717","2,144",0,0,0,0.00,On,SWIS,Wind,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalgoorlie Gas Turbine Station,F,WA,"31,036","8,621","8,159",0,"8,159",0.95,On,SWIS,Gas,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Battery Energy Storage Site,F,WA,0,0,609,"5,789","6,398",0.00,On,SWIS,Battery,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Power Station,F,WA,"3,100,329","861,203","455,259",281,"455,540",0.53,On,SWIS,Gas,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Muja Power Station,F,WA,"11,521,966","3,200,546","3,091,936",864,"3,092,800",0.97,On,SWIS,Black Coal,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Mungarra Gas Turbine Station,F,WA,"21,555","5,988","4,537",0,"4,537",0.76,On,SWIS,Gas,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Pinjar Gas Turbine Station,F,WA,"1,984,182","551,162","569,715",0,"569,715",1.03,On,SWIS,Gas,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,VPP4S,F,WA,0,0,0,73,73,0.00,On,SWIS,Battery,-
ELECTRICITY GENERATION AND RETAIL CORPORATION,Corporate Total,C,-,"23,091,682","6,414,356","5,361,892","9,675","5,371,567",-,-,-,-,-
ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,WA,"1,811",503,363,0,363,0.72,On,SWIS,Diesel,-
