ID,AddressInfo.Title,AddressInfo.Town,AddressInfo.StateOrProvince,AddressInfo.Latitude,AddressInfo.Longitude,UsageCost,NumberOfPoints,DateLastStatusUpdate,Source
308594,Jolt Black Rock,Black Rock,VIC,-37.97570246970103,145.01742302760965,,1,2025-02-05 23:34:00+00:00,Public
308593,Jolt Berwick Springs Hotel,Berwick,VIC,-38.05976565896848,145.33777518791914,,1,2025-02-05 23:34:00+00:00,Public
308267,CTR Foster,Foster,VIC,-38.65334183522216,146.20090536375835,Unknown,2,2025-01-25 23:59:00+00:00,Public
308266,CTR Meeniyan,Meeniyan,VIC,-38.577399770082174,146.01315810300719,,2,2025-01-25 23:54:00+00:00,Public
308265,Tesla Supercharger Goulburn South,Goulburn,NSW,-34.77317841750358,149.69280797132302,,12,2025-02-17 16:56:00+00:00,Public
308264,Evie Yarra Juncion,Yarra Junction,VIC,-37.78094746065134,145.61331093083584,Unknown,1,2025-01-25 23:19:00+00:00,Public
308263,Evie Bannockburn,Bannockburn,VIC,-38.04790103443605,144.17035966698813,Unknown,1,2025-01-25 23:19:00+00:00,Public
308262,Coles Sebastopol,Sebastopol,VIC,-37.599568029281286,143.84045921173038,Unknown,2,2025-01-25 23:14:00+00:00,Public
308229,Evie Glen Gala Village,Sunshine West,VIC,-37.79308442111111,144.7896023171707,,4,2025-01-25 05:49:00+00:00,Public
308228,Toyota Altona,Altona,VIC,-37.832781169763166,144.82753568527227,,3,2025-01-25 05:44:00+00:00,Public
308227,Lollypop Creek Community Centre,Harpley,VIC,-37.909988077571576,144.61367550280465,,2,2025-01-25 05:39:00+00:00,Public
308226,Ampcharge Werribee,Werribee,VIC,-37.899759968148494,144.6650849021937,Unknown,1,2025-01-25 05:39:00+00:00,Public
308225,BP Pulse,Caroline Springs,VIC,-37.7557555131601,144.7410636793341,,8,2025-01-25 05:14:00+00:00,Public
308160,RAA Kingston SE,Kingston SE,SA,-36.82862578575707,139.84961594515414,,3,2025-01-23 07:44:00+00:00,Public
308159,RAA Naracoorte,Naracoorte,SA,-36.957104904405874,140.74352876205376,,2,2025-01-23 07:44:00+00:00,Public
308158,RAA Coonalpyn,Coonalpyn,SA,-35.69525828198586,139.85657638646347,Unknown,2,2025-01-23 07:44:00+00:00,Public
308029,RAA Charge Marla Travellers Rest,Marla,SA,-27.30500995290457,133.62169364848148,Peak $0.32 per kWh (5:00PM - 10:00PM) Standard $0.25 other times,3,2025-01-23 07:44:00+00:00,Public
307990,Woolworths Yass,Yass,NSW,-34.845647791374056,148.9156385427242,,4,2025-01-23 07:44:00+00:00,Public
307989,Woolworths Fishermans Bend,Fishermans Bend,VIC,-37.8313475403691,144.92982685129846,,2,2025-01-23 07:44:00+00:00,Public
307988,Evie Richmond Library,Richmond,VIC,-37.825531454943984,144.99874510755922,Unknown,1,2025-01-23 07:44:00+00:00,Public
307898,Riverton Mall,Riverton,WA,-32.039141558623534,115.90778289825715,$0.64 per kWh,4,2025-01-13 10:40:00+00:00,Public
307788,Ampcharge Barkly Square,Brunswick,VIC,-37.776585212413124,144.9639271835984,,8,2025-01-23 07:44:00+00:00,Public
307787,Tesla Supercharger Bordertown,Bordertown,SA,-36.29806431043085,140.75704069780193,,4,2025-01-23 07:44:00+00:00,Public
307786,RAA Bordertown,Bordertown,SA,-36.30916560839312,140.7802897527946,,3,2025-01-23 07:44:00+00:00,Public
307785,RAA Mount Gambier,Mount Gambier,SA,-37.83093305008087,140.7803969736217,,8,2025-01-23 07:44:00+00:00,Public
307784,Tesla Supercharger Mount Gambier,Mount Gambier,SA,-37.83518604477705,140.8022529347133,,6,2025-01-23 07:44:00+00:00,Public
307775,ENGIE - Chadstone 2,Chadstone,VIC,-37.88820940951108,145.08494077130194,Unknown,4,2025-01-23 07:44:00+00:00,Public
307774,Ampcharge Sandown,Sandown,VIC,-37.94161999001956,145.16671110078272,Unknown,2,2025-01-23 07:44:00+00:00,Public
307773,Ampcharge Cheltenham,Keysborough,VIC,-37.99571529046778,145.182222569087,Unknown,2,2025-01-23 07:44:00+00:00,Public
307772,Evie Portland,Portland,VIC,-38.34684478419478,141.60283197044578,Unknown,2,2025-01-23 07:44:00+00:00,Public
307771,Evie Hamilton,Hamilton,VIC,-37.742657443427255,142.0204391323382,Unknown,2,2025-01-23 07:44:00+00:00,Public
307770,Geelong West Veledrome,Geelong West,VIC,-38.129239527848746,144.34542725752488,,2,2025-01-23 07:44:00+00:00,Public
307769,Evie Barabool Heights Plaza,Highton,VIC,-38.16095627974979,144.30595213669608,Unknown,4,2025-01-23 07:44:00+00:00,Public
307768,Harden Country Club,Harden,NSW,-34.5627690756498,148.36103557280512,Free,1,2025-01-23 07:44:00+00:00,Public
307767,Cootamundra Library,Cootamundra,NSW,-34.63980461006843,148.02613856207262,Unknown,4,2025-01-23 07:44:00+00:00,Public
307766,Evie St Arnaud,St Arnaud,Vic,-36.615281555447034,143.25846054416633,Unknown,2,2025-01-23 07:44:00+00:00,Public
307765,Evie Avoca,Avoca,VIC,-37.090140210860675,143.47445272035532,Unknown,2,2025-01-23 07:44:00+00:00,Public
307764,Trentham Visitor Information Centre,Trentham,Vic,-37.38857348160439,144.32539419117688,,2,2025-01-23 07:44:00+00:00,Public
307763,Evie Cowes,Cowes,Vic,-38.4507421042261,145.2404278198406,Unknown,4,2025-01-23 07:44:00+00:00,Public
307762,Evie Traralgon,Traralgon,Vic,-38.19729526031544,146.54141869877014,Unknown,2,2025-01-23 07:44:00+00:00,Public
307761,Tesla Supercharger Traralgon,Traralgon,Vic,-38.192546578861105,146.527465028071,$0.66/kWh,4,2025-01-23 07:44:00+00:00,Public
307760,Tesla Supercharger Lucas,Lucas,Victoria,-37.543339004512035,143.78422184851445,$0.78/kWh,10,2025-01-23 07:44:00+00:00,Public
307759,Ampol Foodary,Winchelsea,Victoria,-38.24620744489461,143.98330610676584,$0.60/kWh for pay-as-you-go charging.,1,2025-01-23 07:44:00+00:00,Public
307698,Eastlake Parade - Streetlight SL217828,Kingston,ACT,-35.312486897855344,149.14620754929297,0,1,2025-01-06 17:12:00+00:00,Public
307478,Melville City - LeisureFit,Melville City,WA,-32.03968803198156,115.83200365710911,Unknown,2,2024-12-27 07:32:00+00:00,Public
307477,Melville City - City Hall,Melville City,,-32.03255844314117,115.83235548321863,$0.42 per kWh,2,2024-12-27 07:24:00+00:00,Public
306891,Buckland Kent St,Buckland,Tasmania,-42.60668821556477,147.71852154472168,64 cents per kW,1,2025-01-23 07:59:00+00:00,Public
306858,Buckland Kent St,Buckland,Tasmania,-42.60669976786134,147.7185327664647,64 cents per kW hour,1,2025-01-23 07:59:00+00:00,Public
306743,Armadale Fitness and Auqatic Center,Armadale City,WA,-32.13378217875158,116.00360230509733,Unknown,2,2024-12-04 16:58:00+00:00,Public
306626,Port Headland (WA EV Network),Port Headland,WA,-20.309214965529335,118.59299891016775,"$0.60 per kWh for fst DC, $0.35 per kWh for slow AC",1,2025-01-29 15:32:00+00:00,Public
306581,WA EV Network - Fortescue River,Mardie,WA ,-21.295783915716314,116.13807973599131,"$0.60 per kWh for fast DC, $0.22 per kWh for slow AC.",1,2024-11-27 15:33:00+00:00,Public
306224,Perth City Supercharger,Perth,WA,-31.953457974189973,115.83912294028778,Unknown,6,2024-12-22 14:52:00+00:00,Public
