Scenario,Region,Vehicle Category,2025-26
Accelerated Transition,QLD,Small Residential," 36,562 "
Accelerated Transition,SA,Articulated Truck, -   
Accelerated Transition,SA,Bus, 72 
Accelerated Transition,SA,Large Light Commercial, 65 
Accelerated Transition,SA,Large Residential," 3,177 "
Accelerated Transition,SA,Medium Light Commercial, 199 
Accelerated Transition,SA,Medium Residential," 9,757 "
Accelerated Transition,SA,Motorcycle, 331 
Accelerated Transition,SA,Rigid Truck, 99 
Accelerated Transition,SA,Small Light Commercial, 199 
Accelerated Transition,SA,Small Residential," 9,757 "
Accelerated Transition,TAS,Articulated Truck, -   
Accelerated Transition,TAS,Bus, 37 
Accelerated Transition,TAS,Large Light Commercial, 18 
Accelerated Transition,TAS,Large Residential, 858 
Accelerated Transition,TAS,Medium Light Commercial, 54 
Accelerated Transition,TAS,Medium Residential," 2,635 "
Accelerated Transition,TAS,Motorcycle, 113 
Accelerated Transition,TAS,Rigid Truck, 37 
Accelerated Transition,TAS,Small Light Commercial, 54 
Accelerated Transition,TAS,Small Residential," 2,635 "
Accelerated Transition,VIC,Articulated Truck, -   
Accelerated Transition,VIC,Bus, 268 
Accelerated Transition,VIC,Large Light Commercial, 334 
Accelerated Transition,VIC,Large Residential," 16,386 "
Accelerated Transition,VIC,Medium Light Commercial," 1,027 "
Accelerated Transition,VIC,Medium Residential," 50,327 "
Accelerated Transition,VIC,Motorcycle," 1,181 "
Accelerated Transition,VIC,Rigid Truck, 449 
Accelerated Transition,VIC,Small Light Commercial," 1,027 "
Accelerated Transition,VIC,Small Residential," 50,327 "
Accelerated Transition,WEM,Articulated Truck, -   
Accelerated Transition,WEM,Bus, 159 
Accelerated Transition,WEM,Large Light Commercial, 129 
Accelerated Transition,WEM,Large Residential," 6,304 "
Accelerated Transition,WEM,Medium Light Commercial, 395 
Accelerated Transition,WEM,Medium Residential," 19,363 "
Accelerated Transition,WEM,Motorcycle, 692 
Accelerated Transition,WEM,Rigid Truck, 186 
Accelerated Transition,WEM,Small Light Commercial, 395 
Accelerated Transition,WEM,Small Residential," 19,363 "
