Postcode,State,Fuel Type, 31-Jan-2021 , 31-Jan-2022 , 31-Jan-2023 , 31-Jan-2024 , 31-Jan-2025 
800,NT,BEV,3,3,12,20,38
800,NT,Hybrid/PHEV,131,413,401,435,613
800,NT,ICE,6780,7313,7088,6574,6287
810,NT,BEV,6,16,22,75,155
810,NT,Hybrid/PHEV,288,375,467,592,961
810,NT,ICE,21856,22087,21901,22014,21756
812,NT,BEV,3,5,14,30,55
812,NT,Hybrid/PHEV,127,161,219,265,391
812,NT,ICE,11913,11830,11736,11616,11505
820,NT,BEV,11,18,45,163,247
820,NT,Hybrid/PHEV,267,358,723,937,1344
820,NT,ICE,19896,19781,20432,20966,21093
822,NT,BEV,0,3,0,6,9
822,NT,Hybrid/PHEV,24,37,40,67,119
822,NT,ICE,6399,6249,6393,6594,6762
828,NT,BEV,0,3,7,17,23
828,NT,Hybrid/PHEV,29,56,93,124,194
828,NT,ICE,3731,3895,3969,4314,4695
829,NT,BEV,0,0,3,0,3
829,NT,Hybrid/PHEV,15,25,44,44,84
829,NT,ICE,1500,1594,1737,2012,1970
830,NT,BEV,0,3,10,34,49
830,NT,Hybrid/PHEV,84,130,190,239,371
830,NT,ICE,12053,11939,11838,11969,11871
832,NT,BEV,3,4,7,31,56
832,NT,Hybrid/PHEV,102,161,220,317,473
832,NT,ICE,11446,11651,11939,12127,12174
834,NT,BEV,0,0,4,6,9
834,NT,Hybrid/PHEV,8,12,18,31,48
834,NT,ICE,1494,1482,1552,1586,1562
835,NT,BEV,0,0,3,7,16
835,NT,Hybrid/PHEV,21,28,34,45,83
835,NT,ICE,2902,2872,2874,2865,2866
836,NT,BEV,3,3,4,16,25
836,NT,Hybrid/PHEV,30,53,76,107,183
836,NT,ICE,6647,6914,7095,7259,7197
837,NT,BEV,0,0,3,0,0
837,NT,Hybrid/PHEV,3,3,0,4,6
837,NT,ICE,473,465,454,427,413
838,NT,BEV,0,0,0,0,3
838,NT,Hybrid/PHEV,6,10,11,15,18
838,NT,ICE,803,820,836,830,827
839,NT,BEV,0,0,0,0,3
839,NT,Hybrid/PHEV,5,7,6,5,14
839,NT,ICE,353,366,365,342,340
840,NT,Hybrid/PHEV,3,3,3,0,0
840,NT,ICE,419,427,444,452,462
841,NT,BEV,0,0,0,0,3
841,NT,Hybrid/PHEV,3,4,5,9,10
841,NT,ICE,593,620,634,653,628
845,NT,BEV,0,0,0,0,0
845,NT,Hybrid/PHEV,3,0,0,0,0
845,NT,ICE,429,392,385,375,372
846,NT,Hybrid/PHEV,0,0,0,0,0
846,NT,ICE,300,296,309,282,293
847,NT,Hybrid/PHEV,0,0,0,0,3
847,NT,ICE,211,210,202,196,189
850,NT,BEV,0,0,0,0,8
850,NT,Hybrid/PHEV,28,38,48,72,131
850,NT,ICE,6249,6190,6045,6016,5921
852,NT,Hybrid/PHEV,3,0,0,0,8
852,NT,ICE,1446,1288,1318,1343,1409
853,NT,BEV,0,0,0,0,3
853,NT,Hybrid/PHEV,4,6,6,10,10
853,NT,ICE,542,533,562,568,567
854,NT,Hybrid/PHEV,0,3,0,0,0
854,NT,ICE,377,356,354,376,353
860,NT,Hybrid/PHEV,7,9,12,17,22
860,NT,ICE,1648,1559,1475,1492,1430
862,NT,Hybrid/PHEV,0,0,0,0,3
862,NT,ICE,374,332,335,299,299
870,NT,BEV,12,16,21,44,68
870,NT,Hybrid/PHEV,101,146,204,271,431
870,NT,ICE,15762,15569,15329,15051,14935
872,NT,Hybrid/PHEV,4,4,4,6,8
872,NT,ICE,2166,1904,1886,1897,1875
873,NT,BEV,3,3,3,3,5
873,NT,Hybrid/PHEV,10,15,19,22,32
873,NT,ICE,1360,1310,1318,1428,1454
874,NT,BEV,0,0,0,3,0
874,NT,Hybrid/PHEV,0,3,6,5,8
874,NT,ICE,305,303,265,295,325
875,NT,BEV,0,0,0,3,3
875,NT,Hybrid/PHEV,16,19,20,23,33
875,NT,ICE,1294,1262,1184,1178,1225
