Charger Name,Suburb,State_clean,Postal_clean,Power_clean,Usage_Cost_clean,Number_of_Points_clean,Connection_Types_count,latitude,longitude
Tesla Supercharger Brighton East,brighton east,VIC,3186.0,250.0,0.69,3,1,-37.9171728,145.0163663
Toyota Altona,altona,VIC,,75.0,,3,2,-37.8671503,144.8294637
CB Smith Reserve,fawkner,VIC,3060.0,25.0,,1,2,-37.7146535,144.9605402
Hobsons Bay Civic Centre,altona,VIC,3018.0,50.0,,1,2,-37.8671503,144.8294637
Chargefox Airport West,airport west,VIC,3042.0,350.0,0.65,6,5,-37.7222576,144.8834942
Chadstone Shopping Centre,,VIC,3148.0,7.0,,6,6,-37.8688729,145.2126338
ENGIE - Chadstone,chadstone,VIC,3148.0,100.0,0.45,4,2,-37.8822799,145.1001365
ENGIE - Chadstone 2,chadstone,VIC,,120.0,,4,1,-37.8822799,145.1001365
Tesla Supercharger Campbellfield,campbellfield,VIC,3060.0,250.0,69.0,1,1,-37.6641298,144.959583
Ampol Foodary Altona North,altona north,VIC,3025.0,180.0,0.6,4,2,-37.8378229,144.8342853
Bridge Street,hampton,VIC,3191.0,180.0,0.6,1,2,-37.9381127,145.0014764
Telsa Supercharger Box Hill,box hill south,VIC,3128.0,250.0,,12,1,-37.8366236,145.1233644
Evie Glen Gala Village,sunshine west,VIC,,75.0,,4,2,-37.7983442,144.8110919
Miller Grove,,VIC,3149.0,22.0,,2,1,-37.8688729,145.2126338
Keilor Central,keilor downs,VIC,3038.0,50.0,0.5,2,4,-37.7205762,144.8047614
Tesla Supercharger Oakleigh Repair Centre,oakleigh south,VIC,,250.0,,6,1,-37.9248257,145.0921745
Bayside Council,sandringham,VIC,3191.0,75.0,0.3,1,7,-37.9502592,145.0043868
Jolt Cheltenham,cheltenham,VIC,,50.0,,1,2,-37.9670081,145.0546951
Uni Hill Town Centre,bundoora,VIC,3082.0,50.0,0.4,2,4,-37.6982468,145.0596757
Greensborough Plaza,greensborough,VIC,3088.0,22.0,,4,2,-37.7037383,145.1079105
Watermarc Carpark (LG),,VIC,3088.0,11.0,0.0,3,1,-37.8688729,145.2126338
Forest Hill Chase Shopping Centre,forest hill,VIC,3131.0,22.0,,2,1,-37.8362738,145.1690911
Brimbank Shopping Centre,deer park,VIC,3023.0,22.0,,1,1,-37.7686602,144.7713077
Southland Medical Centre,cheltenham,VIC,3192.0,,,1,0,-37.9670081,145.0546951
Research Way - N1 Carpark,,VIC,3800.0,50.0,,2,3,-37.8688729,145.2126338
Ampol Derrimut,derrimut,VIC,3026.0,180.0,0.6,1,2,-37.7987978,144.776051
Jolt Black Rock,black rock,VIC,,50.0,,1,2,-37.9706564,145.0212822
BP Northpoint,epping,VIC,3076.0,150.0,,8,1,-37.6523847,145.0315487
Eltham Leisure Centre,eltham,VIC,3095.0,7.0,,4,2,-37.713736,145.147673
Engie - The Glen,glen waverley,VIC,3150.0,100.0,0.45,1,2,-37.8795908,145.1622405
BP pulse Diamond Creek,diamond creek,VIC,3090.0,75.0,55.0,2,2,-37.6733272,145.1588075
BP pulse Diamond Creek,diamond creek,VIC,3090.0,75.0,55.0,2,2,-37.6733272,145.1588075
BP Pulse,caroline springs,VIC,,150.0,,8,1,-37.7340623,144.7370017
Watergardens Shopping Centre,sydenham,VIC,3037.0,22.0,,3,1,-37.6997223,144.7653295
Point Cook Town Centre,point cook,VIC,3030.0,7.0,,1,1,-37.9064862,144.7533059
Red Rooster Vermont,ringwood,VIC,3134.0,50.0,0.4,4,4,-37.8158726,145.2291113
Greenvale Woolworths,roxburgh park,VIC,3064.0,22.0,,2,1,-37.6381563,144.9353302
Ampcharge Sandown,sandown,VIC,,180.0,,2,1,-37.9503548,145.1665966
Bunnings Tarneit,tarneit,VIC,3029.0,22.0,,2,1,-37.8321522,144.69462
EastLand Shopping Centre,melbourne,VIC,3134.0,22.0,,4,1,-37.8142454,144.9631732
diamond creek community bank stadium,diamond creek,VIC,3089.0,22.0,,1,1,-37.6733272,145.1588075
diamond creek community bank stadium,diamond creek,VIC,3089.0,22.0,,1,1,-37.6733272,145.1588075
