timestamp,region,intensity_gco2_per_kwh
2025-08-24 00:00:00+00:00,nsw,564.8862715696943
2025-08-24 00:05:00+00:00,nsw,566.9916123992334
2025-08-24 00:10:00+00:00,nsw,567.5983923011511
2025-08-24 00:15:00+00:00,nsw,561.6614693121448
2025-08-24 00:20:00+00:00,nsw,565.5708110795782
2025-08-24 00:25:00+00:00,nsw,560.0917593970589
2025-08-24 00:30:00+00:00,nsw,553.1437506193711
2025-08-24 00:35:00+00:00,nsw,550.7019513528003
2025-08-24 00:40:00+00:00,nsw,545.439980198514
2025-08-24 00:45:00+00:00,nsw,538.6258724087268
2025-08-24 00:50:00+00:00,nsw,535.472680509701
2025-08-24 00:55:00+00:00,nsw,536.3833989902573
2025-08-24 01:00:00+00:00,nsw,535.9055631378681
2025-08-24 01:05:00+00:00,nsw,538.2476143548944
2025-08-24 01:10:00+00:00,nsw,545.7096286536014
2025-08-24 01:15:00+00:00,nsw,548.9613396743853
2025-08-24 01:20:00+00:00,nsw,553.2742428785909
2025-08-24 01:25:00+00:00,nsw,551.7697148175173
2025-08-24 01:30:00+00:00,nsw,550.8143250057967
2025-08-24 01:35:00+00:00,nsw,552.4712775905383
2025-08-24 01:40:00+00:00,nsw,550.3594362876636
2025-08-24 01:45:00+00:00,nsw,553.6879347468706
2025-08-24 01:50:00+00:00,nsw,548.2281063404182
2025-08-24 01:55:00+00:00,nsw,550.7153781751672
2025-08-24 02:00:00+00:00,nsw,553.1257631262785
2025-08-24 02:05:00+00:00,nsw,556.4301415282863
2025-08-24 02:10:00+00:00,nsw,549.1303005751804
2025-08-24 02:15:00+00:00,nsw,549.9511667998818
2025-08-24 02:20:00+00:00,nsw,550.7460472401815
2025-08-24 02:25:00+00:00,nsw,545.0184778137465
2025-08-24 02:30:00+00:00,nsw,554.9124656765928
2025-08-24 02:35:00+00:00,nsw,558.6780875340214
2025-08-24 02:40:00+00:00,nsw,560.4656384448305
2025-08-24 02:45:00+00:00,nsw,577.4571560341623
2025-08-24 02:50:00+00:00,nsw,577.6514878468562
2025-08-24 02:55:00+00:00,nsw,575.4896097539515
2025-08-24 03:00:00+00:00,nsw,593.9345591560954
2025-08-24 03:05:00+00:00,nsw,589.0440474102824
2025-08-24 03:10:00+00:00,nsw,592.0615766598593
2025-08-24 03:15:00+00:00,nsw,591.2371572612983
2025-08-24 03:20:00+00:00,nsw,586.3913211214701
2025-08-24 03:25:00+00:00,nsw,596.7810203100368
2025-08-24 03:30:00+00:00,nsw,610.6929135730675
2025-08-24 03:35:00+00:00,nsw,604.7352362318791
2025-08-24 03:40:00+00:00,nsw,619.0407982691156
2025-08-24 03:45:00+00:00,nsw,605.9458442963391
2025-08-24 03:50:00+00:00,nsw,609.3526848712751
2025-08-24 03:55:00+00:00,nsw,604.5897175099187
2025-08-24 04:00:00+00:00,nsw,603.6602975123609
2025-08-24 04:05:00+00:00,nsw,609.9413501471652
2025-08-24 04:10:00+00:00,nsw,605.2903497561938
2025-08-24 04:15:00+00:00,nsw,600.792338932051
2025-08-24 04:20:00+00:00,nsw,582.2414765718935
2025-08-24 04:25:00+00:00,nsw,587.7760400659074
2025-08-24 04:30:00+00:00,nsw,597.3938804197641
2025-08-24 04:35:00+00:00,nsw,611.280036761535
2025-08-24 04:40:00+00:00,nsw,601.2286402113857
2025-08-24 04:45:00+00:00,nsw,598.0128195217771
2025-08-24 04:50:00+00:00,nsw,599.4061165634533
2025-08-24 04:55:00+00:00,nsw,599.7630835965289
2025-08-24 05:00:00+00:00,nsw,602.9531020052021
2025-08-24 05:05:00+00:00,nsw,603.3551002313664
2025-08-24 05:10:00+00:00,nsw,606.3516960540296
2025-08-24 05:15:00+00:00,nsw,604.7549229674712
2025-08-24 05:20:00+00:00,nsw,611.3264222218716
2025-08-24 05:25:00+00:00,nsw,611.2967549038198
2025-08-24 05:30:00+00:00,nsw,616.7756634294253
2025-08-24 05:35:00+00:00,nsw,614.0536869016836
2025-08-24 05:40:00+00:00,nsw,627.1162286559113
2025-08-24 05:45:00+00:00,nsw,625.8179576591642
2025-08-24 05:50:00+00:00,nsw,631.7273311528554
2025-08-24 05:55:00+00:00,nsw,635.7976165791616
2025-08-24 06:00:00+00:00,nsw,637.8384751612058
2025-08-24 06:05:00+00:00,nsw,639.1247453455028
2025-08-24 06:10:00+00:00,nsw,643.0586806345573
2025-08-24 06:15:00+00:00,nsw,641.2409021059588
2025-08-24 06:20:00+00:00,nsw,651.1068974983851
2025-08-24 06:25:00+00:00,nsw,653.2347687576853
2025-08-24 06:30:00+00:00,nsw,653.0989305850542
2025-08-24 06:35:00+00:00,nsw,658.0252381440002
2025-08-24 06:40:00+00:00,nsw,660.7623391387344
2025-08-24 06:45:00+00:00,nsw,669.0196707791662
2025-08-24 06:50:00+00:00,nsw,677.129708961679
2025-08-24 06:55:00+00:00,nsw,685.5548940800779
2025-08-24 07:00:00+00:00,nsw,689.0874386162046
2025-08-24 07:05:00+00:00,nsw,697.5078519991924
2025-08-24 07:10:00+00:00,nsw,712.1494697083533
2025-08-24 07:15:00+00:00,nsw,713.7101514091632
2025-08-24 07:20:00+00:00,nsw,717.2450186076024
2025-08-24 07:25:00+00:00,nsw,719.74885191232
2025-08-24 07:30:00+00:00,nsw,720.3246846435464
2025-08-24 07:35:00+00:00,nsw,721.2781769920864
2025-08-24 07:40:00+00:00,nsw,710.6436457469731
2025-08-24 07:45:00+00:00,nsw,715.7468029704654
2025-08-24 07:50:00+00:00,nsw,712.3745802080078
2025-08-24 07:55:00+00:00,nsw,707.9493675610559
