,NB_SCATS_SITE,QT_INTERVAL_COUNT,NB_DETECTOR,V00,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,NM_REGION,CT_RECORDS,QT_VOLUME_24HOUR,CT_ALARM_24HOUR,Location
5893,6673,2025-01-01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5894,6673,2025-01-01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5895,6673,2025-01-01,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5896,6673,2025-01-01,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5897,6673,2025-01-01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5898,6673,2025-01-01,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5899,6673,2025-01-01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5900,6673,2025-01-01,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5901,6673,2025-01-01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5902,6673,2025-01-01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5903,6673,2025-01-01,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5904,6673,2025-01-01,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5905,6673,2025-01-01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5906,6673,2025-01-01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5907,6673,2025-01-01,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5908,6673,2025-01-01,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5909,6673,2025-01-01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5910,6673,2025-01-01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VIC,96,0,0,MOREWELL-TRARALGON/BRIDLE/CENTRE VALLEY
5935,6675,2025-01-01,1,7,11,16,7,5,8,7,5,4,2,6,14,6,2,3,5,2,3,6,1,5,8,8,2,3,7,6,14,4,7,10,14,13,10,12,9,15,11,24,22,27,27,16,31,33,30,34,41,43,32,41,32,27,49,42,45,24,36,39,39,41,39,36,31,37,31,24,33,27,23,24,27,22,17,33,25,22,16,18,16,10,10,21,12,12,18,5,6,6,8,10,5,6,3,8,3,VIC,96,1697,0,MORWELL-TRARALGON/ALEXANDER TRAMWAY
5936,6675,2025-01-01,1,7,11,16,7,5,8,7,5,4,2,6,14,6,2,3,5,2,3,6,1,5,8,8,2,3,7,6,14,4,7,10,14,13,10,12,9,15,11,24,22,27,27,16,31,33,30,34,41,43,32,41,32,27,49,42,45,24,36,39,39,41,39,36,31,37,31,24,33,27,23,24,27,22,17,33,25,22,16,18,16,10,10,21,12,12,18,5,6,6,8,10,5,6,3,8,3,VIC,96,1697,0,MORWELL-TRARALGON/ALEXANDER TRAMWAY
5937,6675,2025-01-01,2,5,4,9,2,5,5,2,2,3,3,2,3,0,3,1,3,3,1,0,1,0,2,1,2,1,3,1,4,5,2,3,7,0,3,2,6,7,8,3,9,7,2,7,7,14,4,10,11,17,10,16,18,18,22,19,9,18,15,22,21,21,25,19,19,10,16,19,13,14,6,12,16,9,11,7,13,13,8,7,5,10,5,10,5,5,6,3,8,2,11,10,5,5,2,3,2,VIC,96,748,0,MORWELL-TRARALGON/ALEXANDER TRAMWAY
5938,6675,2025-01-01,2,5,4,9,2,5,5,2,2,3,3,2,3,0,3,1,3,3,1,0,1,0,2,1,2,1,3,1,4,5,2,3,7,0,3,2,6,7,8,3,9,7,2,7,7,14,4,10,11,17,10,16,18,18,22,19,9,18,15,22,21,21,25,19,19,10,16,19,13,14,6,12,16,9,11,7,13,13,8,7,5,10,5,10,5,5,6,3,8,2,11,10,5,5,2,3,2,VIC,96,748,0,MORWELL-TRARALGON/ALEXANDER TRAMWAY
5939,6675,2025-01-01,3,0,2,3,1,1,1,0,0,0,0,1,2,2,1,0,1,1,0,1,0,0,0,0,3,2,1,1,4,1,2,4,1,0,1,2,0,1,1,1,2,2,3,4,4,6,5,2,5,4,3,3,6,2,3,4,4,7,5,4,7,6,4,3,6,5,4,4,5,5,9,4,2,5,0,9,3,3,4,4,2,0,1,6,3,4,1,2,1,1,0,1,1,1,0,2,0,VIC,96,238,0,MORWELL-TRARALGON/ALEXANDER TRAMWAY
