Charger Name,Address,Suburb,State,Postal Code,Power (kW),Usage Cost,Number of Points,Connection Types,latitude,longitude
Ampcharge Werribee,Cherry Street,werribee,VIC,,180,,1.0,33,-37.907984,144.6416748
Devon Street Car Park,4 - 16 Devon Street,croydon,Victoria,3136,"7, 7",Free,4.0,"25, 25",-37.7955004,145.2801507
Ampcharge Cheltenham,Cheltenham Road,keysborough,VIC,,180,,2.0,33,-38.0053607,145.1674069
Strata Equity – Hunter Werribee,22 Synnot Street,werribee,Victoria,3030,"22, 22, 22",Free,3.0,"25, 25, 25",-37.907984,144.6416748
Club Trillium,11/19 Trillium Boulevard,mickleham,Victoria,3064,,,1.0,1,-37.5344793,144.9120372
bp pulse Dandenong North,Heatherton Rd & Stud Rd,dandenong north,Victoria,3802,75,55c/kWh,2.0,33,-37.9558319,145.2143234
Heatherton Road,Heatherton Road,dandenong,Victoria,3175,"350, 350",$0.60 / kWh,2.0,"33, 2",-37.98749,145.2147923
Ampol Kilsyth,Canterbury & Gatwick Road,kilsyth south,Victoria,3153,"150, 125",$0.69/kWh for pay-as-you-go charging.,1.0,"33, 2",-37.8315054,145.3110008
Evie Chelsea,1 Swansea Rd,chelsea,Victoria,3196,"50, 50, 50, 50",$0.40 per kWh. Parking overstay charges may apply,1.0,"33, 2, 33, 2",-38.0497386,145.121407
Evie Chirnside Park,Fletcher Street,chirnside park,VIC,,"50, 50",,1.0,"33, 2",-37.9047634,144.6530424
bp pulse Merrifield,470 Donnybrook Road,mickleham,Victoria,3064,"75, 75",55c/kWh,4.0,"33, 33",-37.5344793,144.9120372
Marnong Estate,2335 Mickleham Road,mickleham,Victoria,3064,22,,4.0,25,-37.5344793,144.9120372
Lollypop Creek Community Centre,Shipwright Parade,harpley,VIC,,50,,2.0,33,-37.9110402,144.6113082
Hungry Jacks,27 Gap Road,sunbury,Victoria,3429,11,$0.25/kWh,2.0,25,-37.5791363,144.7279832
Cobblebank Village,201 Ferris Road,nan,Victoria,3338,"22, 22",Free,1.0,"2, 33",-37.8688729,145.2126338
Cobblebank Stadium,Cnr Astley Dr and Bridge Rd,cobblebank,Victoria,3338,"25, 25, 22",Free,3.0,"33, 2, 25",-37.7125512,144.6040773
Yarra Valley Nissan,460 - 462 Maroondah Highway,lilydale,Victoria,3140,11,$0.31 per kWh,2.0,25,-37.7571582,145.3458656
McDonald’s Melton South,179-253 Exford Road,weir views,Victoria,3338,"50, 50, 50, 50",$AU 0.40/kWh,2.0,"33, 2, 33, 2",-37.7323715,144.5708942
Local Village Carrum Downs,1066 Frankston - Dandenong Rd,carrum downs,VIC,3201,"50, 50, 50, 50",$0.45 per kWh. Parking overstay charges may apply,2.0,"33, 2, 33, 2",-38.1003312,145.1788657
CTR Whittlesea,74A Church St,whittlesea,Vic,3757,"50, 50","0.40/kWh + While parked, not charging: 4.00/hr after 60 mins",1.0,"33, 2",-37.5121301,145.1177321
City of Casey,Princes Highway,city of casey,Victoria,3805,7,Free,2.0,25,-38.0266156,145.3045626
Lynbrook Village,75S Lynbrook Boulevard,lynbrook,Victoria,3975,"50, 50, 50, 50",$0.40 per kWh. Parking overstay charges may apply,2.0,"33, 2, 2, 33",-38.0558639,145.2561128
ENGIE - Bayside Centre,15 Beach Street,frankston,VIC,3199,50,AUD 0.45 per kWh,1.0,33,-38.150925,145.142239
Yarra Ranges Council,45 Bell St,yarra glen,Victoria,3775,"50, 50",Payment Required $0.40 per kWh (at all times),1.0,"33, 2",-37.6573475,145.3743964
Engie Monash University,McMahons Road,melbourne,Victoria,3199,"120, 120",,3.0,"2, 33",-37.8142454,144.9631732
Evie Cranbourne Homemaker Centre,South Gippsland Highway,cranbourne,Victoria,3977,"50, 50",,1.0,"33, 2",-38.0997308,145.2807256
St Huberts Winery,1/3 St Huberts Road,coldstream,Victoria,3770,11,$0.31/kWh,6.0,25,-37.7291014,145.378424
BP Pulse Cranbourne,Cranbourne-Frankston Road,cranbourne west,Victoria,3977,"75, 75",$0.55/kWh,1.0,"33, 2",-38.102241,145.2517182
Jolt Berwick Springs Hotel,Clyde Road,berwick,VIC,,"50, 50",,1.0,"33, 2",-38.0398297,145.3451089
Engie Cranbourne Park,Cranbourne Drive,nan,Victoria,3977,"120, 120",,3.0,"2, 33",-37.8688729,145.2126338
Wallan,85 High Street,wallan,Victoria,3756,"50, 50",,1.0,"33, 2",-37.5040691,145.1090152
ClydeStone Square,Matterhorn Drive ,clyde north,VIC,3978,"50, 50",AUD 0.40 per kWh,1.0,"33, 2",-38.1028681,145.3302814
Evie Mornington,Cromwell Street,mornington,Victoria,3931,"50, 50, 50",,2.0,"33, 2, 33",-38.227699,145.0609375
Mornington Super Charger,Mornington-Tyabb Road,nan,Victoria,3931,250,,6.0,33,-37.8688729,145.2126338
RACV Healsville,Healsville - Yarra Glen Road,healsville,VIC,,"7, 50",,7.0,"25, 33",-37.6635261,145.4817549
Evie Healsville,River Street,healsville,VIC,,"50, 50",,1.0,"33, 2",-37.6635261,145.4817549
North Bellarine Aquatic Centre,30 Peninsula Drive,curlewis,Victoria,3222,"50, 50, 50, 50",$0.45/kWh,2.0,"33, 2, 33, 2",-37.8148997,145.1062282
Victoria Street,Victoria Street,macedon,Victoria,3440,"50, 50",$0.45 per kWh,1.0,"33, 2",-37.7726251,145.1131159
50 Learmonth Street,50 Learmonth Street,queenscliff,Victoria,3225,"50, 50, 50, 50",$0.45 per kWh,2.0,"33, 2, 33, 2",-38.3363033,144.7453366
Evie Yarra Juncion,Park Road,yarra junction,VIC,,"50, 50",,1.0,"33, 2",-37.7821693,145.6150255
Kilmore Library,12 Sydney Street,kilmore,Victoria,3764,"25, 25",$0.40 per kWh,1.0,"33, 2",-37.6750485,144.9242188
Geelong Supercharger,470-510 Princes Highway,corio,Victoria,3214,250,$0.78/kWh,6.0,33,-37.9623312,145.1346687
Hastings,34 King Street,hastings,Victoria,3915,"50, 50",Payment Required $0.45 per kWh,1.0,"33, 2",-38.3056058,145.1859934
Kingston Village Square,Grubb Rd,ocean grove,Victoria,3226,"50, 50, 22",Payment Required $0.25 per kWh (at all times),3.0,"33, 2, 25",-38.170954,145.0972517
Sorrento ,860 Melbourne Rd,nan,Victoria,3943,"50, 50, 50, 50","0.40/kWh + While parked, not charging: 4.00/hr after 60 mins",2.0,"33, 2, 33, 33",-37.8688729,145.2126338
Rosebud RSL,2 Dunsmuir Drive,nan,Victoria,3940,"None, 50, None",,2.0,"0, 2, 1",-37.8688729,145.2126338
bp pulse Rye,Cnr Weir St & Point Nepean Road,rye,Victoria,3941,75,55c/kWh,2.0,33,-38.3821684,144.8099264
High St Parking,124 High Street,woodend,Victoria,3442,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2.0,"33, 2",-37.7934621,144.5595902
Geelong West Veledrome,Weddell Road,geelong west,VIC,,22,,2.0,25,-37.8054508,144.879879
Bru4U Geelong ,4/100 Barwon Terrace,geelong,Victoria,3220,22,free,1.0,1036,-37.8396934,145.008539
Broadford Library,113 High Street,broadford,Victoria,3658,"25, 25",$0.40 per kWh,1.0,"33, 2",-37.6362329,145.0265708
RACV Solar Grovedale,8 Lewalan Street,grovedale,Victoria,3216,22,$0.25 per kWh,1.0,25,-37.8171289,145.0949242
Blue Tongue Industries,8 Lewalan St,grovedale,Victoria,3216,22,$0.30 per kWh,1.0,25,-37.8171289,145.0949242
Evie Barabool Heights Plaza,Province Blvd,highton,VIC,,"50, 50",,4.0,"33, 2",-37.8163364,145.0687942
Armstrong Creek East Community Hub,46 Central Boulevard,armstrong creek,Victoria,3217,"22, 22, 22",Free,6.0,"25, 25, 25",-37.6289691,145.8640385
Leisurelink Aquatic & Recreation Centre,240 Pioneer Rd,waurn ponds,VIC,3216,"50, 50, 50, 50",$0.45 per kWh,2.0,"33, 2, 33, 2",,
Armstrong Creek Shopping Centre,540 Torquay Rd,armstrong creek,Victoria,3216,7,Free,2.0,25,-37.6289691,145.8640385
Deakin University Waurn Ponds,Carpark 1 Kings Way,nan,Victoria,3216,"22, 22",Free,4.0,"25, 25",-37.8688729,145.2126338
Trentham Visitor Information Centre,Albert Street,trentham,Vic,,"50, 50",,2.0,"33, 2",-37.7000743,144.8908894
Evie Flinders,33 Cook St,flinders,VIC,3929,"50, 50",$0.45 per kWh,1.0,"33, 2",-38.473312,145.0187057
Evie Bannockburn,High Street,bannockburn,VIC,,"50, 50",,1.0,"33, 2",-37.732231,145.1014989
Evie Cowes,Chapel Street,cowes,Vic,,"50, 50",,4.0,"33, 2",-37.7092585,144.7872516
Kyneton,1 Hutton Street,kyneton,Victoria,3444,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,1.0,"33, 2",-37.718862,145.0231115
Evie Meredith,12 Wallace St,meredith,VIC,3333,"50, 50",$0.45 per kWh,1.0,"33, 2",-37.7657176,145.1589446
Yea Supercharger,10 High St,yea,Victoria,3717,135,$0.78/kWh,4.0,33,-37.4927455,145.1572676
Penguin Parade Car Park,995 Ventor Rd,summerlands,VIC,3922,"50, 50",AUD 0.37 per kWh,1.0,"33, 2",,
RACV Torquay Resort,1 Great Ocean Road,jan juc,Victoria,3223,"50, 50, 350, 350, 350, 350, 50, 50","Payment Required, Discount for NRMA/RACV members",7.0,"33, 2, 33, 2, 33, 2, 33, 2",,
Newling Reserve,Newling Drive,nan,Victoria,3240,7,,1.0,25,-37.8688729,145.2126338
Wine by Sam,69 Anzac Ave,seymour,Vic,3660,"25, 25",AUD 0.40 per kWh,1.0,"33, 2",-38.0021533,145.0974829
Daylesford Town Hall,76 Vincent St,daylesford, VIC,3460,"25, 25",Payment Required $0.35 per kWh (at all times),1.0,"33, 2",-37.627671,145.0254821
Hepburn Springs Bathhouse,1 Mineral Springs Reserve Road,hepburn springs,Victoria,3461,"50, 50",$0.45 per kWh,2.0,"33, 2",-37.7481414,144.739508
Shell Coles Express Warrenheip,9395 Western Highway,warrenheip,VIC ,3352,"350, 350",$0.60 per kWh. Parking overstay charges may apply,2.0,"2, 33",,
Evie Warrigul,Queen Street,warragul,Victoria,3820,"50, 50",,1.0,"33, 2",-37.6694522,144.9350241
Evie Alexandra,8 - 10 Webster Street,alexandra,Victoria,3714,"50, 50",$0.45 per kWh,1.0,"33, 2",-37.8212422,144.9736634
Dindi Naturals,6572 Maroondah Highway,yarck,Victoria,3719,7,Free,1.0,25,-37.5772947,144.7161349
Ampol Foodary,Princes Highway,winchelsea,Victoria,,"180, 100",$0.60/kWh for pay-as-you-go charging.,1.0,"33, 2",,
RACV Ballarat,Davies Street,ballarat,Victoria,3350,350,,4.0,33,-37.8050281,144.9457629
Heathcote Visitor Centre,126 High Street ,heathcote,Victoria ,3523,"50, 50",$0.50/kWh,1.0,"33, 2",-37.7326399,144.733868
Coles Sebastopol,Midland Highway,sebastopol,VIC,,22,,2.0,25,-37.8709314,145.0193037
CTR Korumburra,Commercial Street,korumburra,Victoria,3950,"50, 50",,1.0,"33, 2",,
Evie Korumburra,Mine Road,korumburra,Victoria,3950,"50, 50",,1.0,"33, 2",,
Midlands Golf Club,330 Heinz Lane,invermay park,Victoria,3350,"22, 22, 22",$0.35 per kWh,6.0,"25, 25, 25",,
Evie Caltex Jones Street,Jones Street,avenel,Victoria,3664,"350, 350",,1.0,"33, 2",-37.8958126,144.6304628
Creswick Vicitors Information Centre,41-43 Albert Street,creswick,VIC,3363,"50, 50",AUD 0.45 per kWh,1.0,"33, 2",-37.8191777,145.0167539
Gillies Street North,Gillies Street North,ballarat,City of Ballarat,3355,6.6,Free,2.0,1,-37.8050281,144.9457629
Ballarat Supercharger,333 Gillies St,ballarat,,3355,120,AUD 0.42/kWh;other tariffs for older cars,6.0,33,-37.8050281,144.9457629
Castlemaine Market Building Car Park,33 Forest St,castlemaine,Victoria,3450,"50, 50",$0.40 per kWh parking overstay charges may apply.,2.0,"2, 33",-37.6303914,145.0273223
Tesla Supercharger Lucas,Lilburne Street,lucas,Victoria,,250,$0.78/kWh,10.0,33,,
High Street,7 High Street,harcourt,Victoria,3453,"25, 25",$0.40 per kWh. Parking overstay charges may apply,1.0,"33, 2",-37.8374349,145.1115353
The Cape Display Centre,17 Sunlight Boulevard,cape paterson,Victoria,3995,50,$0.40/kWh,2.0,33,,
CTR Leongatha,Pern Lane,leongatha,Victoria,3953,"50, 50",,1.0,"2, 33",-38.1199326,145.3182716
Evie Leongatha,McCartin Street,leongatha,Victoria,3953,"50, 50",,1.0,"2, 33",-38.1199326,145.3182716
Lorne Visitor Information Centre,15 Mountjoy Parade,lorne,VIC,3232,7,Free,1.0,1,-37.6734151,145.0272333
Chargefox Moe,Lloyd Street,moe,Victoria,3825,"50, 50, 350, 50, 50",40c/kWh,4.0,"2, 33, 33, 33, 2",-37.6132253,145.0980154
CTR Meeniyan,Tompkins Road,meeniyan,VIC,,50,,2.0,33,,
Bendigo Supercharger,Condon Street,bendigo,VIC,3550,120,AUD 0.42/kWh;other tariffs for older cars,6.0,33,-37.720574,145.047976
Euroa Supercharger,46 Kirkland Ave,euroa,,,120,AUD 0.42/kWh;other tariffs for older cars,6.0,33,-37.7639651,144.8287004
Chargefox - Euroa,Euroa Service Centre,euroa,Vic,3666,"100, 350, 50, 50, 350, 350, 50, 350",,4.0,"2, 33, 2, 33, 33, 2, 33, 2",-37.7639651,144.8287004
Bendigo Kangan Institute,62-104 Charleston Road,east bendigo,Victoria,3550,"80, None",$0.40/kWh,2.0,"33, 25",,
Bendigo Art Gallery,62 View Street,bendigo,Victoria,3550,"50, 50, 50, 50",$0.40 per kWh. Parking overstay charges may apply,2.0,"2, 33, 2, 33",-37.720574,145.047976
Colac Supercharger,144-158 Bromfield Street,colac,Victoria,3250,250,$0.78/kWh,3.0,33,-38.0761008,145.1472438
CTR Maryborough,Station St,maryborough,VIC, 3465,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,2.0,"33, 2",-37.850401,144.5882783
NRMA Marong,32 High Street,marong,Victoria,3515,"180, 180",66c / 60c for members,4.0,"33, 2",-37.793821,144.5506713
CTR Foster,Station Road,foster,VIC,,50,,2.0,33,-37.5902461,144.9342136
Tesla Supercharger Traralgon,Grey Street,traralgon,Vic,,250,$0.66/kWh,4.0,33,,
Charging the Regions Traralgon,49 Breed St,nan,Victoria,3844,"50, 50",$0.45 per kWh,1.0,"33, 2",-37.8688729,145.2126338
Evie Traralgon,Princes Street,traralgon,Vic,,"50, 50",,2.0,"33, 2",,
Evie Beaufort,19 Willoby St,beaufort,Vic,3373,"50, 50, 50",$0.45 per kWh. Parking overstay charges may apply,4.0,"33, 2, 33",-38.0067519,145.1779706
Newbridge Public Hall,Cnr Burke St & Wimmera Hwy,newbridge,Victoria,3551,"25, 25",Payment Required $0.40 per kWh parking overstay charges may apply.,1.0,"2, 33",-37.9715559,145.124582
Evie Avoca,High Street,avoca,VIC,,50,,2.0,33,-37.6146532,145.0933095
Tatura,104 Hogan St,tatura,Victoria,3616,"25, 25",$0.40 per kWh (at all times),2.0,"2, 33",-38.1379689,145.1628252
Heyfield Apex Park,Davis St & George Street,heyfield,Victoria,3858,50,$0.40/kWh,2.0,33,-37.8237397,144.7132186
CTR Mooroopna,"77 Midland Hwy,",mooroopna,VIC,3629,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2.0,"2, 33",-37.7852115,144.5605697
Shepparton Observation Tower,"8 Fraser St, ",shepparton,VIC ,3630,"50, 50",$0.40 per kWh. Parking overstay charges may apply,2.0,"2, 33",-37.7884948,144.5582739
Evie Camperdown,2 Bath Street,camperdown,Victoria,3260,"50, 50",$0.45 per kWh,1.0,"33, 2",-37.764834,144.8219857
Evie Benalla,Denny Street,benalla,Victoria,3672,"50, 50",,1.0,"33, 2",-37.8059585,144.9432551
Inglewood Town Hall,Storm Lane,inglewood,Victoria,3517,"50, 50",$0.40 per kWh. Parking overstay charges may apply,1.0,"33, 2",-37.7924237,144.5498933
Chargefox Yarram,156 Grant Street,yarram,Victoria,3971,"50, 50",Payment Required $0.40 per kWh (at all times),1.0,"33, 2",-38.1353489,145.1666795
Evie Maffra,4 Purdy Ln,maffra,VIC,3860,"50, 50",$0.45 per kWh,1.0,"33, 2",-37.6601922,144.9408062
