station_code,station_name,latitude,longitude,elevation_m,date,precipitation_mm,temp_avg_c,temp_max_c,temp_min_c
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-19,0.0,16.7,24.4,13.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-20,0.0,18.4,29.5,10.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-21,2.2,15.9,20.8,10.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-22,0.0,17.6,24.9,10.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-23,0.0,24.1,33.2,11.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-24,0.2,19.3,23.9,17.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-25,0.0,18.6,23.7,16.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-26,0.0,21.1,29.3,15.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-27,0.0,21.0,26.8,14.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-02-28,0.0,20.4,25.8,17.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-01,0.6,21.3,25.9,18.1
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-02,7.6,21.8,29.4,18.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-03,0.0,23.2,30.6,15.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-04,0.0,23.6,32.8,15.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-05,37.6,17.7,21.8,16.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-06,10.2,16.6,20.8,14.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-07,1.8,18.2,24.0,12.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-08,7.0,16.8,20.5,14.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-09,0.0,15.8,21.4,13.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-10,0.0,15.9,20.8,11.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-11,0.0,14.2,20.7,10.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-12,0.0,16.9,22.4,8.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-13,0.0,22.0,29.1,12.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-14,0.0,21.9,28.6,14.5
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-15,0.0,20.7,26.0,16.3
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-16,0.2,19.4,23.4,16.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-17,0.0,21.8,30.5,16.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-18,0.2,16.6,21.7,18.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-19,0.2,21.9,30.4,11.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-20,0.0,20.1,27.5,14.8
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-21,0.0,21.4,30.4,16.9
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-22,0.0,15.9,22.4,16.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-23,1.6,14.5,19.7,10.4
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-24,0.0,16.2,20.5,10.0
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-25,0.0,15.2,20.8,12.2
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-26,0.0,17.2,24.6,9.7
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-27,0.0,22.6,28.7,10.6
ASN00086282,"MELBOURNE AIRPORT, AS",-37.6655,144.8321,113.4,2022-03-28,0.0,18.7,25.8,17.1
